,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,DIFF_EFG_PCT,DIFF_TOV_PCT,DIFF_REB_PCT,DIFF_FTA_RATE
0,1610612737,Atlanta Hawks,68,34,34,0.5,3289.0,0.541,0.237,0.125,0.278,0.548,0.262,0.141,0.287,6,14,14,14,9,17,28,2,16,20,9,14,20,-0.007000000000000006,-0.015999999999999986,-0.008999999999999952,-0.025000000000000022
1,1610612738,Boston Celtics,68,47,21,0.691,3324.0,0.564,0.246,0.133,0.25,0.531,0.238,0.126,0.251,6,2,2,2,6,6,26,6,27,6,3,27,1,0.03299999999999992,0.007000000000000006,-0.0010000000000000009,0.008000000000000007
2,1610612751,Brooklyn Nets,67,38,29,0.567,3226.0,0.568,0.254,0.141,0.225,0.53,0.283,0.139,0.306,16,9,8,8,24,3,23,15,30,4,23,17,28,0.03799999999999992,0.001999999999999974,-0.08099999999999999,-0.02899999999999997
3,1610612766,Charlotte Hornets,69,22,47,0.319,3342.0,0.513,0.26,0.134,0.281,0.546,0.267,0.145,0.287,1,27,27,27,3,30,20,7,15,17,15,13,21,-0.03300000000000003,-0.010999999999999982,-0.00599999999999995,-0.007000000000000006
4,1610612741,Chicago Bulls,67,31,36,0.463,3241.0,0.55,0.259,0.137,0.239,0.542,0.256,0.145,0.261,16,22,21,22,20,12,22,9,28,14,6,12,3,0.008000000000000007,-0.00799999999999998,-0.02200000000000002,0.0030000000000000027
5,1610612739,Cleveland Cavaliers,69,42,27,0.609,3352.0,0.556,0.268,0.141,0.275,0.534,0.266,0.158,0.275,1,5,7,5,2,10,14,14,19,8,13,4,12,0.02200000000000002,-0.017000000000000015,0.0,0.0020000000000000018
6,1610612742,Dallas Mavericks,68,34,34,0.5,3304.0,0.565,0.311,0.125,0.231,0.551,0.295,0.137,0.275,6,14,14,14,7,5,1,3,29,22,30,21,13,0.013999999999999901,-0.01200000000000001,-0.04400000000000001,0.016000000000000014
7,1610612743,Denver Nuggets,67,46,21,0.687,3231.0,0.578,0.259,0.148,0.284,0.546,0.266,0.138,0.267,16,3,2,3,21,1,21,23,12,19,14,18,5,0.03199999999999992,0.009999999999999981,0.01699999999999996,-0.007000000000000006
8,1610612765,Detroit Pistons,68,15,53,0.221,3289.0,0.521,0.303,0.149,0.291,0.559,0.292,0.137,0.293,6,29,30,30,9,27,3,24,9,26,27,20,24,-0.038000000000000034,0.011999999999999983,-0.0020000000000000018,0.01100000000000001
9,1610612744,Golden State Warriors,68,35,33,0.515,3294.0,0.566,0.221,0.158,0.268,0.543,0.282,0.141,0.276,6,13,11,13,8,4,30,29,22,15,21,15,14,0.02299999999999991,0.017000000000000015,-0.008000000000000007,-0.06099999999999997
