,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
0,1630639,A.J. Lawson,A.J.,1610612742,DAL,22.0,13,5,8,0.385,4.8,0.0,0.5,0.2,0.9,1.8,0.8,1.8,6.0,0.0,0.2,0.6,0.2,3.8,441,440,89,412,479,480,392,441,437,44,18,62,460,463,125,59,466,473
1,1631260,AJ Green,AJ,1610612749,MIL,23.0,30,24,6,0.8,9.7,0.4,0.9,0.4,0.3,3.6,3.1,2.7,10.9,0.0,0.0,1.0,0.1,7.3,367,213,69,13,416,426,252,378,485,97,121,104,397,463,54,98,484,415
2,1631100,AJ Griffin,AJ,1610612737,ATL,19.0,59,28,31,0.475,19.9,1.1,0.9,0.9,3.3,6.8,5.9,6.3,20.9,0.1,0.3,1.2,0.5,14.6,101,146,425,309,244,264,253,243,237,254,282,303,240,400,261,154,406,268
3,203932,Aaron Gordon,Aaron,1610612743,DEN,27.0,54,39,15,0.722,30.0,2.1,2.7,2.4,10.6,10.0,7.3,8.5,32.4,0.8,0.9,1.9,3.6,32.6,162,19,155,29,104,104,30,54,26,399,351,406,86,62,483,305,51,67
4,1628988,Aaron Holiday,Aaron,1610612737,ATL,26.0,52,28,24,0.538,14.0,0.6,0.6,0.3,1.5,5.0,4.5,3.9,15.2,0.2,0.3,1.3,0.9,9.1,185,146,306,193,344,386,365,398,388,167,199,177,328,319,250,168,313,383
5,1630174,Aaron Nesmith,Aaron,1610612754,IND,23.0,58,25,33,0.431,24.6,1.6,1.1,1.7,3.2,8.1,7.7,6.7,25.3,0.4,0.6,3.3,1.9,18.6,115,203,453,378,182,162,219,108,238,312,375,315,188,161,412,507,149,210
6,1630598,Aaron Wiggins,Aaron,1610612760,OKC,24.0,54,28,26,0.519,19.1,1.5,1.1,1.4,4.0,6.5,5.9,5.1,19.8,0.2,0.6,1.6,0.9,14.1,162,146,338,216,256,180,213,157,196,243,281,236,257,293,400,241,306,279
7,1629678,Admiral Schofield,Admiral,1610612753,ORL,25.0,31,12,19,0.387,11.9,0.7,0.7,0.2,1.7,3.8,2.2,3.9,10.6,0.1,0.1,1.7,0.8,8.1,359,370,214,409,379,350,327,431,377,104,76,176,400,420,79,272,342,398
8,201143,Al Horford,Al,1610612738,BOS,36.0,52,36,16,0.692,31.0,1.0,0.9,0.8,2.8,9.8,7.9,7.8,31.3,0.9,0.1,2.0,0.6,25.2,185,40,168,43,88,283,259,267,273,389,386,378,99,42,90,329,387,126
9,202692,Alec Burks,Alec,1610612765,DET,31.0,51,12,39,0.235,22.0,1.6,1.2,0.7,2.5,7.4,6.9,4.8,24.7,0.2,0.3,1.9,2.7,21.4,202,370,489,471,215,158,181,284,292,277,332,226,191,357,241,318,93,175
