,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101201,2022-04-07T00:00:00,DEN vs. MEM,W,34.38333333333333,7,11,3,5,5,5,1,4,2,5,0,0,3,3,22,0.228,0.115,71,6,0.091,26,80,235,3,1,2022-04-07,110.03333333333333,3,14,27,4,22,8,4,1,3,241,2,10,17.0,2.0,0.13833333333333334,0.19166666666666668,1,37,0
1,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101186,2022-04-05T00:00:00,DEN vs. SAS,L,35.38333333333333,8,16,0,3,2,4,2,11,2,2,1,2,1,4,18,0.233,0.139,78,16,0.0,26,80,235,8,0,2022-04-05,110.4,3,15,17,2,19,10,4,0,2,238,4,7,11.0,2.0,0.12166666666666666,0.149,0,36,26
2,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101168,2022-04-03T00:00:00,DEN @ LAL,W,36.733333333333334,9,14,3,5,3,4,2,6,3,0,0,1,0,4,24,0.188,0.151,80,10,0.083,26,80,235,5,1,2022-04-03,107.14999999999999,3,13,21,5,15,10,4,2,2,230,4,7,14.0,1.0,0.11733333333333333,0.15766666666666665,0,36,24
3,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101159,2022-04-01T00:00:00,DEN vs. MIN,L,37.916666666666664,9,11,4,6,2,2,0,5,3,2,0,0,1,2,24,0.154,0.125,83,8,0.083,26,80,235,4,1,2022-04-01,104.21666666666667,3,10,30,7,17,8,3,2,3,224,5,8,16.0,0.0,0.11066666666666668,0.18100000000000002,0,36,22
4,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101137,2022-03-30T00:00:00,DEN @ IND,W,35.75,4,7,2,4,0,0,0,8,4,2,0,1,3,1,10,0.105,0.089,75,4,0.0,26,80,235,2,0,2022-03-30,101.78333333333333,3,7,42,10,12,4,3,2,2,220,4,8,24.0,0.0,0.10933333333333334,0.221,0,36,20
5,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101122,2022-03-28T00:00:00,DEN @ CHA,W,33.483333333333334,9,16,1,3,2,4,5,2,3,0,2,1,0,4,21,0.214,0.138,72,16,0.0,26,80,235,8,0,2022-03-28,98.60000000000001,3,7,39,8,14,7,3,0,2,211,6,6,19.0,1.0,0.10333333333333333,0.221,0,36,18
6,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101113,2022-03-26T00:00:00,DEN vs. OKC,W,34.983333333333334,8,17,2,3,2,2,2,7,1,1,0,1,2,3,20,0.224,0.105,77,12,0.0,26,80,235,6,0,2022-03-26,85.41666666666667,3,5,29,9,8,6,4,0,1,175,8,8,15.0,1.0,0.08933333333333333,0.21166666666666667,0,36,16
7,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101099,2022-03-24T00:00:00,DEN vs. PHX,L,33.31666666666667,10,16,0,1,1,1,3,3,0,2,0,0,2,1,21,0.225,0.085,71,20,0.0,26,80,235,10,0,2022-03-24,87.26666666666667,3,8,25,7,12,11,9,0,2,173,12,10,13.0,2.0,0.084,0.23666666666666666,0,36,14
8,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101083,2022-03-22T00:00:00,DEN vs. LAC,W,30.3,5,13,1,3,5,5,3,4,6,0,0,1,2,2,16,0.214,0.12,63,6,0.125,26,80,235,3,1,2022-03-22,79.18333333333334,3,7,26,5,9,5,9,0,2,157,12,10,15.0,1.0,0.065,0.25033333333333335,0,36,12
9,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101068,2022-03-20T00:00:00,DEN vs. BOS,L,21.8,3,5,1,1,6,7,3,1,0,2,0,0,4,5,13,0.196,0.063,41,4,0.0,26,80,235,2,0,2022-03-20,77.85,3,9,25,3,10,7,8,0,3,160,9,5,15.0,1.0,0.06366666666666666,0.23466666666666666,0,36,10
10,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101049,2022-03-18T00:00:00,DEN @ CLE,L,35.166666666666664,9,15,0,4,2,5,1,7,5,7,0,1,6,3,20,0.3,0.069,69,16,0.1,26,80,235,8,1,2022-03-18,42.68333333333333,2,5,14,2,3,2,1,0,2,91,3,2,7.0,0.0,0.061,0.202,0,36,8
11,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101035,2022-03-16T00:00:00,DEN @ WAS,W,22.216666666666665,6,13,1,2,1,1,1,1,0,0,0,1,2,2,14,0.255,0.063,47,10,0.0,26,80,235,5,0,2022-03-16,85.83500000000001,3,11,16,6,13,6,5,0,3,177,3,9,7.0,0.0,0.06066666666666667,0.17766666666666664,0,36,6
12,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022101022,2022-03-14T00:00:00,DEN @ PHI,W,20.466666666666665,3,6,1,3,0,0,1,2,2,1,0,1,1,0,7,0.149,0.059,44,4,0.0,26,80,235,2,0,2022-03-14,93.26833333333335,3,9,16,5,11,9,5,0,3,192,6,12,7.0,0.0,0.05366666666666667,0.16566666666666666,0,36,4
13,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022100994,2022-03-10T00:00:00,DEN vs. GSW,L,31.735,2,11,1,3,5,6,2,9,1,1,0,1,2,6,10,0.2,0.067,64,2,0.0,26,80,235,1,0,2022-03-10,133.55,4,12,28,8,8,13,7,1,4,273,10,18,18.0,2.0,0.06625,0.1795,1,36,0
14,2021-22,203932,Aaron Gordon,1610612743,DEN,Denver Nuggets,0022100991,2022-03-09T00:00:00,DEN @ SAC,W,33.63333333333333,4,10,0,5,3,3,3,2,3,3,0,1,0,3,11,0.184,0.056,69,8,0.0,26,80,235,4,0,2022-03-09,127.76666666666668,4,14,28,5,9,10,6,2,3,268,12,15,17.0,2.0,0.054000000000000006,0.185,0,35,36
