,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,201143,Al Horford,1610612738,BOS,Boston Celtics,0022101223,2022-04-10T00:00:00,BOS @ MEM,W,23.633333333333333,6,8,1,1,0,0,0,6,2,2,0,1,0,0,13,0.172,0.172,52,10,0.0,36,81,240,5,0,2022-04-10,59.4,2,9,7,5,13,8,0,3,2,118,2,1,6.0,0.0,0.20550000000000002,0.12,0,58,4
1,2021-22,201143,Al Horford,1610612738,BOS,Boston Celtics,0022101193,2022-04-06T00:00:00,BOS @ CHI,W,29.766666666666666,7,7,3,3,0,0,4,6,2,0,2,1,0,1,17,0.099,0.271,59,8,0.0,36,81,240,4,0,2022-04-06,97.89333333333333,3,10,13,8,25,16,1,3,3,204,11,3,9.0,0.0,0.13833333333333334,0.10833333333333334,1,58,0
2,2021-22,201143,Al Horford,1610612738,BOS,Boston Celtics,0022101166,2022-04-03T00:00:00,BOS vs. WAS,W,29.633333333333333,4,9,2,6,0,0,1,7,6,0,1,1,2,0,10,0.141,0.14,59,4,0.0,36,81,240,2,0,2022-04-03,68.25999999999999,2,4,10,7,18,10,1,2,2,145,9,3,7.0,0.0,0.1375,0.092,0,57,11
3,2021-22,201143,Al Horford,1610612738,BOS,Boston Celtics,0022101153,2022-04-01T00:00:00,BOS vs. IND,W,34.49333333333333,7,8,2,2,1,1,3,7,6,1,0,1,5,1,17,0.11,0.151,72,10,0.0,36,81,240,5,0,2022-04-01,33.766666666666666,1,2,4,4,11,4,0,2,1,73,4,2,2.0,0.0,0.124,0.074,0,57,9
4,2021-22,201143,Al Horford,1610612738,BOS,Boston Celtics,0022101139,2022-03-30T00:00:00,BOS vs. MIA,L,33.766666666666666,2,6,0,2,2,2,4,11,4,0,2,1,4,2,6,0.074,0.124,73,4,0.0,36,81,240,2,0,2022-03-30,31.216666666666665,1,5,0,1,5,3,1,0,3,59,1,0,0.0,0.0,0.111,0.097,0,57,7
5,2021-22,201143,Al Horford,1610612738,BOS,Boston Celtics,0022101087,2022-03-23T00:00:00,BOS vs. UTA,W,31.216666666666665,3,5,3,5,0,0,1,5,3,1,0,3,1,0,9,0.097,0.111,59,0,0.0,36,81,240,0,0,2022-03-23,110.88833333333332,4,9,11,1,23,13,3,4,4,225,6,4,4.0,0.0,0.07625,0.11775,1,57,0
6,2021-22,201143,Al Horford,1610612738,BOS,Boston Celtics,0022101078,2022-03-21T00:00:00,BOS @ OKC,W,33.81666666666667,0,1,0,1,3,4,0,5,7,0,3,3,1,3,3,0.038,0.09,73,0,0.0,36,81,240,0,0,2022-03-21,77.07166666666666,3,8,11,1,18,6,3,1,1,152,5,1,4.0,0.0,0.07166666666666667,0.14433333333333334,0,56,23
7,2021-22,201143,Al Horford,1610612738,BOS,Boston Celtics,0022101068,2022-03-20T00:00:00,BOS @ DEN,W,23.666666666666668,2,5,2,4,0,0,0,5,3,0,0,1,3,0,6,0.106,0.073,45,0,0.0,36,81,240,0,0,2022-03-20,86.71333333333334,3,7,17,2,18,5,3,6,2,171,2,5,9.0,0.0,0.11266666666666668,0.15666666666666665,0,56,22
8,2021-22,201143,Al Horford,1610612738,BOS,Boston Celtics,0022101057,2022-03-18T00:00:00,BOS @ SAC,W,21.77166666666667,3,9,0,1,0,0,1,8,2,1,1,0,2,0,6,0.213,0.1,42,6,0.0,36,81,240,3,0,2022-03-18,94.49166666666666,3,10,13,2,16,4,2,5,2,188,1,6,9.0,0.0,0.10433333333333333,0.12333333333333334,0,56,20
9,2021-22,201143,Al Horford,1610612738,BOS,Boston Celtics,0022101042,2022-03-16T00:00:00,BOS @ GSW,W,31.633333333333333,2,5,1,3,1,2,0,5,1,2,0,0,0,1,6,0.114,0.042,65,2,0.0,36,81,240,1,0,2022-03-16,97.05833333333334,3,11,15,3,20,6,1,8,2,194,4,5,8.0,2.0,0.128,0.122,0,56,18
