,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,202692,Alec Burks,1610612752,NYK,New York Knicks,0022101226,2022-04-10T00:00:00,NYK vs. TOR,W,39.65,4,7,2,4,0,0,2,4,8,4,1,0,5,2,10,0.125,0.073,81,4,0.0,30,78,214,2,0,2022-04-10,103.1,3,15,15,1,17,12,7,3,1,212,12,12,6.0,0.0,0.12466666666666666,0.18466666666666667,0,25,121
1,2021-22,202692,Alec Burks,1610612752,NYK,New York Knicks,0022101204,2022-04-08T00:00:00,NYK @ WAS,W,32.916666666666664,1,9,1,6,3,4,1,6,5,2,1,1,4,4,6,0.171,0.03,67,0,0.0,30,78,214,0,0,2022-04-08,97.78333333333333,3,14,16,0,16,8,6,2,0,201,14,10,6.0,0.0,0.12633333333333333,0.18666666666666668,0,25,119
2,2021-22,202692,Alec Burks,1610612752,NYK,New York Knicks,0022101191,2022-04-06T00:00:00,NYK vs. BKN,L,37.55,7,14,4,6,6,8,0,4,1,4,1,0,4,6,24,0.25,0.111,78,6,0.0,30,78,214,3,0,2022-04-06,101.225,3,21,10,1,23,12,6,2,1,210,14,7,3.0,0.0,0.10766666666666667,0.16733333333333333,0,25,117
3,2021-22,202692,Alec Burks,1610612752,NYK,New York Knicks,0022101171,2022-04-03T00:00:00,NYK @ ORL,W,32.63333333333333,6,7,3,3,4,5,0,7,6,1,1,0,4,2,19,0.133,0.233,67,6,0.0,30,78,214,3,0,2022-04-03,142.85833333333335,4,33,16,2,26,11,5,3,2,291,14,13,2.0,3.0,0.10525,0.175,0,25,114
4,2021-22,202692,Alec Burks,1610612752,NYK,New York Knicks,0022101162,2022-04-02T00:00:00,NYK vs. CLE,L,27.6,3,9,3,5,2,2,0,5,1,1,0,0,6,2,11,0.177,0.035,56,0,0.0,30,78,214,0,0,2022-04-02,115.25833333333334,3,28,12,2,21,10,4,3,2,235,8,11,2.0,3.0,0.12866666666666668,0.17433333333333334,0,25,113
5,2021-22,202692,Alec Burks,1610612752,NYK,New York Knicks,0022101140,2022-03-30T00:00:00,NYK vs. CHA,L,40.99166666666667,4,15,4,13,0,0,1,11,5,4,1,1,4,3,12,0.192,0.055,87,0,0.0,30,78,214,0,0,2022-03-30,131.81,4,27,17,3,19,11,3,5,2,258,9,13,4.0,3.0,0.13974999999999999,0.17925000000000002,0,25,110
6,2021-22,202692,Alec Burks,1610612752,NYK,New York Knicks,0022101126,2022-03-28T00:00:00,NYK vs. CHI,W,41.71666666666667,9,19,5,10,4,4,0,6,3,0,1,0,3,4,27,0.204,0.159,84,2,0.222,30,78,214,1,3,2022-03-28,126.02666666666667,4,24,17,4,13,12,4,7,2,249,11,12,5.0,4.0,0.1255,0.1755,0,25,108
7,2021-22,202692,Alec Burks,1610612752,NYK,New York Knicks,0022101115,2022-03-27T00:00:00,NYK @ DET,W,32.55,4,6,3,5,7,8,1,4,2,0,1,1,1,4,18,0.127,0.172,64,2,0.0,30,78,214,1,0,2022-03-27,127.72666666666666,4,27,17,3,14,13,6,6,1,249,12,9,4.0,4.0,0.0995,0.18,0,25,107
8,2021-22,202692,Alec Burks,1610612752,NYK,New York Knicks,0022101103,2022-03-25T00:00:00,NYK @ MIA,W,24.488333333333333,3,8,3,6,3,3,1,3,3,2,1,0,2,2,12,0.183,0.117,47,0,0.0,30,78,214,0,0,2022-03-25,130.805,4,24,18,2,16,12,5,6,1,259,14,10,4.0,5.0,0.09775,0.17,0,25,105
9,2021-22,202692,Alec Burks,1610612752,NYK,New York Knicks,0022101084,2022-03-23T00:00:00,NYK @ CHA,W,33.055,5,11,3,6,4,5,1,6,3,1,2,1,3,3,17,0.203,0.111,63,4,0.0,30,78,214,2,0,2022-03-23,124.86666666666667,4,22,18,1,16,11,4,5,0,254,13,10,4.0,5.0,0.09375,0.15725,0,25,103
