,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101183,2022-04-05T00:00:00,CHI vs. MIL,L,22.166666666666668,0,6,0,5,0,0,1,2,8,0,0,0,4,1,0,0.115,0.005,47,0,0.0,28,77,186,0,0,2022-04-05,83.24,3,6,7,3,6,15,2,4,0,165,4,1,3.0,0.0,0.050333333333333334,0.07866666666666666,1,23,0
1,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101164,2022-04-02T00:00:00,CHI vs. MIA,L,21.718333333333334,0,2,0,1,0,0,2,1,4,1,1,0,2,0,0,0.065,0.017,42,0,0.0,28,77,186,0,0,2022-04-02,129.855,4,11,9,3,16,20,2,7,1,259,10,6,4.0,0.0,0.08399999999999999,0.0795,0,22,71
2,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101149,2022-03-31T00:00:00,CHI vs. LAC,W,33.43333333333333,3,8,1,4,0,0,1,2,7,0,0,0,1,1,7,0.104,0.063,69,4,0.0,28,77,186,2,0,2022-03-31,124.38833333333334,4,10,9,2,15,15,5,8,1,245,14,10,3.0,1.0,0.07425000000000001,0.10700000000000001,0,22,69
3,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101132,2022-03-29T00:00:00,CHI @ WAS,W,28.088333333333335,1,3,0,1,0,0,0,3,4,1,3,0,1,0,2,0.067,0.071,54,2,0.0,28,77,186,1,0,2022-03-29,126.06666666666666,4,12,9,3,16,17,6,6,1,254,14,12,2.0,1.0,0.06624999999999999,0.1205,0,22,67
4,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101126,2022-03-28T00:00:00,CHI @ NYK,L,30.283333333333335,1,4,1,4,0,0,0,5,2,1,2,1,6,2,3,0.075,0.025,60,0,0.0,28,77,186,0,0,2022-03-28,128.4,4,12,12,3,13,21,5,5,0,257,10,13,2.0,1.0,0.07675,0.1285,0,22,66
5,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101110,2022-03-26T00:00:00,CHI @ CLE,W,38.05,3,5,2,2,2,2,2,6,7,0,2,0,2,3,10,0.072,0.177,76,2,0.0,28,77,186,1,0,2022-03-26,90.35,3,10,9,1,7,14,5,3,0,181,8,10,1.0,1.0,0.043333333333333335,0.14733333333333332,0,22,64
6,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101098,2022-03-24T00:00:00,CHI @ NOP,L,27.966666666666665,3,7,1,3,4,4,0,1,2,3,1,0,5,5,11,0.214,0.024,55,2,0.182,28,77,186,1,1,2022-03-24,87.86666666666667,3,11,8,2,8,15,3,3,0,177,6,6,1.0,0.0,0.056,0.12433333333333334,0,22,62
7,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101082,2022-03-22T00:00:00,CHI @ MIL,L,29.766666666666666,1,5,1,3,0,2,1,4,6,2,1,0,1,2,3,0.121,0.039,63,0,0.0,28,77,186,0,0,2022-03-22,83.58333333333334,3,10,9,1,6,10,4,3,1,170,9,7,2.0,0.0,0.02866666666666667,0.12766666666666668,0,22,60
8,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101076,2022-03-21T00:00:00,CHI vs. TOR,W,32.61666666666667,2,7,2,4,1,2,0,2,6,0,1,0,2,3,7,0.107,0.067,63,0,0.0,28,77,186,0,0,2022-03-21,78.1,3,10,9,1,5,6,8,2,2,168,10,6,3.0,0.0,-0.004666666666666666,0.15066666666666667,0,22,59
9,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101056,2022-03-18T00:00:00,CHI @ PHX,L,25.483333333333334,3,7,2,4,0,0,1,2,3,1,1,0,3,1,8,0.145,0.062,51,2,0.0,28,77,186,1,0,2022-03-18,81.81666666666666,3,8,12,0,4,7,8,5,3,179,11,7,4.0,1.0,0.014666666666666666,0.15133333333333332,0,22,56
10,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101041,2022-03-16T00:00:00,CHI @ UTA,L,25.483333333333334,1,5,0,2,0,0,0,2,1,3,1,1,4,3,2,0.131,-0.043,56,2,0.0,28,77,186,1,0,2022-03-16,56.33333333333333,2,6,9,0,2,6,5,4,2,123,7,4,3.0,1.0,0.0435,0.16149999999999998,0,22,54
11,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101026,2022-03-14T00:00:00,CHI @ SAC,L,27.133333333333333,2,7,1,4,1,2,0,1,2,4,0,1,3,2,6,0.176,-0.033,61,2,0.0,28,77,186,1,0,2022-03-14,29.2,1,2,6,0,1,4,1,4,1,62,4,2,2.0,1.0,0.12,0.147,0,22,52
12,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022101006,2022-03-12T00:00:00,CHI vs. CLE,W,29.2,4,8,1,2,2,2,0,1,4,1,4,1,4,2,11,0.147,0.12,62,4,0.182,28,77,186,2,1,2022-03-12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,22,50
13,2021-22,1627936,Alex Caruso,1610612741,CHI,Chicago Bulls,0022100690,2022-01-21T00:00:00,CHI @ MIL,L,23.566666666666666,3,11,1,6,0,2,0,8,4,0,1,1,2,1,7,0.19,0.106,51,2,0.286,28,77,186,1,1,2022-01-21,22.916666666666668,1,4,4,0,3,2,1,0,1,46,0,4,1.0,0.0,0.096,0.216,1,22,0
