,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022101215,2022-04-09T00:00:00,GSW @ SAS,W,34.935,5,13,2,7,3,8,0,2,0,1,0,0,3,5,15,0.217,0.0,72,4,0.133,27,79,197,2,1,2022-04-09,96.31,3,16,22,3,8,9,5,3,2,203,9,9,9.0,3.0,0.13533333333333333,0.207,1,18,0
1,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022101202,2022-04-07T00:00:00,GSW vs. LAL,W,27.35,7,12,3,5,0,0,2,2,1,2,0,1,3,1,17,0.206,0.078,64,6,0.118,27,79,197,3,1,2022-04-07,68.96,2,11,15,1,6,8,3,3,1,139,6,8,6.0,2.0,0.164,0.20750000000000002,0,17,26
2,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022101176,2022-04-03T00:00:00,GSW @ SAC,W,36.00333333333333,8,16,4,7,5,6,0,5,5,1,1,0,2,5,25,0.244,0.213,73,8,0.0,27,79,197,4,0,2022-04-03,129.68833333333333,4,18,37,8,10,6,11,4,2,275,12,14,18.0,3.0,0.0685,0.23700000000000002,0,17,22
3,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022101165,2022-04-02T00:00:00,GSW vs. UTA,W,32.95666666666666,7,10,3,4,0,0,1,1,3,2,2,1,4,3,17,0.171,0.115,66,4,0.235,27,79,197,2,2,2022-04-02,96.73166666666665,3,14,31,7,9,3,9,2,1,209,8,11,16.0,1.0,0.053,0.259,0,17,21
4,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022101145,2022-03-30T00:00:00,GSW vs. PHX,L,32.69833333333333,6,16,2,6,5,8,4,4,1,3,0,1,2,5,19,0.264,0.072,75,6,0.105,27,79,197,3,1,2022-03-30,123.40166666666667,4,19,35,3,12,5,7,3,1,256,9,8,20.0,1.0,0.06525,0.22425,0,17,18
5,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022101129,2022-03-28T00:00:00,GSW @ MEM,L,29.266666666666666,5,15,0,5,0,0,2,4,2,3,1,0,2,0,10,0.269,0.025,61,10,0.0,27,79,197,5,0,2022-03-28,130.21833333333333,4,20,38,4,13,3,5,3,1,266,10,9,18.0,1.0,0.062,0.2195,0,17,16
6,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022101117,2022-03-27T00:00:00,GSW @ WAS,L,34.766666666666666,8,14,0,3,7,10,1,1,0,3,1,0,4,6,23,0.244,0.062,73,16,0.0,27,79,197,8,0,2022-03-27,128.51833333333335,4,20,37,6,17,5,3,4,1,261,6,9,15.0,1.0,0.0805,0.2115,0,17,15
7,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022101102,2022-03-25T00:00:00,GSW @ ATL,L,22.085,4,9,1,4,0,0,0,4,2,0,0,0,2,0,9,0.17,0.063,48,6,0.0,27,79,197,3,0,2022-03-25,106.43333333333334,3,16,32,6,13,3,3,4,1,213,4,9,12.0,1.0,0.08633333333333333,0.2253333333333333,0,17,13
8,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022101088,2022-03-23T00:00:00,GSW @ MIA,W,37.28333333333333,8,16,3,7,3,3,0,3,1,1,1,1,1,2,22,0.214,0.111,74,8,0.091,27,79,197,4,1,2022-03-23,69.15,2,9,23,6,10,2,2,3,0,139,3,7,8.0,0.0,0.07400000000000001,0.23099999999999998,0,17,11
9,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022101080,2022-03-22T00:00:00,GSW @ ORL,L,36.083333333333336,5,19,2,6,1,2,3,5,0,1,1,0,3,1,13,0.25,0.012,71,6,0.0,27,79,197,3,0,2022-03-22,33.06666666666667,1,3,10,3,5,2,1,2,0,68,0,6,5.0,0.0,0.136,0.212,0,17,10
10,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022101070,2022-03-20T00:00:00,GSW vs. SAS,L,33.06666666666667,5,13,0,3,6,9,3,5,2,1,2,0,0,6,16,0.212,0.136,68,10,0.0,27,79,197,5,0,2022-03-20,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,17,8
11,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022101008,2022-03-12T00:00:00,GSW vs. MIL,W,35.88333333333333,8,16,3,8,2,2,4,3,4,1,0,2,2,3,21,0.22,0.12,73,6,0.19,27,79,197,3,2,2022-03-12,97.125,3,16,24,4,16,12,7,6,3,208,12,8,9.0,1.0,0.061,0.21366666666666667,1,17,0
12,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022100994,2022-03-10T00:00:00,GSW @ DEN,W,33.90833333333333,3,11,1,7,0,3,0,4,5,1,3,0,4,4,7,0.169,0.022,71,4,0.0,27,79,197,2,0,2022-03-10,100.25,3,12,34,7,14,12,9,5,4,209,11,8,13.0,1.0,0.07266666666666667,0.24666666666666667,0,16,5
13,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022100980,2022-03-08T00:00:00,GSW vs. LAC,W,31.15,6,14,2,5,0,0,2,9,3,5,0,3,3,2,14,0.257,0.109,66,6,0.143,27,79,197,3,1,2022-03-08,99.40166666666666,3,13,32,6,11,13,7,6,3,211,12,6,11.0,2.0,0.058666666666666666,0.23199999999999998,0,16,3
14,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022100959,2022-03-05T00:00:00,GSW @ LAL,L,32.06666666666667,6,15,2,4,0,2,2,3,4,1,3,0,5,2,14,0.215,0.052,71,8,0.0,27,79,197,4,0,2022-03-05,101.28833333333333,3,15,31,5,9,11,6,5,3,206,13,7,11.0,3.0,0.05566666666666666,0.2383333333333333,1,16,0
15,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022100943,2022-03-03T00:00:00,GSW @ DAL,L,37.03333333333333,7,17,1,3,2,4,3,2,5,3,2,1,3,4,17,0.268,0.057,72,12,0.0,27,79,197,6,0,2022-03-03,89.90833333333333,3,20,22,3,9,7,3,5,3,187,13,6,6.0,4.0,0.043333333333333335,0.223,0,15,31
16,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022100930,2022-03-01T00:00:00,GSW @ MIN,L,30.301666666666666,5,13,2,6,0,0,1,6,4,3,1,2,4,0,12,0.213,0.067,68,2,0.333,27,79,197,1,2,2022-03-01,59.60666666666667,2,14,15,2,3,3,0,4,1,119,9,6,5.0,2.0,0.0315,0.228,0,15,29
17,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022100917,2022-02-27T00:00:00,GSW vs. DAL,L,33.95333333333333,7,16,2,6,2,5,1,1,2,0,2,0,6,3,18,0.234,0.043,66,8,0.111,27,79,197,4,1,2022-02-27,25.653333333333332,1,8,5,1,2,1,0,2,1,53,3,3,1.0,1.0,0.02,0.222,0,15,27
18,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022100894,2022-02-24T00:00:00,GSW @ POR,W,25.653333333333332,4,13,2,8,0,2,1,2,1,0,2,1,3,3,10,0.222,0.02,53,2,0.2,27,79,197,1,1,2022-02-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,24
19,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022100883,2022-02-16T00:00:00,GSW vs. DEN,L,36.28333333333333,4,12,1,5,0,0,1,3,4,2,2,1,0,2,9,0.163,0.06,79,0,0.667,27,79,197,0,3,2022-02-16,124.01333333333334,4,20,29,4,12,10,3,4,4,254,8,12,11.0,3.0,0.0955,0.20400000000000001,0,15,16
20,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022100866,2022-02-14T00:00:00,GSW @ LAC,L,27.733333333333334,5,10,2,4,1,2,1,1,1,1,0,1,1,1,13,0.197,0.066,56,4,0.154,27,79,197,2,1,2022-02-14,131.54666666666668,4,25,29,3,16,9,5,5,4,272,10,11,11.0,3.0,0.0905,0.21025,0,15,14
21,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022100854,2022-02-12T00:00:00,GSW vs. LAL,W,32.89666666666667,7,15,3,7,2,5,0,4,1,0,1,1,3,5,19,0.218,0.082,69,8,0.0,27,79,197,4,0,2022-02-12,98.65,3,18,21,3,12,8,5,4,3,203,7,6,7.0,3.0,0.09333333333333332,0.20766666666666667,0,15,12
22,2021-22,203952,Andrew Wiggins,1610612744,GSW,Golden State Warriors,0022100837,2022-02-10T00:00:00,GSW vs. NYK,L,35.65,6,13,2,4,1,1,3,4,4,0,1,1,2,3,15,0.16,0.119,73,6,0.133,27,79,197,3,1,2022-02-10,90.72,3,18,20,0,9,8,6,3,2,186,7,3,6.0,3.0,0.07333333333333333,0.21999999999999997,0,15,10
