,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100958,2022-03-05T00:00:00,POR @ MIN,L,40.0,11,25,9,17,7,7,0,3,3,3,0,0,0,4,38,0.33,0.137,81,2,0.053,23,75,181,1,1,2022-03-05,57.35,2,13,15,0,2,10,7,1,0,121,7,5,3.0,2.0,0.0215,0.2745,1,9,0
1,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100939,2022-03-02T00:00:00,POR @ PHX,L,28.25,4,10,3,4,0,0,0,0,6,4,1,0,3,1,11,0.206,0.043,60,0,0.182,23,75,181,0,1,2022-03-02,57.6,2,16,16,1,4,7,7,0,0,120,7,11,5.0,2.0,0.068,0.321,0,8,51
2,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100918,2022-02-27T00:00:00,POR vs. DEN,L,29.1,5,18,1,9,5,7,0,2,4,3,0,0,4,4,16,0.343,0.0,61,6,0.125,23,75,181,3,1,2022-02-27,28.5,1,7,7,1,2,3,4,0,0,59,3,7,2.0,1.0,0.136,0.299,0,8,48
3,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100894,2022-02-24T00:00:00,POR vs. GSW,L,28.5,7,14,4,7,6,6,1,2,3,4,0,0,3,7,24,0.299,0.136,59,4,0.083,23,75,181,2,1,2022-02-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,45
4,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100879,2022-02-16T00:00:00,POR @ MEM,W,34.24333333333333,11,18,5,10,4,4,0,3,6,3,1,0,3,1,31,0.275,0.179,68,6,0.194,23,75,181,3,3,2022-02-16,110.29,3,39,31,2,5,19,7,1,0,228,3,4,12.0,4.0,0.14766666666666664,0.3076666666666667,0,8,37
5,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100862,2022-02-14T00:00:00,POR @ MIL,W,35.05,12,24,7,16,0,0,0,2,6,2,1,0,2,1,31,0.299,0.16,75,4,0.194,23,75,181,2,3,2022-02-14,113.15666666666667,3,32,31,3,7,18,7,1,0,230,2,6,13.0,2.0,0.12366666666666666,0.282,0,8,35
6,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100845,2022-02-12T00:00:00,POR vs. NYK,W,37.06666666666667,11,23,6,12,2,3,2,3,8,2,0,0,1,2,30,0.306,0.173,76,10,0.0,23,75,181,5,0,2022-02-12,103.87333333333333,3,33,24,2,4,13,10,2,0,213,1,6,10.0,2.0,0.08566666666666667,0.2926666666666667,0,8,33
7,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100829,2022-02-09T00:00:00,POR vs. LAL,W,38.17333333333333,11,23,5,11,2,2,0,0,5,3,0,0,0,1,29,0.318,0.11,77,10,0.069,23,75,181,5,1,2022-02-09,138.26666666666668,4,38,29,4,9,15,11,5,0,288,6,14,13.0,3.0,0.09075,0.24875,0,8,30
8,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100823,2022-02-08T00:00:00,POR vs. ORL,L,37.916666666666664,7,17,3,9,2,3,1,4,5,2,1,0,1,3,19,0.222,0.088,77,6,0.105,23,75,181,3,1,2022-02-08,100.35,3,29,21,3,5,10,9,4,0,211,5,11,10.0,2.0,0.09166666666666667,0.25766666666666665,0,8,29
9,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100800,2022-02-05T00:00:00,POR vs. MIL,L,27.783333333333335,7,17,5,13,0,0,1,0,3,5,1,0,0,2,19,0.338,0.059,59,4,0.0,23,75,181,2,0,2022-02-05,139.28333333333333,4,38,29,2,13,15,8,4,0,285,7,12,10.0,3.0,0.07150000000000001,0.248,0,8,26
10,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100795,2022-02-04T00:00:00,POR vs. OKC,L,37.0,7,15,1,6,4,5,1,4,4,3,2,0,1,7,19,0.213,0.153,78,8,0.211,23,75,181,4,2,2022-02-04,137.6,4,41,28,1,12,17,8,3,0,284,10,5,10.0,3.0,0.07575000000000001,0.25725,0,8,25
11,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100781,2022-02-02T00:00:00,POR @ LAL,L,35.56666666666667,7,18,3,10,2,3,1,1,3,1,1,0,4,2,19,0.222,0.063,74,8,0.0,23,75,181,4,0,2022-02-02,137.81666666666666,4,38,27,0,13,21,10,2,0,283,7,4,10.0,4.0,0.094,0.257,0,8,23
12,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100765,2022-01-31T00:00:00,POR @ OKC,L,34.15,3,16,2,12,0,0,0,5,2,2,0,0,2,1,8,0.257,-0.018,66,0,0.25,23,75,181,0,1,2022-01-31,138.08333333333334,4,39,28,0,12,26,14,2,0,291,9,5,11.0,3.0,0.10875,0.2655,0,8,21
13,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100753,2022-01-30T00:00:00,POR @ CHI,L,32.56666666666667,7,18,5,10,2,3,0,3,6,2,1,0,0,2,21,0.3,0.088,67,4,0.0,23,75,181,2,0,2022-01-30,142.61666666666665,4,38,29,0,12,25,18,2,0,305,11,5,9.0,4.0,0.09825,0.25575000000000003,0,8,20
14,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100739,2022-01-28T00:00:00,POR @ HOU,W,35.31666666666667,11,17,5,9,0,0,0,3,6,3,1,0,4,0,27,0.25,0.17,77,8,0.148,23,75,181,4,2,2022-01-28,145.66666666666666,4,37,30,0,11,23,15,3,0,303,7,7,8.0,3.0,0.08700000000000001,0.245,0,8,18
15,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100732,2022-01-26T00:00:00,POR vs. DAL,L,35.78333333333333,9,14,4,7,1,1,0,2,7,3,0,0,1,1,23,0.221,0.136,73,8,0.087,23,75,181,4,1,2022-01-26,148.17666666666668,4,44,28,0,12,23,15,4,1,307,9,7,5.0,4.0,0.091,0.253,0,8,16
16,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100721,2022-01-25T00:00:00,POR vs. MIN,L,34.416666666666664,5,18,4,13,3,3,0,4,7,6,0,0,4,2,17,0.291,0.041,74,2,0.0,23,75,181,1,0,2022-01-25,113.76,3,31,23,0,8,16,9,4,1,233,5,5,4.0,4.0,0.10766666666666665,0.24033333333333332,0,8,15
17,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100702,2022-01-23T00:00:00,POR @ TOR,W,37.1,6,18,5,9,2,2,0,3,5,6,1,0,2,2,19,0.261,0.046,81,0,0.105,23,75,181,0,1,2022-01-23,112.14333333333333,3,27,20,0,7,18,5,3,1,228,4,6,8.0,3.0,0.12433333333333334,0.21066666666666664,0,8,13
18,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100688,2022-01-21T00:00:00,POR @ BOS,W,38.36666666666667,8,17,4,8,1,2,0,2,4,0,2,0,0,2,21,0.207,0.125,75,6,0.095,23,75,181,3,1,2022-01-21,114.14666666666668,3,33,18,0,5,25,7,3,1,242,4,6,7.0,4.0,0.158,0.22233333333333336,0,8,11
19,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100672,2022-01-19T00:00:00,POR @ MIA,L,38.29333333333334,9,19,6,14,3,4,0,3,7,3,1,1,3,1,27,0.253,0.152,77,2,0.148,23,75,181,1,2,2022-01-19,75.85333333333332,2,19,13,0,2,18,4,2,0,165,1,5,6.0,2.0,0.161,0.207,0,8,9
20,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100661,2022-01-17T00:00:00,POR @ ORL,W,35.483333333333334,4,11,0,5,5,5,0,2,7,2,0,0,1,3,13,0.172,0.096,76,8,0.0,23,75,181,4,0,2022-01-17,78.82,2,25,20,0,6,22,5,2,0,168,2,4,7.0,5.0,0.1765,0.26949999999999996,0,8,7
21,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100642,2022-01-15T00:00:00,POR @ WAS,W,40.37,11,21,7,14,2,3,0,0,11,2,2,0,0,2,31,0.242,0.226,89,4,0.129,23,75,181,2,2,2022-01-15,73.22333333333333,2,22,19,1,8,17,7,0,0,151,5,5,7.0,4.0,0.16649999999999998,0.298,0,8,5
22,2021-22,1629014,Anfernee Simons,1610612757,POR,Portland Trail Blazers,0022100486,2022-01-10T00:00:00,POR vs. BKN,W,38.45,10,24,2,11,1,2,0,6,11,3,0,0,2,2,23,0.297,0.127,79,10,0.261,23,75,181,5,3,2022-01-10,146.72333333333336,4,45,25,1,9,27,11,3,1,293,11,12,11.0,4.0,0.15625,0.264,1,8,0
