,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022101189,2022-04-05T00:00:00,LAL @ PHX,L,35.516666666666666,10,18,0,2,1,2,1,12,1,2,1,1,0,2,21,0.25,0.156,80,16,0.19,29,82,253,8,2,2022-04-05,71.275,2,2,40,1,20,14,4,3,3,157,4,10,16.0,2.0,0.15899999999999997,0.3005,1,85,0
1,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022101168,2022-04-03T00:00:00,LAL vs. DEN,L,34.575,11,25,0,0,6,6,1,8,8,2,2,3,0,6,28,0.337,0.173,76,22,0.0,29,82,253,11,0,2022-04-03,36.7,1,2,15,0,12,6,2,1,0,81,4,4,5.0,2.0,0.145,0.264,0,84,46
2,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022101160,2022-04-01T00:00:00,LAL vs. NOP,L,36.7,8,17,1,2,6,9,0,12,6,2,1,0,4,4,23,0.264,0.145,81,10,0.174,29,82,253,5,2,2022-04-01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,84,44
3,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100884,2022-02-16T00:00:00,LAL vs. UTA,W,16.633333333333333,7,9,1,1,2,2,1,1,2,0,1,2,1,3,17,0.278,0.281,32,8,0.235,29,82,253,4,2,2022-02-16,76.13333333333333,2,2,22,2,12,10,2,1,8,155,5,16,10.0,3.0,0.11499999999999999,0.1915,1,84,0
4,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100854,2022-02-12T00:00:00,LAL @ GSW,L,35.38333333333333,5,13,0,1,6,10,2,5,4,0,0,3,3,10,16,0.207,0.088,74,10,0.0,29,82,253,5,0,2022-02-12,119.05000000000001,3,1,39,11,22,13,5,5,12,253,7,17,26.0,3.0,0.16566666666666666,0.17966666666666664,0,83,16
5,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100829,2022-02-09T00:00:00,LAL @ POR,L,40.75,8,11,0,1,1,4,0,7,6,2,1,5,2,6,17,0.176,0.142,81,10,0.353,29,82,253,5,3,2022-02-09,152.75,4,2,69,21,37,11,7,6,12,323,12,25,37.0,6.0,0.1955,0.2515,0,83,13
6,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100822,2022-02-08T00:00:00,LAL vs. MIL,L,37.028333333333336,8,10,0,0,6,10,4,5,4,1,1,3,2,6,22,0.151,0.158,82,16,0.0,29,82,253,8,0,2022-02-08,115.72166666666666,3,2,59,17,32,7,6,5,9,241,10,19,29.0,6.0,0.208,0.285,0,83,12
7,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100799,2022-02-05T00:00:00,LAL vs. NYK,W,41.27166666666667,13,19,0,0,2,5,7,10,3,2,3,4,3,5,28,0.212,0.197,90,26,0.0,29,82,253,13,0,2022-02-05,112.80000000000001,3,5,57,12,25,8,7,4,6,234,11,22,23.0,8.0,0.17433333333333334,0.31433333333333335,0,83,9
8,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100786,2022-02-03T00:00:00,LAL @ LAC,L,37.81666666666667,12,24,0,2,6,7,7,10,2,1,2,2,2,4,30,0.314,0.191,76,22,0.067,29,82,253,11,1,2022-02-03,108.63333333333333,3,4,55,8,24,7,9,4,8,228,13,20,22.0,11.0,0.20066666666666666,0.315,0,83,7
9,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100781,2022-02-02T00:00:00,LAL vs. POR,W,36.63333333333333,10,18,0,0,10,14,3,12,2,3,0,3,5,10,30,0.329,0.236,75,10,0.333,29,82,253,5,5,2022-02-02,72.0,2,4,37,5,12,5,6,4,5,153,8,10,17.0,6.0,0.183,0.308,0,83,6
10,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100751,2022-01-30T00:00:00,LAL @ ATL,L,38.35,10,20,1,3,6,9,2,3,4,3,2,1,4,8,27,0.3,0.096,83,14,0.148,29,82,253,7,2,2022-01-30,58.425,2,2,27,4,10,3,4,3,8,119,8,4,12.0,5.0,0.164,0.2505,0,83,3
11,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100733,2022-01-27T00:00:00,LAL @ PHI,L,33.65,14,21,0,1,3,3,3,9,1,3,2,4,4,2,31,0.316,0.27,70,20,0.258,29,82,253,10,4,2022-01-27,24.775,1,1,7,1,1,2,1,1,4,49,4,2,2.0,1.0,0.058,0.185,1,83,0
12,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100718,2022-01-25T00:00:00,LAL @ BKN,W,24.775,3,8,0,1,2,2,1,1,2,1,1,4,4,2,8,0.185,0.058,49,4,0.25,29,82,253,2,1,2022-01-25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,82,39
13,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100436,2021-12-17T00:00:00,LAL @ MIN,L,20.095,4,7,0,1,1,1,0,1,0,3,0,1,2,1,9,0.204,0.041,48,8,0.0,29,82,253,4,0,2021-12-17,39.39666666666667,1,3,15,0,12,2,6,0,0,77,4,8,5.0,3.0,0.1,0.317,1,82,0
14,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100420,2021-12-15T00:00:00,LAL @ DAL,W,39.39666666666667,8,18,0,3,4,5,0,12,2,6,0,0,4,8,20,0.317,0.1,77,10,0.3,29,82,253,5,3,2021-12-15,38.13333333333333,1,4,14,1,7,1,2,1,1,81,1,3,7.0,1.0,0.116,0.253,0,81,6
15,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100380,2021-12-09T00:00:00,LAL @ MEM,L,38.13333333333333,9,18,1,4,3,4,1,7,1,2,1,1,1,3,22,0.253,0.116,81,14,0.091,29,82,253,7,1,2021-12-09,71.78333333333333,2,2,26,9,17,7,5,2,3,144,5,11,14.0,3.0,0.16,0.229,1,81,0
16,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100365,2021-12-07T00:00:00,LAL vs. BOS,W,35.483333333333334,7,13,0,0,3,4,4,12,3,3,2,2,3,6,17,0.202,0.17,73,12,0.118,29,82,253,6,1,2021-12-07,71.21666666666667,2,4,33,7,10,7,3,2,3,143,4,8,18.0,4.0,0.1585,0.2635,0,80,14
17,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100341,2021-12-03T00:00:00,LAL vs. LAC,L,36.3,10,15,0,2,7,11,5,5,4,2,0,1,2,5,27,0.256,0.15,71,16,0.148,29,82,253,8,2,2021-12-03,121.19999999999999,3,9,50,3,22,9,4,7,9,250,8,15,26.0,3.0,0.15133333333333332,0.24033333333333332,0,80,10
18,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100318,2021-11-30T00:00:00,LAL @ SAC,W,34.916666666666664,12,22,0,2,1,2,2,5,3,1,2,2,2,3,25,0.271,0.167,72,20,0.16,29,82,253,10,2,2021-11-30,120.25,3,9,45,4,20,9,3,5,7,251,7,19,20.0,3.0,0.12666666666666668,0.2353333333333333,0,80,7
19,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100304,2021-11-28T00:00:00,LAL vs. DET,W,37.68333333333333,10,15,2,2,2,3,0,10,2,1,2,3,1,4,24,0.205,0.197,79,16,0.0,29,82,253,8,0,2021-11-28,122.19999999999999,3,8,50,5,19,13,4,7,9,258,10,22,21.0,5.0,0.137,0.25466666666666665,0,80,5
20,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100291,2021-11-26T00:00:00,LAL vs. SAC,L,48.6,9,22,0,5,5,8,1,7,4,2,3,4,5,8,23,0.245,0.09,99,16,0.087,29,82,253,8,1,2021-11-26,110.19999999999999,3,6,51,5,17,11,3,4,8,235,7,21,21.0,8.0,0.16566666666666666,0.28,0,80,3
21,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100264,2021-11-23T00:00:00,LAL @ NYK,L,33.96666666666667,7,17,1,2,5,11,3,3,3,0,0,0,1,7,20,0.256,0.093,73,8,0.2,29,82,253,4,2,2021-11-23,113.23333333333333,3,5,50,4,21,12,4,4,10,241,10,16,22.0,10.0,0.17633333333333334,0.25733333333333336,1,80,0
22,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100249,2021-11-21T00:00:00,LAL @ DET,W,39.63333333333333,11,19,0,1,8,10,1,9,6,2,4,5,4,7,30,0.263,0.228,86,18,0.133,29,82,253,9,2,2021-11-21,141.25,4,7,62,9,27,13,7,2,6,297,7,20,25.0,14.0,0.16874999999999998,0.26575,0,79,173
23,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100232,2021-11-19T00:00:00,LAL @ BOS,L,36.6,12,21,0,3,7,9,1,5,2,1,0,3,2,7,31,0.321,0.176,76,16,0.258,29,82,253,8,4,2021-11-19,135.60333333333335,4,5,56,10,28,13,8,5,6,283,9,21,22.0,12.0,0.1745,0.2525,0,79,171
24,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100219,2021-11-17T00:00:00,LAL @ MIL,L,37.0,9,15,0,1,0,0,2,7,4,1,0,2,4,2,18,0.188,0.125,79,10,0.444,29,82,253,5,4,2021-11-17,143.13666666666666,4,6,63,13,29,13,11,6,5,298,8,26,23.0,11.0,0.17049999999999998,0.2715,0,79,169
25,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100209,2021-11-15T00:00:00,LAL vs. CHI,L,27.983333333333334,6,9,0,0,8,9,1,5,1,4,1,0,1,4,20,0.254,0.151,62,4,0.4,29,82,253,2,4,2021-11-15,158.73666666666668,4,9,76,14,34,16,11,8,10,331,11,27,32.0,9.0,0.17275000000000001,0.28725,0,79,167
26,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100192,2021-11-14T00:00:00,LAL vs. SAS,W,39.666666666666664,14,24,2,3,4,5,5,10,6,1,1,1,0,7,34,0.3,0.223,80,20,0.118,29,82,253,10,2,2021-11-14,119.07,3,6,55,9,24,10,10,7,9,251,11,20,22.0,7.0,0.156,0.283,0,79,166
27,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100184,2021-11-12T00:00:00,LAL vs. MIN,L,30.953333333333333,7,13,0,1,8,10,2,6,2,2,3,3,4,8,22,0.268,0.199,62,10,0.182,29,82,253,5,2,2021-11-12,95.26666666666668,3,5,48,10,18,8,8,4,6,204,8,13,18.0,5.0,0.07566666666666667,0.2813333333333333,0,79,164
28,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100170,2021-11-10T00:00:00,LAL vs. MIA,W,44.53333333333333,10,23,1,2,3,4,5,8,4,4,1,1,3,7,24,0.264,0.109,94,12,0.25,29,82,253,6,3,2021-11-10,88.85,3,4,46,11,22,9,7,4,7,191,9,12,21.0,4.0,0.11233333333333333,0.28700000000000003,0,79,162
29,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100154,2021-11-08T00:00:00,LAL vs. CHA,W,43.583333333333336,13,25,0,3,6,8,2,10,4,4,3,5,4,5,32,0.317,0.16,95,22,0.125,29,82,253,11,2,2021-11-08,77.3,3,4,39,10,20,8,7,4,5,167,7,12,20.0,3.0,0.12833333333333333,0.2843333333333333,0,79,160
30,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100138,2021-11-06T00:00:00,LAL @ POR,L,7.15,1,5,0,0,0,0,3,0,0,0,0,0,1,1,2,0.263,-0.042,15,2,0.0,29,82,253,1,0,2021-11-06,102.73333333333335,3,5,50,13,27,10,10,5,6,222,9,13,26.0,3.0,0.20066666666666666,0.28300000000000003,0,79,158
31,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100123,2021-11-04T00:00:00,LAL vs. OKC,L,38.11666666666667,11,20,0,1,7,9,6,12,5,3,1,2,4,6,29,0.281,0.219,81,18,0.138,29,82,253,9,2,2021-11-04,95.655,3,6,43,9,22,8,9,5,7,201,8,7,23.0,1.0,0.17033333333333334,0.26333333333333336,0,79,156
32,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100107,2021-11-02T00:00:00,LAL vs. HOU,W,32.03333333333333,11,18,0,3,5,8,1,8,3,4,3,3,2,5,27,0.309,0.208,71,20,0.074,29,82,253,10,1,2021-11-02,142.57,4,8,76,19,28,11,9,3,8,304,9,17,34.0,6.0,0.16199999999999998,0.2795,0,79,154
33,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100093,2021-10-31T00:00:00,LAL vs. HOU,W,32.583333333333336,7,17,0,1,2,2,6,7,2,3,1,1,3,2,16,0.259,0.175,70,14,0.0,29,82,253,7,0,2021-10-31,143.68666666666667,4,10,72,16,26,11,9,2,11,311,7,19,34.0,6.0,0.15000000000000002,0.275,0,79,152
34,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100077,2021-10-29T00:00:00,LAL vs. CLE,W,31.038333333333334,7,14,1,2,0,0,2,7,3,2,1,3,3,0,15,0.222,0.128,60,12,0.0,29,82,253,6,0,2021-10-29,150.79833333333335,4,9,77,19,28,11,9,2,10,334,7,26,32.0,8.0,0.15125,0.28400000000000003,0,79,150
35,2021-22,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,0022100061,2021-10-27T00:00:00,LAL @ OKC,L,36.56666666666667,12,22,0,1,6,7,4,4,2,2,1,0,1,8,30,0.307,0.164,79,18,0.2,29,82,253,9,3,2021-10-27,114.23166666666668,3,8,56,15,24,9,7,1,10,255,6,18,23.0,5.0,0.147,0.2763333333333333,0,79,148
