,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,0022101207,2022-04-08T00:00:00,MIA vs. ATL,W,32.85,8,14,0,0,8,10,2,4,4,1,2,0,2,7,24,0.286,0.176,66,16,0.0,24,81,255,8,0,2022-04-08,92.63333333333333,3,0,31,4,21,7,7,1,1,183,8,17,15.0,5.0,0.11966666666666666,0.23700000000000002,1,13,0
1,2021-22,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,0022101181,2022-04-05T00:00:00,MIA vs. CHA,W,30.616666666666667,7,10,0,0,8,9,2,7,3,1,1,1,2,7,22,0.214,0.162,63,10,0.182,24,81,255,5,2,2022-04-05,95.43333333333334,3,0,31,5,23,12,7,2,0,192,9,16,15.0,3.0,0.13,0.22966666666666669,0,12,127
2,2021-22,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,0022101172,2022-04-03T00:00:00,MIA @ TOR,W,36.18333333333333,6,12,0,0,4,9,2,7,1,2,0,0,3,7,16,0.222,0.059,73,12,0.0,24,81,255,6,0,2022-04-03,90.95,3,0,35,7,27,12,7,4,1,182,9,12,18.0,4.0,0.17366666666666666,0.24500000000000002,0,12,125
3,2021-22,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,0022101164,2022-04-02T00:00:00,MIA @ CHI,W,25.833333333333332,7,9,0,0,2,2,0,7,3,4,0,0,3,3,16,0.275,0.138,47,8,0.375,24,81,255,4,3,2022-04-02,89.23333333333332,3,1,33,9,24,11,7,5,3,187,9,13,18.0,2.0,0.164,0.238,0,12,124
4,2021-22,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,0022101139,2022-03-30T00:00:00,MIA @ BOS,W,33.416666666666664,5,10,0,0,7,9,3,9,8,1,2,0,3,6,17,0.192,0.193,72,10,0.0,24,81,255,5,0,2022-03-30,121.61666666666667,4,1,46,14,25,8,11,5,4,238,11,20,25.0,5.0,0.156,0.25875000000000004,0,12,121
5,2021-22,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,0022101125,2022-03-28T00:00:00,MIA vs. SAC,W,31.7,10,16,0,0,2,2,4,11,1,2,2,1,3,3,22,0.268,0.19,63,18,0.091,24,81,255,9,1,2022-03-28,126.30666666666666,4,1,44,12,21,9,13,4,6,247,10,22,25.0,4.0,0.14575,0.2585,0,12,119
6,2021-22,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,0022101111,2022-03-26T00:00:00,MIA vs. BKN,L,24.116666666666667,5,8,0,1,4,6,2,4,2,4,1,2,3,4,14,0.254,0.109,52,8,0.143,24,81,255,4,1,2022-03-26,102.19,3,0,37,10,17,7,9,3,4,195,7,18,21.0,3.0,0.158,0.26,0,12,117
7,2021-22,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,0022101103,2022-03-25T00:00:00,MIA vs. NYK,L,31.916666666666668,6,7,0,0,5,7,3,6,1,1,1,1,4,6,17,0.175,0.178,58,8,0.235,24,81,255,4,2,2022-03-25,94.82333333333334,3,0,40,9,18,9,8,3,3,185,5,16,25.0,1.0,0.18533333333333335,0.27099999999999996,0,12,116
8,2021-22,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,0022101088,2022-03-23T00:00:00,MIA vs. GSW,L,33.88333333333333,9,16,0,0,7,10,5,4,4,4,1,0,1,7,25,0.338,0.147,65,16,0.08,24,81,255,8,1,2022-03-23,60.94,2,0,24,4,14,5,4,2,3,120,4,9,17.0,0.0,0.20450000000000002,0.2375,0,12,114
9,2021-22,1628389,Bam Adebayo,1610612748,MIA,Miami Heat,0022101074,2022-03-21T00:00:00,MIA @ PHI,L,36.39,9,14,0,0,4,4,2,7,2,4,1,3,2,5,22,0.267,0.149,72,18,0.0,24,81,255,9,0,2022-03-21,48.84833333333333,2,0,18,2,15,6,2,1,0,98,6,11,12.0,0.0,0.21450000000000002,0.248,0,12,112
