,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,0022101203,2022-04-08T00:00:00,MIL @ DET,W,21.593333333333334,4,13,0,3,0,0,4,11,0,0,0,0,1,1,8,0.241,0.136,47,6,0.25,27,82,250,3,1,2022-04-08,102.54499999999999,4,18,37,9,23,6,2,3,0,217,9,2,17.0,8.0,0.1575,0.22999999999999998,1,12,0
1,2021-22,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,0022101198,2022-04-07T00:00:00,MIL vs. BOS,W,26.911666666666665,7,11,3,4,0,0,2,5,1,0,1,0,3,0,17,0.159,0.152,57,4,0.235,27,82,250,2,2,2022-04-07,106.13333333333334,4,18,35,8,26,6,4,3,0,227,6,2,18.0,6.0,0.14525,0.22600000000000003,0,11,113
2,2021-22,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,0022101183,2022-04-05T00:00:00,MIL @ CHI,W,26.436666666666667,6,11,1,4,0,0,2,7,2,1,0,0,2,1,13,0.194,0.107,56,8,0.154,27,82,250,4,1,2022-04-05,93.34166666666667,4,16,28,7,23,5,3,4,0,200,7,1,14.0,5.0,0.143,0.19275000000000003,0,11,111
3,2021-22,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,0022101167,2022-04-03T00:00:00,MIL vs. DAL,L,23.163333333333334,7,13,3,6,0,0,2,6,0,0,1,0,1,0,17,0.228,0.218,48,6,0.118,27,82,250,3,1,2022-04-03,70.17833333333333,3,10,21,5,17,5,3,3,0,152,6,1,11.0,4.0,0.118,0.18099999999999997,0,11,109
4,2021-22,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,0022101156,2022-04-01T00:00:00,MIL vs. LAC,L,26.033333333333335,12,20,0,4,1,1,3,5,3,1,1,0,3,1,25,0.339,0.153,56,16,0.32,27,82,250,8,4,2022-04-01,64.66166666666666,3,10,14,10,15,2,2,2,1,140,5,2,3.0,1.0,0.06933333333333334,0.15133333333333332,0,11,107
5,2021-22,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,0022101148,2022-03-31T00:00:00,MIL @ BKN,W,30.5,4,9,1,4,0,0,1,8,1,2,1,0,0,0,9,0.143,0.103,67,6,0.0,27,82,250,3,0,2022-03-31,63.37833333333333,3,7,19,10,18,2,3,1,1,131,8,3,3.0,2.0,0.067,0.17766666666666667,0,11,106
6,2021-22,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,0022101131,2022-03-29T00:00:00,MIL @ PHI,W,13.645,1,2,1,2,0,0,1,4,1,0,1,0,3,0,3,0.061,0.098,29,0,0.0,27,82,250,0,0,2022-03-29,71.93333333333334,3,6,24,9,23,2,4,1,1,149,7,3,6.0,2.0,0.06666666666666667,0.206,0,11,104
7,2021-22,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,0022101112,2022-03-26T00:00:00,MIL @ MEM,L,20.516666666666666,2,13,1,4,2,3,8,3,0,0,0,1,2,2,7,0.25,0.007,44,0,0.286,27,82,250,0,1,2022-03-26,76.99,3,6,21,4,27,2,5,1,1,160,6,2,8.0,1.0,0.07166666666666667,0.18099999999999997,0,11,101
8,2021-22,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,0022101097,2022-03-24T00:00:00,MIL vs. WAS,W,29.216666666666665,5,11,1,1,0,0,1,11,1,3,0,0,3,1,11,0.222,0.096,58,6,0.182,27,82,250,3,1,2022-03-24,47.77333333333333,2,5,11,3,16,1,2,1,1,102,3,1,5.0,0.0,0.0595,0.16049999999999998,0,11,99
9,2021-22,1626171,Bobby Portis,1610612749,MIL,Milwaukee Bucks,0022101082,2022-03-22T00:00:00,MIL vs. CHI,W,22.2,3,6,0,1,0,0,0,9,1,1,1,0,2,0,6,0.146,0.097,47,6,0.0,27,82,250,3,0,2022-03-22,55.24166666666667,2,6,11,4,12,3,1,1,2,123,3,2,5.0,2.0,0.0685,0.1415,0,11,97
