,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101221,2022-04-10T00:00:00,ATL @ HOU,W,27.993333333333332,5,14,4,9,0,3,0,6,7,0,2,0,1,3,14,0.234,0.13,58,2,0.0,29,78,225,1,0,2022-04-10,96.61666666666667,3,29,19,2,16,9,1,2,1,197,7,5,3.0,4.0,0.13433333333333333,0.23066666666666666,0,17,18
1,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101207,2022-04-08T00:00:00,ATL @ MIA,L,36.11666666666667,8,18,3,8,6,6,1,6,2,0,2,0,1,5,25,0.236,0.17,75,6,0.16,29,78,225,3,2,2022-04-08,84.13333333333333,3,27,12,1,11,9,2,2,1,175,8,1,1.0,4.0,0.09266666666666666,0.2153333333333333,0,17,16
2,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101192,2022-04-06T00:00:00,ATL vs. WAS,W,28.4,6,13,6,9,0,0,0,2,4,0,0,0,1,0,18,0.206,0.118,57,0,0.0,29,78,225,0,0,2022-04-06,99.4,4,33,19,2,12,8,5,5,1,212,9,4,3.0,7.0,0.09075,0.2465,0,17,14
3,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101182,2022-04-05T00:00:00,ATL @ TOR,L,32.1,7,17,5,12,0,0,1,8,3,1,0,1,5,0,19,0.25,0.115,65,0,0.211,29,78,225,0,2,2022-04-05,67.3,3,21,14,1,4,5,4,5,0,147,4,4,3.0,5.0,0.08266666666666667,0.24533333333333332,0,17,13
4,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101163,2022-04-02T00:00:00,ATL vs. BKN,W,23.633333333333333,3,9,0,6,2,2,0,1,2,1,2,0,2,1,8,0.19,0.045,53,2,0.5,29,78,225,1,2,2022-04-02,72.445,3,22,18,4,5,3,4,3,0,152,5,7,3.0,5.0,0.123,0.275,0,17,10
5,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100452,2022-03-31T00:00:00,ATL vs. CLE,W,22.016666666666666,4,12,3,7,0,0,0,2,0,1,1,0,2,2,11,0.25,0.029,46,0,0.182,29,78,225,0,1,2022-03-31,50.42833333333333,2,15,13,4,3,3,3,2,0,106,3,5,3.0,4.0,0.16999999999999998,0.2875,0,17,8
6,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101143,2022-03-30T00:00:00,ATL @ OKC,W,21.65,8,14,4,8,0,0,1,1,3,2,2,0,0,1,20,0.296,0.174,48,4,0.2,29,78,225,2,2,2022-03-30,56.528333333333336,2,15,15,3,4,2,3,2,0,118,5,4,3.0,2.0,0.1,0.276,0,17,7
7,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101124,2022-03-28T00:00:00,ATL @ IND,W,28.778333333333332,8,14,5,7,8,10,3,2,0,1,0,0,3,4,29,0.279,0.166,58,2,0.138,29,78,225,1,2,2022-03-28,62.083333333333336,2,18,18,1,5,5,3,5,0,130,6,4,9.0,0.0,0.113,0.2905,0,17,5
8,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101085,2022-03-23T00:00:00,ATL @ DET,L,27.75,5,16,3,8,0,0,0,2,2,2,2,0,2,0,13,0.273,0.034,60,4,0.0,29,78,225,2,0,2022-03-23,128.86,4,33,36,1,13,11,5,6,0,265,14,10,16.0,4.0,0.1275,0.271,1,17,0
9,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101081,2022-03-22T00:00:00,ATL @ NYK,W,34.333333333333336,11,20,4,10,6,6,1,3,3,1,3,0,4,4,32,0.308,0.192,70,14,0.0,29,78,225,7,0,2022-03-22,94.52666666666667,3,23,26,0,10,8,4,3,0,195,10,6,9.0,4.0,0.106,0.25866666666666666,0,16,67
10,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101064,2022-03-20T00:00:00,ATL vs. NOP,L,32.74333333333333,8,18,2,9,3,3,0,4,3,3,0,0,4,1,21,0.272,0.084,73,6,0.286,29,78,225,3,3,2022-03-20,116.61833333333333,4,31,25,2,11,17,3,6,1,241,8,10,8.0,2.0,0.10025,0.23475,0,16,65
11,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101047,2022-03-18T00:00:00,ATL vs. MEM,W,29.85,9,15,5,6,7,8,0,2,3,1,3,0,3,4,30,0.275,0.206,61,6,0.067,29,78,225,3,1,2022-03-18,114.685,4,32,21,3,11,20,3,4,1,235,5,6,8.0,2.0,0.07625,0.21525,0,16,63
12,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101033,2022-03-16T00:00:00,ATL @ CHA,L,31.933333333333334,5,16,2,8,0,0,0,4,2,0,0,0,3,1,12,0.229,0.028,61,6,0.0,29,78,225,3,0,2022-03-16,113.38499999999999,4,32,18,4,12,22,5,6,1,238,4,6,7.0,3.0,0.08175,0.21225,0,16,61
13,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101021,2022-03-14T00:00:00,ATL vs. POR,W,23.598333333333333,2,13,1,8,4,4,2,1,6,0,2,0,1,2,9,0.224,0.068,54,2,0.0,29,78,225,1,0,2022-03-14,129.02666666666667,4,35,21,3,15,22,6,4,3,259,9,7,11.0,4.0,0.09075,0.21875,0,16,59
14,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022101016,2022-03-13T00:00:00,ATL vs. IND,W,31.236666666666668,4,12,2,9,3,3,0,4,6,2,1,1,1,3,13,0.211,0.099,65,2,0.154,29,78,225,1,1,2022-03-13,97.78999999999999,3,26,18,3,11,16,4,3,2,194,8,4,10.0,3.0,0.08800000000000001,0.22133333333333335,0,16,58
15,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100996,2022-03-11T00:00:00,ATL vs. LAC,W,27.916666666666668,5,12,1,7,0,0,1,2,6,1,1,0,0,0,11,0.197,0.11,55,6,0.182,29,78,225,3,1,2022-03-11,104.705,3,27,22,3,14,12,4,4,2,206,9,4,8.0,5.0,0.08433333333333333,0.23366666666666666,0,16,56
16,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100984,2022-03-09T00:00:00,ATL @ MIL,L,30.633333333333333,4,13,1,8,0,0,1,5,4,2,2,0,2,1,9,0.217,0.05,64,4,0.222,29,78,225,2,1,2022-03-09,104.82166666666666,3,29,20,3,12,10,2,2,4,205,10,7,6.0,5.0,0.104,0.241,0,16,54
17,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100968,2022-03-07T00:00:00,ATL @ DET,L,39.24,8,19,2,11,4,4,1,4,6,1,0,2,6,3,22,0.25,0.104,75,10,0.091,29,78,225,5,1,2022-03-07,102.565,3,27,19,2,12,7,3,3,2,203,5,7,6.0,6.0,0.12366666666666666,0.237,0,16,52
18,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100948,2022-03-04T00:00:00,ATL @ WAS,W,34.83166666666666,7,17,3,8,0,0,1,5,2,1,2,0,1,0,17,0.234,0.099,67,2,0.353,29,78,225,1,3,2022-03-04,96.81666666666666,3,25,15,1,13,7,5,3,2,196,5,10,6.0,5.0,0.13433333333333333,0.2383333333333333,0,16,49
19,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100710,2022-03-03T00:00:00,ATL vs. CHI,W,30.75,5,13,4,10,6,6,1,3,2,0,0,2,3,4,20,0.239,0.109,63,0,0.1,29,78,225,0,1,2022-03-03,103.71666666666667,3,27,24,2,13,8,7,4,1,212,4,7,12.0,4.0,0.13566666666666669,0.25133333333333335,0,16,48
20,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100927,2022-03-01T00:00:00,ATL @ BOS,L,36.983333333333334,10,16,3,9,2,2,0,4,3,2,1,0,1,3,25,0.238,0.163,73,10,0.16,29,78,225,5,2,2022-03-01,66.73333333333333,2,18,17,2,9,5,5,3,1,139,3,4,7.0,2.0,0.122,0.258,0,16,46
21,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100906,2022-02-26T00:00:00,ATL vs. TOR,W,29.083333333333332,5,11,2,6,2,2,0,6,2,3,2,0,1,3,14,0.238,0.131,60,2,0.286,29,78,225,1,2,2022-02-26,37.65,1,12,12,2,3,3,2,1,1,79,2,1,6.0,0.0,0.113,0.278,0,16,43
22,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100891,2022-02-24T00:00:00,ATL @ CHI,L,37.65,11,24,5,12,0,2,2,3,3,2,1,1,2,1,27,0.278,0.113,79,12,0.0,29,78,225,6,0,2022-02-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,16,41
23,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100874,2022-02-16T00:00:00,ATL @ ORL,W,25.833333333333332,9,13,4,6,1,2,0,1,6,1,2,0,1,1,23,0.254,0.228,53,10,0.0,29,78,225,5,0,2022-02-16,96.58166666666666,3,24,18,2,16,9,4,7,0,202,10,8,9.0,2.0,0.14133333333333334,0.20000000000000004,0,16,33
24,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100867,2022-02-15T00:00:00,ATL vs. CLE,W,29.35,4,8,2,6,0,0,0,7,3,2,4,0,2,2,10,0.149,0.124,59,4,0.0,29,78,225,2,0,2022-02-15,88.08166666666668,3,24,21,2,11,8,2,3,0,188,10,6,9.0,2.0,0.13,0.22366666666666668,0,16,32
25,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100856,2022-02-13T00:00:00,ATL @ BOS,L,37.71666666666667,9,20,3,10,5,5,1,5,2,1,1,0,4,4,26,0.253,0.136,76,8,0.154,29,78,225,4,2,2022-02-13,73.84833333333333,3,17,18,3,10,9,2,3,0,157,8,2,6.0,0.0,0.09566666666666668,0.20866666666666667,0,16,30
26,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100841,2022-02-11T00:00:00,ATL vs. SAS,L,29.515,8,14,5,8,2,2,1,4,4,1,2,0,4,2,23,0.198,0.164,67,6,0.0,29,78,225,3,0,2022-02-11,78.78333333333333,3,18,16,2,10,10,4,5,1,161,5,4,5.0,0.0,0.08166666666666667,0.21366666666666667,0,16,28
27,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100816,2022-02-08T00:00:00,ATL vs. IND,W,20.85,5,11,3,6,0,0,0,2,2,0,0,0,2,0,13,0.22,0.09,45,4,0.0,29,78,225,2,0,2022-02-08,93.61666666666667,3,19,12,2,10,14,8,6,1,194,7,4,4.0,0.0,0.06833333333333334,0.18799999999999997,0,16,25
28,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100807,2022-02-06T00:00:00,ATL @ DAL,L,23.483333333333334,2,10,1,3,0,0,2,4,3,1,1,0,2,0,5,0.208,0.033,45,2,0.0,29,78,225,1,0,2022-02-06,128.26666666666665,4,35,11,0,16,18,8,6,1,269,8,5,6.0,1.0,0.096,0.19524999999999998,0,16,23
29,2021-22,203992,Bogdan Bogdanovic,1610612737,ATL,Atlanta Hawks,0022100790,2022-02-04T00:00:00,ATL @ TOR,L,34.45,6,13,4,9,2,2,0,4,5,3,4,1,1,4,18,0.213,0.122,71,4,0.0,29,78,225,2,0,2022-02-04,121.5,4,33,14,0,15,16,6,4,0,251,11,4,6.0,3.0,0.1095,0.20875000000000002,0,16,21
