,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,202711,Bojan Bogdanovic,1610612762,UTA,Utah Jazz,0022101210,2022-04-08T00:00:00,UTA vs. PHX,L,32.05,7,18,3,11,4,4,0,7,1,1,2,0,3,2,21,0.273,0.111,68,6,0.095,33,79,226,3,1,2022-04-08,97.42333333333333,3,17,22,2,10,4,7,5,0,202,8,11,10.0,0.0,0.09100000000000001,0.23966666666666667,1,13,0
1,2021-22,202711,Bojan Bogdanovic,1610612762,UTA,Utah Jazz,0022101194,2022-04-06T00:00:00,UTA vs. OKC,W,25.75,7,11,2,4,11,12,2,3,0,3,0,0,1,6,27,0.317,0.178,51,10,0.0,33,79,226,5,0,2022-04-06,94.12333333333333,3,19,20,0,10,9,4,5,0,194,10,7,8.0,0.0,0.057666666666666665,0.21733333333333335,0,12,25
2,2021-22,202711,Bojan Bogdanovic,1610612762,UTA,Utah Jazz,0022101187,2022-04-05T00:00:00,UTA vs. MEM,W,40.25666666666667,4,13,3,6,2,4,0,4,2,2,3,0,4,2,13,0.155,0.032,87,2,0.0,33,79,226,1,0,2022-04-05,53.86666666666667,2,13,13,0,6,7,2,2,0,107,6,5,7.0,0.0,0.07050000000000001,0.2485,0,12,24
3,2021-22,202711,Bojan Bogdanovic,1610612762,UTA,Utah Jazz,0022101165,2022-04-02T00:00:00,UTA @ GSW,L,31.416666666666668,6,15,2,7,3,5,0,3,2,2,2,0,3,3,17,0.247,0.063,64,8,0.0,33,79,226,4,0,2022-04-02,22.45,1,6,5,0,3,5,0,0,0,43,3,2,3.0,0.0,0.078,0.25,0,12,21
4,2021-22,202711,Bojan Bogdanovic,1610612762,UTA,Utah Jazz,0022101150,2022-03-31T00:00:00,UTA vs. LAL,W,22.45,4,11,1,6,2,4,0,3,5,0,0,0,3,2,11,0.25,0.078,43,6,0.0,33,79,226,3,0,2022-03-31,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,19
5,2021-22,202711,Bojan Bogdanovic,1610612762,UTA,Utah Jazz,0022101010,2022-03-12T00:00:00,UTA vs. SAC,W,34.65,7,16,4,10,8,8,1,3,2,1,0,0,1,6,26,0.256,0.116,70,6,0.0,33,79,226,3,0,2022-03-12,88.08333333333333,3,35,9,3,8,9,4,0,0,176,3,6,6.0,0.0,0.21166666666666667,0.27666666666666667,1,12,0
6,2021-22,202711,Bojan Bogdanovic,1610612762,UTA,Utah Jazz,0022100990,2022-03-09T00:00:00,UTA vs. POR,W,24.0,9,14,6,9,3,4,1,3,2,1,0,0,0,2,27,0.34,0.287,47,6,0.0,33,79,226,3,0,2022-03-09,124.16166666666666,4,41,13,5,12,7,10,0,0,254,7,7,6.0,0.0,0.07725,0.23299999999999998,1,11,0
7,2021-22,202711,Bojan Bogdanovic,1610612762,UTA,Utah Jazz,0022100972,2022-03-07T00:00:00,UTA @ DAL,L,30.533333333333335,7,11,4,8,3,4,0,2,4,1,0,0,1,2,21,0.197,0.168,60,6,0.0,33,79,226,3,0,2022-03-07,93.62833333333333,3,33,10,5,10,3,9,0,0,194,6,5,3.0,0.0,0.04699999999999999,0.24499999999999997,0,10,43
8,2021-22,202711,Bojan Bogdanovic,1610612762,UTA,Utah Jazz,0022100965,2022-03-06T00:00:00,UTA @ OKC,W,33.55,11,19,11,18,2,2,2,3,3,2,0,0,2,2,35,0.293,0.18,69,0,0.0,33,79,226,0,0,2022-03-06,90.09333333333333,3,20,17,4,8,2,7,1,0,181,4,5,6.0,1.0,0.0016666666666666635,0.212,0,10,42
9,2021-22,202711,Bojan Bogdanovic,1610612762,UTA,Utah Jazz,0022100950,2022-03-04T00:00:00,UTA @ NOP,L,24.016666666666666,1,11,1,6,2,2,3,2,0,4,0,0,2,3,5,0.254,-0.111,49,0,0.0,33,79,226,0,0,2022-03-04,98.92666666666668,3,22,19,2,7,3,5,1,0,197,2,3,11.0,1.0,0.06133333333333333,0.213,0,10,40
