,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100749,2022-01-29T00:00:00,WAS @ MEM,L,35.233333333333334,2,11,0,1,5,7,0,2,12,2,1,1,2,4,9,0.205,0.061,70,4,0.0,29,76,207,2,0,2022-01-29,70.98333333333333,2,8,24,2,12,13,7,3,0,150,4,8,10.0,3.0,0.137,0.263,1,47,0
1,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100716,2022-01-25T00:00:00,WAS vs. LAC,L,39.61666666666667,8,15,2,5,5,6,1,8,6,5,1,0,4,5,23,0.222,0.131,88,8,0.174,29,76,207,4,2,2022-01-25,107.5,3,13,41,3,11,24,12,4,1,214,6,14,18.0,2.0,0.122,0.3016666666666667,0,46,16
2,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100699,2022-01-23T00:00:00,WAS vs. BOS,L,31.366666666666667,7,17,0,3,5,5,1,4,7,2,2,0,0,3,19,0.304,0.143,62,12,0.105,29,76,207,6,1,2022-01-23,108.78333333333333,3,13,36,3,11,23,12,2,2,219,6,13,15.0,2.0,0.113,0.26299999999999996,0,46,14
3,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100689,2022-01-21T00:00:00,WAS vs. TOR,L,39.53333333333333,10,19,1,3,4,5,2,3,8,9,0,0,3,5,25,0.337,0.084,78,16,0.08,29,76,207,8,1,2022-01-21,69.25,2,10,20,1,8,15,3,2,2,141,3,8,7.0,1.0,0.1275,0.226,0,46,12
4,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100669,2022-01-19T00:00:00,WAS vs. BKN,L,36.6,7,18,3,7,6,8,0,4,9,1,2,1,3,6,23,0.264,0.139,74,8,0.0,29,76,207,4,0,2022-01-19,32.65,1,3,9,1,4,6,2,0,1,67,0,2,3.0,1.0,0.116,0.188,0,46,10
5,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100656,2022-01-17T00:00:00,WAS vs. PHI,W,32.65,5,12,1,3,2,3,1,4,6,2,0,1,0,2,13,0.188,0.116,67,6,0.154,29,76,207,3,1,2022-01-17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,46,8
6,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100598,2022-01-09T00:00:00,WAS @ ORL,W,36.56666666666667,7,22,3,7,3,4,1,5,7,2,0,1,3,2,20,0.292,0.098,75,8,0.0,29,76,207,4,0,2022-01-09,106.44333333333333,3,20,41,2,13,19,12,2,2,239,12,17,14.0,7.0,0.137,0.3216666666666667,1,46,0
7,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100585,2022-01-07T00:00:00,WAS @ CHI,L,33.88333333333333,9,14,2,4,6,6,0,3,6,5,1,0,3,5,26,0.275,0.125,74,6,0.308,29,76,207,3,4,2022-01-07,115.26,3,20,47,2,12,30,9,5,2,257,11,20,16.0,6.0,0.14933333333333332,0.3243333333333333,0,45,20
8,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100569,2022-01-05T00:00:00,WAS vs. HOU,L,29.493333333333332,9,25,3,8,6,6,1,4,5,3,1,1,6,5,27,0.392,0.145,69,8,0.148,29,76,207,4,2,2022-01-05,119.50000000000001,3,17,48,2,13,35,8,5,1,259,7,18,22.0,5.0,0.17066666666666666,0.299,0,45,18
9,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100553,2022-01-03T00:00:00,WAS vs. CHA,W,43.06666666666667,11,22,3,8,10,11,1,6,8,4,0,1,3,7,35,0.298,0.141,96,14,0.057,29,76,207,7,1,2022-01-03,76.43333333333334,2,9,34,1,7,27,4,5,0,163,4,11,15.0,4.0,0.1855,0.2995,0,45,16
10,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100541,2022-01-01T00:00:00,WAS vs. CHI,L,42.7,8,20,0,4,11,13,0,2,17,2,4,0,2,8,27,0.283,0.162,92,10,0.222,29,76,207,5,3,2022-01-01,33.733333333333334,1,5,18,1,5,10,2,1,0,71,2,3,10.0,1.0,0.209,0.316,0,45,14
11,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100527,2021-12-30T00:00:00,WAS vs. CLE,W,33.733333333333334,13,23,2,5,1,1,1,5,10,2,1,0,2,3,29,0.316,0.209,71,20,0.069,29,76,207,10,1,2021-12-30,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,45,12
12,2021-22,203078,Bradley Beal,1610612764,WAS,Washington Wizards,0022100447,2021-12-18T00:00:00,WAS @ UTA,W,36.28333333333333,13,24,2,5,9,10,2,3,7,2,0,1,1,6,37,0.349,0.242,77,18,0.108,29,76,207,9,2,2021-12-18,139.79,4,17,63,5,11,25,16,3,1,297,13,11,24.0,10.0,0.113,0.31124999999999997,1,45,0
