,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,0022101188,2022-04-05T00:00:00,NOP @ SAC,W,33.91166666666667,5,15,1,3,6,8,0,7,8,2,0,0,3,4,17,0.256,0.096,70,2,0.353,24,80,190,1,3,2022-04-05,97.46666666666667,3,6,34,1,21,17,12,2,2,203,7,20,7.0,9.0,0.137,0.2866666666666667,1,21,0
1,2021-22,1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,0022101177,2022-04-03T00:00:00,NOP @ LAC,L,34.916666666666664,3,11,1,2,8,8,0,8,4,6,0,0,2,6,15,0.25,0.082,69,2,0.133,24,80,190,1,1,2022-04-03,88.13333333333333,3,6,40,2,19,18,7,2,2,185,6,20,12.0,12.0,0.18533333333333332,0.32833333333333337,0,20,28
2,2021-22,1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,0022101160,2022-04-01T00:00:00,NOP @ LAL,W,34.766666666666666,10,17,0,2,9,9,0,8,7,5,1,2,3,6,29,0.329,0.188,76,10,0.345,24,80,190,5,5,2022-04-01,53.36666666666667,2,4,25,2,11,11,2,1,0,109,3,14,7.0,7.0,0.184,0.328,0,20,26
3,2021-22,1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,0022101146,2022-03-30T00:00:00,NOP @ POR,W,27.783333333333335,4,12,0,2,11,13,1,5,6,1,1,0,2,8,19,0.281,0.141,58,2,0.316,24,80,190,1,3,2022-03-30,25.583333333333332,1,2,15,1,6,5,1,0,0,51,1,6,6.0,4.0,0.227,0.375,0,20,24
4,2021-22,1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,0022101119,2022-03-27T00:00:00,NOP vs. LAL,W,25.583333333333332,10,17,0,2,6,7,1,6,5,1,0,0,1,6,26,0.375,0.227,51,12,0.308,24,80,190,6,4,2022-03-27,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,20,21
5,2021-22,1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,0022100967,2022-03-06T00:00:00,NOP @ DEN,L,40.31666666666667,12,24,3,7,11,13,0,5,9,5,0,1,4,8,38,0.366,0.164,84,4,0.368,24,80,190,2,7,2022-03-06,93.13333333333334,3,8,45,2,16,20,11,3,1,201,6,13,10.0,21.0,0.24,0.311,1,20,0
6,2021-22,1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,0022100950,2022-03-04T00:00:00,NOP vs. UTA,W,30.05,11,16,1,3,6,6,1,7,6,5,1,1,2,4,29,0.343,0.315,61,4,0.552,24,80,190,2,8,2022-03-04,96.66333333333333,3,7,47,1,14,21,7,2,0,210,5,17,13.0,17.0,0.205,0.289,0,19,43
7,2021-22,1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,0022100937,2022-03-02T00:00:00,NOP vs. SAC,W,31.65,15,19,2,3,1,2,0,5,6,3,0,0,2,4,33,0.286,0.268,69,8,0.545,24,80,190,4,9,2022-03-02,65.01333333333334,2,4,31,1,9,15,4,2,0,141,3,13,9.0,8.0,0.1735,0.2905,0,19,41
8,2021-22,1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,0022100919,2022-02-27T00:00:00,NOP @ LAL,W,31.433333333333334,8,18,0,2,3,6,1,4,8,3,2,0,2,5,19,0.304,0.137,71,8,0.421,24,80,190,4,4,2022-02-27,33.58,1,2,15,0,5,7,1,0,0,70,1,8,5.0,4.0,0.21,0.277,0,19,38
9,2021-22,1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,0022100902,2022-02-25T00:00:00,NOP @ PHX,W,33.58,9,17,0,2,10,11,0,5,7,1,0,0,1,8,28,0.277,0.21,70,10,0.286,24,80,190,5,4,2022-02-25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,19,36
