,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022101210,2022-04-08T00:00:00,PHX @ UTA,W,37.61666666666667,7,11,0,1,2,2,1,5,16,3,2,0,3,2,16,0.172,0.176,79,8,0.375,37,72,175,4,3,2022-04-08,86.11666666666666,3,8,16,2,5,32,5,8,0,188,9,8,4.0,5.0,0.10266666666666667,0.15033333333333335,1,62,0
1,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022101189,2022-04-05T00:00:00,PHX vs. LAL,W,23.85,3,7,0,2,0,0,2,2,12,1,2,0,1,2,6,0.129,0.138,53,2,0.667,37,72,175,1,2,2022-04-05,95.09833333333333,3,8,18,2,4,28,7,7,0,210,11,10,7.0,5.0,0.10166666666666667,0.16233333333333333,1,61,0
2,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022101174,2022-04-03T00:00:00,PHX @ OKC,L,30.466666666666665,5,11,0,3,1,2,0,2,9,2,3,0,5,2,11,0.2,0.091,64,6,0.364,37,72,175,3,2,2022-04-03,100.78166666666667,3,8,22,3,5,33,6,5,1,220,7,10,8.0,7.0,0.151,0.16233333333333336,0,60,46
3,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022101155,2022-04-01T00:00:00,PHX @ MEM,L,31.8,2,6,1,3,3,5,0,1,11,2,3,0,3,4,8,0.122,0.079,71,0,0.25,37,72,175,0,1,2022-04-01,68.98166666666665,2,5,19,3,4,22,4,2,1,149,4,6,8.0,6.0,0.187,0.1825,0,60,44
4,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022101145,2022-03-30T00:00:00,PHX @ GSW,W,32.83166666666666,6,9,0,2,3,4,2,1,8,3,1,0,3,4,15,0.165,0.135,75,8,0.267,37,72,175,4,2,2022-03-30,66.23333333333333,2,6,19,1,7,27,4,2,2,137,1,5,8.0,5.0,0.2125,0.20700000000000002,0,60,42
5,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022101118,2022-03-27T00:00:00,PHX vs. PHI,W,36.15,9,15,1,3,0,0,1,3,14,1,1,1,1,2,19,0.2,0.239,74,8,0.421,37,72,175,4,4,2022-03-27,30.083333333333332,1,3,7,0,4,13,3,1,1,63,0,3,4.0,1.0,0.186,0.214,0,60,39
6,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022101099,2022-03-24T00:00:00,PHX @ DEN,W,30.083333333333332,6,10,1,3,4,4,0,4,13,3,1,1,0,3,17,0.214,0.186,63,8,0.118,37,72,175,4,1,2022-03-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,60,36
7,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022100882,2022-02-16T00:00:00,PHX vs. HOU,W,19.488333333333333,3,5,0,2,5,5,0,0,6,3,2,0,1,4,11,0.208,0.152,45,2,0.364,37,72,175,1,2,2022-02-16,98.51666666666668,3,12,24,0,17,48,7,5,0,208,3,8,6.0,7.0,0.17166666666666666,0.205,1,60,0
8,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022100873,2022-02-15T00:00:00,PHX vs. LAC,W,35.31666666666667,7,14,1,4,2,2,0,5,14,3,1,0,0,3,17,0.214,0.171,73,8,0.235,37,72,175,4,2,2022-02-15,104.95,3,10,30,0,16,46,10,6,0,225,5,9,5.0,8.0,0.1433333333333333,0.217,0,59,244
9,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022100855,2022-02-12T00:00:00,PHX vs. ORL,W,26.35,4,11,2,5,0,0,0,5,15,2,2,0,2,1,10,0.206,0.153,59,0,0.4,37,72,175,0,2,2022-02-12,143.00833333333333,4,12,40,0,18,51,14,6,1,293,3,13,9.0,13.0,0.15050000000000002,0.22075,0,59,241
10,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022100836,2022-02-10T00:00:00,PHX vs. MIL,W,36.85,5,11,0,3,7,7,0,7,19,2,2,0,1,4,17,0.195,0.191,76,4,0.353,37,72,175,2,3,2022-02-10,145.09166666666667,4,14,41,0,15,44,12,7,1,300,7,15,13.0,10.0,0.13825,0.21749999999999997,0,59,239
11,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022100815,2022-02-08T00:00:00,PHX @ PHI,W,41.75,7,18,1,2,1,2,0,4,12,6,2,0,2,4,16,0.25,0.086,90,6,0.375,37,72,175,3,3,2022-02-08,142.24166666666667,4,16,33,0,15,46,8,7,1,290,7,16,12.0,9.0,0.15999999999999998,0.20500000000000002,0,59,237
12,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022100812,2022-02-07T00:00:00,PHX @ CHI,W,33.85,7,11,1,2,4,4,0,3,11,4,1,0,0,3,19,0.224,0.154,69,2,0.526,37,72,175,1,5,2022-02-07,108.39166666666665,3,14,24,0,12,35,4,6,1,221,7,13,11.0,4.0,0.162,0.19866666666666669,0,59,236
13,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022100798,2022-02-05T00:00:00,PHX @ WAS,W,30.558333333333334,6,12,1,5,1,2,0,4,9,2,1,1,0,2,14,0.214,0.171,58,6,0.286,37,72,175,3,2,2022-02-05,117.55,3,12,30,0,16,45,4,6,1,243,9,13,13.0,5.0,0.17200000000000001,0.19633333333333333,0,59,234
14,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022100783,2022-02-03T00:00:00,PHX @ ATL,L,38.93333333333333,7,14,1,5,3,4,0,4,12,0,3,0,5,6,18,0.182,0.142,83,12,0.0,37,72,175,6,0,2022-02-03,115.78500000000001,3,12,25,1,21,47,6,4,2,238,6,11,8.0,5.0,0.18699999999999997,0.19200000000000003,0,59,232
15,2021-22,101108,Chris Paul,1610612756,PHX,Phoenix Suns,0022100772,2022-02-01T00:00:00,PHX vs. BKN,W,38.9,5,12,1,4,9,9,0,4,14,2,2,0,2,5,20,0.2,0.173,80,4,0.2,37,72,175,2,2,2022-02-01,113.72500000000001,3,10,32,1,20,38,5,2,2,230,7,10,10.0,6.0,0.164,0.214,0,59,230
