,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1626174,Christian Wood,1610612745,HOU,Houston Rockets,0022101114,2022-03-26T00:00:00,HOU @ POR,W,24.333333333333332,5,8,2,4,1,2,0,6,0,4,2,1,1,3,13,0.232,0.123,51,4,0.154,26,81,214,2,1,2022-03-26,111.44166666666666,4,23,20,0,38,9,5,3,2,225,11,18,14.0,0.0,0.187,0.2215,1,26,0
1,2021-22,1626174,Christian Wood,1610612745,HOU,Houston Rockets,0022101105,2022-03-25T00:00:00,HOU @ POR,W,26.633333333333333,3,7,0,3,4,4,0,11,5,1,1,1,2,6,10,0.175,0.183,54,6,0.0,26,81,214,3,0,2022-03-25,118.875,4,26,24,1,39,11,8,4,4,243,12,20,18.0,0.0,0.20825000000000002,0.24924999999999997,0,25,19
2,2021-22,1626174,Christian Wood,1610612745,HOU,Houston Rockets,0022101092,2022-03-23T00:00:00,HOU @ DAL,L,27.166666666666668,4,10,1,5,3,5,0,10,1,1,1,0,4,7,12,0.224,0.146,52,6,0.0,26,81,214,3,0,2022-03-23,118.87500000000001,4,28,24,2,37,11,10,3,4,251,9,18,17.0,1.0,0.19425,0.26625,0,25,17
3,2021-22,1626174,Christian Wood,1610612745,HOU,Houston Rockets,0022101077,2022-03-21T00:00:00,HOU vs. WAS,W,36.425,14,18,8,9,3,3,0,10,2,1,1,1,3,3,39,0.267,0.273,71,12,0.0,26,81,214,6,0,2022-03-21,82.45,3,19,15,2,27,9,9,2,3,180,6,15,11.0,1.0,0.168,0.266,0,25,15
4,2021-22,1626174,Christian Wood,1610612745,HOU,Houston Rockets,0022101063,2022-03-20T00:00:00,HOU vs. MEM,L,21.216666666666665,4,8,2,6,2,3,0,7,1,2,0,0,2,2,12,0.22,0.146,48,4,0.0,26,81,214,2,0,2022-03-20,87.18333333333334,3,15,20,4,30,12,9,2,4,188,7,18,12.0,1.0,0.16,0.25733333333333336,0,25,14
5,2021-22,1626174,Christian Wood,1610612745,HOU,Houston Rockets,0022101053,2022-03-18T00:00:00,HOU vs. IND,L,34.06666666666667,11,14,4,6,6,8,1,12,7,4,2,3,3,8,32,0.286,0.268,72,14,0.0,26,81,214,7,0,2022-03-18,53.11666666666667,2,9,12,3,18,5,5,0,1,116,4,10,5.0,1.0,0.106,0.243,0,25,12
6,2021-22,1626174,Christian Wood,1610612745,HOU,Houston Rockets,0022101038,2022-03-16T00:00:00,HOU vs. PHX,L,27.166666666666668,5,12,2,7,6,9,1,8,1,3,0,0,1,5,18,0.292,0.09,60,4,0.111,26,81,214,2,1,2022-03-16,25.95,1,2,7,2,10,4,2,0,1,56,3,5,3.0,0.0,0.122,0.194,0,25,10
7,2021-22,1626174,Christian Wood,1610612745,HOU,Houston Rockets,0022101017,2022-03-13T00:00:00,HOU @ NOP,L,25.95,3,9,0,2,2,2,2,10,4,2,0,1,3,5,8,0.194,0.122,56,6,0.0,26,81,214,3,0,2022-03-13,37.016666666666666,1,7,5,2,11,1,1,1,2,81,4,7,4.0,0.0,0.207,0.196,0,25,7
8,2021-22,1626174,Christian Wood,1610612745,HOU,Houston Rockets,0022100964,2022-03-06T00:00:00,HOU vs. MEM,W,37.016666666666666,8,12,4,7,8,11,2,11,1,1,1,2,4,7,28,0.196,0.207,81,8,0.0,26,81,214,4,0,2022-03-06,137.43666666666667,4,15,33,7,27,12,2,4,5,282,12,18,21.0,0.0,0.1565,0.196,1,25,0
9,2021-22,1626174,Christian Wood,1610612745,HOU,Houston Rockets,0022100952,2022-03-04T00:00:00,HOU @ DEN,L,31.333333333333332,7,12,0,2,8,8,1,9,5,1,0,1,3,5,22,0.233,0.223,65,14,0.0,26,81,214,7,0,2022-03-04,134.01999999999998,4,19,32,10,25,8,5,4,4,279,13,23,20.0,0.0,0.114,0.22474999999999998,0,24,18
