,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,0022101221,2022-04-10T00:00:00,ATL @ HOU,W,23.333333333333332,7,10,0,0,4,4,7,6,0,0,1,2,2,2,18,0.211,0.181,48,14,0.0,28,82,256,7,0,2022-04-10,84.57166666666666,3,0,30,11,24,0,0,6,0,175,6,5,21.0,1.0,0.18766666666666665,0.16866666666666666,0,36,93
1,2021-22,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,0022101207,2022-04-08T00:00:00,ATL @ MIA,L,26.921666666666667,8,11,0,0,1,3,6,8,0,0,0,0,2,2,17,0.19,0.179,55,14,0.118,28,82,256,7,1,2022-04-08,87.75666666666666,3,0,25,9,24,1,0,8,1,186,6,5,18.0,0.0,0.16533333333333333,0.141,0,36,91
2,2021-22,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,0022101192,2022-04-06T00:00:00,ATL vs. WAS,W,25.15,9,11,0,0,1,2,2,5,0,0,4,0,1,1,19,0.211,0.263,51,18,0.0,28,82,256,9,0,2022-04-06,105.74000000000001,4,0,25,13,38,4,1,6,5,231,11,10,15.0,0.0,0.13299999999999998,0.12250000000000001,0,36,89
3,2021-22,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,0022101182,2022-04-05T00:00:00,ATL @ TOR,L,32.5,5,8,0,0,0,1,3,11,0,0,2,0,3,2,10,0.105,0.121,69,10,0.0,28,82,256,5,0,2022-04-05,73.24000000000001,3,0,17,10,27,4,1,4,5,162,8,8,10.0,0.0,0.137,0.12833333333333333,0,36,88
4,2021-22,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,0022101163,2022-04-02T00:00:00,ATL vs. BKN,W,30.106666666666666,4,6,0,0,1,4,4,8,1,0,2,1,2,2,9,0.107,0.112,66,8,0.0,28,82,256,4,0,2022-04-02,73.85000000000001,3,0,28,11,29,6,3,2,4,161,6,6,17.0,0.0,0.15966666666666665,0.17400000000000002,0,36,85
5,2021-22,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,0022100452,2022-03-31T00:00:00,ATL vs. CLE,W,23.033333333333335,5,9,0,0,2,5,6,8,2,0,2,3,2,5,12,0.193,0.217,49,10,0.0,28,82,256,5,0,2022-03-31,81.78333333333333,3,0,30,10,29,5,5,1,2,177,5,5,21.0,0.0,0.1426666666666667,0.16833333333333333,0,36,83
6,2021-22,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,0022101143,2022-03-30T00:00:00,ATL @ OKC,W,20.1,1,2,0,0,2,2,0,11,1,1,0,1,4,1,4,0.085,0.082,47,2,0.0,28,82,256,1,0,2022-03-30,79.13333333333333,3,0,33,13,24,4,5,1,1,168,2,6,20.0,0.0,0.11766666666666666,0.19699999999999998,0,36,82
7,2021-22,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,0022101124,2022-03-28T00:00:00,ATL @ IND,W,30.716666666666665,11,17,0,0,0,0,5,10,3,2,0,0,0,0,22,0.244,0.18,65,22,0.0,28,82,256,11,0,2022-03-28,77.17999999999999,3,0,17,9,19,3,3,1,2,164,4,6,10.0,0.0,0.07633333333333334,0.12066666666666666,0,36,80
8,2021-22,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,0022101102,2022-03-25T00:00:00,ATL vs. GSW,W,30.966666666666665,9,11,0,0,1,2,5,8,1,2,1,1,1,4,19,0.176,0.166,65,18,0.0,28,82,256,9,0,2022-03-25,104.75999999999999,4,0,26,9,23,4,3,1,3,222,9,5,17.0,0.0,0.08424999999999999,0.13124999999999998,0,36,77
9,2021-22,203991,Clint Capela,1610612737,ATL,Atlanta Hawks,0022101085,2022-03-23T00:00:00,ATL @ DET,L,17.45,0,5,0,0,1,2,3,6,0,1,0,0,1,2,1,0.171,0.007,38,0,0.0,28,82,256,0,0,2022-03-23,117.97666666666667,4,0,35,13,25,5,3,2,3,247,10,5,24.0,0.0,0.1215,0.14125,0,36,75
