,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022101171,2022-04-03T00:00:00,ORL vs. NYK,L,2.6333333333333333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.167,-0.4,5,0,0.0,22,75,185,0,0,2022-04-03,76.16666666666666,3,10,19,2,8,11,7,2,1,158,7,5,8.0,1.0,0.06233333333333333,0.22266666666666668,1,6,0
1,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022101151,2022-04-01T00:00:00,ORL vs. TOR,L,26.833333333333332,3,10,1,4,1,1,0,4,3,4,0,0,2,2,8,0.233,0.02,55,4,0.0,22,75,185,2,0,2022-04-01,82.63333333333333,3,13,22,2,11,17,6,2,1,171,9,5,7.0,3.0,0.08633333333333333,0.23033333333333336,0,5,99
2,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022101138,2022-03-30T00:00:00,ORL @ WAS,L,25.316666666666666,4,11,0,2,4,4,1,4,4,1,1,1,4,2,12,0.219,0.078,56,6,0.167,22,75,185,3,1,2022-03-30,87.51666666666667,3,16,17,1,12,24,7,1,0,179,7,8,6.0,3.0,0.11533333333333333,0.225,0,5,97
3,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022101123,2022-03-28T00:00:00,ORL @ CLE,L,24.016666666666666,4,8,1,4,2,2,1,0,4,2,1,0,1,1,11,0.216,0.089,47,6,0.0,22,75,185,3,0,2022-03-28,92.3,3,18,19,0,17,25,5,0,0,189,8,10,5.0,3.0,0.12966666666666668,0.21966666666666668,0,5,95
4,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022101108,2022-03-26T00:00:00,ORL vs. SAC,L,33.3,5,16,2,7,2,2,0,7,9,3,0,0,4,2,14,0.256,0.092,68,2,0.286,22,75,185,1,2,2022-03-26,87.3,3,15,13,0,12,23,4,0,0,181,6,12,4.0,1.0,0.115,0.18600000000000003,0,5,93
5,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022101091,2022-03-23T00:00:00,ORL @ OKC,L,30.2,5,9,2,5,5,8,0,5,11,2,0,0,2,5,17,0.203,0.165,64,4,0.118,22,75,185,2,1,2022-03-23,90.23333333333333,3,16,18,0,12,19,6,1,1,189,7,9,4.0,0.0,0.07833333333333332,0.19766666666666666,0,5,90
6,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022101080,2022-03-22T00:00:00,ORL vs. GSW,W,28.8,5,12,3,6,1,1,0,5,5,0,0,0,2,3,14,0.2,0.132,57,4,0.0,22,75,185,2,0,2022-03-22,86.48333333333333,3,16,17,0,11,21,8,1,1,192,7,12,3.0,1.0,0.081,0.217,0,5,89
7,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022101065,2022-03-20T00:00:00,ORL vs. OKC,W,28.3,1,7,1,4,3,4,0,2,7,2,0,0,2,4,6,0.155,0.048,60,0,0.0,22,75,185,0,0,2022-03-20,95.56666666666666,3,19,19,1,16,17,8,1,1,203,9,14,4.0,1.0,0.107,0.24133333333333332,0,5,87
8,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022101045,2022-03-17T00:00:00,ORL vs. DET,L,33.13333333333333,4,15,2,6,2,2,0,5,7,4,1,1,3,2,12,0.238,0.055,72,4,0.0,22,75,185,2,0,2022-03-17,92.63333333333334,3,18,16,2,16,16,8,1,0,193,8,16,4.0,2.0,0.12333333333333334,0.243,0,5,84
9,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022101030,2022-03-15T00:00:00,ORL vs. BKN,L,25.05,5,11,3,6,6,9,0,4,7,2,0,0,2,6,19,0.258,0.14,60,2,0.105,22,75,185,1,1,2022-03-15,120.29999999999998,4,23,23,2,16,19,8,1,0,242,11,13,9.0,1.0,0.11499999999999999,0.23199999999999998,0,5,82
10,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022101015,2022-03-13T00:00:00,ORL vs. PHI,L,37.38333333333333,4,12,3,7,8,8,1,7,3,2,0,0,4,6,19,0.228,0.126,71,2,0.0,22,75,185,1,0,2022-03-13,82.91666666666666,3,16,18,1,9,16,6,1,0,171,7,7,8.0,1.0,0.11133333333333333,0.2333333333333333,0,5,80
11,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022100995,2022-03-11T00:00:00,ORL vs. MIN,W,30.2,5,11,2,5,3,4,1,5,6,4,1,0,2,4,15,0.243,0.104,62,4,0.133,22,75,185,2,1,2022-03-11,121.05000000000001,4,23,30,0,19,19,5,0,1,255,10,10,11.0,2.0,0.11599999999999999,0.22449999999999998,0,5,78
12,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022100987,2022-03-09T00:00:00,ORL @ NOP,W,24.9,6,9,3,6,4,4,0,1,5,1,0,0,2,2,19,0.222,0.18,48,6,0.0,22,75,185,3,0,2022-03-09,134.18333333333334,4,21,36,0,20,18,5,2,2,285,10,12,10.0,4.0,0.08425,0.21075,0,5,76
13,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022100977,2022-03-08T00:00:00,ORL vs. PHX,L,27.816666666666666,4,14,1,5,2,2,0,3,5,1,0,0,3,1,11,0.235,0.05,61,6,0.0,22,75,185,3,0,2022-03-08,106.36666666666667,3,16,27,0,17,13,4,2,2,224,7,11,7.0,4.0,0.09566666666666666,0.20266666666666666,0,5,75
14,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022100957,2022-03-05T00:00:00,ORL @ MEM,L,31.5,7,16,4,6,1,1,0,3,4,1,0,1,4,2,19,0.25,0.081,66,4,0.105,22,75,185,2,1,2022-03-05,103.5,3,17,24,0,17,12,5,2,1,219,6,11,7.0,3.0,0.06866666666666667,0.19799999999999998,0,5,72
15,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022100458,2022-03-04T00:00:00,ORL @ TOR,W,36.833333333333336,5,14,1,6,4,5,0,12,5,2,0,0,1,5,15,0.191,0.153,80,6,0.133,22,75,185,3,1,2022-03-04,97.26666666666665,3,15,22,1,9,13,7,4,1,208,9,8,7.0,2.0,0.05433333333333334,0.19566666666666666,0,5,71
16,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022100933,2022-03-02T00:00:00,ORL vs. IND,L,38.03333333333333,4,13,0,4,3,3,0,2,4,1,2,1,2,4,11,0.167,0.053,78,4,0.364,22,75,185,2,2,2022-03-02,59.233333333333334,2,11,13,1,7,9,6,2,0,130,7,4,5.0,0.0,0.055,0.21,0,5,69
17,2021-22,1630175,Cole Anthony,1610612753,ORL,Orlando Magic,0022100921,2022-02-28T00:00:00,ORL vs. IND,W,28.633333333333333,3,14,1,7,4,5,0,3,3,2,0,0,3,2,11,0.236,0.0,61,4,0.0,22,75,185,2,0,2022-02-28,30.6,1,4,6,1,4,6,4,2,0,69,4,2,3.0,0.0,0.11,0.184,0,5,67
