,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022101184,2022-04-05T00:00:00,MIN vs. WAS,L,28.633333333333333,7,14,2,6,1,2,0,3,11,2,0,0,1,2,17,0.243,0.123,64,6,0.235,26,76,193,3,2,2022-04-05,98.92833333333334,3,23,20,1,7,16,9,5,0,221,6,15,8.0,1.0,0.08,0.25866666666666666,1,33,0
1,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022101173,2022-04-03T00:00:00,MIN @ HOU,W,34.65,7,16,4,11,4,4,0,1,9,5,4,0,3,4,22,0.28,0.11,78,6,0.0,26,76,193,3,0,2022-04-03,94.92833333333334,3,15,18,1,7,13,6,3,0,209,5,13,6.0,1.0,0.052,0.20866666666666667,0,32,29
2,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022101159,2022-04-01T00:00:00,MIN @ DEN,W,36.55166666666667,6,12,2,5,10,11,1,2,4,3,1,0,1,6,24,0.222,0.103,81,6,0.083,26,76,193,3,1,2022-04-01,89.02666666666667,3,16,21,0,10,17,4,2,0,189,6,10,5.0,3.0,0.06,0.22433333333333336,0,32,27
3,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022101141,2022-03-30T00:00:00,MIN @ TOR,L,27.726666666666667,3,15,1,7,6,8,0,4,3,1,0,0,2,5,13,0.274,0.027,62,4,0.0,26,76,193,2,0,2022-03-30,88.32666666666667,3,14,17,1,8,21,4,2,0,182,5,6,4.0,5.0,0.066,0.18133333333333335,0,32,25
4,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022101116,2022-03-27T00:00:00,MIN @ BOS,L,30.65,1,6,0,3,2,2,0,1,6,2,2,0,2,2,4,0.13,0.026,66,2,0.0,26,76,193,1,0,2022-03-27,86.66,3,17,24,1,12,19,4,1,0,177,4,6,6.0,6.0,0.09833333333333333,0.228,0,32,22
5,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022101104,2022-03-25T00:00:00,MIN vs. DAL,W,30.65,6,16,1,6,2,3,0,5,8,1,0,0,2,3,15,0.269,0.127,61,4,0.4,26,76,193,2,3,2022-03-25,86.22666666666667,3,19,18,2,9,20,8,1,0,183,3,3,6.0,3.0,0.08800000000000001,0.216,0,32,20
6,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022101090,2022-03-23T00:00:00,MIN vs. PHX,L,27.026666666666667,3,9,0,5,0,1,1,2,7,1,0,0,1,1,6,0.145,0.045,55,2,0.667,26,76,193,1,2,2022-03-23,89.61666666666667,3,21,18,1,8,19,8,1,0,191,3,5,6.0,1.0,0.073,0.2253333333333333,0,32,18
7,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022101079,2022-03-21T00:00:00,MIN @ DAL,L,28.983333333333334,6,16,2,6,4,4,0,5,4,2,1,0,1,2,18,0.27,0.123,61,6,0.111,26,76,193,3,1,2022-03-21,89.795,3,20,15,2,4,21,7,3,0,201,3,3,8.0,0.0,0.07666666666666667,0.19233333333333336,0,32,16
8,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022101058,2022-03-19T00:00:00,MIN vs. MIL,W,30.216666666666665,6,12,4,8,0,0,1,2,9,5,0,0,1,0,16,0.233,0.096,67,4,0.0,26,76,193,2,0,2022-03-19,93.33666666666667,3,18,18,1,8,21,7,4,0,213,2,8,8.0,0.0,0.08,0.19299999999999998,0,32,14
9,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022101039,2022-03-16T00:00:00,MIN vs. LAL,W,30.416666666666668,2,11,1,7,1,3,0,1,6,1,0,0,1,3,6,0.173,0.0,63,2,0.0,26,76,193,1,0,2022-03-16,131.45333333333332,4,26,18,1,12,34,10,5,0,292,4,7,7.0,1.0,0.097,0.17900000000000002,0,32,11
10,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022101024,2022-03-14T00:00:00,MIN @ SAS,W,29.161666666666665,8,12,3,5,0,0,1,1,6,1,3,0,1,0,19,0.171,0.134,71,10,0.0,26,76,193,5,0,2022-03-14,102.29166666666667,3,21,11,0,11,28,9,2,0,221,3,7,2.0,1.0,0.08466666666666667,0.18166666666666664,0,32,9
11,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022101005,2022-03-12T00:00:00,MIN @ MIA,W,33.75833333333333,3,13,1,6,7,7,0,6,9,5,1,0,0,5,14,0.235,0.106,79,4,0.0,26,76,193,2,0,2022-03-12,103.68333333333334,3,21,10,1,7,34,6,2,0,210,7,4,2.0,2.0,0.08600000000000001,0.17266666666666666,0,32,7
12,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100995,2022-03-11T00:00:00,MIN @ ORL,L,39.333333333333336,4,12,3,8,2,2,0,2,7,2,0,0,1,2,13,0.174,0.064,79,0,0.154,26,76,193,0,1,2022-03-11,89.76666666666667,3,20,10,2,6,34,6,5,0,188,7,4,5.0,1.0,0.11766666666666666,0.19033333333333333,0,32,6
13,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100986,2022-03-09T00:00:00,MIN vs. OKC,W,29.2,2,7,2,7,0,0,0,3,12,2,1,0,2,0,6,0.136,0.084,63,0,0.0,26,76,193,0,0,2022-03-09,60.56666666666666,2,13,10,2,3,22,4,4,0,125,5,4,5.0,1.0,0.1345,0.2175,0,32,4
14,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100958,2022-03-05T00:00:00,MIN vs. POR,W,35.15,5,12,2,6,2,2,1,2,15,2,1,0,4,2,14,0.208,0.11,68,4,0.143,26,76,193,2,1,2022-03-05,89.59666666666666,3,22,23,3,6,17,10,6,1,193,5,12,9.0,4.0,0.142,0.2826666666666667,1,32,0
15,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100951,2022-03-04T00:00:00,MIN @ OKC,W,25.416666666666668,5,11,2,7,5,5,1,1,7,2,3,0,1,2,17,0.227,0.159,57,6,0.0,26,76,193,3,0,2022-03-04,92.21333333333334,3,22,24,2,8,13,10,3,1,195,6,15,10.0,5.0,0.13733333333333334,0.2806666666666667,0,31,36
16,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100930,2022-03-01T00:00:00,MIN vs. GSW,W,29.4,8,17,2,7,4,4,1,2,7,4,2,0,1,4,22,0.301,0.155,66,8,0.182,26,76,193,4,2,2022-03-01,101.13,3,23,27,1,8,15,10,2,1,209,7,20,16.0,3.0,0.161,0.28200000000000003,0,31,33
17,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100920,2022-02-28T00:00:00,MIN @ CLE,W,34.78,8,17,4,8,5,6,1,3,3,4,1,1,3,6,25,0.32,0.112,70,4,0.16,26,76,193,2,2,2022-02-28,66.35000000000001,2,15,18,0,5,12,6,1,0,139,4,14,14.0,1.0,0.1855,0.263,0,31,32
18,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100901,2022-02-25T00:00:00,MIN vs. PHI,L,28.033333333333335,7,12,2,7,5,5,0,3,3,2,0,0,2,5,21,0.221,0.145,59,8,0.095,26,76,193,4,1,2022-02-25,38.31666666666667,1,8,13,0,2,9,4,1,0,80,2,9,10.0,0.0,0.226,0.305,0,31,29
19,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100892,2022-02-24T00:00:00,MIN vs. MEM,W,38.31666666666667,13,21,3,8,8,9,0,2,9,4,1,0,2,9,37,0.305,0.226,80,20,0.0,26,76,193,10,0,2022-02-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,31,28
20,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100880,2022-02-16T00:00:00,MIN vs. TOR,L,32.403333333333336,2,11,2,8,2,3,1,2,7,1,0,1,2,2,8,0.173,0.039,68,0,0.0,26,76,193,0,0,2022-02-16,137.72333333333336,4,39,28,3,8,30,10,3,1,297,11,17,10.0,4.0,0.10700000000000001,0.24774999999999997,0,31,20
21,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100871,2022-02-15T00:00:00,MIN vs. CHA,W,37.373333333333335,5,20,4,14,4,7,1,3,11,2,0,0,3,6,18,0.24,0.065,84,2,0.0,26,76,193,1,0,2022-02-15,123.95000000000002,4,32,30,2,6,26,9,4,1,263,9,13,12.0,6.0,0.12225,0.25525,0,31,19
22,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100857,2022-02-13T00:00:00,MIN @ IND,W,35.46666666666667,8,14,3,6,4,4,0,2,6,1,1,0,3,4,23,0.207,0.143,74,10,0.0,26,76,193,5,0,2022-02-13,118.79999999999998,4,33,33,3,8,28,9,4,1,253,7,13,9.0,8.0,0.131,0.2795,0,31,17
23,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100843,2022-02-11T00:00:00,MIN @ CHI,L,28.866666666666667,6,13,2,6,4,4,0,1,3,3,1,0,2,3,18,0.257,0.068,61,4,0.222,26,76,193,2,2,2022-02-11,89.93333333333334,3,27,26,3,7,25,6,3,1,192,5,10,7.0,6.0,0.152,0.287,0,31,15
24,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100830,2022-02-09T00:00:00,MIN @ SAC,L,36.016666666666666,10,20,6,13,3,4,2,2,10,4,1,1,3,4,29,0.287,0.152,78,4,0.138,26,76,193,2,2,2022-02-09,53.91666666666667,2,14,19,1,5,15,2,2,0,114,2,6,5.0,4.0,0.152,0.28700000000000003,0,31,13
25,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100824,2022-02-08T00:00:00,MIN @ SAC,W,23.6,6,15,1,7,1,2,0,1,7,1,1,0,1,2,14,0.27,0.126,50,6,0.286,26,76,193,3,2,2022-02-08,30.316666666666666,1,7,11,1,4,8,1,1,0,64,1,4,2.0,2.0,0.178,0.304,0,31,12
26,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100803,2022-02-06T00:00:00,MIN vs. DET,W,30.316666666666666,7,18,3,7,5,5,1,4,8,1,1,0,1,4,22,0.304,0.178,64,4,0.182,26,76,193,2,2,2022-02-06,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,31,10
27,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100734,2022-01-27T00:00:00,MIN @ GSW,L,19.816666666666666,3,10,2,7,0,2,0,4,5,1,1,0,1,2,8,0.24,0.079,44,2,0.0,26,76,193,1,0,2022-01-27,66.60166666666666,2,15,14,0,7,14,6,1,0,142,4,10,7.0,2.0,0.129,0.2635,1,31,0
28,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100721,2022-01-25T00:00:00,MIN @ POR,W,35.218333333333334,7,16,3,9,5,6,0,2,4,4,0,0,2,4,22,0.28,0.093,73,8,0.0,26,76,193,4,0,2022-01-25,91.40833333333333,3,27,15,0,9,19,9,4,2,201,8,16,7.0,4.0,0.137,0.25733333333333336,0,30,33
29,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100706,2022-01-23T00:00:00,MIN vs. BKN,W,31.383333333333333,7,13,2,6,7,7,0,5,10,2,1,0,2,6,23,0.247,0.165,69,6,0.174,26,76,193,3,2,2022-01-23,82.44166666666666,3,26,12,0,7,21,12,5,2,183,7,12,5.0,3.0,0.11533333333333333,0.26766666666666666,0,30,31
30,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100670,2022-01-19T00:00:00,MIN @ ATL,L,34.93333333333333,10,18,5,13,6,9,0,2,5,4,2,1,2,7,31,0.266,0.137,78,6,0.129,26,76,193,3,2,2022-01-19,82.11500000000001,3,24,15,0,8,22,10,3,2,175,11,9,4.0,4.0,0.123,0.26433333333333336,0,30,27
31,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100666,2022-01-18T00:00:00,MIN @ NYK,W,25.091666666666665,5,11,4,8,3,3,0,2,4,3,1,1,4,3,17,0.259,0.109,54,2,0.0,26,76,193,1,0,2022-01-18,90.66333333333334,3,26,17,0,7,28,9,3,1,194,11,9,4.0,5.0,0.11866666666666666,0.252,0,30,26
32,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100652,2022-01-16T00:00:00,MIN vs. GSW,W,22.416666666666668,2,9,0,5,3,3,0,3,12,5,2,0,1,2,7,0.278,0.1,51,2,0.286,26,76,193,1,1,2022-01-16,101.26,3,30,18,0,9,26,5,2,1,219,13,9,6.0,4.0,0.1386666666666667,0.216,0,30,24
33,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100628,2022-01-13T00:00:00,MIN @ MEM,L,34.60666666666667,11,19,6,11,1,2,0,3,6,2,0,1,6,4,29,0.256,0.16,70,4,0.207,26,76,193,2,3,2022-01-13,97.76166666666667,3,24,17,0,7,32,6,4,0,217,7,7,8.0,4.0,0.15933333333333333,0.19733333333333336,0,30,21
34,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100615,2022-01-11T00:00:00,MIN @ NOP,L,33.64,6,15,4,10,2,2,0,1,10,2,1,0,4,3,18,0.222,0.096,73,2,0.111,26,76,193,1,1,2022-01-11,94.33833333333334,3,19,19,0,8,25,7,4,0,203,3,5,9.0,4.0,0.12733333333333333,0.19166666666666665,0,30,19
35,2021-22,1626156,D'Angelo Russell,1610612750,MIN,Minnesota Timberwolves,0022100600,2022-01-09T00:00:00,MIN @ HOU,W,33.013333333333335,8,14,5,9,1,1,0,5,10,1,1,0,3,2,22,0.17,0.16,76,6,0.0,26,76,193,3,0,2022-01-09,61.325,2,10,14,0,3,15,6,3,0,127,0,3,6.0,4.0,0.111,0.2025,0,30,17
