,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100538,2021-12-31T00:00:00,POR @ LAL,L,32.1,5,15,1,8,7,9,0,4,7,3,0,0,2,5,18,0.272,0.077,68,8,0.0,31,74,195,4,0,2021-12-31,72.91666666666667,2,22,16,0,8,9,7,1,1,150,1,17,5.0,2.0,0.1325,0.33099999999999996,1,20,0
1,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100523,2021-12-29T00:00:00,POR vs. UTA,L,36.6,10,23,5,14,7,10,0,6,4,2,1,0,0,8,32,0.345,0.167,76,6,0.125,31,74,195,3,2,2021-12-29,36.31666666666667,1,8,7,0,2,5,5,0,1,74,1,9,2.0,0.0,0.098,0.317,0,19,30
2,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100506,2021-12-27T00:00:00,POR vs. DAL,L,36.31666666666667,5,15,3,8,13,14,0,2,5,5,0,1,1,9,26,0.317,0.098,74,4,0.0,31,74,195,2,0,2021-12-27,39.93,1,11,13,0,2,7,1,1,0,76,0,9,5.0,2.0,0.222,0.358,0,19,28
3,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100467,2021-12-21T00:00:00,POR @ NOP,L,39.93,13,24,6,11,7,8,0,2,7,1,1,0,0,9,39,0.358,0.222,76,10,0.103,31,74,195,5,2,2021-12-21,160.33333333333334,4,47,43,2,14,27,15,2,2,329,6,24,14.0,5.0,0.14075000000000001,0.3235,0,19,22
4,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100450,2021-12-19T00:00:00,POR @ MEM,W,37.96666666666667,9,19,3,9,11,12,0,5,5,5,0,0,3,7,32,0.307,0.147,77,8,0.125,31,74,195,4,2,2021-12-19,159.35000000000002,4,52,36,5,17,28,15,2,2,331,3,27,11.0,4.0,0.13474999999999998,0.3265,0,19,20
5,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100439,2021-12-17T00:00:00,POR vs. CHA,W,37.233333333333334,12,19,6,11,13,14,1,3,8,3,1,0,1,10,43,0.333,0.242,80,8,0.093,31,74,195,4,2,2021-12-17,122.11666666666666,3,41,28,4,14,20,12,1,2,251,2,17,7.0,2.0,0.09899999999999999,0.3243333333333333,0,19,18
6,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100426,2021-12-15T00:00:00,POR vs. MEM,L,38.03333333333333,6,21,5,11,4,4,1,4,4,3,1,1,2,3,21,0.302,0.071,80,2,0.0,31,74,195,1,0,2021-12-15,84.08333333333334,2,30,18,3,10,16,9,0,1,171,0,14,6.0,2.0,0.11299999999999999,0.3355,0,19,16
7,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100416,2021-12-14T00:00:00,POR vs. PHX,L,47.1,11,31,5,16,4,5,0,2,10,4,0,1,0,4,31,0.352,0.103,92,10,0.065,31,74,195,5,1,2021-12-14,36.983333333333334,1,14,3,3,8,6,5,0,0,79,0,10,1.0,1.0,0.123,0.319,0,19,15
8,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100402,2021-12-12T00:00:00,POR vs. MIN,L,36.983333333333334,5,17,3,14,11,15,3,8,6,5,0,0,0,10,24,0.319,0.123,79,2,0.083,31,74,195,1,1,2021-12-12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,19,13
9,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100312,2021-11-29T00:00:00,POR @ UTA,L,31.15,4,12,1,4,2,2,0,6,5,2,0,1,0,3,11,0.214,0.098,61,6,0.0,31,74,195,3,0,2021-11-29,109.10333333333334,3,27,19,2,7,21,7,2,0,227,5,15,8.0,3.0,0.13466666666666668,0.24,1,19,0
10,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100290,2021-11-26T00:00:00,POR @ GSW,L,38.0,5,15,2,7,4,4,0,0,6,4,1,0,1,5,16,0.239,0.048,79,4,0.125,31,74,195,2,1,2021-11-26,108.135,3,33,19,2,7,22,7,1,3,225,5,19,10.0,3.0,0.17833333333333332,0.28633333333333333,0,18,14
11,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100279,2021-11-24T00:00:00,POR @ SAC,L,39.803333333333335,7,18,3,12,15,16,2,4,10,2,0,0,3,7,32,0.26,0.165,86,6,0.063,31,74,195,3,1,2021-11-24,108.62,3,30,22,0,7,22,9,2,4,223,3,20,10.0,2.0,0.16133333333333333,0.284,0,18,12
12,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100265,2021-11-23T00:00:00,POR vs. DEN,W,31.3,9,13,5,8,2,2,0,3,5,1,1,0,1,3,25,0.221,0.191,62,6,0.08,31,74,195,3,1,2021-11-23,77.32,2,22,17,0,4,17,8,1,4,161,2,17,7.0,1.0,0.1465,0.3155,0,18,11
13,2021-22,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,0022100246,2021-11-20T00:00:00,POR vs. PHI,W,37.031666666666666,10,21,5,13,14,14,0,0,7,4,0,3,1,9,39,0.378,0.179,77,8,0.051,31,74,195,4,1,2021-11-20,80.355,2,15,24,2,6,18,7,3,2,162,1,10,6.0,4.0,0.124,0.2645,0,18,8
