,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101218,2022-04-10T00:00:00,CLE vs. MIL,W,23.166666666666668,4,7,3,5,0,0,0,2,8,0,0,0,0,1,11,0.135,0.145,48,2,0.0,22,73,192,1,0,2022-04-10,118.71166666666667,3,17,49,3,7,17,4,8,0,240,4,16,18.0,4.0,0.137,0.289,0,13,54
1,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101205,2022-04-08T00:00:00,CLE @ BKN,L,40.75,12,24,3,6,4,4,0,0,3,2,2,0,1,5,31,0.318,0.132,80,14,0.129,22,73,192,7,2,2022-04-08,114.25666666666667,3,20,41,3,7,27,6,6,0,232,6,17,13.0,3.0,0.129,0.286,0,13,52
2,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101179,2022-04-05T00:00:00,CLE @ ORL,L,40.7,11,24,2,6,3,5,1,5,10,1,2,0,0,7,27,0.287,0.152,84,14,0.148,22,73,192,7,2,2022-04-05,140.20666666666668,4,22,53,3,7,35,12,9,1,287,6,19,16.0,3.0,0.126,0.29725,0,13,49
3,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101170,2022-04-03T00:00:00,CLE vs. PHI,L,37.26166666666666,7,18,3,5,6,6,2,2,4,1,4,0,3,4,23,0.262,0.127,76,8,0.0,22,73,192,4,0,2022-04-03,143.11166666666665,4,27,47,1,8,43,14,8,1,297,3,21,13.0,4.0,0.14,0.2935,0,13,47
4,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101162,2022-04-02T00:00:00,CLE @ NYK,W,36.295,8,19,5,9,3,4,0,0,13,4,0,0,3,6,24,0.309,0.108,72,4,0.083,22,73,192,2,1,2022-04-02,150.9,4,25,52,3,12,35,12,10,1,310,1,23,16.0,6.0,0.15475,0.28875,0,13,46
5,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022100452,2022-03-31T00:00:00,CLE @ ATL,L,29.65,7,21,1,4,3,5,1,0,8,3,1,1,0,5,18,0.356,0.073,63,10,0.111,22,73,192,5,1,2022-03-31,159.64833333333334,4,27,47,3,14,37,13,9,0,320,2,23,16.0,6.0,0.15825,0.27249999999999996,0,13,44
6,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101136,2022-03-30T00:00:00,CLE vs. DAL,L,37.0,10,17,4,4,1,2,0,5,10,4,4,0,0,4,25,0.262,0.196,76,10,0.08,22,73,192,5,1,2022-03-30,122.64833333333334,3,23,34,3,9,27,9,5,0,244,2,19,11.0,5.0,0.14566666666666664,0.27599999999999997,0,13,43
7,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101123,2022-03-28T00:00:00,CLE vs. ORL,W,40.166666666666664,7,17,5,10,6,6,0,3,12,3,3,0,0,6,25,0.247,0.183,86,2,0.08,22,73,192,1,1,2022-03-28,123.08833333333334,3,21,42,3,8,32,7,3,0,241,4,20,15.0,7.0,0.135,0.2936666666666667,0,13,41
8,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101110,2022-03-26T00:00:00,CLE vs. CHI,L,44.083333333333336,9,22,1,7,9,11,2,4,5,2,2,0,1,8,28,0.29,0.167,85,10,0.214,22,73,192,5,3,2022-03-26,120.18833333333333,3,20,39,1,5,39,9,3,0,240,6,17,15.0,6.0,0.11966666666666666,0.2846666666666667,0,13,39
9,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101095,2022-03-24T00:00:00,CLE @ TOR,L,38.39833333333333,7,18,1,6,3,3,1,2,10,4,0,0,1,5,18,0.291,0.087,73,10,0.111,22,73,192,5,1,2022-03-24,127.16666666666666,3,18,43,1,6,43,7,4,0,256,7,19,17.0,5.0,0.13833333333333334,0.26866666666666666,0,13,37
10,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101072,2022-03-21T00:00:00,CLE vs. LAL,L,40.60666666666667,10,23,2,8,7,7,0,2,17,1,1,0,2,7,29,0.3,0.151,83,10,0.207,22,73,192,5,3,2022-03-21,169.82500000000002,4,23,51,3,9,46,11,5,0,332,7,26,17.0,5.0,0.12475,0.2615,0,13,34
11,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101060,2022-03-19T00:00:00,CLE vs. DET,W,41.18333333333333,8,18,1,6,7,8,0,1,12,4,2,0,3,5,24,0.263,0.121,84,10,0.167,22,73,192,5,2,2022-03-19,171.07500000000002,4,20,60,4,14,41,13,4,0,335,7,28,19.0,5.0,0.11699999999999999,0.279,0,13,32
12,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101049,2022-03-18T00:00:00,CLE vs. DEN,W,45.376666666666665,9,20,2,4,5,7,1,3,14,2,1,0,2,7,25,0.243,0.143,89,14,0.0,22,73,192,7,0,2022-03-18,162.19,4,22,55,4,12,37,18,4,0,319,9,31,14.0,6.0,0.10099999999999999,0.312,0,13,31
13,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101034,2022-03-16T00:00:00,CLE vs. PHI,L,37.583333333333336,5,15,1,4,11,12,2,3,7,2,1,0,0,9,22,0.275,0.118,73,4,0.182,22,73,192,2,2,2022-03-16,124.60666666666665,3,18,44,2,9,30,16,3,0,246,9,22,12.0,4.0,0.09533333333333334,0.32433333333333336,0,13,29
14,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101020,2022-03-14T00:00:00,CLE vs. LAC,W,45.681666666666665,8,21,4,9,4,4,0,2,13,3,1,0,2,5,24,0.265,0.117,86,6,0.083,22,73,192,3,1,2022-03-14,116.09666666666666,3,18,49,4,10,30,17,4,0,237,9,24,17.0,5.0,0.12866666666666668,0.36199999999999993,0,13,27
15,2021-22,1629636,Darius Garland,1610612739,CLE,Cleveland Cavaliers,0022101006,2022-03-12T00:00:00,CLE @ CHI,L,42.43333333333333,9,24,0,3,7,8,1,6,7,6,1,0,3,7,25,0.333,0.09,87,14,0.16,22,73,192,7,2,2022-03-12,107.445,3,20,35,4,6,33,18,5,0,222,8,24,14.0,3.0,0.14433333333333334,0.3393333333333333,0,13,25
