,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,0022101043,2022-03-16T00:00:00,SAC vs. MIL,L,37.45,8,23,3,11,2,2,0,4,7,9,2,0,2,2,21,0.344,0.044,86,10,0.0,24,75,185,5,0,2022-03-16,119.83333333333334,3,25,55,2,12,27,9,4,1,247,11,13,18.0,10.0,0.16666666666666666,0.3466666666666667,1,17,0
1,2021-22,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,0022101026,2022-03-14T00:00:00,SAC vs. CHI,W,41.95,13,25,3,8,5,6,1,5,6,4,1,0,3,4,34,0.33,0.151,87,12,0.235,24,75,185,6,4,2022-03-14,119.07000000000001,3,21,52,2,12,28,9,4,1,250,11,16,21.0,6.0,0.146,0.3243333333333333,0,16,54
2,2021-22,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,0022101010,2022-03-12T00:00:00,SAC @ UTA,L,41.31666666666667,15,32,5,11,6,6,0,3,11,2,2,1,4,6,41,0.381,0.171,85,10,0.244,24,75,185,5,5,2022-03-12,118.20333333333333,3,14,58,2,11,23,8,3,0,249,11,16,28.0,4.0,0.16233333333333333,0.3116666666666667,0,16,52
3,2021-22,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,0022100991,2022-03-09T00:00:00,SAC vs. DEN,L,36.56666666666667,12,23,4,6,4,4,1,4,10,3,1,0,4,3,32,0.329,0.178,75,14,0.063,24,75,185,7,1,2022-03-09,157.68666666666667,4,19,68,1,15,25,7,5,1,339,11,21,35.0,5.0,0.142,0.279,0,16,49
4,2021-22,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,0022100974,2022-03-07T00:00:00,SAC vs. NYK,L,41.18666666666667,10,18,1,4,3,8,1,5,7,4,1,0,3,7,24,0.263,0.089,90,18,0.0,24,75,185,9,0,2022-03-07,157.13333333333333,4,20,69,0,14,28,4,6,2,339,11,23,35.0,5.0,0.15400000000000003,0.28150000000000003,0,16,47
5,2021-22,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,0022100954,2022-03-05T00:00:00,SAC @ DAL,L,40.45,18,31,3,4,5,6,0,2,6,1,1,0,4,6,44,0.343,0.22,84,24,0.136,24,75,185,12,3,2022-03-05,156.56166666666667,4,21,56,0,17,32,6,5,3,343,11,22,31.0,3.0,0.134,0.257,0,16,45
6,2021-22,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,0022100944,2022-03-03T00:00:00,SAC @ SAS,W,38.95,10,20,2,5,4,5,0,6,9,0,3,1,1,3,26,0.237,0.181,85,12,0.154,24,75,185,6,2,2022-03-03,153.61166666666668,4,19,56,0,12,27,10,2,4,335,13,22,30.0,4.0,0.10125,0.26775000000000004,0,16,43
7,2021-22,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,0022100937,2022-03-02T00:00:00,SAC @ NOP,L,37.1,9,18,1,6,6,9,0,2,3,2,0,0,3,5,25,0.273,0.078,80,16,0.0,24,75,185,8,0,2022-03-02,116.51166666666666,3,13,44,0,10,24,8,2,4,255,10,17,22.0,4.0,0.109,0.266,0,16,42
8,2021-22,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,0022100925,2022-02-28T00:00:00,SAC @ OKC,W,40.63333333333333,10,20,1,5,8,14,0,4,10,1,2,1,3,9,29,0.273,0.137,90,18,0.0,24,75,185,9,0,2022-02-28,75.87833333333333,2,8,29,0,6,14,7,0,3,165,7,8,13.0,4.0,0.095,0.2625,0,16,40
9,2021-22,1628368,De'Aaron Fox,1610612758,SAC,Sacramento Kings,0022100911,2022-02-26T00:00:00,SAC @ DEN,L,39.87833333333333,10,19,1,5,5,5,0,5,10,3,0,1,4,5,26,0.245,0.14,88,16,0.077,24,75,185,8,1,2022-02-26,36.0,1,3,15,0,1,4,4,0,2,77,3,3,5.0,3.0,0.05,0.28,0,16,38
