,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101221,2022-04-10T00:00:00,ATL @ HOU,W,32.56666666666667,7,13,4,4,4,5,0,2,0,2,0,0,1,3,22,0.224,0.082,67,4,0.091,24,80,221,2,1,2022-04-10,89.57833333333335,3,8,29,3,8,3,5,1,2,186,13,5,7.0,3.0,-0.008333333333333337,0.21233333333333335,0,17,16
1,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101207,2022-04-08T00:00:00,ATL @ MIA,L,25.461666666666666,1,7,0,2,0,0,0,1,0,3,0,0,5,1,2,0.161,-0.111,53,0,1.0,24,80,221,0,1,2022-04-08,90.71666666666667,3,8,29,4,16,5,2,1,2,192,12,9,10.0,2.0,0.07466666666666667,0.215,0,17,14
2,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101192,2022-04-06T00:00:00,ATL vs. WAS,W,27.033333333333335,3,13,2,4,2,3,0,4,1,1,1,1,3,2,10,0.246,0.013,55,2,0.0,24,80,221,1,0,2022-04-06,114.46666666666667,4,13,34,4,18,6,4,0,2,249,12,10,14.0,4.0,0.06925,0.2105,0,17,12
3,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101182,2022-04-05T00:00:00,ATL @ TOR,L,37.083333333333336,8,17,0,2,4,4,3,3,2,1,0,1,5,2,20,0.23,0.073,78,12,0.2,24,80,221,6,2,2022-04-05,77.38333333333334,3,11,19,1,15,4,3,0,1,171,7,8,8.0,2.0,0.068,0.204,0,17,11
4,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101163,2022-04-02T00:00:00,ATL vs. BKN,W,26.6,4,7,1,2,6,8,1,9,2,0,0,0,4,5,15,0.169,0.138,59,6,0.0,24,80,221,3,0,2022-04-02,50.78333333333333,2,9,14,0,6,2,3,0,1,112,3,3,5.0,2.0,0.033,0.22149999999999997,0,17,8
5,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022100452,2022-03-31T00:00:00,ATL vs. CLE,W,20.75,2,10,1,5,0,0,0,1,2,1,0,0,2,0,5,0.208,-0.035,45,0,0.4,24,80,221,0,1,2022-03-31,63.78666666666666,2,7,19,0,8,3,3,3,1,135,3,5,10.0,1.0,0.07500000000000001,0.2135,0,17,6
6,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101143,2022-03-30T00:00:00,ATL @ OKC,W,30.033333333333335,7,13,1,4,4,4,0,5,0,2,0,1,1,3,19,0.235,0.101,67,10,0.105,24,80,221,5,1,2022-03-30,60.12,2,7,16,0,6,4,2,3,0,125,4,8,8.0,1.0,0.07,0.20450000000000002,0,17,5
7,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101102,2022-03-25T00:00:00,ATL vs. GSW,W,33.75333333333333,5,13,0,3,1,3,0,3,3,1,3,0,2,2,11,0.192,0.049,68,10,0.0,24,80,221,5,0,2022-03-25,113.23666666666665,4,13,29,1,14,7,5,4,3,242,9,14,11.0,4.0,0.077,0.19775,1,17,0
8,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101085,2022-03-23T00:00:00,ATL @ DET,L,26.366666666666667,5,10,1,4,4,4,0,3,1,1,0,0,2,6,15,0.217,0.091,57,6,0.133,24,80,221,3,1,2022-03-23,123.58666666666667,4,16,29,1,14,8,5,4,3,259,8,13,11.0,3.0,0.082,0.1885,0,16,131
9,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101081,2022-03-22T00:00:00,ATL @ NYK,W,31.916666666666668,4,9,1,2,1,2,0,5,2,2,1,1,2,4,10,0.169,0.058,66,6,0.0,24,80,221,3,0,2022-03-22,91.67,3,14,22,1,9,6,3,3,2,193,6,9,8.0,3.0,0.09000000000000001,0.19499999999999998,0,16,130
10,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101064,2022-03-20T00:00:00,ATL vs. NOP,L,25.07,5,10,1,4,0,0,0,2,1,0,2,1,1,2,11,0.159,0.102,58,6,0.182,24,80,221,3,1,2022-03-20,136.97666666666666,4,23,30,2,10,7,4,3,3,288,9,16,10.0,2.0,0.07625,0.196,0,16,128
11,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101047,2022-03-18T00:00:00,ATL vs. MEM,W,29.883333333333333,5,13,1,3,3,4,1,4,3,2,1,1,4,2,14,0.246,0.057,61,4,0.286,24,80,221,2,2,2022-03-18,132.74,4,21,26,1,8,5,4,2,2,279,10,15,13.0,0.0,0.07525,0.1775,0,16,126
12,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101033,2022-03-16T00:00:00,ATL @ CHA,L,36.71666666666667,7,13,4,7,3,4,0,3,2,1,0,0,1,5,21,0.18,0.111,74,6,0.0,24,80,221,3,0,2022-03-16,124.77333333333334,4,17,28,1,8,4,5,3,3,268,12,12,15.0,1.0,0.07325,0.18625,0,16,124
13,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101021,2022-03-14T00:00:00,ATL vs. POR,W,33.61666666666667,6,17,3,9,5,6,1,2,0,0,2,2,0,6,20,0.217,0.094,75,6,0.0,24,80,221,3,0,2022-03-14,128.34166666666667,4,12,26,1,7,5,7,2,2,262,17,14,14.0,2.0,0.058,0.1785,0,16,122
14,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022101016,2022-03-13T00:00:00,ATL vs. IND,W,36.76,5,10,3,4,2,2,0,1,2,1,0,0,4,3,15,0.141,0.043,78,4,0.0,24,80,221,2,0,2022-03-13,91.58166666666668,3,8,20,1,6,3,6,2,2,184,13,11,12.0,2.0,0.063,0.19099999999999998,0,16,121
15,2021-22,1629631,De'Andre Hunter,1610612737,ATL,Atlanta Hawks,0022100996,2022-03-11T00:00:00,ATL vs. LAC,W,25.64666666666667,5,7,0,1,2,2,0,2,1,2,0,0,5,1,12,0.172,0.053,52,10,0.0,24,80,221,5,0,2022-03-11,100.61833333333334,3,12,21,1,6,3,5,3,2,202,13,15,10.0,4.0,0.09000000000000001,0.19566666666666666,0,16,119
