,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,201942,DeMar DeRozan,1610612741,CHI,Chicago Bulls,0022101208,2022-04-08T00:00:00,CHI vs. CHA,L,30.316666666666666,7,13,0,1,3,4,0,1,1,5,0,0,2,3,17,0.313,0.031,56,6,0.471,32,78,220,3,4,2022-04-08,107.25,3,7,53,2,4,13,6,4,0,219,8,18,12.0,14.0,0.11133333333333333,0.30633333333333335,1,29,0
1,2021-22,201942,DeMar DeRozan,1610612741,CHI,Chicago Bulls,0022101193,2022-04-06T00:00:00,CHI vs. BOS,L,32.983333333333334,6,16,1,1,3,4,0,2,5,2,2,0,2,3,16,0.267,0.075,68,2,0.5,32,78,220,1,4,2022-04-06,117.67,3,8,62,2,7,14,6,3,0,241,10,24,25.0,11.0,0.15766666666666665,0.3296666666666666,0,28,15
2,2021-22,201942,DeMar DeRozan,1610612741,CHI,Chicago Bulls,0022101183,2022-04-05T00:00:00,CHI vs. MIL,L,36.583333333333336,16,26,0,2,8,8,2,1,6,4,1,0,5,6,40,0.356,0.163,78,16,0.4,32,78,220,8,8,2022-04-05,117.34666666666666,3,8,63,0,13,12,3,4,0,235,8,24,24.0,7.0,0.162,0.3403333333333333,0,28,14
3,2021-22,201942,DeMar DeRozan,1610612741,CHI,Chicago Bulls,0022101164,2022-04-02T00:00:00,CHI vs. MIA,L,37.68333333333333,6,18,1,4,13,13,0,1,2,0,1,0,1,9,26,0.296,0.096,73,6,0.154,32,78,220,3,2,2022-04-02,155.88,4,6,90,0,23,19,11,3,0,315,16,29,34.0,11.0,0.16100000000000003,0.34850000000000003,0,28,11
4,2021-22,201942,DeMar DeRozan,1610612741,CHI,Chicago Bulls,0022101149,2022-03-31T00:00:00,CHI vs. LAC,W,43.403333333333336,17,26,2,2,14,15,0,5,6,2,1,0,4,9,50,0.337,0.214,90,28,0.04,32,78,220,14,1,2022-03-31,112.47666666666666,3,4,66,0,18,13,9,2,0,225,12,20,20.0,10.0,0.14333333333333334,0.35233333333333333,0,28,9
5,2021-22,201942,DeMar DeRozan,1610612741,CHI,Chicago Bulls,0022101132,2022-03-29T00:00:00,CHI @ WAS,W,36.26,12,27,1,2,7,7,0,7,4,1,2,0,3,6,32,0.388,0.176,72,14,0.25,32,78,220,7,4,2022-03-29,112.0,3,7,59,1,14,11,9,1,1,226,12,14,17.0,11.0,0.10633333333333334,0.3256666666666667,0,28,7
6,2021-22,201942,DeMar DeRozan,1610612741,CHI,Chicago Bulls,0022101126,2022-03-28T00:00:00,CHI @ NYK,L,41.31666666666667,12,26,1,1,12,12,0,6,7,4,0,0,4,9,37,0.362,0.184,84,16,0.162,32,78,220,8,3,2022-03-28,105.43333333333334,3,10,44,1,13,5,6,2,4,206,11,9,14.0,13.0,0.11366666666666665,0.2816666666666667,0,28,6
7,2021-22,201942,DeMar DeRozan,1610612741,CHI,Chicago Bulls,0022101110,2022-03-26T00:00:00,CHI @ CLE,W,34.9,8,17,0,1,4,5,0,5,2,4,0,0,5,5,20,0.307,0.07,69,10,0.3,32,78,220,5,3,2022-03-26,70.53333333333333,2,9,28,1,8,3,2,2,4,137,6,4,9.0,10.0,0.1355,0.269,0,28,4
8,2021-22,201942,DeMar DeRozan,1610612741,CHI,Chicago Bulls,0022101082,2022-03-22T00:00:00,CHI @ MIL,L,35.78333333333333,10,23,1,5,0,0,1,3,2,1,1,1,3,0,21,0.308,0.065,73,8,0.476,32,78,220,4,5,2022-03-22,102.86666666666667,3,7,41,0,11,10,7,1,3,207,10,12,10.0,14.0,0.12466666666666666,0.26333333333333336,1,28,0
9,2021-22,201942,DeMar DeRozan,1610612741,CHI,Chicago Bulls,0022101076,2022-03-21T00:00:00,CHI vs. TOR,W,34.75,11,14,1,4,3,5,0,5,1,1,1,3,3,4,26,0.23,0.206,64,10,0.385,32,78,220,5,5,2022-03-21,107.635,3,3,48,1,12,15,8,0,0,224,10,13,10.0,11.0,0.09866666666666668,0.26633333333333337,0,27,57
10,2021-22,201942,DeMar DeRozan,1610612741,CHI,Chicago Bulls,0022101056,2022-03-18T00:00:00,CHI @ PHX,L,33.516666666666666,6,14,0,1,7,8,0,1,2,2,0,0,4,5,19,0.25,0.052,68,4,0.421,32,78,220,2,4,2022-03-18,114.05166666666668,3,5,58,2,14,19,9,1,0,235,6,15,13.0,11.0,0.11566666666666665,0.3003333333333333,0,27,54
