,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,0022101210,2022-04-08T00:00:00,PHX @ UTA,W,34.166666666666664,9,18,1,2,0,0,4,6,4,1,1,2,4,1,19,0.241,0.118,74,14,0.105,23,83,250,7,1,2022-04-08,52.14333333333333,2,0,22,4,21,3,3,0,1,114,8,3,11.0,3.0,0.1355,0.216,1,17,0
1,2021-22,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,0022101189,2022-04-05T00:00:00,PHX vs. LAL,W,26.808333333333334,10,14,0,0,2,2,4,9,2,1,0,1,4,1,22,0.242,0.19,59,16,0.182,23,83,250,8,2,2022-04-05,60.695,2,0,25,3,25,1,7,0,0,135,5,3,9.0,2.0,0.0925,0.223,1,16,0
2,2021-22,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,0022101155,2022-04-01T00:00:00,PHX @ MEM,L,25.335,4,8,0,0,1,3,0,12,1,2,0,0,4,2,9,0.19,0.081,55,6,0.222,23,83,250,3,1,2022-04-01,66.11,2,0,25,4,24,2,6,1,0,142,5,5,11.0,1.0,0.1265,0.219,1,15,0
3,2021-22,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,0022101145,2022-03-30T00:00:00,PHX @ GSW,W,35.36,7,17,0,0,2,2,3,13,0,5,0,0,1,1,16,0.256,0.104,80,12,0.125,23,83,250,6,1,2022-03-30,98.5,3,1,45,10,23,5,5,3,1,202,10,8,24.0,3.0,0.13966666666666666,0.24533333333333332,0,14,73
4,2021-22,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,0022101118,2022-03-27T00:00:00,PHX vs. PHI,W,30.75,5,8,0,0,4,6,1,11,2,1,1,0,4,4,14,0.182,0.149,62,10,0.0,23,83,250,5,0,2022-03-27,94.79833333333333,3,1,43,10,21,5,6,2,1,196,12,5,23.0,4.0,0.13533333333333333,0.2346666666666667,0,14,70
5,2021-22,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,0022101099,2022-03-24T00:00:00,PHX @ DEN,W,32.63333333333333,8,14,0,0,0,0,2,5,0,1,1,0,5,1,16,0.2,0.06,70,14,0.125,23,83,250,7,1,2022-03-24,86.14833333333334,3,2,39,11,25,6,5,1,1,176,9,7,21.0,6.0,0.20166666666666666,0.244,0,14,67
6,2021-22,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,0022101090,2022-03-23T00:00:00,PHX @ MIN,W,35.11666666666667,15,24,1,1,4,4,7,7,3,3,1,1,1,3,35,0.354,0.21,70,24,0.114,23,83,250,12,2,2022-03-23,82.30166666666666,3,1,35,10,23,3,2,0,1,172,11,7,19.0,4.0,0.17033333333333334,0.218,0,14,66
7,2021-22,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,0022101066,2022-03-20T00:00:00,PHX @ SAC,W,27.048333333333332,5,6,0,0,2,2,1,9,2,2,0,0,6,1,12,0.15,0.136,56,8,0.167,23,83,250,4,1,2022-03-20,105.62,4,2,53,15,29,5,1,2,1,227,8,9,31.0,5.0,0.18325,0.244,0,14,63
8,2021-22,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,0022101056,2022-03-18T00:00:00,PHX vs. CHI,W,23.983333333333334,8,11,0,1,4,4,3,9,1,0,0,0,2,3,20,0.228,0.259,50,10,0.3,23,83,250,5,3,2022-03-18,111.66999999999999,4,2,53,13,26,6,2,2,1,243,6,6,33.0,3.0,0.15475,0.23049999999999998,0,14,61
9,2021-22,1629028,Deandre Ayton,1610612756,PHX,Phoenix Suns,0022101038,2022-03-16T00:00:00,PHX @ HOU,W,31.27,10,19,0,0,3,4,6,5,0,0,0,1,3,3,23,0.276,0.116,66,20,0.0,23,83,250,10,0,2022-03-16,110.23333333333333,4,2,44,9,29,7,2,2,0,243,5,4,31.0,4.0,0.17075,0.19625,0,14,59
