,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022101219,2022-04-10T00:00:00,SAS @ DAL,L,31.833333333333332,5,15,1,6,6,6,0,1,7,2,3,0,2,3,17,0.26,0.087,68,6,0.118,25,76,180,3,1,2022-04-10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,24,11
1,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022101144,2022-03-30T00:00:00,SAS vs. MEM,L,38.4,12,20,6,9,3,3,2,11,3,5,0,0,2,3,33,0.302,0.204,78,10,0.061,25,76,180,5,1,2022-03-30,108.6,3,15,36,2,22,31,6,5,2,225,6,15,16.0,4.0,0.19933333333333333,0.25,1,24,0
2,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022101128,2022-03-28T00:00:00,SAS @ HOU,W,38.11666666666667,11,18,2,5,9,12,0,7,11,2,1,2,2,9,33,0.255,0.236,84,14,0.121,25,76,180,7,2,2022-03-28,70.48333333333333,2,10,23,2,15,20,4,4,0,141,4,6,9.0,2.0,0.181,0.2475,0,23,17
3,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022101107,2022-03-26T00:00:00,SAS @ NOP,W,40.36666666666667,4,19,0,5,7,8,1,10,13,2,3,0,3,3,15,0.261,0.133,77,6,0.133,25,76,180,3,1,2022-03-26,64.1,2,11,27,2,10,15,4,1,0,132,2,5,10.0,3.0,0.164,0.28150000000000003,0,23,15
4,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022101094,2022-03-23T00:00:00,SAS @ POR,W,30.116666666666667,10,14,3,5,5,6,1,5,7,2,1,0,1,3,28,0.234,0.229,64,12,0.071,25,76,180,6,1,2022-03-23,104.76666666666668,3,22,38,3,21,25,10,5,1,219,4,14,10.0,3.0,0.13266666666666668,0.2926666666666667,0,23,12
5,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022101070,2022-03-20T00:00:00,SAS @ GSW,W,33.983333333333334,8,24,2,6,1,1,1,5,8,2,0,0,1,2,19,0.329,0.099,68,8,0.211,25,76,180,4,2,2022-03-20,106.46333333333334,3,21,35,2,20,29,13,6,2,237,7,17,14.0,2.0,0.147,0.293,0,23,9
6,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022101054,2022-03-18T00:00:00,SAS vs. NOP,L,34.416666666666664,7,18,3,8,0,1,0,9,5,5,1,1,1,5,17,0.277,0.107,75,6,0.118,25,76,180,3,1,2022-03-18,109.31333333333333,3,18,43,2,20,28,12,10,1,242,7,20,13.0,7.0,0.18599999999999997,0.31633333333333336,0,23,7
7,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022101040,2022-03-16T00:00:00,SAS vs. OKC,W,36.36666666666667,7,18,4,8,8,8,2,7,12,3,4,0,2,7,26,0.272,0.192,76,6,0.0,25,76,180,3,0,2022-03-16,107.08666666666666,3,13,47,1,21,28,11,8,1,238,6,19,15.0,10.0,0.21966666666666668,0.31633333333333336,0,23,5
8,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022101024,2022-03-14T00:00:00,SAS vs. MIN,L,35.68,10,20,1,5,9,10,0,4,12,5,1,1,4,5,30,0.33,0.142,86,16,0.067,25,76,180,8,1,2022-03-14,109.02333333333334,3,13,47,1,27,24,12,10,1,233,6,20,16.0,11.0,0.24066666666666667,0.3016666666666667,0,23,3
9,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022101002,2022-03-11T00:00:00,SAS vs. UTA,W,37.266666666666666,9,23,1,5,8,12,0,9,4,4,5,0,1,8,27,0.347,0.224,80,4,0.444,25,76,180,2,6,2022-03-11,106.63499999999999,3,11,47,2,26,30,10,8,1,230,8,17,21.0,7.0,0.22366666666666668,0.283,1,23,0
10,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100989,2022-03-09T00:00:00,SAS vs. TOR,L,34.14,9,17,1,3,6,6,1,8,12,2,2,0,1,6,25,0.272,0.293,72,10,0.24,25,76,180,5,3,2022-03-09,107.345,3,12,51,2,29,25,13,8,1,238,8,13,26.0,4.0,0.19866666666666666,0.306,0,22,12
11,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100973,2022-03-07T00:00:00,SAS vs. LAL,W,37.61666666666667,12,20,1,5,1,2,0,10,8,6,3,1,4,6,26,0.286,0.205,81,18,0.154,25,76,180,9,2,2022-03-07,104.22833333333332,3,11,52,3,21,25,9,8,1,232,6,10,22.0,4.0,0.16866666666666666,0.30833333333333335,0,22,10
12,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100955,2022-03-05T00:00:00,SAS @ CHA,L,34.87833333333333,9,21,0,3,7,8,1,8,10,2,3,0,3,5,25,0.291,0.173,77,14,0.16,25,76,180,7,2,2022-03-05,69.35,2,8,34,2,13,15,7,5,1,155,3,5,15.0,2.0,0.1665,0.317,0,22,8
13,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100944,2022-03-03T00:00:00,SAS vs. SAC,L,34.85,12,22,2,4,3,4,1,11,7,5,2,0,1,2,29,0.341,0.218,80,20,0.0,25,76,180,10,0,2022-03-03,77.48333333333333,2,7,33,3,13,22,8,3,1,167,5,6,11.0,7.0,0.145,0.28600000000000003,0,22,6
14,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100923,2022-02-28T00:00:00,SAS @ MEM,L,34.5,8,20,1,4,4,5,1,2,8,2,3,1,2,3,21,0.293,0.115,75,10,0.19,25,76,180,5,2,2022-02-28,42.983333333333334,1,3,17,2,11,14,6,0,0,92,3,3,6.0,5.0,0.175,0.279,0,22,3
15,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100899,2022-02-25T00:00:00,SAS @ WAS,W,42.983333333333334,12,20,1,3,6,6,2,11,14,6,0,0,3,3,31,0.279,0.175,92,12,0.323,25,76,180,6,5,2022-02-25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,22,0
16,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100881,2022-02-16T00:00:00,SAS @ OKC,W,35.95,8,18,1,3,1,1,2,5,8,1,1,0,1,1,18,0.207,0.134,76,12,0.111,25,76,180,6,1,2022-02-16,136.3,4,11,62,3,26,47,6,8,0,290,7,19,26.0,8.0,0.1955,0.27575000000000005,0,21,15
17,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100861,2022-02-14T00:00:00,SAS @ CHI,L,35.95,7,16,0,1,5,7,0,6,11,2,2,0,3,6,19,0.266,0.136,76,10,0.211,25,76,180,5,2,2022-02-14,100.35,3,10,47,3,20,36,4,6,0,214,4,13,21.0,6.0,0.21533333333333335,0.279,0,21,13
18,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100848,2022-02-12T00:00:00,SAS @ NOP,W,34.666666666666664,13,22,2,4,3,3,0,7,12,1,2,0,0,3,31,0.324,0.249,69,16,0.194,25,76,180,8,3,2022-02-12,65.68333333333334,2,6,29,3,13,24,3,4,0,145,4,10,13.0,3.0,0.1985,0.2565,0,21,11
19,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100841,2022-02-11T00:00:00,SAS @ ATL,W,31.816666666666666,11,18,2,5,8,9,1,9,15,1,4,0,2,6,32,0.28,0.277,75,14,0.125,25,76,180,7,2,2022-02-11,69.05,2,5,28,3,10,20,3,4,0,144,5,5,12.0,3.0,0.146,0.21750000000000003,0,21,10
20,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100825,2022-02-09T00:00:00,SAS @ CLE,L,33.86666666666667,7,17,0,1,2,2,2,4,9,2,0,0,2,4,16,0.233,0.12,70,12,0.125,25,76,180,6,1,2022-02-09,35.18333333333333,1,4,12,1,6,11,1,4,0,74,3,1,6.0,2.0,0.172,0.202,0,21,8
21,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100792,2022-02-04T00:00:00,SAS vs. HOU,W,35.18333333333333,9,16,1,4,0,0,1,6,11,1,4,0,3,1,19,0.202,0.172,74,12,0.211,25,76,180,6,2,2022-02-04,74.13333333333333,2,7,38,1,17,21,11,5,1,154,3,8,17.0,4.0,0.1565,0.355,0,21,3
22,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100771,2022-02-01T00:00:00,SAS vs. GSW,L,37.55,12,21,1,3,2,3,1,8,9,6,2,1,1,3,27,0.337,0.149,78,18,0.148,25,76,180,9,2,2022-02-01,99.7,3,12,44,4,20,33,10,8,0,208,9,12,17.0,5.0,0.169,0.306,1,21,0
23,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100742,2022-01-28T00:00:00,SAS vs. CHI,W,36.583333333333336,12,24,2,4,3,4,0,9,12,5,3,0,2,5,29,0.373,0.164,76,16,0.138,25,76,180,8,2,2022-01-28,138.73000000000002,4,13,53,10,26,43,10,7,0,287,12,16,18.0,7.0,0.16275,0.27249999999999996,1,20,0
24,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100728,2022-01-26T00:00:00,SAS vs. MEM,L,38.95,5,17,0,3,6,7,4,6,11,3,2,0,3,6,16,0.245,0.116,78,8,0.125,25,76,180,4,1,2022-01-26,130.03,4,16,53,9,27,46,8,8,0,274,9,13,21.0,9.0,0.19824999999999998,0.28225,0,19,34
25,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100719,2022-01-25T00:00:00,SAS @ HOU,W,24.166666666666668,8,15,1,5,2,2,0,5,10,2,3,0,4,1,19,0.3,0.227,54,10,0.211,25,76,180,5,2,2022-01-25,105.86333333333333,3,11,43,9,22,36,6,5,0,220,5,12,16.0,7.0,0.18866666666666668,0.2763333333333333,0,19,33
26,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100704,2022-01-23T00:00:00,SAS vs. PHI,L,38.431666666666665,6,14,0,2,7,10,2,7,12,4,1,0,2,5,19,0.267,0.123,80,10,0.105,25,76,180,5,1,2022-01-23,99.19833333333334,3,14,42,7,23,28,4,4,0,203,4,9,15.0,7.0,0.18699999999999997,0.26733333333333337,0,19,31
27,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100691,2022-01-21T00:00:00,SAS vs. BKN,L,37.181666666666665,8,20,1,3,8,8,4,8,10,1,1,0,3,4,25,0.278,0.185,75,8,0.24,25,76,180,4,3,2022-01-21,133.78,4,18,58,6,33,35,8,6,0,276,4,10,24.0,12.0,0.1985,0.26825,0,19,29
28,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100676,2022-01-19T00:00:00,SAS vs. OKC,W,30.25,11,20,1,6,0,0,3,7,14,1,3,0,0,3,23,0.284,0.258,65,14,0.261,25,76,180,7,3,2022-01-19,140.28,4,21,61,6,33,32,7,6,0,291,9,14,25.0,9.0,0.179,0.27149999999999996,0,19,27
29,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100664,2022-01-17T00:00:00,SAS vs. PHX,L,31.766666666666666,7,16,2,5,2,2,0,8,4,2,0,0,1,2,18,0.24,0.118,63,8,0.111,25,76,180,4,1,2022-01-17,138.88,4,21,64,8,27,33,8,8,1,288,11,15,28.0,11.0,0.1945,0.28674999999999995,0,19,25
30,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100648,2022-01-15T00:00:00,SAS vs. LAC,W,36.13333333333333,8,17,0,3,2,2,1,6,9,3,3,0,0,1,18,0.247,0.168,72,8,0.444,25,76,180,4,4,2022-01-15,142.26333333333332,4,24,66,7,30,36,8,7,2,302,13,17,29.0,8.0,0.18775,0.292,0,19,23
31,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100638,2022-01-14T00:00:00,SAS vs. CLE,L,35.63,14,23,1,4,1,3,2,12,8,2,0,0,3,4,30,0.302,0.25,76,18,0.267,25,76,180,9,4,2022-01-14,142.21666666666667,4,26,64,6,22,37,12,10,3,300,13,16,26.0,5.0,0.16375,0.3035,0,19,22
32,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100623,2022-01-12T00:00:00,SAS vs. HOU,L,36.75,12,26,4,9,4,7,3,7,11,0,3,0,5,7,32,0.297,0.18,80,16,0.0,25,76,180,8,0,2022-01-12,138.31666666666666,4,19,66,5,22,38,16,10,3,284,9,10,25.0,9.0,0.17049999999999998,0.31475,0,19,20
33,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100610,2022-01-10T00:00:00,SAS @ NYK,L,30.366666666666667,11,19,1,5,1,1,2,2,5,3,2,1,3,3,24,0.301,0.18,60,14,0.25,25,76,180,7,3,2022-01-10,107.94999999999999,3,14,52,3,20,33,13,8,2,224,6,7,18.0,6.0,0.16733333333333333,0.3193333333333333,0,19,18
34,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100602,2022-01-09T00:00:00,SAS @ BKN,L,39.516666666666666,7,22,1,6,4,4,0,9,12,3,2,1,2,3,19,0.268,0.141,86,10,0.105,25,76,180,5,1,2022-01-09,68.43333333333334,2,8,36,3,11,21,10,6,1,138,4,4,13.0,5.0,0.1805,0.345,0,19,17
35,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100582,2022-01-07T00:00:00,SAS @ PHI,L,35.583333333333336,10,23,3,6,4,5,1,4,9,6,3,1,3,3,27,0.348,0.154,74,12,0.074,25,76,180,6,1,2022-01-07,32.85,1,2,19,2,7,12,4,3,0,64,1,1,7.0,4.0,0.207,0.342,0,19,15
36,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100570,2022-01-05T00:00:00,SAS @ BOS,W,32.85,11,21,0,2,0,0,2,7,12,4,3,0,1,1,22,0.342,0.207,64,14,0.364,25,76,180,7,4,2022-01-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,19,13
37,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100487,2021-12-23T00:00:00,SAS @ LAL,W,32.35,3,16,1,5,2,2,2,4,13,0,2,2,1,3,9,0.215,0.106,72,4,0.0,25,76,180,2,0,2021-12-23,102.98333333333332,3,12,43,7,22,33,6,8,1,218,5,12,19.0,3.0,0.18899999999999997,0.25133333333333335,1,19,0
38,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100463,2021-12-20T00:00:00,SAS @ LAC,W,31.216666666666665,10,22,4,6,0,0,3,8,13,2,5,0,2,2,24,0.27,0.252,67,12,0.0,25,76,180,6,0,2021-12-20,106.72,3,11,33,5,19,29,5,4,1,221,4,10,14.0,4.0,0.13733333333333334,0.214,0,18,219
39,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100451,2021-12-19T00:00:00,SAS @ SAC,L,35.18333333333333,11,17,0,0,3,4,0,7,9,2,1,0,2,5,25,0.253,0.197,71,18,0.16,25,76,180,9,2,2021-12-19,105.26499999999999,3,13,27,6,23,30,4,6,1,219,4,6,8.0,4.0,0.123,0.19099999999999998,0,18,218
40,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100437,2021-12-17T00:00:00,SAS @ UTA,W,36.583333333333336,6,16,1,6,3,6,4,7,11,2,2,1,1,5,16,0.231,0.118,80,8,0.125,25,76,180,4,1,2021-12-17,91.48166666666667,3,8,25,2,21,23,7,6,1,189,5,2,5.0,5.0,0.09699999999999999,0.20033333333333334,0,18,216
41,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100423,2021-12-15T00:00:00,SAS vs. CHA,L,34.95333333333333,4,11,2,5,0,0,1,5,9,1,1,0,1,0,10,0.158,0.097,70,2,0.2,25,76,180,1,1,2021-12-15,91.48166666666667,3,11,27,4,21,23,11,6,1,190,7,5,8.0,4.0,0.10099999999999999,0.24,0,18,214
42,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100401,2021-12-12T00:00:00,SAS vs. NOP,W,33.72833333333333,5,13,0,2,0,0,1,11,10,1,3,0,2,1,10,0.184,0.154,69,6,0.4,25,76,180,3,2,2021-12-12,126.43666666666667,4,16,36,4,22,34,14,6,1,259,8,9,12.0,4.0,0.10975,0.23375,0,18,211
43,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100397,2021-12-11T00:00:00,SAS vs. DEN,L,22.8,3,9,0,1,0,0,0,5,4,5,2,1,2,1,6,0.259,0.04,50,2,0.667,25,76,180,1,2,2021-12-11,140.23666666666665,4,22,42,9,24,37,13,6,0,286,10,9,17.0,3.0,0.13525,0.24,0,18,210
44,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100381,2021-12-09T00:00:00,SAS vs. DEN,W,34.95333333333333,7,16,3,8,3,4,3,5,9,5,1,0,3,3,20,0.277,0.109,71,8,0.0,25,76,180,4,0,2021-12-09,139.78333333333333,4,21,43,6,26,41,10,7,0,288,10,7,16.0,3.0,0.15549999999999997,0.22625,0,18,208
45,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100364,2021-12-07T00:00:00,SAS vs. NYK,L,34.86666666666667,6,15,2,5,1,1,0,7,7,0,1,0,1,2,15,0.181,0.117,70,8,0.0,25,76,180,4,0,2021-12-07,104.91666666666667,3,16,33,6,19,34,10,6,0,218,9,5,12.0,3.0,0.1683333333333333,0.24133333333333332,0,18,206
46,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100360,2021-12-06T00:00:00,SAS @ PHX,L,33.81666666666667,7,12,2,2,1,2,1,5,14,4,2,0,2,3,17,0.218,0.173,68,6,0.235,25,76,180,3,2,2021-12-06,105.21666666666667,3,16,40,7,22,28,7,4,0,216,8,7,15.0,3.0,0.164,0.26333333333333336,0,18,205
47,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100346,2021-12-04T00:00:00,SAS @ GSW,W,36.6,10,21,3,7,0,0,5,7,7,4,2,0,4,1,23,0.284,0.142,77,12,0.087,25,76,180,6,1,2021-12-04,68.61666666666667,2,9,26,2,15,21,3,2,0,139,4,6,9.0,2.0,0.175,0.253,0,18,203
48,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100332,2021-12-02T00:00:00,SAS @ POR,W,34.5,6,16,3,7,0,0,0,7,13,2,2,0,3,1,15,0.222,0.19,73,6,0.0,25,76,180,3,0,2021-12-02,71.83333333333334,2,4,39,3,18,14,4,3,1,141,3,9,15.0,5.0,0.1975,0.3145,0,18,201
49,2021-22,1627749,Dejounte Murray,1610612759,SAS,San Antonio Spurs,0022100311,2021-11-29T00:00:00,SAS vs. WAS,W,34.11666666666667,8,19,0,2,6,7,2,8,8,1,0,0,1,5,22,0.284,0.16,66,12,0.182,25,76,180,6,2,2021-11-29,108.85,3,12,54,3,26,28,7,8,2,227,5,6,17.0,9.0,0.18333333333333335,0.2843333333333333,0,18,198
