,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,0022101210,2022-04-08T00:00:00,PHX @ UTA,W,37.75,13,26,2,5,5,5,0,4,3,1,0,0,4,6,33,0.326,0.143,81,10,0.364,25,77,206,5,6,2022-04-08,66.94,2,15,35,1,10,8,4,1,0,149,7,8,13.0,7.0,0.1805,0.344,1,28,0
1,2021-22,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,0022101189,2022-04-05T00:00:00,PHX vs. LAL,W,29.69,12,22,6,9,2,2,1,6,4,1,1,0,2,3,32,0.32,0.199,67,8,0.125,25,77,206,4,2,2022-04-05,74.68333333333334,2,14,35,0,9,6,3,0,0,165,9,14,12.0,5.0,0.10550000000000001,0.323,1,27,0
2,2021-22,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,0022101155,2022-04-01T00:00:00,PHX @ MEM,L,37.25,17,28,3,6,4,5,0,4,4,3,0,0,5,5,41,0.368,0.162,82,18,0.244,25,77,206,9,5,2022-04-01,72.36666666666666,2,13,30,1,6,4,3,0,0,154,7,16,10.0,3.0,0.0955,0.312,1,26,0
3,2021-22,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,0022101145,2022-03-30T00:00:00,PHX @ GSW,W,37.43333333333333,5,21,2,8,10,12,0,5,2,0,0,0,4,9,22,0.278,0.049,83,6,0.0,25,77,206,3,0,2022-03-30,109.08333333333333,3,14,48,1,8,19,7,4,1,226,8,28,18.0,12.0,0.18533333333333335,0.3293333333333333,0,25,31
4,2021-22,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,0022101118,2022-03-27T00:00:00,PHX vs. PHI,W,34.93333333333333,13,22,3,5,6,8,1,1,2,3,0,0,3,7,35,0.346,0.142,71,14,0.171,25,77,206,7,3,2022-03-27,111.50166666666667,3,14,47,0,14,22,7,5,1,233,11,28,14.0,15.0,0.19633333333333333,0.31866666666666665,0,25,28
5,2021-22,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,0022101099,2022-03-24T00:00:00,PHX @ DEN,W,38.93333333333333,16,25,2,5,15,17,0,4,10,2,3,1,3,11,49,0.375,0.256,82,14,0.286,25,77,206,7,7,2022-03-24,104.76833333333333,3,12,42,1,13,15,8,2,0,218,11,21,12.0,12.0,0.16266666666666665,0.299,0,25,25
6,2021-22,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,0022101090,2022-03-23T00:00:00,PHX @ MIN,W,35.21666666666667,7,15,1,4,13,16,0,3,7,2,1,0,2,10,28,0.267,0.158,73,8,0.143,25,77,206,4,2,2022-03-23,105.98833333333334,3,20,43,1,14,12,9,1,1,221,11,12,13.0,15.0,0.16333333333333333,0.311,0,25,24
7,2021-22,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,0022101066,2022-03-20T00:00:00,PHX @ SAC,W,37.35166666666667,11,21,2,5,7,7,0,7,5,3,1,0,6,7,31,0.314,0.175,78,6,0.387,25,77,206,3,6,2022-03-20,130.56666666666666,4,34,53,1,14,25,10,6,1,276,11,13,17.0,17.0,0.15725,0.3225,0,25,21
8,2021-22,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,0022101056,2022-03-18T00:00:00,PHX vs. CHI,W,32.2,10,18,1,3,7,7,1,3,3,3,0,0,3,4,28,0.316,0.155,67,10,0.286,25,77,206,5,4,2022-03-18,134.88333333333333,4,38,49,0,14,29,10,7,2,291,11,11,14.0,17.0,0.14275,0.306,0,25,19
9,2021-22,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,0022101038,2022-03-16T00:00:00,PHX @ HOU,W,36.43666666666667,15,24,5,12,1,1,0,4,4,3,0,1,2,1,36,0.303,0.16,76,10,0.278,25,77,206,5,5,2022-03-16,131.78333333333333,4,33,42,1,17,34,9,9,3,288,12,13,11.0,13.0,0.15350000000000003,0.279,0,25,17
