,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101219,2022-04-10T00:00:00,SAS @ DAL,L,31.5,4,11,3,8,4,4,1,3,3,2,1,0,1,3,15,0.205,0.077,67,2,0.0,21,77,200,1,0,2022-04-10,94.05166666666668,3,19,16,1,15,9,2,7,1,200,4,4,4.0,2.0,0.13166666666666668,0.18200000000000002,0,9,3
1,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101199,2022-04-07T00:00:00,SAS @ MIN,L,29.816666666666666,6,14,4,8,2,2,0,2,0,1,2,0,1,1,18,0.219,0.095,65,4,0.0,21,77,200,2,0,2022-04-07,91.50166666666667,3,19,17,2,16,12,2,5,1,189,6,3,6.0,3.0,0.14166666666666666,0.19633333333333333,1,9,0
2,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101186,2022-04-05T00:00:00,SAS @ DEN,W,34.36666666666667,7,14,4,6,2,2,1,7,4,1,1,1,0,1,20,0.195,0.187,74,2,0.2,21,77,200,1,2,2022-04-05,91.58500000000001,3,21,15,1,10,9,1,5,0,181,7,3,8.0,2.0,0.11099999999999999,0.20066666666666666,0,8,13
3,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101175,2022-04-03T00:00:00,SAS vs. POR,W,29.868333333333332,2,7,1,5,3,4,0,6,5,0,4,0,3,2,8,0.132,0.113,61,2,0.0,21,77,200,1,0,2022-04-03,95.95,3,19,23,4,9,6,2,2,0,197,7,3,10.0,2.0,0.083,0.21233333333333335,0,8,11
4,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101158,2022-04-01T00:00:00,SAS vs. POR,W,27.266666666666666,9,15,4,8,0,0,1,3,3,1,0,0,3,0,22,0.262,0.125,54,8,0.091,21,77,200,4,1,2022-04-01,68.68333333333334,2,11,16,3,6,3,1,2,0,143,4,3,6.0,1.0,0.062,0.1875,0,8,9
5,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101144,2022-03-30T00:00:00,SAS vs. MEM,L,34.45,7,14,3,8,2,2,0,1,1,0,1,0,1,1,19,0.208,0.095,66,6,0.105,21,77,200,3,1,2022-03-30,58.233333333333334,2,8,15,4,8,7,1,3,0,131,4,5,3.0,0.0,0.10149999999999999,0.176,0,8,7
6,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101128,2022-03-28T00:00:00,SAS @ HOU,W,34.233333333333334,3,13,0,3,3,3,3,5,2,1,1,0,3,2,9,0.167,0.029,77,6,0.0,21,77,200,3,0,2022-03-28,24.0,1,5,5,1,3,5,0,2,0,54,1,3,0.0,0.0,0.174,0.185,0,8,5
7,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101094,2022-03-23T00:00:00,SAS @ POR,W,24.0,4,10,4,5,4,4,1,3,5,0,2,0,1,3,16,0.185,0.174,54,0,0.0,21,77,200,0,0,2022-03-23,96.015,3,19,12,2,7,5,2,4,0,200,8,3,0.0,3.0,0.045000000000000005,0.156,1,8,0
8,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101070,2022-03-20T00:00:00,SAS @ GSW,W,33.185,3,12,3,8,3,4,2,4,1,2,3,0,5,1,12,0.188,0.036,65,0,0.0,21,77,200,0,0,2022-03-20,93.76333333333334,3,17,14,1,5,7,2,3,3,207,3,3,3.0,4.0,0.06799999999999999,0.155,0,7,15
9,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101054,2022-03-18T00:00:00,SAS vs. NOP,L,30.966666666666665,6,13,3,7,3,4,0,2,1,0,1,0,3,2,18,0.205,0.087,67,0,0.333,21,77,200,0,3,2022-03-18,127.105,4,20,25,3,15,10,5,3,4,280,5,4,9.0,2.0,0.0695,0.1575,0,7,13
10,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101040,2022-03-16T00:00:00,SAS vs. OKC,W,31.863333333333333,1,6,1,4,0,0,0,1,3,0,0,0,0,0,3,0.075,0.012,68,0,0.0,21,77,200,0,0,2022-03-16,123.375,4,21,27,3,16,8,6,6,4,267,7,6,10.0,3.0,0.08275,0.17775000000000002,0,7,11
11,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101024,2022-03-14T00:00:00,SAS vs. MIN,L,30.933333333333334,6,12,2,6,3,3,1,2,3,2,2,3,0,1,17,0.185,0.105,72,6,0.118,21,77,200,3,1,2022-03-14,92.44166666666666,3,15,21,2,14,5,4,4,1,195,7,5,7.0,2.0,0.07533333333333334,0.17533333333333334,0,7,9
12,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101007,2022-03-12T00:00:00,SAS vs. IND,L,36.916666666666664,8,20,3,6,0,0,2,5,3,1,1,0,3,1,19,0.214,0.079,82,8,0.105,21,77,200,4,1,2022-03-12,84.79166666666666,3,15,14,1,12,2,5,4,2,175,4,4,5.0,3.0,0.07033333333333334,0.17333333333333334,0,7,7
13,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022101002,2022-03-11T00:00:00,SAS vs. UTA,W,27.391666666666666,3,7,1,4,1,2,0,7,1,2,0,1,2,2,8,0.156,0.082,58,4,0.0,21,77,200,2,0,2022-03-11,57.4,2,11,11,1,5,1,3,4,1,117,2,2,3.0,3.0,0.0645,0.182,0,7,6
14,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100989,2022-03-09T00:00:00,SAS vs. TOR,L,28.133333333333333,3,9,1,5,1,1,0,2,1,1,3,0,2,2,8,0.156,0.065,55,2,0.25,21,77,200,1,1,2022-03-09,58.13333333333333,2,15,10,1,7,1,3,1,3,130,4,1,3.0,2.0,0.0625,0.193,0,7,4
15,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100955,2022-03-05T00:00:00,SAS @ CHA,L,29.266666666666666,6,13,2,6,0,0,1,3,0,2,1,1,0,0,14,0.208,0.064,62,4,0.286,21,77,200,2,2,2022-03-05,88.87666666666667,3,18,22,2,12,10,4,2,3,196,7,6,6.0,3.0,0.09366666666666668,0.21199999999999997,1,7,0
16,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100944,2022-03-03T00:00:00,SAS vs. SAC,L,28.866666666666667,5,12,4,9,0,0,0,4,1,1,0,2,4,1,14,0.178,0.061,68,2,0.0,21,77,200,1,0,2022-03-03,102.46000000000001,3,16,23,3,15,13,3,4,1,217,8,7,7.0,4.0,0.09366666666666668,0.19199999999999998,0,6,57
17,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100923,2022-02-28T00:00:00,SAS @ MEM,L,32.53333333333333,4,11,1,3,1,2,1,4,5,0,1,0,3,2,10,0.154,0.07,69,4,0.2,21,77,200,2,1,2022-02-28,69.92666666666668,2,13,15,2,11,8,3,3,1,148,5,5,5.0,3.0,0.1055,0.211,0,6,54
18,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100908,2022-02-26T00:00:00,SAS @ MIA,L,27.476666666666667,8,17,3,6,3,3,1,4,4,3,1,1,0,3,22,0.304,0.15,59,6,0.182,21,77,200,3,2,2022-02-26,42.45,1,7,4,1,7,4,0,2,0,89,5,2,2.0,1.0,0.061,0.118,0,6,52
19,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100899,2022-02-25T00:00:00,SAS @ WAS,W,42.45,4,11,1,7,3,3,1,7,4,0,2,0,5,2,12,0.118,0.061,89,4,0.167,21,77,200,2,1,2022-02-25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,51
20,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100881,2022-02-16T00:00:00,SAS @ OKC,W,33.333333333333336,6,14,2,8,1,1,1,4,6,1,0,1,1,2,15,0.172,0.113,73,6,0.133,21,77,200,3,1,2022-02-16,111.32833333333333,4,19,32,1,11,11,2,5,2,240,7,2,11.0,6.0,0.09775,0.2025,0,6,42
21,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100861,2022-02-14T00:00:00,SAS @ CHI,L,24.215,2,10,0,4,1,1,0,0,1,1,1,1,2,0,5,0.204,-0.03,53,4,0.0,21,77,200,2,0,2022-02-14,87.11333333333333,3,15,26,1,11,10,1,4,1,187,5,2,9.0,6.0,0.14033333333333334,0.20199999999999999,0,6,40
22,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100848,2022-02-12T00:00:00,SAS @ NOP,W,30.78,5,12,3,6,1,1,0,4,4,1,1,1,1,2,14,0.188,0.114,62,2,0.143,21,77,200,1,1,2022-02-12,56.33333333333333,2,9,20,1,7,6,0,3,0,125,4,0,8.0,5.0,0.1535,0.20900000000000002,0,6,38
23,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100841,2022-02-11T00:00:00,SAS @ ATL,W,28.133333333333333,9,13,2,2,0,0,1,4,3,0,1,0,1,0,20,0.186,0.163,65,6,0.4,21,77,200,3,4,2022-02-11,54.93333333333334,2,9,11,0,6,4,1,4,1,116,4,1,6.0,1.0,0.09799999999999999,0.161,0,6,37
24,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100825,2022-02-09T00:00:00,SAS @ CLE,L,28.2,8,16,2,7,0,0,0,3,3,0,2,0,3,0,18,0.232,0.144,60,10,0.111,21,77,200,5,1,2022-02-09,49.28333333333333,2,8,5,0,6,4,2,4,1,100,3,3,1.0,1.0,0.0535,0.151,0,6,35
25,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100792,2022-02-04T00:00:00,SAS vs. HOU,W,26.733333333333334,1,4,0,2,2,2,0,3,1,1,2,1,1,1,4,0.09,0.052,56,2,0.0,21,77,200,1,0,2022-02-04,105.55666666666666,4,23,19,0,22,11,2,4,0,217,8,7,3.0,3.0,0.077,0.196,0,6,30
26,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100521,2022-02-03T00:00:00,SAS vs. MIA,L,22.55,2,9,1,6,2,2,0,3,3,1,2,0,2,2,7,0.212,0.055,44,0,0.286,21,77,200,0,1,2022-02-03,83.00666666666666,3,17,16,0,19,8,1,2,0,173,6,5,3.0,2.0,0.08433333333333333,0.19066666666666665,0,6,29
27,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100771,2022-02-01T00:00:00,SAS vs. GSW,L,30.483333333333334,4,10,4,7,2,2,0,8,4,0,2,0,1,3,14,0.164,0.162,64,0,0.0,21,77,200,0,0,2022-02-01,111.12333333333333,4,22,27,1,18,10,3,0,1,237,7,4,6.0,6.0,0.07375,0.203,0,6,27
28,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100758,2022-01-30T00:00:00,SAS @ PHX,L,30.55,2,12,1,5,2,2,0,7,2,1,0,0,2,2,7,0.2,0.021,63,2,0.0,21,77,200,1,0,2022-01-30,100.87333333333333,4,23,26,2,14,9,2,0,1,215,8,2,8.0,6.0,0.10025,0.21675,0,6,25
29,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100742,2022-01-28T00:00:00,SAS vs. CHI,W,21.973333333333333,5,11,1,5,0,0,0,4,2,0,0,0,3,0,11,0.208,0.07,46,4,0.364,21,77,200,2,2,2022-01-28,102.61666666666667,4,23,26,2,13,8,2,1,1,217,6,3,7.0,7.0,0.0975,0.21475,0,6,23
30,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100728,2022-01-26T00:00:00,SAS vs. MEM,L,29.866666666666667,8,16,1,7,3,4,1,3,0,2,0,0,0,2,20,0.267,0.097,63,6,0.4,21,77,200,3,4,2022-01-26,95.30666666666667,4,21,22,1,18,9,0,3,3,200,10,2,7.0,3.0,0.1295,0.2,0,6,21
31,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100719,2022-01-25T00:00:00,SAS @ HOU,W,28.733333333333334,4,10,4,5,0,0,0,4,6,0,0,1,2,0,12,0.137,0.107,65,0,0.0,21,77,200,0,0,2022-01-25,66.57333333333334,3,16,17,1,14,3,0,3,2,135,8,2,7.0,3.0,0.137,0.221,0,6,20
32,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100704,2022-01-23T00:00:00,SAS vs. PHI,L,20.3,6,12,3,6,0,0,1,3,1,0,0,0,3,0,15,0.255,0.127,41,6,0.0,21,77,200,3,0,2022-01-23,73.77333333333334,3,17,16,0,15,2,0,4,2,149,8,3,4.0,5.0,0.10600000000000002,0.20166666666666666,0,6,18
33,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100691,2022-01-21T00:00:00,SAS vs. BKN,L,23.716666666666665,4,11,0,5,1,1,0,3,1,0,1,0,1,1,9,0.2,0.059,48,2,0.667,21,77,200,1,3,2022-01-21,108.76,4,23,21,2,26,2,4,6,3,223,14,3,5.0,3.0,0.09075,0.19675,0,6,16
34,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100676,2022-01-19T00:00:00,SAS vs. OKC,W,22.55666666666667,7,10,4,5,1,2,0,8,1,0,2,2,4,1,19,0.208,0.225,46,6,0.0,21,77,200,3,0,2022-01-19,108.18666666666667,4,24,20,2,23,1,4,4,2,230,14,6,3.0,4.0,0.047,0.1955,0,6,14
35,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100664,2022-01-17T00:00:00,SAS vs. PHX,L,27.5,4,12,2,7,0,0,0,4,0,0,1,0,3,1,10,0.197,0.034,55,0,0.4,21,77,200,0,2,2022-01-17,80.68666666666667,3,17,15,2,19,1,4,3,2,175,11,5,3.0,2.0,0.051333333333333335,0.19499999999999998,0,6,12
36,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100648,2022-01-15T00:00:00,SAS vs. LAC,W,30.666666666666668,3,11,2,7,2,2,1,10,1,1,1,1,2,1,10,0.173,0.088,63,2,0.0,21,77,200,1,0,2022-01-15,50.019999999999996,2,10,11,1,9,0,3,2,1,112,9,4,2.0,2.0,0.033,0.20600000000000002,0,6,10
37,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100638,2022-01-14T00:00:00,SAS vs. CLE,L,28.036666666666665,4,11,2,4,0,0,1,4,0,3,2,0,5,0,10,0.209,0.016,59,2,0.2,21,77,200,1,1,2022-01-14,21.983333333333334,1,6,4,0,5,0,0,0,1,53,4,4,1.0,1.0,0.05,0.203,0,6,9
38,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100623,2022-01-12T00:00:00,SAS vs. HOU,L,21.983333333333334,3,10,1,6,5,6,0,5,0,0,0,1,4,4,12,0.203,0.05,53,2,0.167,21,77,200,1,1,2022-01-12,32.18833333333333,1,7,7,0,6,0,2,0,2,63,4,2,2.0,3.0,0.079,0.232,0,6,7
39,2021-22,1630170,Devin Vassell,1610612759,SAS,San Antonio Spurs,0022100570,2022-01-05T00:00:00,SAS @ BOS,W,32.18833333333333,7,14,2,7,1,1,0,6,0,2,0,2,4,2,17,0.232,0.079,63,4,0.353,21,77,200,2,3,2022-01-05,89.6,3,23,12,1,8,8,4,3,1,193,7,2,7.0,0.0,0.07233333333333333,0.17600000000000002,1,6,0
