,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628984,Devonte' Graham,1610612740,NOP,New Orleans Pelicans,0022101213,2022-04-09T00:00:00,NOP @ MEM,L,18.333333333333332,3,6,1,4,2,3,0,0,4,3,1,0,0,1,9,0.208,0.095,42,2,0.222,27,73,195,1,1,2022-04-09,55.1,3,12,4,0,1,9,1,3,0,112,3,4,2.0,1.0,0.08900000000000001,0.145,1,15,0
1,2021-22,1628984,Devonte' Graham,1610612740,NOP,New Orleans Pelicans,0022101200,2022-04-07T00:00:00,NOP vs. POR,W,19.383333333333333,1,4,1,4,3,3,0,0,5,0,2,0,1,2,6,0.111,0.108,36,0,0.0,27,73,195,0,0,2022-04-07,49.93333333333334,3,11,6,0,2,5,2,1,0,106,2,2,2.0,2.0,0.07833333333333332,0.17066666666666666,0,14,20
2,2021-22,1628984,Devonte' Graham,1610612740,NOP,New Orleans Pelicans,0022101188,2022-04-05T00:00:00,NOP @ SAC,W,17.983333333333334,5,8,3,6,1,1,0,0,2,1,1,0,1,2,14,0.237,0.146,38,2,0.143,27,73,195,1,1,2022-04-05,47.68333333333334,3,9,5,0,4,4,1,0,1,102,1,0,2.0,1.0,0.04066666666666666,0.13566666666666669,0,14,18
3,2021-22,1628984,Devonte' Graham,1610612740,NOP,New Orleans Pelicans,0022101177,2022-04-03T00:00:00,NOP @ LAC,L,17.733333333333334,1,4,0,2,0,0,0,1,2,0,0,0,1,0,2,0.087,0.013,38,2,0.0,27,73,195,1,0,2022-04-03,46.7,3,11,5,1,4,4,1,0,1,100,0,0,2.0,1.0,0.03866666666666667,0.15666666666666665,0,14,16
4,2021-22,1628984,Devonte' Graham,1610612740,NOP,New Orleans Pelicans,0022101160,2022-04-01T00:00:00,NOP @ LAL,W,14.216666666666667,2,5,1,3,0,0,0,1,1,1,0,0,0,0,5,0.188,0.076,30,0,0.4,27,73,195,0,1,2022-04-01,60.733333333333334,3,15,6,2,3,5,1,0,2,122,0,1,2.0,0.0,0.013333333333333334,0.15133333333333335,0,14,14
5,2021-22,1628984,Devonte' Graham,1610612740,NOP,New Orleans Pelicans,0022101146,2022-03-30T00:00:00,NOP @ POR,W,15.733333333333333,1,5,0,4,0,0,0,2,1,0,0,1,0,0,2,0.132,0.033,34,2,0.0,27,73,195,1,0,2022-03-30,74.18333333333334,3,18,10,2,3,8,1,1,1,148,0,8,4.0,0.0,0.081,0.18433333333333332,0,14,12
6,2021-22,1628984,Devonte' Graham,1610612740,NOP,New Orleans Pelicans,0022101119,2022-03-27T00:00:00,NOP vs. LAL,W,16.75,1,6,0,4,0,0,1,1,2,0,0,0,0,0,2,0.15,0.007,36,2,0.0,27,73,195,1,0,2022-03-27,82.165,3,19,11,1,4,9,2,2,1,164,0,9,4.0,0.0,0.07866666666666666,0.18366666666666667,0,14,9
7,2021-22,1628984,Devonte' Graham,1610612740,NOP,New Orleans Pelicans,0022101107,2022-03-26T00:00:00,NOP vs. SAS,L,28.25,2,10,2,7,0,0,1,0,2,1,0,1,0,1,6,0.172,0.0,52,0,0.0,27,73,195,0,0,2022-03-26,53.915,2,12,8,0,4,7,1,2,0,112,0,8,4.0,0.0,0.118,0.1895,0,14,8
8,2021-22,1628984,Devonte' Graham,1610612740,NOP,New Orleans Pelicans,0022101098,2022-03-24T00:00:00,NOP vs. CHI,W,29.183333333333334,8,12,5,7,9,9,0,2,4,0,1,0,0,7,30,0.231,0.236,60,6,0.0,27,73,195,3,0,2022-03-24,45.415,2,11,4,0,3,5,1,3,0,96,3,1,1.0,0.0,0.045,0.1455,0,14,6
9,2021-22,1628984,Devonte' Graham,1610612740,NOP,New Orleans Pelicans,0022101071,2022-03-21T00:00:00,NOP @ CHA,L,24.731666666666666,1,8,0,5,0,0,0,2,3,1,1,0,0,1,2,0.148,0.0,52,2,0.0,27,73,195,1,0,2022-03-21,48.81666666666666,2,14,4,3,3,9,1,2,0,102,4,4,1.0,0.0,0.08149999999999999,0.16299999999999998,0,14,3
10,2021-22,1628984,Devonte' Graham,1610612740,NOP,New Orleans Pelicans,0022101054,2022-03-18T00:00:00,NOP @ SAS,W,20.683333333333334,3,7,3,6,0,0,0,1,2,0,2,0,3,0,9,0.143,0.09,44,0,0.0,27,73,195,0,0,2022-03-18,89.73333333333333,3,24,10,4,6,21,6,5,0,191,4,8,4.0,1.0,0.09133333333333332,0.18933333333333333,1,14,0
11,2021-22,1628984,Devonte' Graham,1610612740,NOP,New Orleans Pelicans,0022101032,2022-03-15T00:00:00,NOP vs. PHX,L,28.133333333333333,3,11,2,8,2,3,3,2,7,1,0,0,1,4,10,0.183,0.073,58,2,0.0,27,73,195,1,0,2022-03-15,114.68333333333334,4,29,12,2,9,23,9,8,0,244,5,6,4.0,2.0,0.0945,0.18475000000000003,0,13,50
