,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022101213,2022-04-09T00:00:00,MEM vs. NOP,W,23.766666666666666,9,16,3,5,2,2,0,3,5,0,0,0,2,4,23,0.267,0.208,53,10,0.087,26,79,225,5,1,2022-04-09,26.283333333333335,1,2,13,0,1,2,2,1,1,55,4,1,4.0,2.0,0.012,0.293,1,16,0
1,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022101201,2022-04-07T00:00:00,MEM @ DEN,L,26.283333333333335,6,15,0,2,0,0,0,1,2,2,1,1,4,1,12,0.293,0.012,55,8,0.333,26,79,225,4,2,2022-04-07,35.18333333333333,1,5,23,2,2,7,2,0,0,77,1,5,7.0,3.0,0.119,0.344,0,15,6
2,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022101155,2022-04-01T00:00:00,MEM vs. PHX,W,35.18333333333333,11,28,1,5,7,7,2,2,7,2,0,0,1,5,30,0.344,0.119,77,14,0.2,26,79,225,7,3,2022-04-01,77.95,3,12,37,4,7,5,5,1,0,162,12,12,15.0,9.0,0.09666666666666668,0.2916666666666667,1,15,0
3,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022101144,2022-03-30T00:00:00,MEM @ SAS,W,31.45,9,17,2,6,1,4,2,4,4,2,0,0,5,2,21,0.296,0.091,62,6,0.381,26,79,225,3,4,2022-03-30,80.11666666666667,3,13,40,4,4,3,3,2,1,167,12,15,15.0,7.0,0.081,0.2833333333333333,0,14,7
4,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022101129,2022-03-28T00:00:00,MEM vs. GSW,W,22.0,9,15,1,3,2,4,1,1,0,2,1,0,3,6,21,0.298,0.13,48,6,0.476,26,79,225,3,5,2022-03-28,58.11666666666667,2,10,28,3,3,3,1,1,1,119,9,9,12.0,2.0,0.0565,0.276,0,14,5
5,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022101112,2022-03-26T00:00:00,MEM vs. MIL,W,24.5,9,17,0,3,1,2,1,2,1,1,0,0,4,4,19,0.281,0.069,52,18,0.0,26,79,225,9,0,2022-03-26,58.93833333333333,2,12,27,3,4,3,1,4,1,125,7,7,7.0,4.0,0.101,0.2995,0,14,3
6,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022101089,2022-03-23T00:00:00,MEM vs. BKN,W,33.61666666666667,7,21,2,7,5,5,2,1,2,0,1,1,5,5,21,0.271,0.044,67,6,0.19,26,79,225,3,2,2022-03-23,51.5,2,9,22,2,6,2,2,4,1,114,6,5,8.0,2.0,0.1,0.2715,1,14,0
7,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022101063,2022-03-20T00:00:00,MEM @ HOU,W,25.321666666666665,8,18,2,5,2,2,1,3,1,1,3,0,2,2,20,0.328,0.158,58,8,0.2,26,79,225,4,2,2022-03-20,76.345,3,12,27,3,4,9,3,3,2,165,10,9,12.0,0.0,0.04566666666666667,0.22466666666666665,0,13,71
8,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022101047,2022-03-18T00:00:00,MEM @ ATL,L,26.178333333333335,5,13,1,4,0,0,1,3,1,1,1,1,4,3,11,0.215,0.042,56,8,0.0,26,79,225,4,0,2022-03-18,50.166666666666664,2,8,18,2,1,8,2,2,1,109,6,6,8.0,0.0,0.0475,0.22949999999999998,0,13,69
9,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022101029,2022-03-15T00:00:00,MEM @ IND,W,24.45,3,12,0,5,4,6,0,1,4,1,1,1,2,5,10,0.217,0.02,55,6,0.0,26,79,225,3,0,2022-03-15,25.716666666666665,1,3,11,2,0,4,1,1,0,54,4,1,5.0,0.0,0.075,0.242,0,13,66
10,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022101018,2022-03-13T00:00:00,MEM @ OKC,W,25.716666666666665,6,14,1,3,2,2,2,0,4,1,1,0,4,1,15,0.242,0.075,54,10,0.0,26,79,225,5,0,2022-03-13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,13,64
11,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022100591,2022-01-08T00:00:00,MEM @ LAC,W,6.85,1,3,0,0,0,0,1,0,0,0,1,0,2,1,2,0.188,-0.014,13,2,0.0,26,79,225,1,0,2022-01-08,24.5,1,4,13,2,1,5,1,3,2,53,1,3,6.0,1.0,0.202,0.281,1,13,0
12,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022100579,2022-01-06T00:00:00,MEM vs. DET,W,24.5,8,17,1,4,1,1,2,1,5,1,3,2,1,3,18,0.281,0.202,53,12,0.111,26,79,225,6,1,2022-01-06,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,14
13,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022100485,2021-12-23T00:00:00,MEM @ GSW,L,34.71666666666667,6,15,1,2,0,0,0,1,2,2,2,0,5,1,13,0.213,0.014,71,4,0.462,26,79,225,2,3,2021-12-23,103.35000000000002,3,21,47,4,7,7,3,3,0,219,10,8,21.0,3.0,0.10866666666666668,0.2936666666666667,1,12,0
14,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022100460,2021-12-20T00:00:00,MEM vs. OKC,L,34.81666666666667,9,23,1,7,0,1,0,2,2,1,1,0,3,3,19,0.267,0.039,74,16,0.0,26,79,225,8,0,2021-12-20,133.1,4,26,50,6,16,13,6,3,0,283,11,15,21.0,6.0,0.14325,0.2935,0,11,12
15,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022100450,2021-12-19T00:00:00,MEM vs. POR,L,34.7,12,25,4,10,9,9,1,2,3,0,1,0,5,4,37,0.358,0.178,72,10,0.162,26,79,225,5,3,2021-12-19,98.4,3,16,35,5,14,10,6,2,0,211,6,11,16.0,3.0,0.13166666666666668,0.272,0,11,11
16,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022100440,2021-12-17T00:00:00,MEM @ SAC,W,33.833333333333336,10,20,2,4,1,1,3,3,2,2,1,0,2,1,23,0.256,0.109,73,16,0.0,26,79,225,8,0,2021-12-17,97.43333333333334,3,16,32,2,11,10,5,1,0,201,8,17,11.0,5.0,0.12366666666666669,0.2826666666666667,0,11,9
17,2021-22,1628415,Dillon Brooks,1610612763,MEM,Memphis Grizzlies,0022100426,2021-12-15T00:00:00,MEM @ POR,W,37.1,6,16,2,7,8,10,1,6,6,3,0,0,1,6,22,0.279,0.124,78,6,0.091,26,79,225,3,1,2021-12-15,93.34166666666667,3,12,38,1,9,6,2,3,0,189,12,12,14.0,5.0,0.10166666666666667,0.26566666666666666,0,11,7
