,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,0022101210,2022-04-08T00:00:00,UTA vs. PHX,L,34.96666666666667,7,21,1,4,3,3,1,6,5,1,1,0,1,4,18,0.274,0.091,75,8,0.222,25,73,215,4,2,2022-04-08,74.18333333333334,2,19,24,2,10,8,2,3,0,155,5,9,9.0,0.0,0.1095,0.28,1,22,0
1,2021-22,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,0022101187,2022-04-05T00:00:00,UTA vs. MEM,W,41.45,6,24,1,9,7,8,2,7,5,1,1,0,3,5,20,0.276,0.068,89,10,0.0,25,73,215,5,0,2022-04-05,100.63500000000002,3,24,38,1,5,16,8,4,0,203,4,17,19.0,4.0,0.162,0.333,1,21,0
2,2021-22,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,0022101165,2022-04-02T00:00:00,UTA @ GSW,L,32.733333333333334,8,19,4,10,6,7,0,3,3,1,2,0,2,4,26,0.284,0.151,66,8,0.0,25,73,215,4,0,2022-04-02,99.715,3,18,38,1,7,17,9,3,0,196,3,18,18.0,4.0,0.14066666666666663,0.318,0,20,17
3,2021-22,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,0022101150,2022-03-31T00:00:00,UTA vs. LAL,W,32.35,11,22,4,10,3,4,0,1,7,1,1,0,0,3,29,0.325,0.177,65,10,0.138,25,73,215,5,2,2022-03-31,102.94833333333335,3,19,36,2,8,17,14,3,0,199,5,19,18.0,3.0,0.12666666666666668,0.331,0,20,15
4,2021-22,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,0022101135,2022-03-29T00:00:00,UTA @ LAC,L,35.55166666666667,12,21,0,4,9,12,1,1,6,6,1,0,2,10,33,0.39,0.158,72,20,0.121,25,73,215,10,2,2022-03-29,102.09666666666668,3,27,31,2,12,12,10,4,0,195,5,16,15.0,4.0,0.1376666666666667,0.322,0,20,13
5,2021-22,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,0022101121,2022-03-27T00:00:00,UTA @ DAL,L,31.813333333333333,4,13,1,4,3,3,0,5,4,2,1,0,1,5,12,0.239,0.087,59,6,0.0,25,73,215,3,0,2022-03-27,142.91666666666669,4,50,39,4,16,17,17,4,0,274,10,18,20.0,4.0,0.16975,0.36924999999999997,0,20,11
6,2021-22,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,0022101100,2022-03-25T00:00:00,UTA @ CHA,L,35.583333333333336,10,21,4,11,2,2,1,2,7,6,1,0,2,4,26,0.364,0.135,68,10,0.077,25,73,215,5,1,2022-03-25,107.33333333333333,3,39,29,3,14,10,11,3,0,206,8,14,15.0,3.0,0.18133333333333335,0.371,0,20,9
7,2021-22,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,0022101087,2022-03-23T00:00:00,UTA @ BOS,L,34.7,13,24,3,12,8,8,1,5,1,2,2,0,2,7,37,0.363,0.191,68,14,0.162,25,73,215,7,3,2022-03-23,101.55,3,42,24,2,12,14,13,1,0,201,10,9,11.0,0.0,0.18400000000000002,0.3893333333333333,0,20,7
8,2021-22,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,0022101075,2022-03-21T00:00:00,UTA @ BKN,L,35.65,9,23,5,15,7,7,1,2,3,6,0,0,4,3,30,0.395,0.078,71,8,0.0,25,73,215,4,0,2022-03-21,106.25,3,44,31,2,15,19,11,2,0,216,9,8,11.0,1.0,0.18866666666666668,0.37866666666666665,0,20,5
9,2021-22,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,0022101067,2022-03-20T00:00:00,UTA @ NYK,W,36.983333333333334,11,21,7,12,7,7,1,7,6,3,1,0,2,4,36,0.355,0.275,67,8,0.0,25,73,215,4,0,2022-03-20,69.26666666666667,2,32,22,1,8,13,8,1,0,149,7,4,7.0,1.0,0.14550000000000002,0.39049999999999996,0,20,4
