,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101219,2022-04-10T00:00:00,DAL vs. SAS,W,27.25,6,7,4,5,0,0,0,3,1,0,1,0,0,0,16,0.108,0.145,59,4,0.0,29,79,220,2,0,2022-04-10,100.83333333333334,3,18,5,3,8,10,1,5,2,204,5,3,5.0,0.0,0.13,0.11399999999999999,0,15,32
1,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101209,2022-04-08T00:00:00,DAL vs. POR,W,23.916666666666668,5,7,5,7,0,0,2,5,1,0,2,1,1,1,15,0.127,0.221,48,0,0.0,29,79,220,0,0,2022-04-08,103.99999999999999,3,16,6,2,4,10,2,4,1,212,7,3,6.0,0.0,0.06766666666666667,0.11,0,15,30
2,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101190,2022-04-06T00:00:00,DAL @ DET,W,35.733333333333334,5,7,3,5,0,0,1,2,3,1,1,0,2,0,13,0.104,0.091,71,4,0.0,29,79,220,2,0,2022-04-06,105.11833333333334,3,23,8,2,3,10,2,3,2,214,8,5,8.0,0.0,0.07966666666666666,0.14766666666666667,0,15,28
3,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101167,2022-04-03T00:00:00,DAL @ MIL,W,41.18333333333333,4,9,1,6,2,2,0,1,6,0,2,1,2,2,11,0.111,0.078,85,6,0.0,29,79,220,3,0,2022-04-03,126.59833333333333,4,25,9,5,3,7,2,2,2,245,11,3,7.0,0.0,0.063,0.12925,0,15,25
4,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101152,2022-04-01T00:00:00,DAL @ WAS,L,27.083333333333332,3,6,2,5,0,0,1,1,1,1,1,0,3,1,8,0.115,0.034,56,2,0.0,29,79,220,1,0,2022-04-01,131.71499999999997,4,28,11,6,4,6,2,1,4,254,10,2,8.0,0.0,0.0545,0.14150000000000001,0,15,23
5,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101136,2022-03-30T00:00:00,DAL @ CLE,W,36.85166666666667,10,16,6,12,2,3,1,1,3,1,0,1,3,2,28,0.217,0.127,73,8,0.0,29,79,220,4,0,2022-03-30,129.68,4,24,13,6,7,4,1,4,3,250,7,2,8.0,0.0,0.0535,0.13324999999999998,0,15,21
6,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101134,2022-03-29T00:00:00,DAL vs. LAL,W,30.5,3,6,2,4,0,0,1,0,0,0,1,1,4,0,8,0.094,0.022,58,2,0.0,29,79,220,1,0,2022-03-29,99.18,3,20,11,5,7,4,1,3,2,192,3,2,7.0,0.0,0.064,0.14633333333333334,0,15,20
7,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101121,2022-03-27T00:00:00,DAL vs. UTA,W,32.163333333333334,3,6,2,4,0,0,2,1,3,0,0,0,1,0,8,0.091,0.069,58,2,0.0,29,79,220,1,0,2022-03-27,103.08333333333334,3,24,12,5,11,5,1,3,2,206,3,3,9.0,0.0,0.08266666666666667,0.163,0,15,18
8,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101104,2022-03-25T00:00:00,DAL @ MIN,L,32.2,3,11,1,8,0,0,2,2,0,1,0,2,2,0,7,0.164,0.0,65,4,0.0,29,79,220,2,0,2022-03-25,133.05,4,27,15,4,16,6,3,4,0,263,5,3,9.0,0.0,0.08375,0.15525,0,15,16
9,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101092,2022-03-23T00:00:00,DAL vs. HOU,W,34.81666666666667,6,14,2,8,0,1,1,4,1,0,3,0,0,2,14,0.184,0.123,69,8,0.0,29,79,220,4,0,2022-03-23,131.94,4,22,12,5,16,5,5,1,0,254,10,2,7.0,0.0,0.06025,0.14175,0,15,14
10,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101079,2022-03-21T00:00:00,DAL vs. MIN,W,36.06666666666667,6,11,3,8,0,0,2,5,4,0,0,0,1,1,15,0.141,0.125,72,6,0.0,29,79,220,3,0,2022-03-21,95.87333333333333,3,14,9,3,11,1,5,1,0,182,9,1,4.0,0.0,0.03866666666666667,0.14200000000000002,0,15,12
11,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101059,2022-03-19T00:00:00,DAL @ CHA,L,28.0,3,10,2,6,0,0,0,1,1,0,1,0,1,0,8,0.161,0.021,55,2,0.0,29,79,220,1,0,2022-03-19,106.15666666666667,3,15,9,3,14,3,7,2,1,201,9,2,6.0,0.0,0.076,0.14666666666666667,0,15,10
12,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101046,2022-03-18T00:00:00,DAL @ PHI,L,34.166666666666664,4,7,3,5,0,0,1,6,0,3,0,0,3,0,11,0.135,0.066,67,2,0.0,29,79,220,1,0,2022-03-18,71.99,2,10,7,2,8,3,4,2,1,134,6,2,5.0,0.0,0.081,0.1525,0,15,9
13,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101036,2022-03-16T00:00:00,DAL @ BKN,W,33.70666666666666,3,6,1,3,2,2,2,4,0,2,0,0,5,1,9,0.13,0.029,60,4,0.0,29,79,220,2,0,2022-03-16,72.83333333333333,2,11,9,3,6,5,4,2,2,139,4,2,6.0,0.0,0.094,0.15899999999999997,0,15,7
14,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022101014,2022-03-13T00:00:00,DAL @ BOS,W,38.28333333333333,7,11,4,7,1,2,0,4,3,2,2,1,1,1,19,0.175,0.133,74,6,0.0,29,79,220,3,0,2022-03-13,73.33333333333333,2,14,9,7,3,4,2,1,1,140,6,2,7.0,0.0,0.085,0.15749999999999997,0,15,4
15,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022100988,2022-03-09T00:00:00,DAL vs. NYK,L,34.55,4,9,1,4,0,0,3,2,2,2,0,1,3,1,9,0.143,0.055,65,6,0.0,29,79,220,3,0,2022-03-09,107.26499999999999,3,26,10,6,8,6,1,3,0,211,9,6,8.0,0.0,0.10733333333333334,0.161,1,15,0
16,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022100972,2022-03-07T00:00:00,DAL vs. UTA,W,38.78333333333333,8,14,4,10,1,2,4,1,2,0,1,0,3,1,21,0.172,0.115,75,8,0.0,29,79,220,4,0,2022-03-07,107.91499999999999,3,23,9,4,14,6,2,3,1,217,9,7,7.0,0.0,0.10266666666666668,0.14766666666666667,0,14,74
17,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022100954,2022-03-05T00:00:00,DAL vs. SAC,W,33.065,6,13,5,11,0,0,0,6,2,1,2,0,4,4,17,0.194,0.109,66,2,0.0,29,79,220,1,0,2022-03-05,111.03333333333333,3,16,12,7,14,6,2,1,2,223,6,4,9.0,0.0,0.11133333333333334,0.129,0,14,72
18,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022100943,2022-03-03T00:00:00,DAL vs. GSW,W,35.416666666666664,7,9,4,5,0,0,2,1,2,0,0,0,2,1,18,0.117,0.098,70,6,0.0,29,79,220,3,0,2022-03-03,103.53333333333333,3,14,10,6,16,5,3,1,2,206,8,4,8.0,0.0,0.09000000000000001,0.12166666666666666,0,14,70
19,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022100931,2022-03-01T00:00:00,DAL @ LAL,W,39.43333333333333,6,10,3,7,1,3,2,7,2,1,1,1,3,2,16,0.132,0.101,81,6,0.0,29,79,220,3,0,2022-03-01,64.1,2,7,7,4,9,3,2,0,1,125,5,2,5.0,0.0,0.0845,0.1165,0,14,68
20,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022100917,2022-02-27T00:00:00,DAL @ GSW,W,36.18333333333333,5,9,2,4,2,2,3,6,2,1,0,1,1,1,14,0.138,0.135,72,6,0.0,29,79,220,3,0,2022-02-27,27.916666666666668,1,3,2,1,3,1,1,0,0,53,4,1,2.0,0.0,0.034,0.095,0,14,66
21,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022100903,2022-02-25T00:00:00,DAL @ UTA,L,27.916666666666668,3,5,1,3,0,0,1,3,1,1,0,0,4,1,7,0.095,0.034,53,4,0.0,29,79,220,2,0,2022-02-25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,14,64
22,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022100886,2022-02-17T00:00:00,DAL @ NOP,W,37.44,5,6,4,5,0,0,0,3,0,0,3,0,3,0,14,0.072,0.106,76,2,0.0,29,79,220,1,0,2022-02-17,115.585,3,15,8,5,9,4,6,3,1,222,11,2,4.0,1.0,0.04700000000000001,0.12066666666666666,0,14,56
23,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022100868,2022-02-15T00:00:00,DAL @ MIA,W,35.88166666666667,5,9,4,7,0,0,3,2,1,1,0,1,4,0,14,0.133,0.093,67,2,0.0,29,79,220,1,0,2022-02-15,108.82,3,11,9,3,13,6,7,5,0,212,9,3,5.0,1.0,0.06233333333333333,0.11866666666666666,0,14,54
24,2021-22,1627827,Dorian Finney-Smith,1610612742,DAL,Dallas Mavericks,0022100853,2022-02-12T00:00:00,DAL vs. LAC,L,39.00333333333333,1,4,0,2,1,2,1,1,2,2,0,0,3,1,3,0.08,-0.018,75,0,0.667,29,79,220,0,1,2022-02-12,111.68333333333334,3,19,9,3,15,6,6,6,1,220,8,3,5.0,0.0,0.08266666666666667,0.14100000000000001,0,14,51
