,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022101225,2022-04-10T00:00:00,GSW @ NOP,W,24.9,2,2,1,1,2,2,0,3,6,2,1,0,1,2,7,0.091,0.144,53,0,0.286,32,78,230,0,1,2022-04-10,82.09666666666666,3,3,21,1,22,20,9,4,5,177,15,5,11.0,0.0,0.12833333333333333,0.17,0,52,14
1,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022101215,2022-04-09T00:00:00,GSW @ SAS,W,31.683333333333334,6,10,0,1,0,0,0,13,8,4,1,1,4,2,12,0.187,0.204,67,12,0.0,32,78,230,6,0,2022-04-09,83.53,3,2,17,1,18,19,8,3,5,177,15,6,8.0,0.0,0.10033333333333333,0.15466666666666665,0,52,13
2,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022101202,2022-04-07T00:00:00,GSW vs. LAL,W,26.433333333333334,5,9,0,0,0,0,0,3,7,2,2,2,5,2,10,0.175,0.093,60,10,0.0,32,78,230,5,0,2022-04-07,57.096666666666664,2,2,8,1,15,12,6,1,3,117,10,4,3.0,0.0,0.104,0.1445,0,52,11
3,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022101176,2022-04-03T00:00:00,GSW @ SAC,W,23.98,2,5,2,2,0,0,1,6,5,3,1,2,6,1,6,0.148,0.088,50,0,0.0,32,78,230,0,0,2022-04-03,90.13166666666666,3,1,14,3,21,20,10,5,4,195,12,9,7.0,0.0,0.11366666666666668,0.14233333333333334,0,52,7
4,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022101165,2022-04-02T00:00:00,GSW vs. UTA,W,33.11666666666667,3,5,0,0,4,5,0,9,7,3,0,1,4,3,10,0.141,0.12,67,6,0.0,32,78,230,3,0,2022-04-02,57.015,2,1,9,3,12,13,7,5,3,128,8,6,4.0,0.0,0.11049999999999999,0.14300000000000002,0,52,6
5,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022101145,2022-03-30T00:00:00,GSW vs. PHX,L,31.481666666666666,2,4,0,0,4,5,1,9,7,4,2,3,4,4,8,0.122,0.15,72,4,0.0,32,78,230,2,0,2022-03-30,49.36666666666667,2,2,7,4,6,9,8,3,0,107,7,4,3.0,0.0,0.0355,0.157,0,52,3
6,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022101117,2022-03-27T00:00:00,GSW @ WAS,L,25.533333333333335,2,6,0,1,3,3,2,3,6,3,3,0,4,2,7,0.164,0.071,56,4,0.0,32,78,230,2,0,2022-03-27,71.44166666666666,3,2,7,3,11,15,8,2,0,151,10,4,3.0,0.0,0.05933333333333333,0.10966666666666665,1,52,0
7,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022101102,2022-03-25T00:00:00,GSW @ ATL,L,23.833333333333332,1,3,0,1,2,3,2,3,3,5,0,0,3,2,4,0.15,0.0,51,2,0.0,32,78,230,1,0,2022-03-25,47.608333333333334,2,1,5,1,8,12,3,2,0,100,7,2,2.0,0.0,0.089,0.0895,0,51,3
8,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022101080,2022-03-22T00:00:00,GSW @ ORL,L,29.391666666666666,1,3,0,0,0,0,0,3,7,1,2,0,3,1,2,0.059,0.1,62,2,0.0,32,78,230,1,0,2022-03-22,40.5,2,3,2,1,13,8,3,1,0,84,6,3,1.0,0.0,0.09,0.0985,1,51,0
9,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022101070,2022-03-20T00:00:00,GSW vs. SAS,L,18.216666666666665,1,3,0,1,2,2,1,5,5,2,0,0,4,1,4,0.12,0.078,38,2,0.0,32,78,230,1,0,2022-03-20,42.400000000000006,2,5,1,0,15,9,4,2,0,91,4,3,1.0,0.0,0.107,0.122,0,50,70
10,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022101042,2022-03-16T00:00:00,GSW vs. BOS,L,22.283333333333335,0,2,0,2,2,2,0,8,3,1,1,0,2,2,2,0.077,0.102,46,0,0.0,32,78,230,0,0,2022-03-16,20.116666666666667,1,3,1,0,7,6,3,1,0,45,2,1,1.0,0.0,0.112,0.167,0,50,66
11,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022101025,2022-03-14T00:00:00,GSW vs. WAS,W,20.116666666666667,2,4,1,3,1,2,0,7,6,3,1,0,2,1,6,0.167,0.112,45,2,0.0,32,78,230,1,0,2022-03-14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,50,64
12,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100604,2022-01-09T00:00:00,GSW vs. CLE,W,0.11666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0,0,0.0,32,78,230,0,0,2022-01-09,68.02333333333334,2,4,5,2,9,17,7,3,5,138,6,2,2.0,0.0,0.0645,0.1085,1,50,0
13,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100572,2022-01-05T00:00:00,GSW @ DAL,L,31.795,1,4,0,1,0,0,0,3,4,5,2,1,2,1,2,0.127,0.017,63,2,0.0,32,78,230,1,0,2022-01-05,36.22833333333333,1,3,2,2,6,13,2,1,4,75,4,1,1.0,0.0,0.112,0.09,1,49,0
14,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100559,2022-01-03T00:00:00,GSW vs. MIA,W,36.22833333333333,2,5,1,3,0,0,2,6,13,2,1,4,4,1,5,0.09,0.112,75,2,0.0,32,78,230,1,0,2022-01-03,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,48,9
15,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100490,2021-12-25T00:00:00,GSW @ PHX,W,34.095,3,7,2,4,0,0,2,6,10,4,3,3,1,2,8,0.143,0.142,66,2,0.0,32,78,230,1,0,2021-12-25,66.765,2,5,14,1,15,19,10,4,5,139,7,5,10.0,0.0,0.132,0.1965,1,48,0
16,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100485,2021-12-23T00:00:00,GSW vs. MEM,W,33.57,4,8,0,3,0,0,0,5,9,5,2,3,4,3,8,0.163,0.081,71,8,0.0,32,78,230,4,0,2021-12-23,64.46166666666667,2,5,12,1,15,18,7,2,3,133,8,3,8.0,0.0,0.1305,0.174,0,47,6
17,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100462,2021-12-20T00:00:00,GSW vs. SAC,W,33.195,7,11,1,2,1,2,1,10,10,5,2,2,3,2,16,0.23,0.183,68,12,0.0,32,78,230,6,0,2021-12-20,94.09833333333333,3,5,17,4,21,20,8,1,4,190,12,7,10.0,1.0,0.13066666666666668,0.151,0,47,3
18,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100435,2021-12-17T00:00:00,GSW @ BOS,W,31.266666666666666,2,6,0,3,2,2,0,5,8,2,0,1,5,1,6,0.118,0.078,65,4,0.0,32,78,230,2,0,2021-12-17,91.31,3,3,17,4,20,14,8,4,3,184,12,9,10.0,1.0,0.12633333333333333,0.15133333333333332,1,47,0
19,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100414,2021-12-14T00:00:00,GSW @ NYK,W,31.805,3,6,1,1,1,2,2,9,7,3,1,3,3,3,8,0.141,0.17,63,4,0.0,32,78,230,2,0,2021-12-14,91.955,3,3,16,4,19,15,8,4,1,191,11,11,9.0,1.0,0.10833333333333334,0.15066666666666667,0,46,26
20,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100405,2021-12-13T00:00:00,GSW @ IND,W,31.026666666666667,7,10,0,1,1,2,2,7,5,3,0,0,4,3,15,0.194,0.144,62,12,0.133,32,78,230,6,1,2021-12-13,89.42833333333334,3,2,11,3,18,13,8,7,2,187,10,9,6.0,0.0,0.09266666666666667,0.12566666666666668,0,46,25
21,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100396,2021-12-11T00:00:00,GSW @ PHI,L,28.47833333333333,2,4,0,1,3,4,0,4,2,2,3,0,5,3,7,0.119,0.065,59,4,0.0,32,78,230,2,0,2021-12-11,93.78333333333333,3,3,13,4,21,20,10,5,3,193,6,7,8.0,0.0,0.11966666666666666,0.138,0,46,23
22,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100376,2021-12-08T00:00:00,GSW vs. POR,W,32.45,1,5,0,1,3,6,2,8,8,3,1,1,2,5,5,0.139,0.116,70,2,0.0,32,78,230,1,0,2021-12-08,91.78333333333333,3,3,14,2,22,21,9,10,5,188,6,4,9.0,1.0,0.165,0.12866666666666668,0,46,20
23,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100361,2021-12-06T00:00:00,GSW vs. ORL,W,28.5,3,4,0,0,1,2,1,6,3,3,3,1,3,1,7,0.119,0.097,58,6,0.0,32,78,230,3,0,2021-12-06,95.70833333333333,3,3,18,4,24,23,11,7,5,193,6,3,10.0,1.0,0.16166666666666665,0.14600000000000002,0,46,18
24,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100346,2021-12-04T00:00:00,GSW vs. SAS,L,32.833333333333336,4,7,0,2,1,2,1,7,9,4,1,1,1,1,9,0.156,0.146,65,8,0.0,32,78,230,4,0,2021-12-04,92.935,3,1,20,3,21,21,11,8,4,190,9,5,9.0,1.0,0.13899999999999998,0.155,0,46,16
25,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100340,2021-12-03T00:00:00,GSW vs. PHX,W,30.45,4,6,1,1,0,0,0,9,9,2,6,3,2,2,9,0.111,0.252,65,4,0.222,32,78,230,2,1,2021-12-03,96.785,3,1,22,4,19,24,15,4,4,196,10,6,12.0,0.0,0.10099999999999999,0.18133333333333335,0,46,15
26,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100316,2021-11-30T00:00:00,GSW @ PHX,L,32.425,4,8,0,0,0,0,3,8,5,5,0,1,3,0,8,0.171,0.087,63,8,0.0,32,78,230,4,0,2021-11-30,92.74333333333334,3,2,18,1,20,26,14,5,3,192,11,8,11.0,0.0,0.12266666666666666,0.18266666666666667,0,46,12
27,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100300,2021-11-28T00:00:00,GSW @ LAC,W,30.06,3,7,0,0,2,4,0,4,7,4,2,0,4,3,8,0.183,0.078,62,6,0.0,32,78,230,3,0,2021-11-28,94.67333333333333,3,3,13,1,30,27,11,3,4,194,8,9,9.0,0.0,0.15666666666666668,0.14466666666666667,0,46,10
28,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100290,2021-11-26T00:00:00,GSW vs. POR,W,34.3,5,8,0,1,2,3,1,7,12,6,2,3,3,3,12,0.19,0.138,71,10,0.0,32,78,230,5,0,2021-11-26,60.373333333333335,2,2,6,0,23,15,5,1,1,123,5,6,4.0,0.0,0.16599999999999998,0.122,0,46,8
29,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100278,2021-11-24T00:00:00,GSW vs. PHI,W,28.383333333333333,3,5,0,1,4,4,0,9,7,4,1,0,4,2,10,0.175,0.152,59,6,0.0,32,78,230,3,0,2021-11-24,61.806666666666665,2,2,4,1,15,22,3,1,2,119,2,5,3.0,0.0,0.1545,0.07600000000000001,0,46,6
30,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100252,2021-11-21T00:00:00,GSW vs. TOR,W,31.99,1,3,0,1,2,2,0,14,8,1,0,1,1,4,4,0.069,0.18,64,2,0.0,32,78,230,1,0,2021-11-21,90.99166666666667,3,5,11,1,13,28,8,2,3,189,7,2,10.0,0.0,0.12833333333333333,0.11566666666666668,0,46,3
31,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100224,2021-11-18T00:00:00,GSW @ CLE,W,29.816666666666666,2,3,0,1,0,0,1,1,14,2,1,1,1,1,4,0.083,0.129,55,4,0.0,32,78,230,2,0,2021-11-18,89.19166666666666,3,5,14,1,20,21,8,2,2,194,9,1,11.0,0.0,0.1386666666666667,0.129,1,46,0
32,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100210,2021-11-16T00:00:00,GSW @ BKN,W,28.716666666666665,5,6,1,2,0,0,0,6,8,3,1,0,3,1,11,0.134,0.137,64,8,0.0,32,78,230,4,0,2021-11-16,81.71000000000001,3,4,12,3,17,19,8,3,3,178,6,5,7.0,0.0,0.14533333333333334,0.14266666666666666,0,45,186
33,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100194,2021-11-14T00:00:00,GSW @ CHA,L,32.458333333333336,5,7,1,2,0,0,0,6,6,3,0,2,3,0,11,0.13,0.119,70,8,0.0,32,78,230,4,0,2021-11-14,101.48666666666666,4,4,18,8,21,31,14,5,2,220,10,6,7.0,1.0,0.1245,0.16374999999999998,0,45,184
34,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100183,2021-11-12T00:00:00,GSW vs. CHI,W,28.016666666666666,4,6,1,1,0,0,1,8,7,2,1,0,3,0,9,0.123,0.16,60,6,0.0,32,78,230,3,0,2021-11-12,97.97,4,5,16,11,17,29,12,5,3,210,11,9,7.0,1.0,0.12175,0.15874999999999997,0,45,182
35,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100169,2021-11-10T00:00:00,GSW vs. MIN,W,21.235,0,3,0,1,7,8,2,3,6,3,2,1,0,5,7,0.175,0.157,48,0,0.0,32,78,230,0,0,2021-11-10,111.53999999999999,4,4,19,10,23,31,12,4,2,240,13,6,9.0,1.0,0.10824999999999999,0.142,0,45,180
36,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100152,2021-11-08T00:00:00,GSW vs. ATL,W,29.855,2,8,0,1,0,0,4,3,9,3,2,0,3,1,4,0.145,0.055,64,4,0.0,32,78,230,2,0,2021-11-08,81.685,3,3,12,6,20,22,9,2,2,176,10,5,7.0,1.0,0.126,0.141,0,45,178
37,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100145,2021-11-07T00:00:00,GSW vs. HOU,W,22.38,3,5,0,1,0,0,1,7,9,6,0,1,4,0,6,0.212,0.126,48,4,0.333,32,78,230,2,1,2021-11-07,59.305,2,2,8,5,13,13,3,2,1,128,6,5,5.0,0.0,0.126,0.1055,0,45,177
38,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100130,2021-11-05T00:00:00,GSW vs. NOP,W,24.5,3,5,0,2,2,2,4,4,5,0,1,1,4,3,8,0.103,0.149,50,6,0.0,32,78,230,3,0,2021-11-05,60.31833333333333,2,2,11,1,20,16,5,1,1,133,4,3,7.0,0.0,0.18,0.1425,0,45,175
39,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100117,2021-11-03T00:00:00,GSW vs. CHA,W,34.805,2,5,0,0,1,3,1,9,8,3,1,0,2,2,5,0.108,0.103,78,4,0.0,32,78,230,2,0,2021-11-03,63.129999999999995,2,2,11,1,22,15,7,3,6,133,4,2,7.0,0.0,0.1985,0.15,0,45,173
40,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100086,2021-10-30T00:00:00,GSW vs. OKC,W,25.513333333333332,6,8,1,2,1,2,0,11,8,2,0,1,2,1,14,0.177,0.257,55,10,0.0,32,78,230,5,0,2021-10-30,104.07333333333332,3,3,18,4,23,21,10,6,6,222,8,6,9.0,0.0,0.12166666666666666,0.13633333333333333,0,45,169
41,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100070,2021-10-28T00:00:00,GSW vs. MEM,L,37.61666666666667,2,5,0,0,0,0,1,11,7,5,3,5,2,1,4,0.123,0.14,78,4,0.0,32,78,230,2,0,2021-10-28,100.17333333333335,3,3,18,3,18,21,6,4,1,218,9,12,11.0,0.0,0.10099999999999999,0.135,0,45,167
42,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100051,2021-10-26T00:00:00,GSW @ OKC,W,32.075,3,4,1,1,1,2,1,8,8,4,3,1,5,1,8,0.117,0.119,69,4,0.0,32,78,230,2,0,2021-10-26,98.03666666666666,3,2,20,5,15,19,7,2,0,222,7,13,11.0,0.0,0.078,0.14433333333333334,0,45,165
43,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100039,2021-10-24T00:00:00,GSW @ SAC,W,34.38166666666667,6,12,1,2,1,2,2,4,6,1,0,0,1,4,14,0.169,0.106,75,10,0.0,32,78,230,5,0,2021-10-24,63.655,2,0,10,3,11,13,6,2,0,147,6,9,6.0,0.0,0.064,0.132,0,45,163
44,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100016,2021-10-21T00:00:00,GSW vs. LAC,W,33.71666666666667,4,5,0,0,2,9,0,6,7,1,1,0,3,7,10,0.119,0.078,74,8,0.0,32,78,230,4,0,2021-10-21,29.938333333333333,1,0,5,3,5,6,5,1,0,73,3,2,2.0,0.0,0.05,0.145,0,45,160
45,2021-22,203110,Draymond Green,1610612744,GSW,Golden State Warriors,0022100002,2021-10-19T00:00:00,GSW @ LAL,W,29.938333333333333,2,5,0,0,2,4,3,5,6,5,1,0,3,2,6,0.145,0.05,73,4,0.0,32,78,230,2,0,2021-10-19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,45,158
