,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,201569,Eric Gordon,1610612745,HOU,Houston Rockets,0022101105,2022-03-25T00:00:00,HOU @ POR,W,21.683333333333334,2,4,1,3,0,0,0,2,1,0,0,0,0,1,5,0.083,0.056,45,2,0.0,33,75,215,1,0,2022-03-25,47.858333333333334,2,9,3,0,2,3,2,1,0,95,2,0,1.0,0.0,0.061,0.1335,1,117,0
1,2021-22,201569,Eric Gordon,1610612745,HOU,Houston Rockets,0022101092,2022-03-23T00:00:00,HOU @ DAL,L,23.016666666666666,1,4,0,2,0,0,0,0,2,0,1,0,0,0,2,0.078,0.03,46,2,0.0,33,75,215,1,0,2022-03-23,24.841666666666665,1,7,1,0,2,1,2,0,0,49,2,0,0.0,0.0,0.092,0.189,0,116,12
2,2021-22,201569,Eric Gordon,1610612745,HOU,Houston Rockets,0022101077,2022-03-21T00:00:00,HOU vs. WAS,W,24.841666666666665,5,8,5,7,0,0,0,2,1,2,0,0,2,0,15,0.189,0.092,49,0,0.0,33,75,215,0,0,2022-03-21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,116,10
3,2021-22,201569,Eric Gordon,1610612745,HOU,Houston Rockets,0022100999,2022-03-11T00:00:00,HOU vs. DAL,L,20.583333333333332,0,2,0,2,4,4,0,1,3,0,1,0,1,3,4,0.082,0.074,44,0,0.0,33,75,215,0,0,2022-03-11,99.39666666666666,3,15,11,0,9,2,11,2,0,214,5,6,6.0,1.0,0.04833333333333333,0.17200000000000001,1,116,0
4,2021-22,201569,Eric Gordon,1610612745,HOU,Houston Rockets,0022100985,2022-03-09T00:00:00,HOU vs. LAL,W,38.166666666666664,5,9,2,5,3,3,0,2,0,3,1,0,1,1,15,0.146,0.053,84,6,0.0,33,75,215,3,0,2022-03-09,61.230000000000004,2,10,7,0,7,2,8,1,0,130,4,5,3.0,1.0,0.046,0.185,0,115,3
5,2021-22,201569,Eric Gordon,1610612745,HOU,Houston Rockets,0022100964,2022-03-06T00:00:00,HOU vs. MEM,W,31.116666666666667,4,10,1,5,3,4,0,6,2,3,0,0,1,3,12,0.203,0.074,65,4,0.167,33,75,215,2,1,2022-03-06,86.59,3,15,9,1,4,4,7,1,0,182,5,5,2.0,0.0,0.022999999999999996,0.16733333333333333,1,115,0
6,2021-22,201569,Eric Gordon,1610612745,HOU,Houston Rockets,0022100952,2022-03-04T00:00:00,HOU @ DEN,L,30.113333333333333,4,7,3,5,0,0,0,1,0,5,1,0,3,2,11,0.167,0.018,65,2,0.0,33,75,215,1,0,2022-03-04,86.14333333333333,3,18,10,1,3,5,2,1,0,183,5,4,4.0,0.0,0.042333333333333334,0.16266666666666665,0,114,3
7,2021-22,201569,Eric Gordon,1610612745,HOU,Houston Rockets,0022100929,2022-03-01T00:00:00,HOU vs. LAC,L,25.676666666666666,2,8,1,4,4,4,0,0,2,1,0,0,0,2,9,0.186,0.038,53,2,0.0,33,75,215,1,0,2022-03-01,60.46666666666667,2,14,6,1,3,3,1,1,0,130,5,2,3.0,0.0,0.0445,0.151,1,114,0
8,2021-22,201569,Eric Gordon,1610612745,HOU,Houston Rockets,0022100916,2022-02-27T00:00:00,HOU vs. LAC,L,30.8,2,9,2,6,0,0,1,3,2,1,0,0,2,1,6,0.149,0.013,64,0,0.0,33,75,215,0,0,2022-02-27,29.666666666666668,1,8,3,0,0,1,0,1,0,66,3,1,3.0,0.0,0.076,0.153,0,113,11
9,2021-22,201569,Eric Gordon,1610612745,HOU,Houston Rockets,0022100898,2022-02-25T00:00:00,HOU @ ORL,L,29.666666666666668,6,11,3,8,0,0,0,0,1,0,1,0,3,1,15,0.153,0.076,66,6,0.0,33,75,215,3,0,2022-02-25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,113,9
