,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0022101182,2022-04-05T00:00:00,TOR vs. ATL,W,36.266666666666666,4,21,2,12,2,3,0,2,9,3,1,1,4,2,12,0.278,-0.003,76,4,0.0,28,73,197,2,0,2022-04-05,112.80000000000001,3,34,17,1,8,18,9,13,3,234,8,10,6.0,2.0,0.11333333333333333,0.2353333333333333,1,33,0
1,2021-22,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0022101172,2022-04-03T00:00:00,TOR vs. MIA,L,40.85,7,17,4,11,11,11,0,2,7,5,3,0,2,4,29,0.265,0.145,82,6,0.0,28,73,197,3,0,2022-04-03,112.28333333333333,3,32,15,1,11,14,8,13,4,236,9,9,4.0,2.0,0.08633333333333333,0.20766666666666667,0,32,16
2,2021-22,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0022101151,2022-04-01T00:00:00,TOR @ ORL,W,39.483333333333334,7,19,5,16,0,0,1,3,3,3,6,1,2,1,19,0.253,0.105,78,2,0.105,28,73,197,1,1,2022-04-01,89.78333333333335,3,18,14,0,10,14,5,7,3,193,8,8,4.0,1.0,0.07533333333333332,0.15933333333333333,0,32,14
3,2021-22,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0022101141,2022-03-30T00:00:00,TOR vs. MIN,W,32.46666666666667,5,15,2,7,0,1,0,3,8,1,4,2,4,5,12,0.188,0.09,74,4,0.167,28,73,197,2,1,2022-03-30,96.66666666666667,3,16,10,1,11,14,5,4,3,194,6,3,2.0,2.0,0.077,0.13499999999999998,0,32,12
4,2021-22,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0022101127,2022-03-28T00:00:00,TOR vs. BOS,W,40.333333333333336,4,13,3,9,3,3,0,5,3,4,3,1,3,3,14,0.182,0.064,84,2,0.0,28,73,197,1,0,2022-03-28,93.46666666666667,3,19,16,3,10,20,2,3,2,180,8,4,3.0,4.0,0.08900000000000001,0.16733333333333333,0,32,10
5,2021-22,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0022101109,2022-03-26T00:00:00,TOR vs. IND,W,16.983333333333334,2,4,1,2,0,0,0,2,3,0,0,0,1,0,5,0.108,0.072,35,2,0.0,28,73,197,1,0,2022-03-26,76.48333333333333,2,17,14,3,8,17,2,3,2,145,7,4,2.0,4.0,0.0975,0.197,0,32,8
6,2021-22,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0022101095,2022-03-24T00:00:00,TOR vs. CLE,W,39.35,4,9,2,5,0,0,1,4,8,1,1,2,2,0,10,0.115,0.095,75,0,0.4,28,73,197,0,2,2022-03-24,83.85,2,21,20,2,7,16,2,6,0,160,9,6,6.0,4.0,0.094,0.23950000000000002,0,32,6
7,2021-22,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0022101076,2022-03-21T00:00:00,TOR @ CHI,L,37.13333333333333,7,22,3,12,2,2,2,4,9,1,2,0,5,4,19,0.279,0.1,70,4,0.211,28,73,197,2,2,2022-03-21,123.01666666666668,3,30,20,1,11,17,6,6,0,245,9,9,4.0,7.0,0.07133333333333333,0.21566666666666667,0,32,3
8,2021-22,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0022101051,2022-03-18T00:00:00,TOR vs. LAL,L,46.71666666666667,8,19,2,9,2,2,0,3,7,1,4,0,4,2,20,0.2,0.088,90,8,0.2,28,73,197,4,2,2022-03-18,114.25,3,29,13,1,16,14,10,2,1,236,9,9,0.0,6.0,0.05533333333333334,0.21000000000000005,1,32,0
9,2021-22,1627832,Fred VanVleet,1610612761,TOR,Toronto Raptors,0022101044,2022-03-16T00:00:00,TOR @ LAC,W,35.9,7,17,3,9,4,6,1,1,3,3,1,0,2,4,21,0.277,0.067,68,0,0.381,28,73,197,0,4,2022-03-16,112.11666666666666,3,28,12,0,21,13,9,3,1,238,9,10,3.0,3.0,0.09300000000000001,0.21399999999999997,0,31,5
