,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203914,Gary Harris,1610612753,ORL,Orlando Magic,0022101080,2022-03-22T00:00:00,ORL vs. GSW,W,20.466666666666665,3,8,2,5,0,0,1,1,1,1,3,0,0,4,8,0.196,0.208,42,2,0.0,27,76,210,1,0,2022-03-22,23.7,1,5,5,1,2,0,1,1,0,50,2,3,0.0,2.0,-0.023,0.197,1,42,0
1,2021-22,203914,Gary Harris,1610612753,ORL,Orlando Magic,0022101065,2022-03-20T00:00:00,ORL vs. OKC,W,23.7,2,10,0,5,2,2,1,2,0,1,1,0,2,3,6,0.197,-0.023,50,0,0.667,27,76,210,0,2,2022-03-20,17.583333333333332,1,5,0,0,3,0,0,0,1,36,6,0,0.0,0.0,0.062,0.132,0,41,7
2,2021-22,203914,Gary Harris,1610612753,ORL,Orlando Magic,0022101015,2022-03-13T00:00:00,ORL vs. PHI,L,17.583333333333332,3,5,3,5,0,0,0,3,0,0,0,1,6,0,9,0.132,0.062,36,0,0.0,27,76,210,0,0,2022-03-13,54.65,2,9,6,1,1,2,3,4,0,119,2,2,3.0,0.0,0.109,0.1485,1,41,0
3,2021-22,203914,Gary Harris,1610612753,ORL,Orlando Magic,0022100987,2022-03-09T00:00:00,ORL @ NOP,W,27.466666666666665,5,10,4,6,2,2,1,0,1,3,2,0,0,1,16,0.219,0.128,60,2,0.0,27,76,210,1,0,2022-03-09,64.36666666666666,3,11,6,0,1,5,0,3,0,140,3,3,2.0,0.0,0.056333333333333326,0.13533333333333333,1,40,0
4,2021-22,203914,Gary Harris,1610612753,ORL,Orlando Magic,0022100977,2022-03-08T00:00:00,ORL vs. PHX,L,27.183333333333334,3,5,1,3,2,2,0,1,1,0,2,0,2,1,9,0.078,0.09,59,4,0.0,27,76,210,2,0,2022-03-08,37.18333333333333,2,8,4,0,0,4,0,1,0,81,1,2,0.0,0.0,0.0395,0.164,0,39,4
5,2021-22,203914,Gary Harris,1610612753,ORL,Orlando Magic,0022100458,2022-03-04T00:00:00,ORL @ TOR,W,26.833333333333332,3,9,3,7,2,2,0,0,3,0,1,0,1,1,11,0.161,0.079,58,0,0.0,27,76,210,0,0,2022-03-04,59.63333333333333,3,13,5,0,1,2,1,3,0,130,2,4,1.0,0.0,0.050333333333333334,0.16533333333333333,1,39,0
6,2021-22,203914,Gary Harris,1610612753,ORL,Orlando Magic,0022100933,2022-03-02T00:00:00,ORL vs. IND,L,10.35,0,3,0,1,2,2,0,0,1,0,0,0,0,1,2,0.167,0.0,23,0,0.0,27,76,210,0,0,2022-03-02,49.28333333333333,2,12,3,0,1,1,1,3,0,107,2,3,1.0,0.0,0.0755,0.1645,0,38,40
7,2021-22,203914,Gary Harris,1610612753,ORL,Orlando Magic,0022100921,2022-02-28T00:00:00,ORL vs. IND,W,19.783333333333335,3,8,2,6,3,3,0,0,1,1,2,0,0,2,11,0.213,0.087,43,2,0.0,27,76,210,1,0,2022-02-28,29.5,1,6,1,0,1,0,0,1,0,64,2,1,0.0,0.0,0.064,0.116,0,38,38
8,2021-22,203914,Gary Harris,1610612753,ORL,Orlando Magic,0022100898,2022-02-25T00:00:00,ORL vs. HOU,W,29.5,3,7,3,6,3,3,0,1,0,0,1,0,2,1,12,0.116,0.064,64,0,0.0,27,76,210,0,0,2022-02-25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,38,35
9,2021-22,203914,Gary Harris,1610612753,ORL,Orlando Magic,0022100874,2022-02-16T00:00:00,ORL vs. ATL,L,19.283333333333335,3,8,3,8,0,0,0,0,0,2,0,0,1,2,9,0.213,0.014,41,0,0.0,27,76,210,0,0,2022-02-16,91.9,3,13,12,3,3,9,3,7,0,203,6,0,6.0,1.0,0.046000000000000006,0.122,0,38,26
10,2021-22,203914,Gary Harris,1610612753,ORL,Orlando Magic,0022100864,2022-02-14T00:00:00,ORL @ DEN,L,36.63333333333333,6,12,2,6,1,1,2,1,6,3,4,0,2,0,15,0.163,0.097,84,8,0.0,27,76,210,4,0,2022-02-14,87.76666666666667,3,16,6,1,4,7,1,3,0,185,5,1,2.0,1.0,0.04933333333333333,0.11466666666666665,0,38,24
