,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,0022101203,2022-04-08T00:00:00,MIL @ DET,W,27.69,9,16,1,3,11,13,1,12,8,1,2,0,1,12,30,0.318,0.319,61,16,0.0,27,83,242,8,0,2022-04-08,101.74000000000001,3,9,47,7,23,14,9,4,1,215,9,21,25.0,4.0,0.139,0.30266666666666664,1,43,0
1,2021-22,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,0022101198,2022-04-07T00:00:00,MIL vs. BOS,W,38.06666666666667,11,21,0,4,7,10,2,9,5,4,2,1,2,7,29,0.305,0.128,83,20,0.069,27,83,242,10,1,2022-04-07,102.99000000000001,3,9,47,9,24,15,13,3,0,217,8,28,27.0,4.0,0.18900000000000003,0.328,0,42,7
2,2021-22,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,0022101183,2022-04-05T00:00:00,MIL @ CHI,W,24.006666666666668,7,13,1,2,3,5,2,7,7,2,0,0,5,4,18,0.298,0.164,51,10,0.111,27,83,242,5,1,2022-04-05,116.48333333333333,3,10,57,10,28,14,14,4,3,245,6,30,34.0,6.0,0.21933333333333335,0.34733333333333327,0,42,5
3,2021-22,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,0022101167,2022-04-03T00:00:00,MIL vs. DAL,L,39.666666666666664,12,22,0,3,4,8,3,7,2,3,2,0,2,10,28,0.305,0.125,81,20,0.143,27,83,242,10,2,2022-04-03,76.81666666666666,2,7,38,7,21,12,11,2,3,164,4,20,24.0,4.0,0.2665,0.3685,0,42,3
4,2021-22,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,0022101148,2022-03-31T00:00:00,MIL @ BKN,W,39.31666666666667,14,21,1,4,15,19,4,10,6,8,1,0,1,14,44,0.381,0.278,85,24,0.045,27,83,242,12,1,2022-03-31,65.78333333333333,2,4,40,5,20,10,5,1,7,143,6,13,22.0,4.0,0.236,0.3635,1,42,0
5,2021-22,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,0022101131,2022-03-29T00:00:00,MIL @ PHI,W,37.5,16,24,1,3,7,10,3,11,6,3,1,3,3,6,40,0.356,0.255,79,24,0.15,27,83,242,12,3,2022-03-29,58.016666666666666,2,3,29,3,25,9,11,1,7,130,6,13,16.0,3.0,0.22899999999999998,0.364,0,41,7
6,2021-22,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,0022101112,2022-03-26T00:00:00,MIL @ MEM,L,28.283333333333335,11,20,0,1,8,10,2,9,4,2,0,4,3,7,30,0.371,0.217,64,20,0.067,27,83,242,10,1,2022-03-26,29.733333333333334,1,2,10,1,16,5,9,1,3,66,3,6,6.0,2.0,0.241,0.357,0,41,4
7,2021-22,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,0022101082,2022-03-22T00:00:00,MIL vs. CHI,W,29.733333333333334,9,12,1,2,6,9,1,16,5,9,1,3,3,6,25,0.357,0.241,66,12,0.16,27,83,242,6,2,2022-03-22,34.875,1,2,21,2,8,2,2,2,1,85,3,11,9.0,3.0,0.161,0.367,1,41,0
8,2021-22,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,0022101043,2022-03-16T00:00:00,MIL @ SAC,W,34.875,12,23,0,2,12,16,2,8,2,2,2,1,3,11,36,0.367,0.161,85,18,0.167,27,83,242,9,3,2022-03-16,104.92666666666666,3,11,52,5,30,12,4,2,1,218,11,34,28.0,6.0,0.19999999999999998,0.3463333333333334,1,40,0
9,2021-22,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,0022101027,2022-03-14T00:00:00,MIL @ UTA,W,33.86666666666667,12,24,0,2,6,7,1,14,4,1,1,0,5,7,30,0.341,0.233,72,22,0.067,27,83,242,11,1,2022-03-14,98.82666666666667,3,13,45,5,22,15,4,4,2,208,9,40,26.0,5.0,0.20833333333333334,0.3516666666666666,0,39,32
