,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,202330,Gordon Hayward,1610612766,CHA,Charlotte Hornets,0022101161,2022-04-02T00:00:00,CHA @ PHI,L,16.833333333333332,2,6,1,2,0,0,0,3,4,1,1,0,0,0,5,0.175,0.091,36,2,0.0,32,79,225,1,0,2022-04-02,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,51,0
1,2021-22,202330,Gordon Hayward,1610612766,CHA,Charlotte Hornets,0022100810,2022-02-07T00:00:00,CHA vs. TOR,L,6.433333333333334,1,3,1,2,0,0,0,1,0,0,0,0,0,0,3,0.188,0.057,13,0,0.0,32,79,225,0,0,2022-02-07,50.795,2,7,13,2,6,5,4,3,0,106,5,2,2.0,0.0,-0.027,0.187,1,50,0
2,2021-22,202330,Gordon Hayward,1610612766,CHA,Charlotte Hornets,0022100797,2022-02-05T00:00:00,CHA vs. MIA,L,21.616666666666667,0,7,0,2,0,0,1,2,2,0,0,0,2,1,0,0.135,-0.06,46,0,0.0,32,79,225,0,0,2022-02-05,29.178333333333335,1,5,8,1,4,3,4,3,0,60,3,1,2.0,0.0,0.006,0.239,0,49,15
3,2021-22,202330,Gordon Hayward,1610612766,CHA,Charlotte Hornets,0022100787,2022-02-04T00:00:00,CHA vs. CLE,L,29.178333333333335,3,13,1,5,0,0,1,4,3,4,3,0,3,1,7,0.239,0.006,60,4,0.0,32,79,225,2,0,2022-02-04,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,49,14
4,2021-22,202330,Gordon Hayward,1610612766,CHA,Charlotte Hornets,0022100684,2022-01-21T00:00:00,CHA vs. OKC,W,29.716666666666665,6,11,3,5,1,1,2,5,4,1,1,0,1,2,16,0.158,0.143,66,4,0.125,32,79,225,2,1,2022-01-21,95.43333333333334,3,15,19,1,7,10,4,4,1,202,9,5,7.0,2.0,0.065,0.16266666666666665,1,49,0
5,2021-22,202330,Gordon Hayward,1610612766,CHA,Charlotte Hornets,0022100671,2022-01-19T00:00:00,CHA @ BOS,W,20.946666666666665,2,4,1,2,0,0,1,2,3,0,2,0,5,1,5,0.07,0.055,47,0,0.4,32,79,225,0,1,2022-01-19,110.97,3,17,29,0,9,14,6,5,1,230,6,7,12.0,5.0,0.126,0.21533333333333335,0,48,31
6,2021-22,202330,Gordon Hayward,1610612766,CHA,Charlotte Hornets,0022100655,2022-01-17T00:00:00,CHA @ NYK,W,36.35,6,16,3,8,1,3,0,2,4,2,2,0,3,2,16,0.25,0.058,67,6,0.0,32,79,225,3,0,2022-01-17,110.65333333333334,3,15,27,1,10,13,6,4,2,242,4,10,11.0,7.0,0.1396666666666667,0.18333333333333335,0,48,29
7,2021-22,202330,Gordon Hayward,1610612766,CHA,Charlotte Hornets,0022100632,2022-01-14T00:00:00,CHA vs. ORL,L,38.13666666666666,7,14,2,5,2,3,0,3,3,2,0,1,1,2,18,0.168,0.082,88,8,0.111,32,79,225,4,1,2022-01-14,105.33333333333334,3,16,24,1,12,12,5,4,2,226,5,10,7.0,8.0,0.12266666666666666,0.18366666666666667,0,48,26
8,2021-22,202330,Gordon Hayward,1610612766,CHA,Charlotte Hornets,0022100619,2022-01-12T00:00:00,CHA @ PHI,W,36.483333333333334,13,16,4,4,0,0,0,4,7,2,3,0,2,3,30,0.228,0.238,75,10,0.267,32,79,225,5,4,2022-01-12,94.55166666666666,3,15,20,1,14,9,4,2,2,206,6,10,7.0,5.0,0.10533333333333333,0.18366666666666667,0,48,24
9,2021-22,202330,Gordon Hayward,1610612766,CHA,Charlotte Hornets,0022100607,2022-01-10T00:00:00,CHA vs. MIL,W,36.03333333333333,6,12,2,6,0,0,1,3,3,2,1,1,1,5,14,0.154,0.099,79,4,0.286,32,79,225,2,2,2022-01-10,96.885,3,15,30,2,17,10,2,3,1,211,7,7,8.0,9.0,0.119,0.21133333333333335,0,48,22
