,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101229,2022-04-10T00:00:00,SAC @ PHX,W,13.05,1,2,0,0,0,0,0,1,1,0,0,0,0,1,2,0.067,0.054,28,2,0.0,30,80,225,1,0,2022-04-10,90.55000000000001,3,16,14,4,17,2,2,1,0,188,2,9,10.0,0.0,0.09000000000000001,0.16533333333333333,0,15,137
1,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101212,2022-04-09T00:00:00,SAC @ LAC,L,26.116666666666667,1,4,1,3,0,2,0,5,0,0,0,0,0,1,3,0.083,0.024,55,0,0.0,30,80,225,0,0,2022-04-09,64.43333333333334,2,13,13,4,12,2,2,1,0,133,2,8,10.0,0.0,0.123,0.2065,0,15,136
2,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101188,2022-04-05T00:00:00,SAC vs. NOP,L,29.783333333333335,4,9,0,5,4,4,1,5,1,0,0,0,1,4,12,0.172,0.092,62,8,0.0,30,80,225,4,0,2022-04-05,105.71666666666667,3,18,24,5,9,5,3,1,1,222,5,7,15.0,0.0,0.106,0.19966666666666666,0,15,132
3,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101176,2022-04-03T00:00:00,SAC vs. GSW,L,34.65,7,17,1,8,3,3,3,7,1,2,1,0,1,4,18,0.241,0.154,71,12,0.0,30,80,225,6,0,2022-04-03,108.98333333333332,3,18,17,2,4,7,3,0,1,226,5,6,11.0,0.0,0.083,0.17899999999999996,0,15,130
4,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101154,2022-04-01T00:00:00,SAC @ HOU,W,36.4,10,16,4,6,1,2,1,1,3,1,0,0,3,1,25,0.22,0.099,78,12,0.0,30,80,225,6,0,2022-04-01,112.43333333333334,3,18,15,1,10,9,5,2,1,229,2,9,9.0,0.0,0.09733333333333334,0.17366666666666666,0,15,128
5,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101142,2022-03-30T00:00:00,SAC @ HOU,W,34.666666666666664,4,9,1,4,4,6,1,1,1,0,0,1,1,2,13,0.138,0.065,73,6,0.0,30,80,225,3,0,2022-03-30,110.5,3,18,17,0,14,9,7,4,0,224,2,12,10.0,0.0,0.09799999999999999,0.18699999999999997,0,15,126
6,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101125,2022-03-28T00:00:00,SAC @ MIA,L,37.916666666666664,5,10,3,8,4,4,0,2,3,2,0,0,1,3,17,0.179,0.085,75,4,0.0,30,80,225,2,0,2022-03-28,72.58333333333334,2,10,15,0,12,6,5,4,0,149,1,9,8.0,0.0,0.1045,0.191,0,15,124
7,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101108,2022-03-26T00:00:00,SAC @ ORL,W,39.85,6,14,2,6,5,6,0,7,5,3,2,0,0,4,19,0.204,0.142,81,8,0.0,30,80,225,4,0,2022-03-26,73.86666666666667,2,9,18,1,8,4,4,2,0,154,2,11,9.0,1.0,0.07450000000000001,0.1995,0,15,122
8,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101086,2022-03-23T00:00:00,SAC @ IND,W,32.733333333333334,5,11,1,4,0,1,0,5,1,2,2,0,1,5,11,0.178,0.067,68,8,0.0,30,80,225,4,0,2022-03-23,87.88333333333334,3,10,16,3,6,5,3,0,1,189,4,8,7.0,1.0,0.042666666666666665,0.14533333333333334,0,15,119
9,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101066,2022-03-20T00:00:00,SAC vs. PHX,L,41.13333333333333,7,16,1,5,6,8,1,3,3,2,0,0,1,6,21,0.221,0.082,86,10,0.095,30,80,225,5,1,2022-03-20,83.45,3,9,9,3,8,8,3,1,3,178,4,4,4.0,0.0,0.038,0.11466666666666665,0,15,116
10,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101057,2022-03-18T00:00:00,SAC vs. BOS,L,24.3,0,5,0,2,0,0,1,1,1,0,0,0,1,0,0,0.096,-0.031,47,0,0.0,30,80,225,0,0,2022-03-18,94.36666666666667,3,12,13,3,10,9,4,2,3,205,7,6,8.0,1.0,0.07933333333333334,0.137,0,15,114
11,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101043,2022-03-16T00:00:00,SAC vs. MIL,L,22.45,3,5,1,3,3,3,1,2,1,1,0,1,2,2,10,0.119,0.077,56,4,0.0,30,80,225,2,0,2022-03-16,110.95,3,16,15,3,12,13,4,2,2,228,6,7,8.0,1.0,0.085,0.15100000000000002,0,15,112
12,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101026,2022-03-14T00:00:00,SAC vs. CHI,W,36.7,2,8,0,4,2,2,1,5,6,2,1,2,1,2,6,0.129,0.068,75,4,0.0,30,80,225,2,0,2022-03-14,112.08333333333334,3,16,18,2,10,8,3,1,0,235,5,11,10.0,1.0,0.10166666666666667,0.16466666666666666,0,15,110
13,2021-22,203084,Harrison Barnes,1610612758,SAC,Sacramento Kings,0022101010,2022-03-12T00:00:00,SAC @ UTA,L,35.21666666666667,7,12,2,5,2,2,1,3,2,1,1,0,4,2,18,0.163,0.093,74,8,0.111,30,80,225,4,1,2022-03-12,114.95000000000002,3,14,16,2,10,9,5,2,0,239,3,14,8.0,0.0,0.08766666666666667,0.15066666666666667,0,15,108
