,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,0022101213,2022-04-09T00:00:00,MEM vs. NOP,W,26.616666666666667,7,14,2,3,5,7,2,2,9,4,0,1,2,6,21,0.328,0.155,57,10,0.0,22,75,174,5,0,2022-04-09,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,12,0
1,2021-22,1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,0022101047,2022-03-18T00:00:00,MEM @ ATL,L,33.083333333333336,11,23,0,1,7,9,1,2,4,6,0,0,2,5,29,0.413,0.093,68,22,0.0,22,75,174,11,0,2022-03-18,70.85,2,6,42,3,7,18,5,2,1,155,3,18,20.0,0.0,0.1485,0.3025,1,11,0
2,2021-22,1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,0022101018,2022-03-13T00:00:00,MEM @ OKC,W,33.333333333333336,7,14,0,2,3,5,1,4,10,3,0,0,1,7,17,0.218,0.118,70,14,0.0,22,75,174,7,0,2022-03-13,99.75,3,11,56,4,13,22,9,6,2,218,8,23,25.0,1.0,0.162,0.31866666666666665,1,10,0
3,2021-22,1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,0022101000,2022-03-11T00:00:00,MEM vs. NYK,W,37.516666666666666,14,34,1,4,8,10,2,3,8,2,2,1,2,11,37,0.387,0.179,85,26,0.0,22,75,174,13,0,2022-03-11,90.11666666666667,3,13,37,2,14,21,10,5,1,192,7,19,18.0,1.0,0.15633333333333332,0.30566666666666664,0,9,27
4,2021-22,1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,0022100978,2022-03-08T00:00:00,MEM vs. NOP,W,26.816666666666666,8,13,2,4,6,7,1,7,8,2,2,1,3,6,24,0.25,0.212,56,12,0.0,22,75,174,6,0,2022-03-08,100.13333333333333,3,21,45,3,9,20,10,3,0,210,5,20,20.0,2.0,0.1386666666666667,0.35200000000000004,0,9,24
5,2021-22,1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,0022100964,2022-03-06T00:00:00,MEM @ HOU,L,35.416666666666664,7,20,0,3,8,8,1,3,6,5,2,0,3,6,22,0.319,0.095,77,12,0.091,22,75,174,6,1,2022-03-06,99.05000000000001,3,22,54,3,12,16,9,1,0,209,3,20,31.0,2.0,0.20466666666666666,0.39433333333333337,0,9,22
6,2021-22,1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,0022100957,2022-03-05T00:00:00,MEM vs. ORL,W,27.883333333333333,9,17,3,6,4,7,0,4,7,3,1,0,1,7,25,0.348,0.162,59,12,0.0,22,75,174,6,0,2022-03-05,107.2,3,20,67,4,11,12,11,1,0,232,4,20,36.0,3.0,0.22266666666666665,0.41033333333333327,0,9,21
7,2021-22,1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,0022100940,2022-03-03T00:00:00,MEM @ BOS,L,36.833333333333336,13,29,4,12,8,8,2,2,7,2,0,0,1,7,38,0.389,0.159,74,16,0.053,22,75,174,8,1,2022-03-03,105.11666666666667,3,12,71,5,14,9,12,3,1,232,4,20,35.0,2.0,0.19099999999999998,0.393,0,9,19
8,2021-22,1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,0022100923,2022-02-28T00:00:00,MEM vs. SAS,W,34.333333333333336,22,30,4,4,4,7,1,6,2,4,0,0,1,6,52,0.446,0.293,76,34,0.038,22,75,174,17,1,2022-02-28,70.78333333333333,2,8,45,4,8,7,8,3,1,156,3,14,18.0,1.0,0.14,0.36650000000000005,0,9,16
9,2021-22,1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,0022100909,2022-02-26T00:00:00,MEM @ CHI,W,36.03333333333333,15,28,3,4,13,15,1,3,3,5,1,0,2,7,46,0.396,0.216,82,22,0.043,22,75,174,11,1,2022-02-26,34.75,1,4,21,3,5,4,3,2,1,74,1,7,7.0,0.0,0.064,0.337,0,9,14
