,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203109,Jae Crowder,1610612756,PHX,Phoenix Suns,0022101210,2022-04-08T00:00:00,PHX @ UTA,W,25.733333333333334,2,7,1,4,0,0,0,8,1,0,2,1,3,0,5,0.113,0.063,57,0,0.4,31,78,235,0,1,2022-04-08,51.55,2,13,5,1,4,7,0,3,0,115,6,1,0.0,2.0,0.0455,0.1455,1,27,0
1,2021-22,203109,Jae Crowder,1610612756,PHX,Phoenix Suns,0022101189,2022-04-05T00:00:00,PHX vs. LAL,W,23.383333333333333,3,11,2,8,0,1,1,3,5,0,2,0,2,1,8,0.183,0.061,52,0,0.25,31,78,235,0,1,2022-04-05,62.16666666666667,2,10,3,0,8,4,0,4,1,140,7,2,0.0,1.0,0.079,0.1,1,26,0
2,2021-22,203109,Jae Crowder,1610612756,PHX,Phoenix Suns,0022101155,2022-04-01T00:00:00,PHX @ MEM,L,28.166666666666668,3,7,2,5,0,0,0,1,2,0,1,0,4,0,8,0.108,0.03,63,0,0.25,31,78,235,0,1,2022-04-01,63.5,2,12,2,0,15,4,1,5,1,138,8,2,0.0,0.0,0.109,0.115,1,25,0
3,2021-22,203109,Jae Crowder,1610612756,PHX,Phoenix Suns,0022101145,2022-03-30T00:00:00,PHX @ GSW,W,34.0,2,6,2,5,4,4,0,7,2,0,3,1,3,2,10,0.092,0.128,77,0,0.0,31,78,235,0,0,2022-03-30,82.71666666666667,3,19,4,2,16,5,4,5,3,173,14,1,0.0,1.0,0.05499999999999999,0.1396666666666667,0,24,15
4,2021-22,203109,Jae Crowder,1610612756,PHX,Phoenix Suns,0022101118,2022-03-27T00:00:00,PHX vs. PHI,W,29.5,3,8,3,7,0,0,0,8,2,1,2,0,5,0,9,0.138,0.09,61,0,0.0,31,78,235,0,0,2022-03-27,74.93833333333333,3,18,4,2,11,7,4,5,3,160,10,1,0.0,1.0,0.054333333333333324,0.14700000000000002,0,24,12
5,2021-22,203109,Jae Crowder,1610612756,PHX,Phoenix Suns,0022101099,2022-03-24T00:00:00,PHX @ DEN,W,29.15,4,8,4,7,0,1,1,5,1,2,1,1,4,1,12,0.145,0.054,62,0,0.0,31,78,235,0,0,2022-03-24,45.788333333333334,2,11,3,1,6,6,2,4,2,98,6,0,0.0,1.0,0.0545,0.14800000000000002,0,24,9
6,2021-22,203109,Jae Crowder,1610612756,PHX,Phoenix Suns,0022101090,2022-03-23T00:00:00,PHX @ MIN,W,24.066666666666666,2,7,1,5,0,0,1,3,2,1,2,2,5,0,5,0.136,0.021,50,0,0.4,31,78,235,0,1,2022-03-23,21.721666666666668,1,6,1,0,3,4,1,2,0,48,1,0,0.0,0.0,0.088,0.16,0,24,8
7,2021-22,203109,Jae Crowder,1610612756,PHX,Phoenix Suns,0022101066,2022-03-20T00:00:00,PHX @ SAC,W,21.721666666666668,2,7,2,6,0,0,0,3,4,1,2,0,1,0,6,0.16,0.088,48,0,0.0,31,78,235,0,0,2022-03-20,50.05,2,14,2,1,7,5,1,2,2,110,3,0,1.0,0.0,0.077,0.1355,0,24,5
8,2021-22,203109,Jae Crowder,1610612756,PHX,Phoenix Suns,0022101032,2022-03-15T00:00:00,PHX @ NOP,W,21.9,3,6,3,6,0,0,0,3,4,0,0,0,1,0,9,0.122,0.09,47,0,0.0,31,78,235,0,0,2022-03-15,115.06666666666666,4,29,21,3,22,7,6,5,3,255,11,4,3.0,7.0,0.053250000000000006,0.192,1,24,0
9,2021-22,203109,Jae Crowder,1610612756,PHX,Phoenix Suns,0022101019,2022-03-13T00:00:00,PHX vs. LAL,W,28.15,4,10,3,8,0,0,1,4,1,1,2,2,2,0,11,0.149,0.064,63,2,0.0,31,78,235,1,0,2022-03-13,121.54999999999998,4,29,23,3,22,13,6,3,1,265,12,5,3.0,9.0,0.066,0.1965,0,23,50
