,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1627751,Jakob Poeltl,1610612759,SAS,San Antonio Spurs,0022101219,2022-04-10T00:00:00,SAS @ DAL,L,28.666666666666668,6,11,0,0,0,0,4,6,0,1,1,1,3,0,12,0.182,0.085,60,12,0.0,26,85,245,6,0,2022-04-10,53.915000000000006,2,0,18,3,22,6,5,0,3,116,7,8,11.0,1.0,0.1575,0.23600000000000002,0,12,3
1,2021-22,1627751,Jakob Poeltl,1610612759,SAS,San Antonio Spurs,0022101199,2022-04-07T00:00:00,SAS @ MIN,L,30.998333333333335,7,11,0,0,1,2,3,14,3,2,0,3,4,3,15,0.197,0.168,66,14,0.0,26,85,245,7,0,2022-04-07,45.93333333333334,2,0,17,1,13,6,3,0,1,98,5,6,10.0,1.0,0.134,0.23,1,12,0
2,2021-22,1627751,Jakob Poeltl,1610612759,SAS,San Antonio Spurs,0022101186,2022-04-05T00:00:00,SAS @ DEN,W,22.916666666666668,5,7,0,0,4,8,0,8,3,3,0,0,3,5,14,0.275,0.147,50,8,0.143,26,85,245,4,1,2022-04-05,57.11333333333333,2,0,16,3,10,8,1,0,1,115,3,2,10.0,0.0,0.1095,0.1475,0,11,4
3,2021-22,1627751,Jakob Poeltl,1610612759,SAS,San Antonio Spurs,0022101158,2022-04-01T00:00:00,SAS vs. POR,W,23.016666666666666,6,10,0,0,1,1,1,5,3,0,0,1,2,1,13,0.185,0.121,48,12,0.0,26,85,245,6,0,2022-04-01,91.11,3,0,26,12,19,8,3,2,5,182,8,8,18.0,0.0,0.154,0.1466666666666667,1,11,0
4,2021-22,1627751,Jakob Poeltl,1610612759,SAS,San Antonio Spurs,0022101144,2022-03-30T00:00:00,SAS vs. MEM,L,34.096666666666664,4,6,0,0,1,2,2,5,5,1,0,0,1,1,9,0.11,0.098,67,8,0.0,26,85,245,4,0,2022-03-30,81.44666666666667,3,0,33,16,17,4,5,3,11,166,10,9,22.0,0.0,0.16333333333333333,0.19899999999999998,0,10,19
5,2021-22,1627751,Jakob Poeltl,1610612759,SAS,San Antonio Spurs,0022101128,2022-03-28T00:00:00,SAS @ HOU,W,26.813333333333333,8,10,0,0,1,2,5,8,0,0,2,2,4,3,17,0.159,0.229,59,16,0.0,26,85,245,8,0,2022-03-28,54.63333333333333,2,0,23,11,9,4,5,1,9,107,6,6,14.0,0.0,0.1305,0.21900000000000003,0,10,17
6,2021-22,1627751,Jakob Poeltl,1610612759,SAS,San Antonio Spurs,0022101107,2022-03-26T00:00:00,SAS @ NOP,W,30.2,6,10,0,0,0,0,5,6,3,2,0,3,3,4,12,0.171,0.135,56,12,0.0,26,85,245,6,0,2022-03-26,50.16166666666666,2,0,20,14,9,3,3,1,7,101,7,6,10.0,0.0,0.11,0.20950000000000002,0,10,15
7,2021-22,1627751,Jakob Poeltl,1610612759,SAS,San Antonio Spurs,0022101094,2022-03-23T00:00:00,SAS @ POR,W,24.433333333333334,8,13,0,0,0,0,6,3,1,3,1,6,3,2,16,0.267,0.126,51,16,0.0,26,85,245,8,0,2022-03-23,81.45333333333333,3,0,24,16,20,6,4,1,2,168,10,9,12.0,0.0,0.10766666666666667,0.15866666666666665,0,10,12
8,2021-22,1627751,Jakob Poeltl,1610612759,SAS,San Antonio Spurs,0022101070,2022-03-20T00:00:00,SAS @ GSW,W,25.72833333333333,2,7,0,0,3,6,8,6,2,0,0,1,4,4,7,0.152,0.094,50,4,0.0,26,85,245,2,0,2022-03-20,84.45833333333334,3,0,29,10,16,5,5,1,4,183,11,10,19.0,0.0,0.11066666666666668,0.17200000000000001,0,10,9
9,2021-22,1627751,Jakob Poeltl,1610612759,SAS,San Antonio Spurs,0022101054,2022-03-18T00:00:00,SAS vs. NOP,L,26.8,3,7,0,0,1,3,3,5,3,1,0,0,2,3,7,0.141,0.069,58,6,0.0,26,85,245,3,0,2022-03-18,86.16,3,0,33,12,17,3,7,1,6,182,14,10,22.0,0.0,0.125,0.20833333333333334,0,10,7
