,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101219,2022-04-10T00:00:00,DAL vs. SAS,W,24.683333333333334,7,13,3,7,1,2,0,6,5,1,0,0,0,1,18,0.259,0.176,52,4,0.222,25,73,190,2,2,2022-04-10,93.16666666666667,3,11,22,2,10,6,1,2,0,190,5,9,8.0,3.0,0.106,0.18899999999999997,0,6,32
1,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101209,2022-04-08T00:00:00,DAL vs. POR,W,22.316666666666666,2,6,1,3,4,4,1,2,2,0,0,0,1,4,9,0.167,0.102,44,0,0.222,25,73,190,0,1,2022-04-08,102.98333333333332,3,11,29,1,13,6,2,3,0,213,7,8,13.0,5.0,0.11366666666666668,0.19899999999999998,0,6,30
2,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101190,2022-04-06T00:00:00,DAL @ DET,W,34.61666666666667,9,15,1,2,5,6,1,5,3,0,1,0,3,3,24,0.227,0.138,70,14,0.083,25,73,190,7,1,2022-04-06,107.26666666666668,3,12,27,2,11,9,3,2,0,222,4,9,11.0,6.0,0.10466666666666667,0.18333333333333335,0,6,28
3,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101167,2022-04-03T00:00:00,DAL @ MIL,W,36.233333333333334,5,12,3,6,2,2,0,3,1,1,1,0,1,2,15,0.173,0.078,76,2,0.133,25,73,190,1,1,2022-04-03,134.54666666666668,4,13,41,5,20,16,3,2,0,261,6,18,15.0,8.0,0.13175,0.22499999999999998,0,6,25
4,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101152,2022-04-01T00:00:00,DAL @ WAS,L,32.13333333333333,9,13,1,3,2,2,0,5,2,1,1,0,3,3,21,0.197,0.125,67,10,0.286,25,73,190,5,3,2022-04-01,132.74666666666667,4,16,37,6,20,15,3,2,0,256,6,18,13.0,5.0,0.115,0.22725,0,6,23
5,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101136,2022-03-30T00:00:00,DAL @ CLE,W,38.9,8,14,1,3,1,3,2,3,6,1,0,0,0,4,18,0.18,0.111,79,10,0.222,25,73,190,5,2,2022-03-30,122.89666666666666,4,15,43,4,21,12,3,2,0,232,9,20,18.0,3.0,0.143,0.27649999999999997,0,6,21
6,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101134,2022-03-29T00:00:00,DAL vs. LAL,W,31.2,3,12,0,3,6,6,0,5,3,0,1,0,1,6,12,0.231,0.074,58,4,0.167,25,73,190,2,1,2022-03-29,91.69666666666666,3,12,34,4,16,9,3,1,0,174,8,14,16.0,2.0,0.166,0.2916666666666667,0,6,20
7,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101121,2022-03-27T00:00:00,DAL vs. UTA,W,32.31333333333333,7,15,2,4,6,6,3,7,5,1,0,0,2,5,22,0.292,0.217,57,6,0.182,25,73,190,3,2,2022-03-27,91.17833333333334,3,11,30,1,12,4,3,1,0,181,8,11,17.0,1.0,0.12333333333333334,0.2523333333333333,0,6,18
8,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101104,2022-03-25T00:00:00,DAL @ MIN,L,30.333333333333332,4,12,1,6,2,2,1,5,1,1,1,0,3,3,11,0.206,0.058,62,6,0.0,25,73,190,3,0,2022-03-25,116.37833333333333,4,10,41,0,12,9,3,2,0,230,6,16,20.0,6.0,0.14625,0.24324999999999997,0,6,16
9,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101092,2022-03-23T00:00:00,DAL vs. HOU,W,29.05,10,19,0,2,8,9,0,4,3,1,0,0,3,6,28,0.377,0.223,55,20,0.0,25,73,190,10,0,2022-03-23,121.77833333333335,4,11,36,1,12,9,4,2,0,239,4,13,15.0,8.0,0.11649999999999999,0.205,0,6,14
10,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101079,2022-03-21T00:00:00,DAL vs. MIN,W,31.795,6,10,1,3,2,2,0,3,0,1,0,0,2,2,15,0.174,0.089,64,8,0.133,25,73,190,4,1,2022-03-21,89.98333333333333,3,8,29,1,9,9,3,2,0,175,2,11,11.0,7.0,0.12566666666666668,0.21533333333333335,0,6,12
11,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101059,2022-03-19T00:00:00,DAL @ CHA,L,22.7,3,8,0,2,4,4,0,2,2,1,2,0,1,4,10,0.208,0.082,47,6,0.0,25,73,190,3,0,2022-03-19,104.25,3,10,31,2,10,9,5,0,0,198,4,7,9.0,10.0,0.11833333333333333,0.21166666666666667,0,6,10
12,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101046,2022-03-18T00:00:00,DAL @ PHI,L,32.833333333333336,10,14,2,3,2,2,0,3,4,0,0,0,0,4,24,0.214,0.191,64,6,0.417,25,73,190,3,5,2022-03-18,71.41666666666667,2,7,20,2,7,5,5,0,0,134,4,3,6.0,5.0,0.08199999999999999,0.21050000000000002,0,6,9
13,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101036,2022-03-16T00:00:00,DAL @ BKN,W,34.45,8,15,1,3,1,1,1,4,3,2,0,0,1,3,18,0.224,0.104,64,10,0.222,25,73,190,5,2,2022-03-16,62.28333333333333,2,9,15,1,8,2,4,1,0,118,6,3,4.0,3.0,0.039,0.233,0,6,7
14,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022101014,2022-03-13T00:00:00,DAL @ BOS,W,36.96666666666667,6,12,2,4,0,0,1,3,2,3,0,0,3,0,14,0.197,0.06,70,2,0.429,25,73,190,1,3,2022-03-13,25.316666666666666,1,5,7,0,5,0,1,1,0,48,3,3,3.0,0.0,0.018,0.269,0,6,4
15,2021-22,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,0022100988,2022-03-09T00:00:00,DAL vs. NYK,L,25.316666666666666,3,12,0,5,2,2,0,5,0,1,1,0,3,3,8,0.269,0.018,48,6,0.0,25,73,190,3,0,2022-03-09,66.46833333333333,2,5,20,0,6,10,3,1,0,135,4,6,7.0,3.0,0.1245,0.1925,1,6,0
