,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,0022101213,2022-04-09T00:00:00,MEM vs. NOP,W,21.6,2,4,1,3,7,7,0,9,0,2,0,4,2,4,12,0.176,0.166,47,2,0.0,22,83,242,1,0,2022-04-09,62.4,2,13,23,2,7,3,2,2,4,134,6,12,7.0,1.0,0.07050000000000001,0.27399999999999997,1,17,0
1,2021-22,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,0022101201,2022-04-07T00:00:00,MEM @ DEN,L,23.616666666666667,4,9,1,3,1,2,1,1,1,1,1,1,2,5,10,0.204,0.047,49,6,0.0,22,83,242,3,0,2022-04-07,38.78333333333333,1,10,17,1,6,2,1,1,3,85,4,7,4.0,1.0,0.094,0.344,0,16,8
2,2021-22,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,0022101187,2022-04-05T00:00:00,MEM @ UTA,L,38.78333333333333,8,27,3,10,9,10,1,6,2,1,1,3,4,7,28,0.344,0.094,85,8,0.071,22,83,242,4,1,2022-04-05,25.31833333333333,1,6,4,1,4,5,2,1,2,52,2,2,3.0,0.0,0.102,0.203,0,16,6
3,2021-22,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,0022101144,2022-03-30T00:00:00,MEM @ SAS,W,25.31833333333333,4,10,1,6,0,0,1,4,5,2,1,2,2,2,9,0.203,0.102,52,6,0.0,22,83,242,3,0,2022-03-30,76.96666666666667,3,16,24,3,10,3,6,2,8,160,13,13,10.0,0.0,0.08900000000000001,0.2776666666666667,1,16,0
4,2021-22,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,0022101112,2022-03-26T00:00:00,MEM vs. MIL,W,27.283333333333335,5,14,0,4,6,6,2,4,0,2,1,2,5,5,16,0.271,0.06,57,10,0.0,22,83,242,5,0,2022-03-26,70.80000000000001,3,17,18,1,11,6,7,2,9,150,13,11,6.0,0.0,0.11533333333333333,0.2826666666666667,1,15,0
5,2021-22,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,0022101096,2022-03-24T00:00:00,MEM vs. IND,W,16.683333333333334,7,13,4,7,2,2,0,2,1,3,1,2,5,3,20,0.386,0.145,35,6,0.0,22,83,242,3,0,2022-03-24,77.66666666666667,3,14,18,3,13,6,8,2,9,165,13,10,6.0,0.0,0.09933333333333334,0.24333333333333332,0,14,105
6,2021-22,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,0022101089,2022-03-23T00:00:00,MEM vs. BKN,W,33.0,4,13,2,5,3,3,1,4,2,1,0,4,3,5,13,0.176,0.062,68,4,0.0,22,83,242,2,0,2022-03-23,44.66666666666667,2,9,10,2,9,4,7,2,5,97,10,5,4.0,0.0,0.11800000000000001,0.277,0,14,104
7,2021-22,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,0022101063,2022-03-20T00:00:00,MEM @ HOU,W,21.116666666666667,4,9,3,5,4,4,0,5,3,3,1,3,5,3,15,0.286,0.139,47,2,0.0,22,83,242,1,0,2022-03-20,74.66666666666666,3,10,29,8,11,4,5,3,6,162,10,9,14.0,0.0,0.118,0.255,0,14,101
8,2021-22,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,0022101047,2022-03-18T00:00:00,MEM @ ATL,L,23.55,5,10,2,4,3,3,2,4,1,4,1,2,5,2,15,0.268,0.097,50,6,0.0,22,83,242,3,0,2022-03-18,78.14999999999999,3,10,28,7,10,4,2,2,9,169,10,11,13.0,0.0,0.11933333333333333,0.22133333333333335,0,14,99
9,2021-22,1628991,Jaren Jackson Jr.,1610612763,MEM,Memphis Grizzlies,0022101029,2022-03-15T00:00:00,MEM @ IND,W,21.466666666666665,8,16,0,2,3,4,4,4,1,0,2,3,2,4,19,0.279,0.171,49,16,0.0,22,83,242,8,0,2022-03-15,80.48333333333333,3,14,21,3,9,3,2,1,9,171,12,11,10.0,0.0,0.10833333333333334,0.20766666666666667,0,14,96
