,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,0022100962,2022-03-06T00:00:00,CLE vs. TOR,W,10.033333333333333,3,4,0,0,0,0,0,2,0,0,0,2,0,0,6,0.16,0.184,21,6,0.0,24,82,243,3,0,2022-03-06,102.17333333333332,3,0,30,4,22,1,4,3,3,207,5,16,22.0,3.0,0.15233333333333335,0.16933333333333334,1,11,0
1,2021-22,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,0022100947,2022-03-04T00:00:00,CLE @ PHI,L,35.46333333333333,9,11,0,0,2,3,1,6,0,0,1,1,2,6,20,0.152,0.13,71,18,0.0,24,82,243,9,0,2022-03-04,101.11000000000001,3,0,27,7,26,1,5,5,2,202,3,13,19.0,4.0,0.20033333333333334,0.165,0,10,41
2,2021-22,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,0022100932,2022-03-02T00:00:00,CLE vs. CHA,L,33.2,7,9,0,0,4,5,1,10,0,1,2,1,2,4,18,0.171,0.169,67,12,0.111,24,82,243,6,1,2022-03-02,100.42666666666666,3,0,27,9,22,1,5,4,4,201,2,11,18.0,3.0,0.18966666666666668,0.15633333333333332,0,10,39
3,2021-22,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,0022100920,2022-02-28T00:00:00,CLE vs. MIN,L,33.51,9,10,0,0,3,4,2,6,1,3,0,1,1,6,21,0.185,0.158,69,14,0.19,24,82,243,7,2,2022-02-28,66.91666666666666,2,0,17,7,16,0,2,4,3,132,1,5,11.0,1.0,0.20550000000000002,0.14200000000000002,0,10,37
4,2021-22,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,0022100907,2022-02-26T00:00:00,CLE vs. WAS,W,34.4,7,8,0,0,4,4,4,10,0,1,3,0,0,3,18,0.139,0.274,66,12,0.111,24,82,243,6,1,2022-02-26,32.516666666666666,1,0,9,3,6,0,1,1,3,66,1,2,5.0,0.0,0.137,0.145,0,10,35
5,2021-22,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,0022100889,2022-02-24T00:00:00,CLE @ DET,L,32.516666666666666,5,9,0,0,1,2,3,6,0,1,1,3,1,2,11,0.145,0.137,66,10,0.0,24,82,243,5,0,2022-02-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,33
6,2021-22,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,0022100867,2022-02-15T00:00:00,CLE @ ATL,L,32.983333333333334,6,8,0,0,2,2,3,4,4,3,0,1,2,1,14,0.158,0.099,66,10,0.143,24,82,243,5,1,2022-02-15,98.51666666666667,3,0,32,12,21,3,3,2,3,202,4,10,20.0,0.0,0.164,0.17433333333333334,0,10,24
7,2021-22,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,0022100849,2022-02-12T00:00:00,CLE @ PHI,L,33.166666666666664,5,9,0,0,3,3,2,3,1,1,0,1,3,5,13,0.155,0.078,65,10,0.0,24,82,243,5,0,2022-02-12,96.68333333333332,3,1,34,17,28,2,4,2,4,195,3,15,20.0,0.0,0.20166666666666666,0.205,0,10,21
8,2021-22,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,0022100839,2022-02-11T00:00:00,CLE @ IND,W,33.68333333333333,8,12,0,0,6,6,6,8,1,1,1,1,1,3,22,0.208,0.216,69,16,0.0,24,82,243,8,0,2022-02-11,96.88333333333333,3,1,42,22,31,3,4,2,3,194,3,19,22.0,2.0,0.21766666666666667,0.2333333333333333,0,10,20
9,2021-22,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,0022100825,2022-02-09T00:00:00,CLE vs. SAS,W,31.666666666666668,7,11,0,0,1,1,4,10,1,1,1,1,0,2,15,0.16,0.198,68,14,0.0,24,82,243,7,0,2022-02-09,88.46666666666667,3,1,38,21,24,4,5,1,3,170,6,21,20.0,2.0,0.17800000000000002,0.25333333333333335,0,10,18
