,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,0022101223,2022-04-10T00:00:00,BOS @ MEM,W,23.05,8,16,2,7,0,0,0,3,4,3,0,0,4,1,18,0.333,0.108,49,10,0.111,25,78,223,5,1,2022-04-10,100.69999999999999,3,17,41,2,22,20,5,7,2,208,8,19,20.0,2.0,0.20433333333333334,0.2993333333333333,0,35,14
1,2021-22,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,0022101198,2022-04-07T00:00:00,BOS @ MIL,L,37.46666666666667,8,20,2,8,4,7,1,9,11,4,1,1,5,10,22,0.303,0.108,82,12,0.0,25,78,223,6,0,2022-04-07,98.31666666666666,3,14,42,2,15,16,6,8,1,199,8,14,23.0,3.0,0.22133333333333335,0.29866666666666664,0,35,11
2,2021-22,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,0022101193,2022-04-06T00:00:00,BOS @ CHI,W,34.666666666666664,10,21,2,4,3,6,1,6,4,1,4,1,2,5,25,0.305,0.181,69,14,0.08,25,78,223,7,1,2022-04-06,100.85333333333334,3,19,38,2,18,18,8,4,0,213,9,14,20.0,2.0,0.213,0.2996666666666667,0,35,10
3,2021-22,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,0022101166,2022-04-03T00:00:00,BOS vs. WAS,W,28.566666666666666,12,17,4,5,4,4,0,7,5,0,2,0,1,4,32,0.29,0.324,57,14,0.063,25,78,223,7,1,2022-04-03,106.95333333333332,3,19,41,3,20,15,9,2,0,226,8,14,21.0,2.0,0.17400000000000002,0.3,0,35,7
4,2021-22,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,0022101153,2022-04-01T00:00:00,BOS vs. IND,W,35.083333333333336,12,18,2,5,6,6,1,2,7,5,2,0,5,5,32,0.301,0.159,73,18,0.063,25,78,223,9,1,2022-04-01,71.87,2,14,28,2,18,8,4,0,0,153,3,9,12.0,1.0,0.1815,0.2995,0,35,5
5,2021-22,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,0022101139,2022-03-30T00:00:00,BOS vs. MIA,L,37.20333333333333,9,22,5,9,5,6,1,9,6,3,0,0,3,5,28,0.308,0.156,83,8,0.0,25,78,223,4,0,2022-03-30,66.66666666666666,2,11,26,2,11,7,3,0,0,132,3,7,13.0,3.0,0.1725,0.3,0,35,3
6,2021-22,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,0022101116,2022-03-27T00:00:00,BOS vs. MIN,W,34.666666666666664,12,20,3,5,4,4,1,9,2,1,0,0,0,4,31,0.291,0.207,70,16,0.065,25,78,223,8,1,2022-03-27,104.73333333333332,3,17,38,1,11,6,5,3,0,208,7,11,19.0,5.0,0.12766666666666668,0.29033333333333333,1,35,0
7,2021-22,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,0022101087,2022-03-23T00:00:00,BOS vs. UTA,W,32.0,10,17,3,6,3,4,1,2,5,2,0,0,3,3,26,0.309,0.138,62,10,0.154,25,78,223,5,2,2022-03-23,135.74833333333333,4,24,53,3,16,4,7,5,0,275,7,21,29.0,3.0,0.14125,0.3155,0,34,22
8,2021-22,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,0022101078,2022-03-21T00:00:00,BOS @ OKC,W,38.55,10,19,2,5,3,6,0,3,1,2,2,0,2,5,25,0.258,0.078,82,14,0.08,25,78,223,7,1,2022-03-21,97.19833333333332,3,19,39,3,13,3,5,3,0,193,5,16,22.0,2.0,0.16233333333333333,0.33466666666666667,0,34,20
9,2021-22,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,0022101068,2022-03-20T00:00:00,BOS @ DEN,W,34.18333333333333,12,19,3,6,3,3,0,6,0,1,1,0,2,3,30,0.304,0.167,64,14,0.133,25,78,223,7,2,2022-03-20,98.11500000000001,3,20,35,4,11,7,7,3,0,198,5,14,19.0,0.0,0.12699999999999997,0.31266666666666665,0,34,19
