,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022101223,2022-04-10T00:00:00,BOS @ MEM,W,26.05,11,14,6,8,3,3,0,9,3,5,1,0,2,4,31,0.313,0.27,57,8,0.065,24,80,210,4,1,2022-04-10,59.3,2,13,22,2,14,15,4,4,2,119,4,9,11.0,1.0,0.14350000000000002,0.31,0,16,4
1,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022101193,2022-04-06T00:00:00,BOS @ CHI,W,30.15,5,18,1,8,5,7,0,10,8,2,2,1,1,5,16,0.297,0.159,61,6,0.125,24,80,210,3,1,2022-04-06,105.95000000000002,3,19,39,5,12,19,7,5,2,223,7,16,23.0,1.0,0.1406666666666667,0.301,1,16,0
2,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022101166,2022-04-03T00:00:00,BOS vs. WAS,W,29.15,9,17,1,5,3,6,2,4,7,2,2,1,3,4,22,0.323,0.128,58,16,0.0,24,80,210,8,0,2022-04-03,110.51666666666668,3,25,37,3,13,18,8,4,2,238,5,16,21.0,2.0,0.166,0.2936666666666667,0,15,7
3,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022101153,2022-04-01T00:00:00,BOS vs. IND,W,37.21666666666667,10,24,3,9,8,10,2,4,6,1,1,1,0,8,31,0.333,0.16,79,12,0.065,24,80,210,6,1,2022-04-01,73.30000000000001,2,16,22,1,9,12,7,3,1,159,5,8,15.0,1.0,0.16899999999999998,0.274,0,15,5
4,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022101139,2022-03-30T00:00:00,BOS vs. MIA,L,39.583333333333336,9,17,0,5,5,6,1,4,6,4,2,0,4,4,23,0.247,0.134,86,18,0.0,24,80,210,9,0,2022-03-30,62.400000000000006,2,19,17,0,8,9,5,1,2,127,3,6,9.0,2.0,0.19,0.314,0,15,3
5,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022101116,2022-03-27T00:00:00,BOS vs. MIN,W,33.71666666666667,12,21,5,11,5,5,0,5,6,3,1,1,1,4,34,0.301,0.204,73,12,0.059,24,80,210,6,1,2022-03-27,100.26666666666667,3,29,22,0,16,16,10,3,2,200,6,9,12.0,3.0,0.18600000000000003,0.317,1,15,0
6,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022101087,2022-03-23T00:00:00,BOS vs. UTA,W,28.683333333333334,9,15,5,8,3,3,0,3,3,2,0,1,2,2,26,0.327,0.176,54,6,0.077,24,80,210,3,1,2022-03-23,142.55,4,39,29,0,30,21,14,4,1,291,9,14,16.0,3.0,0.18625,0.29225,0,14,88
7,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022101078,2022-03-21T00:00:00,BOS @ OKC,W,38.833333333333336,11,19,5,11,9,9,0,7,6,3,2,1,1,6,36,0.286,0.193,83,12,0.0,24,80,210,6,0,2022-03-21,103.71666666666667,3,28,21,0,23,15,11,2,0,208,8,8,10.0,3.0,0.18400000000000002,0.29433333333333334,0,14,86
8,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022101068,2022-03-20T00:00:00,BOS @ DEN,W,32.75,11,17,6,10,2,2,0,6,7,5,1,0,3,1,30,0.338,0.189,63,6,0.133,24,80,210,3,2,2022-03-20,112.18333333333334,3,28,27,4,24,12,8,1,0,226,5,10,11.0,1.0,0.15433333333333332,0.2743333333333333,0,14,85
9,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022101057,2022-03-18T00:00:00,BOS @ SAC,W,34.15,12,16,7,10,1,1,0,5,4,2,0,0,1,1,32,0.24,0.211,70,10,0.0,24,80,210,5,0,2022-03-18,115.73333333333333,3,27,39,6,25,14,7,2,0,231,7,12,16.0,2.0,0.15633333333333332,0.3053333333333333,0,14,83
10,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022101042,2022-03-16T00:00:00,BOS @ GSW,W,36.81666666666667,6,16,3,8,11,12,0,12,4,4,1,0,4,6,26,0.305,0.152,75,4,0.077,24,80,210,2,1,2022-03-16,116.45,3,28,46,6,18,13,5,4,1,233,6,10,22.0,3.0,0.19866666666666669,0.3096666666666667,0,14,81
11,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022101014,2022-03-13T00:00:00,BOS vs. DAL,L,41.21666666666667,7,23,3,10,4,5,4,7,4,2,0,0,0,3,21,0.278,0.1,81,8,0.0,24,80,210,4,0,2022-03-13,116.51666666666667,3,33,48,4,14,12,5,4,1,240,10,15,24.0,5.0,0.236,0.351,0,14,78
12,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022100997,2022-03-11T00:00:00,BOS vs. DET,W,37.7,13,27,2,9,3,3,2,6,6,1,1,0,3,3,31,0.333,0.217,75,20,0.065,24,80,210,10,1,2022-03-11,78.81666666666666,2,24,30,2,8,6,4,3,1,165,7,12,14.0,4.0,0.2455,0.36,0,14,76
13,2021-22,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,0022100981,2022-03-09T00:00:00,BOS @ CHA,W,37.53333333333333,16,24,6,9,6,6,0,5,3,2,3,1,3,4,44,0.318,0.279,77,16,0.091,24,80,210,8,2,2022-03-09,80.19999999999999,2,22,33,3,8,8,8,0,1,162,6,13,16.0,4.0,0.1815,0.394,0,14,74
