,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022101101,2022-03-25T00:00:00,DET vs. WAS,L,7.5,2,4,1,2,0,0,0,1,1,2,0,0,0,0,5,0.333,0.136,15,2,0.0,28,80,210,1,0,2022-03-25,57.13333333333333,2,13,20,2,8,5,2,2,1,118,4,9,7.0,3.0,0.243,0.3125,1,27,0
1,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022101085,2022-03-23T00:00:00,DET vs. ATL,W,21.9,6,11,2,4,7,8,1,7,4,0,1,0,2,4,21,0.283,0.279,47,4,0.19,28,80,210,2,2,2022-03-23,35.233333333333334,1,9,13,1,1,1,2,1,1,71,2,5,5.0,1.0,0.207,0.342,0,26,4
2,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022101060,2022-03-19T00:00:00,DET @ CLE,L,35.233333333333334,13,22,7,9,7,7,1,1,1,2,1,1,2,5,40,0.342,0.207,71,10,0.05,28,80,210,5,1,2022-03-19,75.43666666666667,2,13,22,0,9,1,2,2,2,147,5,11,7.0,3.0,0.0935,0.25949999999999995,1,26,0
3,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022101031,2022-03-15T00:00:00,DET @ MIA,L,38.52,8,20,1,5,5,8,0,4,0,0,2,1,1,8,22,0.282,0.102,78,8,0.273,28,80,210,4,3,2022-03-15,107.005,3,22,20,0,12,3,6,3,5,213,10,11,7.0,2.0,0.066,0.227,1,25,0
4,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022101013,2022-03-13T00:00:00,DET vs. LAC,L,36.916666666666664,7,15,4,8,3,3,0,5,1,2,0,1,4,3,21,0.237,0.085,69,6,0.0,28,80,210,3,0,2022-03-13,105.055,3,21,21,0,11,4,5,3,4,211,8,11,5.0,6.0,0.08733333333333333,0.223,0,24,93
5,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100997,2022-03-11T00:00:00,DET @ BOS,L,37.81,6,17,3,9,5,5,0,4,0,2,1,3,3,4,20,0.25,0.068,76,6,0.0,28,80,210,3,0,2022-03-11,93.64500000000001,3,13,19,2,10,9,3,3,4,189,7,11,3.0,7.0,0.10266666666666667,0.19266666666666668,0,24,91
6,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100982,2022-03-09T00:00:00,DET vs. CHI,L,32.278333333333336,4,10,1,5,3,5,0,3,2,2,2,1,3,4,12,0.194,0.045,68,2,0.333,28,80,210,1,2,2022-03-09,95.99666666666667,3,13,23,3,9,11,2,1,3,190,7,11,6.0,7.0,0.14533333333333334,0.204,0,24,89
7,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100968,2022-03-07T00:00:00,DET vs. ATL,W,34.96666666666667,8,15,3,7,4,6,0,4,2,1,0,0,2,3,23,0.225,0.149,67,2,0.348,28,80,210,1,4,2022-03-07,96.70333333333333,3,11,27,3,8,13,2,2,4,196,7,14,9.0,5.0,0.14466666666666664,0.20166666666666666,0,24,87
8,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100946,2022-03-04T00:00:00,DET vs. IND,W,26.4,2,7,0,1,4,6,2,3,5,0,1,3,2,4,8,0.159,0.114,54,2,0.25,28,80,210,1,1,2022-03-04,134.13666666666666,4,26,39,1,10,11,7,2,3,272,12,14,14.0,8.0,0.11324999999999999,0.24275000000000002,0,24,84
9,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100942,2022-03-03T00:00:00,DET @ TOR,W,34.63,8,14,2,5,8,9,1,2,4,1,0,0,3,4,26,0.228,0.173,69,8,0.154,28,80,210,4,2,2022-03-03,131.45666666666668,4,28,38,0,11,8,7,4,4,268,12,15,11.0,7.0,0.08374999999999999,0.249,0,24,83
10,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100926,2022-03-01T00:00:00,DET @ WAS,L,35.67333333333333,9,17,3,5,5,5,0,3,4,1,1,1,2,6,26,0.218,0.147,73,8,0.154,28,80,210,4,2,2022-03-01,95.78333333333333,3,23,26,0,8,4,6,3,3,195,10,9,7.0,5.0,0.06266666666666666,0.25933333333333336,0,24,81
11,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100915,2022-02-27T00:00:00,DET @ CHA,W,33.31666666666667,11,19,4,10,0,0,0,4,2,4,1,1,4,1,26,0.271,0.155,68,8,0.231,28,80,210,4,3,2022-02-27,62.46666666666667,2,13,17,0,4,2,2,2,2,127,6,8,3.0,2.0,0.0165,0.2535,0,24,79
12,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100905,2022-02-26T00:00:00,DET vs. BOS,L,30.516666666666666,3,15,0,6,5,5,0,1,1,1,0,1,3,3,11,0.254,-0.022,62,4,0.182,28,80,210,2,1,2022-02-26,31.95,1,7,8,0,3,1,1,2,1,65,3,5,1.0,1.0,0.055,0.253,0,24,78
13,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100889,2022-02-24T00:00:00,DET vs. CLE,W,31.95,4,15,2,7,6,8,0,3,1,1,2,1,3,5,16,0.253,0.055,65,2,0.125,28,80,210,1,1,2022-02-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,24,76
14,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100875,2022-02-16T00:00:00,DET @ BOS,W,29.166666666666668,8,13,4,6,4,4,0,2,3,1,2,0,2,4,24,0.232,0.165,60,8,0.0,28,80,210,4,0,2022-02-16,88.56,3,11,24,0,8,7,6,2,5,185,6,10,10.0,4.0,0.09666666666666668,0.217,0,24,68
15,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100858,2022-02-14T00:00:00,DET @ WAS,L,32.333333333333336,4,10,2,3,4,4,0,1,0,3,1,1,2,2,14,0.189,0.044,65,2,0.143,28,80,210,1,1,2022-02-14,86.24333333333334,3,14,27,0,11,8,3,2,4,181,6,11,11.0,5.0,0.09966666666666667,0.24433333333333332,0,24,66
16,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100838,2022-02-11T00:00:00,DET vs. CHA,L,27.033333333333335,6,12,1,4,2,2,0,3,3,0,0,2,1,3,15,0.178,0.114,59,6,0.267,28,80,210,3,2,2022-02-11,116.60999999999999,4,17,35,0,13,13,5,2,3,234,8,13,9.0,6.0,0.0745,0.23525,0,24,63
17,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100831,2022-02-10T00:00:00,DET vs. MEM,L,29.19333333333333,7,13,0,4,6,7,0,4,4,3,1,2,3,5,20,0.284,0.132,61,12,0.1,28,80,210,6,1,2022-02-10,118.93333333333332,4,21,34,0,14,10,5,1,3,240,7,11,7.0,5.0,0.063,0.231,0,24,62
18,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100820,2022-02-08T00:00:00,DET @ DAL,L,30.016666666666666,5,16,1,6,4,7,0,4,1,0,1,0,2,3,15,0.271,0.053,61,4,0.267,28,80,210,2,2,2022-02-08,117.86666666666666,4,21,31,0,11,10,8,0,3,239,9,10,6.0,5.0,0.0605,0.22675,0,24,60
19,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100803,2022-02-06T00:00:00,DET @ MIN,L,31.9,3,11,1,4,3,3,0,2,5,1,0,1,2,2,10,0.171,0.053,63,2,0.2,28,80,210,1,1,2022-02-06,85.96666666666667,3,17,24,0,9,5,7,0,2,176,7,8,5.0,4.0,0.063,0.24533333333333332,0,24,58
20,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100788,2022-02-04T00:00:00,DET vs. BOS,L,25.5,3,12,1,3,3,3,0,3,3,1,0,0,1,3,10,0.215,0.06,49,0,0.4,28,80,210,0,2,2022-02-04,60.46666666666667,2,14,15,0,6,2,6,0,2,127,6,5,5.0,2.0,0.0645,0.2605,0,24,56
21,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100782,2022-02-03T00:00:00,DET vs. MIN,L,31.516666666666666,7,16,3,8,3,5,0,5,1,3,0,2,2,3,20,0.267,0.086,67,8,0.0,28,80,210,4,0,2022-02-03,28.95,1,6,7,0,1,1,3,0,0,60,4,2,1.0,2.0,0.043,0.254,0,24,55
22,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100766,2022-02-01T00:00:00,DET vs. NOP,L,28.95,6,13,3,6,2,3,0,1,1,3,0,0,4,2,17,0.254,0.043,60,2,0.235,28,80,210,1,2,2022-02-01,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,24,53
23,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100388,2021-12-10T00:00:00,DET @ NOP,L,27.9,5,14,1,6,0,0,1,4,2,3,0,4,4,1,11,0.266,0.032,58,6,0.182,28,80,210,3,1,2021-12-10,74.46666666666667,2,6,26,2,9,8,6,2,3,156,4,11,7.0,5.0,0.1355,0.254,1,24,0
24,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100368,2021-12-08T00:00:00,DET vs. WAS,L,39.0,6,16,2,2,14,15,1,4,3,3,2,1,3,9,28,0.306,0.144,77,4,0.143,28,80,210,2,2,2021-12-08,73.52166666666668,2,7,28,2,10,8,4,2,3,157,3,9,10.0,6.0,0.1555,0.256,0,23,46
25,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100354,2021-12-06T00:00:00,DET vs. OKC,L,35.46666666666667,9,16,1,4,1,1,1,5,5,3,0,2,1,2,20,0.202,0.127,79,10,0.3,28,80,210,5,3,2021-12-06,73.205,2,7,26,1,8,6,6,2,2,151,4,10,8.0,4.0,0.1025,0.2875,0,23,44
26,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100331,2021-12-02T00:00:00,DET @ PHX,L,38.055,10,19,2,3,12,14,1,5,3,1,2,1,2,7,34,0.31,0.184,78,10,0.176,28,80,210,5,3,2021-12-02,101.13333333333333,3,14,36,3,16,10,10,0,2,217,10,15,11.0,4.0,0.121,0.2836666666666667,0,23,40
27,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100317,2021-11-30T00:00:00,DET @ POR,L,35.15,4,14,0,4,6,7,0,3,3,5,0,1,2,3,14,0.265,0.021,73,6,0.143,28,80,210,3,1,2021-11-30,129.06666666666666,4,21,45,5,22,11,6,5,1,275,13,22,12.0,8.0,0.1425,0.2665,0,23,38
28,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100304,2021-11-28T00:00:00,DET @ LAL,L,32.88333333333333,11,20,4,6,6,6,2,4,4,4,0,1,4,6,32,0.333,0.195,71,10,0.125,28,80,210,5,2,2021-11-28,133.49,4,24,47,3,22,10,3,6,0,286,10,23,11.0,9.0,0.1365,0.2675,0,23,36
29,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100280,2021-11-26T00:00:00,DET @ LAC,L,33.1,5,16,1,4,9,9,1,9,3,1,0,0,4,6,20,0.253,0.147,73,6,0.1,28,80,210,3,1,2021-11-26,134.45666666666665,4,30,42,2,17,9,4,8,3,279,9,21,10.0,9.0,0.12525,0.27475,0,23,34
30,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100273,2021-11-24T00:00:00,DET @ MIL,L,28.333333333333332,5,13,1,6,2,2,1,3,1,1,2,0,3,4,13,0.227,0.063,61,2,0.462,28,80,210,1,3,2021-11-24,140.14,4,29,44,2,16,8,5,8,3,287,7,24,12.0,8.0,0.12925,0.29125,0,23,32
31,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100263,2021-11-23T00:00:00,DET vs. MIA,L,34.75,6,17,1,5,8,9,1,6,3,0,3,0,2,6,21,0.253,0.165,70,6,0.19,28,80,210,3,2,2021-11-23,105.39,3,24,32,1,10,5,5,5,3,217,5,18,9.0,6.0,0.11733333333333335,0.304,0,23,31
32,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100249,2021-11-21T00:00:00,DET vs. LAL,L,37.306666666666665,12,25,5,9,7,10,0,4,3,1,1,0,1,7,36,0.337,0.171,82,8,0.167,28,80,210,4,3,2021-11-21,95.56666666666668,3,20,21,1,7,3,5,4,3,196,5,12,7.0,3.0,0.06033333333333333,0.24466666666666667,0,23,29
33,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100231,2021-11-19T00:00:00,DET vs. GSW,L,34.06666666666667,6,17,3,10,4,6,0,4,2,2,2,3,3,4,19,0.282,0.102,66,4,0.105,28,80,210,2,1,2021-11-19,122.33999999999999,4,17,35,4,7,7,7,4,2,255,8,17,13.0,3.0,0.08875,0.246,0,23,27
34,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100214,2021-11-17T00:00:00,DET vs. IND,W,34.016666666666666,5,14,0,5,9,12,1,2,0,2,2,0,1,7,19,0.293,0.079,69,6,0.211,28,80,210,3,2,2021-11-17,122.97333333333333,4,21,40,3,10,10,6,2,4,258,9,15,15.0,4.0,0.13925,0.2485,0,23,25
35,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100200,2021-11-15T00:00:00,DET vs. SAC,L,27.483333333333334,3,10,1,5,0,0,0,1,1,1,0,0,1,1,7,0.159,0.0,61,4,0.0,28,80,210,2,0,2021-11-15,95.49000000000001,3,16,35,3,9,9,5,2,4,197,8,14,13.0,4.0,0.18566666666666667,0.2783333333333333,0,23,23
36,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100189,2021-11-13T00:00:00,DET @ TOR,W,36.225,8,16,2,3,6,6,3,2,5,2,0,1,4,6,24,0.241,0.124,75,10,0.083,28,80,210,5,1,2021-11-13,59.265,2,13,22,0,7,4,3,2,3,122,4,8,8.0,3.0,0.21650000000000003,0.297,0,23,21
37,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100176,2021-11-12T00:00:00,DET @ CLE,L,24.615,5,12,2,4,4,4,0,2,1,2,2,1,2,3,16,0.291,0.152,50,6,0.0,28,80,210,3,0,2021-11-12,73.9,2,13,19,0,9,7,4,0,4,154,2,8,5.0,3.0,0.14450000000000002,0.235,0,23,20
38,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100162,2021-11-10T00:00:00,DET @ HOU,W,34.65,12,23,4,9,7,9,0,5,3,1,0,2,2,5,35,0.303,0.281,72,10,0.171,28,80,210,5,3,2021-11-10,77.21666666666667,2,10,21,0,10,8,7,1,3,156,1,6,8.0,1.0,0.079,0.237,0,23,18
39,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100124,2021-11-05T00:00:00,DET vs. BKN,L,39.25,0,9,0,4,5,6,0,4,4,3,0,2,0,3,5,0.167,0.008,82,0,0.0,28,80,210,0,0,2021-11-05,124.21666666666667,4,25,39,2,17,10,10,4,2,251,8,14,18.0,4.0,0.12375,0.274,0,23,13
40,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100119,2021-11-04T00:00:00,DET vs. PHI,L,37.96666666666667,11,22,2,6,3,3,0,6,4,4,1,1,1,3,27,0.307,0.15,74,16,0.074,28,80,210,8,1,2021-11-04,122.63333333333333,4,24,32,5,14,9,7,7,2,251,9,14,12.0,4.0,0.10799999999999998,0.2515,0,23,12
41,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100103,2021-11-02T00:00:00,DET vs. MIL,L,23.916666666666668,8,13,4,8,1,2,0,2,1,1,1,1,0,4,21,0.25,0.226,49,4,0.19,28,80,210,2,2,2021-11-02,98.71666666666667,3,16,27,5,12,8,6,6,1,202,9,10,10.0,2.0,0.06866666666666667,0.252,0,23,10
42,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100092,2021-10-31T00:00:00,DET @ BKN,L,27.25,5,15,1,5,0,1,0,4,0,4,1,0,5,1,11,0.328,-0.045,53,8,0.0,28,80,210,4,0,2021-10-31,71.46666666666667,2,11,17,5,8,8,2,5,1,149,4,9,6.0,2.0,0.1255,0.214,0,23,8
43,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100079,2021-10-30T00:00:00,DET vs. ORL,W,35.083333333333336,6,14,1,6,9,10,2,5,5,1,1,0,2,6,22,0.211,0.164,75,8,0.091,28,80,210,4,1,2021-10-30,67.83333333333333,2,8,19,5,6,4,5,6,5,139,4,5,6.0,1.0,0.0535,0.22849999999999998,0,23,7
44,2021-22,203924,Jerami Grant,1610612765,DET,Detroit Pistons,0022100065,2021-10-28T00:00:00,DET @ PHI,L,36.38333333333333,4,14,1,5,5,7,3,3,3,1,4,1,2,3,14,0.217,0.087,74,4,0.143,28,80,210,2,1,2021-10-28,31.45,1,3,10,2,3,1,4,2,4,65,2,2,4.0,0.0,0.02,0.24,0,23,5
