,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022101207,2022-04-08T00:00:00,MIA vs. ATL,W,37.266666666666666,5,10,0,2,10,12,1,3,1,4,1,0,2,9,20,0.235,0.093,75,8,0.1,32,79,230,4,1,2022-04-08,70.78333333333333,2,7,20,2,10,14,5,3,0,144,4,10,8.0,4.0,0.14550000000000002,0.2355,1,62,0
1,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022101181,2022-04-05T00:00:00,MIA vs. CHA,W,35.733333333333334,9,15,2,4,7,8,0,5,8,3,2,0,1,5,27,0.244,0.152,77,10,0.148,32,79,230,5,2,2022-04-05,71.85,2,6,23,3,7,8,4,2,0,147,5,9,9.0,5.0,0.1295,0.2385,0,61,3
2,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022101164,2022-04-02T00:00:00,MIA @ CHI,W,35.05,7,12,2,3,6,7,2,5,6,2,1,0,3,5,22,0.227,0.139,67,6,0.182,32,79,230,3,2,2022-04-02,95.65499999999999,3,11,29,4,10,13,6,2,1,201,5,12,14.0,4.0,0.124,0.2233333333333333,1,61,0
3,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022101139,2022-03-30T00:00:00,MIA @ BOS,W,36.8,9,17,0,3,6,8,1,2,2,2,1,0,2,4,24,0.25,0.12,80,12,0.25,32,79,230,6,3,2022-03-30,136.39833333333334,4,12,43,8,15,21,8,4,2,266,8,20,20.0,4.0,0.142,0.23275,0,60,15
4,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022101125,2022-03-28T00:00:00,MIA vs. SAC,W,33.86666666666667,10,14,3,5,4,4,1,4,7,3,0,0,0,5,27,0.24,0.198,68,14,0.0,32,79,230,7,0,2022-03-28,137.34166666666667,4,10,46,8,15,20,6,5,2,266,9,21,18.0,7.0,0.14825,0.24225000000000002,0,60,13
5,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022101111,2022-03-26T00:00:00,MIA vs. BKN,L,24.988333333333333,2,9,0,3,3,4,2,4,4,1,1,1,3,3,7,0.18,0.054,53,2,0.286,32,79,230,1,1,2022-03-26,112.35333333333332,3,7,40,6,11,16,5,4,1,213,6,18,17.0,6.0,0.17966666666666667,0.263,0,60,11
6,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022101103,2022-03-25T00:00:00,MIA vs. NYK,L,37.016666666666666,11,17,1,2,7,8,3,4,7,4,1,1,1,7,30,0.316,0.228,68,16,0.133,32,79,230,8,2,2022-03-25,75.33666666666667,2,5,25,3,7,9,1,3,0,145,5,11,9.0,4.0,0.1555,0.23650000000000002,0,60,10
7,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022101088,2022-03-23T00:00:00,MIA vs. GSW,L,40.526666666666664,7,15,2,2,4,5,2,3,3,0,2,0,4,5,20,0.195,0.088,77,8,0.1,32,79,230,4,1,2022-03-23,34.81,1,3,12,1,4,6,1,1,0,68,1,6,5.0,3.0,0.223,0.278,0,60,8
8,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022101074,2022-03-21T00:00:00,MIA @ PHI,L,34.81,8,15,0,3,11,11,1,4,6,1,1,0,1,6,27,0.278,0.223,68,10,0.222,32,79,230,5,3,2022-03-21,18.051666666666666,1,2,7,1,1,3,0,0,1,38,0,2,2.0,0.0,0.098,0.268,0,60,6
9,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022101031,2022-03-15T00:00:00,MIA vs. DET,W,18.051666666666666,2,9,0,2,4,4,1,1,3,0,0,1,0,2,8,0.268,0.098,38,4,0.0,32,79,230,2,0,2022-03-15,33.858333333333334,1,1,13,2,2,5,1,3,1,69,1,6,7.0,0.0,0.194,0.28,1,60,0
10,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022100998,2022-03-11T00:00:00,MIA vs. CLE,W,33.858333333333334,7,14,0,1,10,12,2,2,5,1,3,1,1,6,24,0.28,0.194,69,14,0.0,32,79,230,7,0,2022-03-11,62.50833333333333,2,2,24,4,7,9,6,3,2,121,3,13,11.0,1.0,0.1735,0.2965,1,59,0
11,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022100970,2022-03-07T00:00:00,MIA vs. HOU,W,29.265,7,11,0,0,7,9,2,5,4,2,1,1,0,7,21,0.235,0.194,59,14,0.0,32,79,230,7,0,2022-03-07,96.93333333333334,3,6,36,5,9,11,7,6,3,198,5,13,8.0,3.0,0.08733333333333333,0.276,1,58,0
12,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022100956,2022-03-05T00:00:00,MIA vs. PHI,W,33.24333333333333,6,15,1,2,8,11,2,2,5,4,2,1,3,6,21,0.358,0.153,62,8,0.095,32,79,230,4,1,2022-03-05,93.57333333333332,3,6,32,3,10,9,6,6,2,197,4,16,9.0,3.0,0.09566666666666666,0.26266666666666666,0,57,3
13,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022100936,2022-03-02T00:00:00,MIA @ MIL,L,35.13333333333333,2,14,0,3,2,2,1,2,2,1,0,2,1,2,6,0.186,-0.015,77,2,0.333,32,79,230,1,1,2022-03-02,92.04666666666667,3,3,41,3,9,9,6,8,0,190,6,22,16.0,3.0,0.12766666666666668,0.3163333333333333,1,57,0
14,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022100922,2022-02-28T00:00:00,MIA vs. CHI,W,28.55666666666667,4,13,0,1,7,10,2,5,4,2,4,0,1,5,15,0.284,0.124,59,6,0.133,32,79,230,3,1,2022-02-28,63.49,2,2,29,1,4,5,4,4,0,131,5,17,13.0,2.0,0.1295,0.3325,0,56,30
15,2021-22,202710,Jimmy Butler,1610612748,MIA,Miami Heat,0022100908,2022-02-26T00:00:00,MIA vs. SAS,W,29.883333333333333,7,11,1,2,12,15,0,3,3,3,2,0,2,9,27,0.318,0.178,61,10,0.074,32,79,230,5,1,2022-02-26,33.60666666666667,1,0,20,1,1,2,1,2,0,70,3,8,8.0,1.0,0.081,0.347,0,56,28
