,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101214,2022-04-09T00:00:00,PHI vs. IND,W,36.95166666666667,14,17,2,2,11,15,5,15,4,5,2,1,4,10,41,0.326,0.25,80,20,0.098,28,84,280,10,2,2022-04-09,145.38333333333333,4,16,78,8,46,13,15,2,7,303,6,34,40.0,6.0,0.20575,0.38675,1,76,0
1,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101197,2022-04-07T00:00:00,PHI @ TOR,L,37.333333333333336,10,22,0,4,10,12,0,10,2,5,1,1,2,9,30,0.416,0.136,73,16,0.133,28,84,280,8,2,2022-04-07,144.58333333333331,4,14,77,8,51,14,17,2,8,300,8,36,40.0,6.0,0.2325,0.39425,0,75,18
2,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101178,2022-04-05T00:00:00,PHI @ IND,W,38.65,18,30,2,3,7,10,2,11,2,3,0,1,1,9,45,0.411,0.196,83,24,0.178,28,84,280,12,4,2022-04-05,144.51666666666668,4,16,66,7,53,19,18,3,7,297,9,35,36.0,2.0,0.22749999999999998,0.37,0,75,16
3,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101170,2022-04-03T00:00:00,PHI @ CLE,W,38.05,12,26,3,6,17,20,4,13,3,3,1,5,1,11,44,0.427,0.289,78,18,0.0,28,84,280,9,0,2022-04-03,144.04500000000002,4,15,68,10,48,18,19,5,4,298,10,31,39.0,3.0,0.20500000000000002,0.359,0,75,14
4,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101161,2022-04-02T00:00:00,PHI vs. CHA,W,31.35,12,16,1,3,4,6,2,12,6,4,0,0,2,5,29,0.293,0.202,69,22,0.0,28,84,280,11,0,2022-04-02,112.69500000000001,3,12,55,8,36,12,15,5,4,229,8,26,28.0,3.0,0.206,0.381,0,75,13
5,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101147,2022-03-31T00:00:00,PHI @ DET,L,36.53333333333333,11,19,1,2,14,16,0,15,3,7,1,2,4,11,37,0.446,0.243,70,16,0.108,28,84,280,8,2,2022-03-31,104.04833333333333,3,13,54,10,29,11,11,5,4,218,6,19,25.0,3.0,0.18966666666666665,0.36766666666666675,0,75,11
6,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101131,2022-03-29T00:00:00,PHI vs. MIL,L,38.583333333333336,11,21,3,5,4,6,1,13,7,4,1,0,2,8,29,0.314,0.176,80,16,0.0,28,84,280,8,0,2022-03-29,99.775,3,9,56,13,22,7,9,7,7,211,8,19,24.0,7.0,0.18700000000000003,0.377,0,75,9
7,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101118,2022-03-27T00:00:00,PHI @ PHX,L,37.57833333333333,14,27,1,5,8,12,7,8,2,4,3,2,2,7,37,0.383,0.199,79,24,0.054,28,84,280,12,1,2022-03-27,99.435,3,7,51,7,26,7,6,5,6,200,9,18,16.0,8.0,0.17400000000000002,0.36633333333333334,0,75,7
8,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101106,2022-03-25T00:00:00,PHI @ LAC,W,27.886666666666667,9,19,2,3,7,8,2,8,2,3,1,2,2,4,27,0.406,0.194,59,10,0.148,28,84,280,5,2,2022-03-25,105.38333333333335,3,10,49,5,26,9,9,9,5,205,10,19,18.0,8.0,0.18800000000000003,0.37800000000000006,0,75,5
9,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101093,2022-03-23T00:00:00,PHI @ LAL,W,34.31,11,19,0,1,8,12,4,6,3,2,3,3,4,8,30,0.342,0.168,73,14,0.267,28,84,280,7,4,2022-03-23,105.56333333333333,3,12,47,6,32,11,10,6,2,200,9,19,20.0,7.0,0.22066666666666668,0.37966666666666665,0,75,3
10,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101069,2022-03-20T00:00:00,PHI vs. TOR,L,37.23833333333334,6,20,0,3,9,11,1,12,2,1,1,1,3,6,21,0.351,0.16,68,8,0.19,28,84,280,4,2,2022-03-20,145.93666666666667,4,17,70,12,38,20,16,7,5,286,12,32,25.0,11.0,0.22775,0.38725,1,75,0
11,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101046,2022-03-18T00:00:00,PHI vs. DAL,W,33.835,11,20,2,6,8,9,0,8,4,6,5,1,3,5,32,0.441,0.236,64,14,0.125,28,84,280,7,2,2022-03-18,112.10166666666666,3,11,56,12,30,16,10,2,4,222,9,27,18.0,9.0,0.225,0.3693333333333333,0,74,48
12,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101034,2022-03-16T00:00:00,PHI @ CLE,W,34.49,13,19,1,3,8,10,5,12,5,3,0,0,3,8,35,0.347,0.266,68,18,0.171,28,84,280,9,3,2022-03-16,108.075,3,11,54,11,26,13,11,2,5,220,10,30,11.0,7.0,0.17700000000000002,0.38199999999999995,0,74,46
13,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101022,2022-03-14T00:00:00,PHI vs. DEN,L,36.32833333333333,11,20,3,3,9,10,3,6,4,5,1,2,5,7,34,0.354,0.17,74,10,0.176,28,84,280,5,3,2022-03-14,108.07,3,11,61,11,31,11,8,3,6,221,7,34,19.0,5.0,0.20966666666666667,0.4103333333333334,0,74,44
14,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022101015,2022-03-13T00:00:00,PHI @ ORL,W,41.28333333333333,9,28,2,5,15,17,4,12,7,2,1,2,1,12,35,0.407,0.239,80,8,0.171,28,84,280,4,3,2022-03-13,66.78666666666666,2,6,38,7,19,4,6,2,4,141,6,22,15.0,2.0,0.195,0.41200000000000003,0,74,43
15,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022100993,2022-03-10T00:00:00,PHI vs. BKN,L,30.463333333333335,5,17,2,3,15,19,4,8,2,4,0,1,4,11,27,0.385,0.122,66,4,0.074,28,84,280,2,1,2022-03-10,108.59,3,13,43,10,28,9,8,6,3,217,9,29,21.0,4.0,0.20299999999999999,0.34500000000000003,0,74,40
16,2021-22,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,0022100969,2022-03-07T00:00:00,PHI vs. CHI,W,36.32333333333333,15,27,1,3,12,16,3,11,2,2,2,3,2,11,43,0.439,0.268,75,26,0.047,28,84,280,13,1,2022-03-07,107.03,3,14,30,8,28,11,10,5,2,211,9,26,11.0,5.0,0.18499999999999997,0.3096666666666667,0,74,37
