,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628381,John Collins,1610612737,ATL,Atlanta Hawks,0022100996,2022-03-11T00:00:00,ATL vs. LAC,W,22.98,3,8,0,3,3,3,1,2,1,0,0,1,4,3,9,0.173,0.04,47,6,0.0,24,81,226,3,0,2022-03-11,75.9,3,13,18,2,20,3,4,1,1,150,7,6,8.0,1.0,0.06366666666666666,0.225,1,11,0
1,2021-22,1628381,John Collins,1610612737,ATL,Atlanta Hawks,0022100984,2022-03-09T00:00:00,ATL @ MIL,L,19.316666666666666,0,9,0,5,2,2,0,5,0,2,0,0,2,2,2,0.279,-0.066,42,0,0.0,24,81,226,0,0,2022-03-09,56.583333333333336,2,8,14,2,15,3,2,1,1,108,5,4,8.0,1.0,0.1285,0.198,0,10,26
2,2021-22,1628381,John Collins,1610612737,ATL,Atlanta Hawks,0022100968,2022-03-07T00:00:00,ATL @ DET,L,31.783333333333335,7,13,2,5,1,2,2,9,2,2,0,0,4,2,17,0.211,0.155,60,10,0.0,24,81,226,5,0,2022-03-07,24.8,1,3,6,0,6,1,0,1,1,48,1,2,3.0,1.0,0.102,0.185,0,10,24
3,2021-22,1628381,John Collins,1610612737,ATL,Atlanta Hawks,0022100948,2022-03-04T00:00:00,ATL @ WAS,W,24.8,4,9,0,3,1,2,0,6,1,0,1,1,1,2,9,0.185,0.102,48,6,0.222,24,81,226,3,1,2022-03-04,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,21
4,2021-22,1628381,John Collins,1610612737,ATL,Atlanta Hawks,0022100841,2022-02-11T00:00:00,ATL vs. SAS,L,20.666666666666668,2,8,0,3,0,0,2,1,1,2,0,0,3,1,4,0.192,-0.031,47,2,0.5,24,81,226,1,1,2022-02-11,89.54666666666667,3,12,41,6,21,3,1,2,2,184,9,9,22.0,3.0,0.16133333333333333,0.2643333333333333,1,10,0
5,2021-22,1628381,John Collins,1610612737,ATL,Atlanta Hawks,0022100816,2022-02-08T00:00:00,ATL vs. IND,W,20.71,9,14,2,4,0,0,1,2,1,0,0,1,4,3,20,0.286,0.155,43,10,0.2,24,81,226,5,2,2022-02-08,100.18666666666667,3,13,39,8,26,3,3,2,1,207,8,9,22.0,1.0,0.14933333333333335,0.23933333333333331,0,9,45
6,2021-22,1628381,John Collins,1610612737,ATL,Atlanta Hawks,0022100807,2022-02-06T00:00:00,ATL @ DAL,L,34.87,10,20,0,2,2,2,4,14,1,0,1,0,2,3,22,0.241,0.231,72,18,0.091,24,81,226,9,1,2022-02-06,118.23333333333332,4,16,40,6,28,8,5,4,3,247,12,12,20.0,6.0,0.12,0.22499999999999998,0,9,43
7,2021-22,1628381,John Collins,1610612737,ATL,Atlanta Hawks,0022100790,2022-02-04T00:00:00,ATL @ TOR,L,33.96666666666667,10,19,2,6,1,2,1,5,1,1,1,1,3,3,23,0.266,0.098,69,16,0.0,24,81,226,8,0,2022-02-04,110.86666666666667,4,12,38,7,30,7,5,3,6,236,9,15,18.0,8.0,0.164,0.22,0,9,41
8,2021-22,1628381,John Collins,1610612737,ATL,Atlanta Hawks,0022100783,2022-02-03T00:00:00,ATL vs. PHX,W,31.35,8,13,3,5,0,0,3,7,1,2,0,0,3,3,19,0.211,0.119,66,10,0.0,24,81,226,5,0,2022-02-03,79.51666666666668,3,7,30,4,23,6,3,3,6,170,6,12,13.0,8.0,0.17900000000000002,0.223,0,9,40
9,2021-22,1628381,John Collins,1610612737,ATL,Atlanta Hawks,0022100767,2022-01-31T00:00:00,ATL vs. TOR,L,27.066666666666666,3,11,0,4,0,0,0,7,4,2,0,2,3,5,6,0.217,0.045,56,2,0.667,24,81,226,1,2,2022-01-31,77.18333333333334,3,7,27,4,22,2,1,4,5,166,4,10,15.0,7.0,0.20199999999999999,0.19833333333333333,0,9,37
