,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101213,2022-04-09T00:00:00,NOP @ MEM,L,5.583333333333333,3,3,0,0,2,2,0,1,0,2,0,0,5,1,8,0.545,0.066,11,2,0.5,30,83,265,1,2,2022-04-09,43.94166666666666,2,0,17,6,11,3,4,0,0,82,5,8,9.0,0.0,0.10200000000000001,0.22249999999999998,1,34,0
1,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101200,2022-04-07T00:00:00,NOP vs. POR,W,21.766666666666666,5,11,0,0,4,4,3,5,2,2,0,0,4,6,14,0.3,0.104,40,10,0.0,30,83,265,5,0,2022-04-07,60.15166666666667,2,2,14,4,17,7,3,0,1,125,6,7,9.0,0.0,0.125,0.148,0,33,4
2,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101177,2022-04-03T00:00:00,NOP @ LAC,L,22.175,4,6,0,0,0,1,3,6,1,2,0,0,1,2,8,0.145,0.1,42,8,0.0,30,83,265,4,0,2022-04-03,110.03,3,4,30,8,27,13,7,5,2,229,13,17,19.0,1.0,0.1406666666666667,0.18633333333333332,1,33,0
3,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101160,2022-04-01T00:00:00,NOP @ LAL,W,37.97666666666667,6,10,1,2,4,5,1,11,6,1,0,1,5,5,17,0.151,0.15,83,10,0.0,30,83,265,5,0,2022-04-01,101.53666666666666,3,3,33,12,22,13,9,5,2,201,12,17,19.0,2.0,0.14833333333333334,0.22066666666666668,0,32,67
4,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101146,2022-03-30T00:00:00,NOP @ POR,W,35.18333333333333,8,11,0,2,3,4,5,6,4,4,4,0,4,6,19,0.195,0.14,73,16,0.0,30,83,265,8,0,2022-03-30,100.83666666666666,3,5,32,10,32,11,10,2,3,200,11,16,15.0,3.0,0.15433333333333332,0.239,0,32,65
5,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101119,2022-03-27T00:00:00,NOP vs. LAL,W,36.87,7,13,0,0,5,6,2,10,3,2,1,1,4,6,19,0.213,0.132,73,12,0.105,30,83,265,6,1,2022-03-27,125.93333333333334,4,9,49,18,42,17,12,3,4,258,14,19,24.0,6.0,0.19499999999999998,0.26175000000000004,0,32,62
6,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101107,2022-03-26T00:00:00,NOP vs. SAS,L,29.483333333333334,7,12,1,1,3,5,5,6,6,3,0,1,4,5,18,0.254,0.173,55,10,0.111,30,83,265,5,1,2022-03-26,96.44999999999999,3,8,38,13,36,11,9,3,3,203,10,14,19.0,5.0,0.20233333333333334,0.26433333333333336,0,32,61
7,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101098,2022-03-24T00:00:00,NOP vs. CHI,W,34.483333333333334,5,12,0,4,6,6,3,16,2,5,1,1,3,5,16,0.25,0.158,72,8,0.125,30,83,265,4,1,2022-03-24,83.36666666666667,3,5,40,11,31,11,5,2,2,177,11,10,17.0,8.0,0.2243333333333333,0.26766666666666666,0,32,59
8,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101071,2022-03-21T00:00:00,NOP @ CHA,L,28.583333333333332,11,18,1,2,1,1,6,12,5,2,1,2,4,4,24,0.29,0.237,59,16,0.167,30,83,265,8,2,2022-03-21,84.81666666666666,3,7,34,8,28,9,6,2,1,180,9,11,15.0,7.0,0.19266666666666665,0.24666666666666667,0,32,56
9,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101064,2022-03-20T00:00:00,NOP @ ATL,W,33.38333333333333,10,16,1,2,5,6,4,8,4,2,1,0,3,5,26,0.253,0.212,72,14,0.154,30,83,265,7,2,2022-03-20,78.06666666666666,3,8,35,8,26,8,5,2,2,165,9,10,15.0,9.0,0.22999999999999998,0.2733333333333334,0,32,55
10,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101054,2022-03-18T00:00:00,NOP @ SAS,W,21.4,7,11,1,1,1,2,1,11,2,1,0,0,4,1,16,0.26,0.224,46,4,0.5,30,83,265,2,4,2022-03-18,81.81666666666666,3,8,36,8,22,7,6,3,2,171,8,11,17.0,5.0,0.17166666666666666,0.26866666666666666,0,32,53
11,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101032,2022-03-15T00:00:00,NOP vs. PHX,L,30.033333333333335,8,14,1,4,0,0,3,9,3,3,1,1,2,5,17,0.227,0.142,62,12,0.118,30,83,265,6,1,2022-03-15,105.91666666666666,4,7,53,10,25,8,6,4,3,224,9,17,24.0,6.0,0.16275,0.29275,0,32,50
12,2021-22,202685,Jonas Valanciunas,1610612740,NOP,New Orleans Pelicans,0022101017,2022-03-13T00:00:00,NOP vs. HOU,W,26.633333333333333,12,18,1,3,7,7,4,6,3,1,1,1,3,4,32,0.333,0.324,57,14,0.25,30,83,265,7,4,2022-03-13,109.67,4,7,51,10,29,7,8,3,2,229,12,14,23.0,4.0,0.11175,0.27825,0,32,48
