,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,0022101230,2022-04-10T00:00:00,UTA @ POR,W,28.6,4,13,1,8,0,0,3,8,4,2,3,0,2,1,9,0.208,0.13,59,6,0.0,30,76,194,3,0,2022-04-10,82.18333333333334,3,21,13,1,8,15,6,1,0,167,1,5,7.0,0.0,0.13899999999999998,0.22366666666666668,0,7,70
1,2021-22,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,0022101210,2022-04-08T00:00:00,UTA vs. PHX,L,21.883333333333333,2,10,2,7,3,3,1,2,0,2,0,0,0,2,9,0.25,0.024,41,0,0.0,30,76,194,0,0,2022-04-08,87.86666666666666,3,22,15,2,7,17,6,1,0,181,4,4,10.0,0.0,0.145,0.225,0,7,68
2,2021-22,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,0022101194,2022-04-06T00:00:00,UTA vs. OKC,W,29.316666666666666,7,11,4,6,0,0,0,1,10,3,0,0,1,0,18,0.2,0.148,58,6,0.0,30,76,194,3,0,2022-04-06,87.76666666666667,3,25,17,2,7,8,4,3,0,184,3,4,11.0,1.0,0.13466666666666666,0.238,0,7,66
3,2021-22,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,0022101187,2022-04-05T00:00:00,UTA vs. MEM,W,30.983333333333334,7,13,3,8,5,6,0,5,5,1,1,0,0,3,22,0.221,0.245,68,8,0.0,30,76,194,4,0,2022-04-05,89.9,3,24,20,2,4,8,3,2,0,183,4,6,11.0,2.0,0.076,0.24533333333333332,0,7,65
4,2021-22,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,0022101165,2022-04-02T00:00:00,UTA @ GSW,L,27.566666666666666,5,13,2,8,2,2,2,1,2,2,0,0,3,1,14,0.254,0.042,55,6,0.0,30,76,194,3,0,2022-04-02,91.66666666666666,3,21,22,0,6,12,2,2,0,181,3,6,10.0,2.0,0.09733333333333333,0.2293333333333333,0,7,62
5,2021-22,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,0022101150,2022-03-31T00:00:00,UTA vs. LAL,W,29.216666666666665,8,16,3,9,0,0,0,1,1,1,2,0,0,0,19,0.239,0.117,61,8,0.105,30,76,194,4,1,2022-03-31,97.76666666666668,3,21,24,2,6,15,2,0,1,188,5,9,11.0,1.0,0.08333333333333333,0.23866666666666667,0,7,60
6,2021-22,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,0022101135,2022-03-29T00:00:00,UTA @ LAC,L,33.11666666666667,6,15,1,7,4,8,0,2,5,0,0,0,1,5,17,0.243,0.069,67,8,0.118,30,76,194,4,1,2022-03-29,91.2,3,19,23,4,6,10,7,2,1,174,6,7,10.0,0.0,0.056666666666666664,0.25133333333333335,0,7,58
7,2021-22,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,0022101121,2022-03-27T00:00:00,UTA @ DAL,L,29.333333333333332,5,12,3,5,1,1,0,3,6,1,0,0,2,1,14,0.206,0.106,53,4,0.0,30,76,194,2,0,2022-03-27,137.825,4,27,40,9,10,8,7,6,1,268,8,13,19.0,1.0,0.0695,0.25725,0,7,56
8,2021-22,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,0022101100,2022-03-25T00:00:00,UTA @ CHA,L,35.31666666666667,7,18,2,9,3,3,2,1,4,1,0,1,2,3,19,0.267,0.075,68,10,0.0,30,76,194,5,0,2022-03-25,131.50833333333333,4,23,43,9,15,9,10,8,0,261,8,11,20.0,1.0,0.0855,0.26375,0,7,54
9,2021-22,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,0022101087,2022-03-23T00:00:00,UTA @ BOS,L,26.55,4,12,1,5,1,2,2,2,0,5,2,0,2,3,10,0.281,-0.011,53,6,0.0,30,76,194,3,0,2022-03-23,139.64166666666665,4,23,49,8,17,10,8,8,0,281,8,11,27.0,1.0,0.11975000000000001,0.2645,0,7,52
10,2021-22,203903,Jordan Clarkson,1610612762,UTA,Utah Jazz,0022101075,2022-03-21T00:00:00,UTA @ BKN,L,37.041666666666664,7,19,4,8,1,1,3,3,0,0,3,0,2,3,19,0.218,0.084,75,6,0.0,30,76,194,3,0,2022-03-21,134.53333333333333,4,24,43,6,15,11,10,6,0,274,9,8,25.0,1.0,0.08925000000000001,0.26125000000000004,0,7,50
