,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101225,2022-04-10T00:00:00,GSW @ NOP,W,28.266666666666666,7,16,4,9,4,4,1,3,5,5,0,2,1,5,22,0.355,0.133,60,6,0.0,23,76,194,3,0,2022-04-10,101.34333333333333,3,28,21,2,13,23,10,1,1,216,12,10,11.0,0.0,0.11266666666666665,0.27499999999999997,0,3,117
1,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101215,2022-04-09T00:00:00,GSW @ SAS,W,34.26166666666666,3,19,1,11,11,11,2,4,8,2,0,0,3,7,18,0.317,0.09,74,4,0.0,23,76,194,2,0,2022-04-09,104.65333333333334,3,32,20,1,14,21,13,1,2,217,13,9,12.0,0.0,0.12833333333333333,0.2896666666666667,0,3,116
2,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101202,2022-04-07T00:00:00,GSW vs. LAL,W,33.23833333333334,7,15,3,8,2,2,0,4,11,4,1,0,4,2,19,0.244,0.119,75,8,0.0,23,76,194,4,0,2022-04-07,71.41499999999999,2,24,13,1,10,10,9,0,2,142,9,7,8.0,0.0,0.133,0.3125,0,3,114
3,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101176,2022-04-03T00:00:00,GSW @ SAC,W,33.843333333333334,9,15,4,9,0,0,0,5,4,4,0,1,5,1,22,0.264,0.129,67,10,0.0,23,76,194,5,0,2022-04-03,141.44333333333333,4,46,40,2,24,18,10,4,1,298,12,23,17.0,1.0,0.16074999999999998,0.32975,0,3,110
4,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101165,2022-04-02T00:00:00,GSW vs. UTA,W,37.571666666666665,9,22,6,15,7,7,1,5,6,5,0,1,4,6,31,0.361,0.137,75,6,0.0,23,76,194,3,0,2022-04-02,103.87166666666667,3,31,33,1,19,12,5,4,0,223,8,17,14.0,1.0,0.16866666666666666,0.3193333333333333,0,3,109
5,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101145,2022-03-30T00:00:00,GSW vs. PHX,L,36.47833333333333,11,22,7,15,9,10,1,8,7,2,1,0,4,8,38,0.305,0.254,83,6,0.053,23,76,194,3,1,2022-03-30,145.385,4,42,40,1,18,24,13,3,0,298,12,19,15.0,3.0,0.11975,0.30775,0,3,106
6,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101129,2022-03-28T00:00:00,GSW @ MEM,L,27.883333333333333,7,17,3,6,8,8,0,5,3,1,0,0,1,4,25,0.333,0.176,58,8,0.0,23,76,194,4,0,2022-03-28,157.19333333333333,4,49,39,1,15,27,16,3,0,318,13,20,15.0,3.0,0.10275,0.3005,0,3,104
7,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101117,2022-03-27T00:00:00,GSW @ WAS,L,39.51,8,25,1,10,9,11,0,6,2,2,3,0,3,5,26,0.32,0.076,82,14,0.0,23,76,194,7,0,2022-03-27,153.95666666666668,4,48,36,1,14,28,17,0,0,311,14,19,14.0,4.0,0.118,0.28925,0,3,103
8,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101102,2022-03-25T00:00:00,GSW @ ATL,L,38.95166666666667,8,22,4,13,4,4,0,4,10,5,0,0,5,6,24,0.308,0.076,80,4,0.167,23,76,194,2,2,2022-03-25,115.005,3,35,27,1,10,18,12,0,0,231,9,13,12.0,2.0,0.132,0.28300000000000003,0,3,101
9,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101088,2022-03-23T00:00:00,GSW @ MIA,W,39.04,10,18,7,13,3,3,1,3,9,5,0,0,3,4,30,0.27,0.151,78,4,0.067,23,76,194,2,1,2022-03-23,110.39333333333335,3,35,29,0,9,12,7,2,1,222,10,11,13.0,2.0,0.13066666666666668,0.2893333333333333,0,3,99
10,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101080,2022-03-22T00:00:00,GSW @ ORL,L,39.69166666666667,9,23,5,13,3,3,0,2,6,4,0,0,2,5,26,0.304,0.108,78,8,0.0,23,76,194,4,0,2022-03-22,70.70166666666667,2,22,19,0,7,6,3,2,1,144,8,6,9.0,2.0,0.14200000000000002,0.28200000000000003,0,3,98
11,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101070,2022-03-20T00:00:00,GSW vs. SAS,L,36.27333333333333,11,21,4,9,2,2,0,5,3,3,0,0,4,4,28,0.275,0.137,75,12,0.071,23,76,194,6,1,2022-03-20,66.91166666666666,2,17,16,0,4,6,2,4,2,142,8,8,7.0,3.0,0.11599999999999999,0.26,0,3,96
12,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101042,2022-03-16T00:00:00,GSW vs. BOS,L,34.428333333333335,10,20,6,13,3,4,0,2,3,0,2,1,4,2,29,0.289,0.147,69,6,0.069,23,76,194,3,1,2022-03-16,101.94333333333333,3,21,21,1,12,15,5,3,1,214,11,14,9.0,5.0,0.13833333333333334,0.225,0,3,92
13,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101025,2022-03-14T00:00:00,GSW vs. WAS,W,32.483333333333334,7,13,1,4,5,7,0,2,3,2,2,1,4,6,20,0.231,0.085,73,8,0.2,23,76,194,4,2,2022-03-14,133.37666666666667,4,35,26,1,16,23,11,4,0,279,12,12,11.0,4.0,0.1585,0.24275000000000002,0,3,90
14,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022101008,2022-03-12T00:00:00,GSW vs. MIL,W,35.21666666666667,9,16,5,10,7,7,0,6,5,1,1,0,2,6,30,0.244,0.175,72,6,0.067,23,76,194,3,1,2022-03-12,130.23833333333334,4,33,27,1,11,23,12,4,0,278,11,10,12.0,4.0,0.15275,0.23625000000000002,0,3,88
15,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022100994,2022-03-10T00:00:00,GSW @ DEN,W,34.24333333333333,8,13,4,7,1,2,1,4,7,2,0,0,5,2,21,0.2,0.155,69,4,0.19,23,76,194,2,2,2022-03-10,122.50333333333333,4,32,27,0,10,18,12,6,1,260,7,12,15.0,2.0,0.16375,0.25525,0,3,86
16,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022100980,2022-03-08T00:00:00,GSW vs. LAC,W,29.766666666666666,8,13,4,6,0,0,0,3,4,3,2,0,1,0,20,0.222,0.153,64,6,0.1,23,76,194,3,1,2022-03-08,119.27833333333332,4,32,26,2,7,17,11,4,1,252,10,16,14.0,3.0,0.1315,0.25625000000000003,0,3,84
17,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022100528,2022-03-07T00:00:00,GSW @ DEN,L,34.15,11,19,8,12,2,2,0,3,7,5,1,0,4,4,32,0.305,0.151,74,6,0.0,23,76,194,3,0,2022-03-07,85.12833333333333,3,20,19,2,4,10,6,3,1,178,6,12,11.0,3.0,0.125,0.24,0,3,83
18,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022100959,2022-03-05T00:00:00,GSW @ LAL,L,32.07833333333333,9,15,4,8,1,1,0,1,5,2,1,0,1,4,23,0.218,0.152,71,8,0.087,23,76,194,4,1,2022-03-05,72.18833333333333,3,16,15,2,9,6,5,2,1,148,6,10,7.0,2.0,0.085,0.243,0,3,81
19,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022100943,2022-03-03T00:00:00,GSW @ DAL,L,26.508333333333333,8,12,3,6,4,4,0,3,2,2,2,1,1,4,23,0.276,0.199,51,10,0.0,23,76,194,5,0,2022-03-03,70.58,3,16,13,3,7,10,5,1,0,150,8,11,5.0,2.0,0.09200000000000001,0.21966666666666668,0,3,79
20,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022100930,2022-03-01T00:00:00,GSW @ MIN,L,26.541666666666668,5,12,1,6,1,1,2,0,3,2,0,0,4,4,12,0.226,0.024,56,4,0.333,23,76,194,2,2,2022-03-01,44.03833333333333,2,10,7,1,7,7,3,1,0,94,4,7,3.0,0.0,0.126,0.2165,0,3,77
21,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022100917,2022-02-27T00:00:00,GSW vs. DAL,L,19.138333333333332,0,7,0,4,4,4,0,6,1,1,0,0,1,2,4,0.227,0.032,41,0,0.0,23,76,194,0,0,2022-02-27,24.9,1,6,4,1,1,6,2,1,0,53,3,5,3.0,0.0,0.22,0.206,0,3,75
22,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022100894,2022-02-24T00:00:00,GSW @ POR,W,24.9,5,10,2,6,3,3,1,1,6,2,1,0,3,5,15,0.206,0.22,53,6,0.0,23,76,194,3,0,2022-02-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,72
23,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022100883,2022-02-16T00:00:00,GSW vs. DEN,L,22.326666666666668,6,11,2,4,1,2,0,1,5,3,2,1,2,2,15,0.306,0.114,47,4,0.267,23,76,194,2,2,2022-02-16,108.96666666666667,4,23,21,4,9,12,7,2,0,220,9,9,9.0,2.0,0.07675,0.22675,0,3,64
24,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022100866,2022-02-14T00:00:00,GSW @ LAC,L,25.016666666666666,5,11,1,5,2,2,1,6,3,2,1,0,2,1,13,0.241,0.115,51,6,0.154,23,76,194,3,1,2022-02-14,113.87166666666667,4,22,19,5,9,17,8,3,0,227,11,9,10.0,1.0,0.09025,0.20875000000000002,0,3,62
25,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022100854,2022-02-12T00:00:00,GSW vs. LAL,W,24.991666666666667,2,8,1,5,6,6,1,0,4,2,0,0,2,3,11,0.203,0.056,51,0,0.182,23,76,194,0,1,2022-02-12,88.88,3,17,16,4,9,13,6,3,0,176,9,6,10.0,0.0,0.10166666666666668,0.21066666666666667,0,3,60
26,2021-22,1629673,Jordan Poole,1610612744,GSW,Golden State Warriors,0022100837,2022-02-10T00:00:00,GSW vs. NYK,L,26.491666666666667,5,11,1,5,0,0,0,2,2,1,0,0,2,0,11,0.19,0.059,56,8,0.0,23,76,194,4,0,2022-02-10,87.63666666666667,3,16,14,6,10,14,9,5,1,171,7,9,9.0,1.0,0.127,0.225,0,3,58
