,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,201950,Jrue Holiday,1610612749,MIL,Milwaukee Bucks,0022101218,2022-04-10T00:00:00,MIL @ CLE,L,0.13333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0,0,0.0,32,75,205,0,0,2022-04-10,136.95333333333332,4,24,30,6,13,39,8,4,3,290,11,7,17.0,0.0,0.13025,0.1965,0,53,10
1,2021-22,201950,Jrue Holiday,1610612749,MIL,Milwaukee Bucks,0022101203,2022-04-08T00:00:00,MIL @ DET,W,26.816666666666666,5,11,0,4,0,0,0,3,9,2,0,0,3,0,10,0.191,0.11,59,10,0.0,32,75,205,5,0,2022-04-08,110.13666666666666,3,20,23,6,10,30,6,4,3,231,8,7,12.0,0.0,0.137,0.19833333333333333,0,53,8
2,2021-22,201950,Jrue Holiday,1610612749,MIL,Milwaukee Bucks,0022101198,2022-04-07T00:00:00,MIL vs. BOS,W,38.93333333333333,10,19,4,9,5,8,4,4,8,3,3,1,4,5,29,0.271,0.155,84,12,0.0,32,75,205,6,0,2022-04-07,114.00333333333333,3,18,24,3,13,26,9,7,2,238,7,7,10.0,0.0,0.11399999999999999,0.19466666666666665,0,53,7
3,2021-22,201950,Jrue Holiday,1610612749,MIL,Milwaukee Bucks,0022101183,2022-04-05T00:00:00,MIL @ CHI,W,34.83,5,12,1,3,0,0,1,5,13,3,0,1,1,0,11,0.181,0.129,73,8,0.0,32,75,205,4,0,2022-04-05,119.20166666666667,3,21,25,2,16,23,7,8,1,247,6,10,11.0,0.0,0.11733333333333333,0.19899999999999998,0,53,5
4,2021-22,201950,Jrue Holiday,1610612749,MIL,Milwaukee Bucks,0022101167,2022-04-03T00:00:00,MIL vs. DAL,L,36.373333333333335,7,12,5,8,1,1,1,1,9,0,1,1,3,2,20,0.143,0.127,74,4,0.0,32,75,205,2,0,2022-04-03,82.82833333333333,2,13,21,1,15,14,7,7,0,173,3,8,9.0,0.0,0.1125,0.227,0,53,3
5,2021-22,201950,Jrue Holiday,1610612749,MIL,Milwaukee Bucks,0022101148,2022-03-31T00:00:00,MIL @ BKN,W,42.8,6,18,2,7,5,6,1,7,4,6,6,0,3,5,19,0.26,0.086,91,8,0.0,32,75,205,4,0,2022-03-31,72.87833333333333,2,12,22,0,11,20,7,2,0,150,2,6,8.0,4.0,0.15000000000000002,0.2685,1,53,0
6,2021-22,201950,Jrue Holiday,1610612749,MIL,Milwaukee Bucks,0022101131,2022-03-29T00:00:00,MIL @ PHI,W,40.028333333333336,7,16,2,6,2,2,0,8,10,1,1,0,0,3,18,0.194,0.139,82,10,0.0,32,75,205,5,0,2022-03-29,64.61666666666667,2,11,24,0,3,17,6,2,0,134,2,4,10.0,7.0,0.1755,0.29100000000000004,0,52,5
7,2021-22,201950,Jrue Holiday,1610612749,MIL,Milwaukee Bucks,0022101097,2022-03-24T00:00:00,MIL vs. WAS,W,32.85,10,18,3,6,1,1,0,3,10,6,1,0,2,3,24,0.343,0.161,68,6,0.333,32,75,205,3,4,2022-03-24,55.349999999999994,2,9,21,0,2,14,4,3,0,118,1,3,11.0,3.0,0.1395,0.275,1,52,0
8,2021-22,201950,Jrue Holiday,1610612749,MIL,Milwaukee Bucks,0022101082,2022-03-22T00:00:00,MIL vs. CHI,W,31.766666666666666,12,17,2,5,1,2,0,0,7,0,1,0,0,1,27,0.239,0.19,66,14,0.222,32,75,205,7,3,2022-03-22,58.22333333333333,2,10,19,1,5,10,8,6,0,133,1,4,9.0,0.0,0.095,0.28200000000000003,0,51,76
9,2021-22,201950,Jrue Holiday,1610612749,MIL,Milwaukee Bucks,0022101058,2022-03-19T00:00:00,MIL @ MIN,L,23.583333333333332,5,13,1,4,3,4,0,2,7,4,2,0,1,2,14,0.311,0.089,52,8,0.0,32,75,205,4,0,2022-03-19,104.89,3,17,31,1,8,17,9,11,0,233,4,9,10.0,6.0,0.11766666666666668,0.24500000000000002,0,51,73
