,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022101140,2022-03-30T00:00:00,NYK vs. CHA,L,35.50833333333333,7,16,4,10,3,5,0,5,7,3,0,0,5,3,21,0.25,0.08,74,4,0.095,27,80,250,2,1,2022-03-30,59.13333333333333,2,9,18,4,16,9,5,2,1,119,4,8,5.0,1.0,0.081,0.269,1,21,0
1,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022101126,2022-03-28T00:00:00,NYK vs. CHI,W,27.833333333333332,1,9,0,4,3,6,1,12,4,3,0,1,3,3,5,0.214,0.047,58,2,0.0,27,80,250,1,0,2022-03-28,31.3,1,5,13,3,4,5,2,2,0,61,1,5,4.0,1.0,0.115,0.324,0,20,8
2,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022101115,2022-03-27T00:00:00,NYK @ DET,W,31.3,7,18,2,5,4,8,3,4,5,2,2,0,1,5,20,0.324,0.115,61,8,0.1,27,80,250,4,1,2022-03-27,34.53333333333333,1,6,15,3,8,3,2,0,0,65,2,4,4.0,1.0,0.053,0.291,0,20,7
3,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022101067,2022-03-20T00:00:00,NYK vs. UTA,L,34.53333333333333,6,21,1,6,0,0,3,8,3,2,0,0,2,4,13,0.291,0.053,65,8,0.154,27,80,250,4,1,2022-03-20,109.58333333333333,3,19,38,2,28,15,9,2,1,226,9,21,14.0,2.0,0.11866666666666666,0.3,1,20,0
4,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022101050,2022-03-18T00:00:00,NYK vs. WAS,W,38.516666666666666,6,22,1,7,5,8,1,16,4,4,0,0,3,5,18,0.323,0.102,78,8,0.111,27,80,250,4,1,2022-03-18,111.26833333333333,3,18,44,4,21,17,9,4,3,238,11,24,18.0,1.0,0.14466666666666667,0.3056666666666667,0,19,79
5,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022101037,2022-03-16T00:00:00,NYK vs. POR,W,33.8,5,18,0,5,10,12,1,8,7,2,1,1,2,9,20,0.321,0.132,71,10,0.0,27,80,250,5,0,2022-03-16,111.41833333333334,3,20,43,4,20,15,9,3,2,232,11,21,18.0,1.0,0.17866666666666667,0.307,0,19,77
6,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022101012,2022-03-13T00:00:00,NYK @ BKN,L,37.266666666666666,9,17,3,7,5,6,0,4,4,3,1,0,4,7,26,0.256,0.122,77,10,0.077,27,80,250,5,1,2022-03-13,136.96833333333333,4,30,63,6,31,17,10,3,3,284,13,18,25.0,2.0,0.17450000000000002,0.34450000000000003,0,19,74
7,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022101000,2022-03-11T00:00:00,NYK @ MEM,L,40.20166666666667,11,27,3,6,11,13,3,9,6,4,2,2,5,8,36,0.34,0.18,90,16,0.0,27,80,250,8,0,2022-03-11,124.9,4,26,58,3,29,15,10,2,1,254,10,15,22.0,5.0,0.17225000000000001,0.35,0,19,72
8,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100988,2022-03-09T00:00:00,NYK @ DAL,W,33.95,8,19,3,7,7,10,1,7,5,2,0,0,2,6,26,0.325,0.234,65,10,0.0,27,80,250,5,0,2022-03-09,123.85,4,21,65,3,27,13,11,3,1,256,10,17,23.0,8.0,0.14375,0.352,0,19,70
9,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100974,2022-03-07T00:00:00,NYK @ SAC,W,33.733333333333334,18,31,8,16,2,2,2,7,2,1,1,1,5,2,46,0.423,0.236,72,18,0.043,27,80,250,9,1,2022-03-07,90.11666666666667,3,5,50,1,20,11,10,2,0,184,5,15,14.0,7.0,0.113,0.3283333333333333,0,19,68
10,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100966,2022-03-06T00:00:00,NYK @ LAC,W,29.083333333333332,4,16,0,1,2,3,0,8,4,3,0,0,1,2,10,0.29,0.048,57,6,0.2,27,80,250,3,1,2022-03-06,98.745,3,8,44,5,18,14,10,2,0,210,8,20,12.0,8.0,0.11833333333333335,0.309,0,19,67
11,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100953,2022-03-04T00:00:00,NYK @ PHX,L,28.133333333333333,9,18,1,2,6,6,0,7,4,4,1,0,2,5,25,0.362,0.171,60,10,0.24,27,80,250,5,3,2022-03-04,106.29499999999999,3,10,39,6,18,18,10,2,0,226,9,22,8.0,6.0,0.08033333333333333,0.2816666666666667,0,19,65
12,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100934,2022-03-02T00:00:00,NYK @ PHI,L,32.9,9,21,0,2,6,8,1,5,3,3,1,0,2,8,24,0.333,0.12,67,12,0.25,27,80,250,6,3,2022-03-02,73.395,2,8,20,5,13,15,7,1,0,159,7,14,2.0,3.0,0.0605,0.256,0,19,63
13,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100912,2022-02-27T00:00:00,NYK vs. PHI,L,37.711666666666666,4,13,1,4,7,12,4,6,7,3,0,0,4,7,16,0.232,0.064,83,2,0.25,27,80,250,1,2,2022-02-27,35.68333333333333,1,4,11,1,7,8,4,1,0,76,3,7,1.0,1.0,0.057,0.28,0,19,60
14,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100900,2022-02-25T00:00:00,NYK vs. MIA,L,35.68333333333333,2,15,0,4,7,8,1,7,8,4,1,0,3,7,11,0.28,0.057,76,2,0.182,27,80,250,1,1,2022-02-25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,19,58
15,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100877,2022-02-16T00:00:00,NYK vs. BKN,L,37.27,10,22,4,8,7,8,0,10,3,4,1,2,2,7,31,0.361,0.184,73,8,0.129,27,80,250,4,2,2022-02-16,122.08666666666667,3,12,57,5,40,23,14,0,1,254,9,23,20.0,8.0,0.16866666666666666,0.32466666666666666,0,19,49
16,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100860,2022-02-14T00:00:00,NYK vs. OKC,L,44.903333333333336,11,26,1,5,7,7,0,13,10,7,0,0,6,5,30,0.31,0.122,95,14,0.2,27,80,250,7,3,2022-02-14,149.32833333333335,4,20,65,11,37,24,13,4,1,310,8,32,23.0,11.0,0.17350000000000002,0.3155,0,19,47
17,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100845,2022-02-12T00:00:00,NYK @ POR,L,40.53333333333333,8,20,0,4,12,13,3,13,6,5,0,0,3,8,28,0.341,0.172,84,10,0.214,27,80,250,5,3,2022-02-12,150.06666666666666,4,20,67,13,35,25,13,4,3,317,9,30,24.0,11.0,0.17425000000000002,0.30575,0,19,45
18,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100837,2022-02-10T00:00:00,NYK @ GSW,W,36.65,10,23,0,3,8,12,2,14,7,2,0,1,0,10,28,0.323,0.212,75,16,0.143,27,80,250,8,2,2022-02-10,113.41666666666666,3,17,47,11,21,18,11,4,2,242,9,20,16.0,9.0,0.16166666666666665,0.3,0,19,43
19,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100821,2022-02-08T00:00:00,NYK @ DEN,L,34.211666666666666,11,22,3,8,3,4,4,6,6,1,3,0,3,7,28,0.298,0.153,72,12,0.143,27,80,250,6,2,2022-02-08,116.08,3,15,45,11,23,21,12,2,2,246,11,16,16.0,7.0,0.14633333333333332,0.285,0,19,41
20,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100814,2022-02-07T00:00:00,NYK @ UTA,L,37.93333333333333,10,20,2,5,8,12,2,4,5,5,1,0,2,7,30,0.3,0.157,79,8,0.267,27,80,250,4,4,2022-02-07,107.61333333333334,3,13,41,11,26,20,11,2,2,230,11,10,16.0,5.0,0.14733333333333332,0.2743333333333333,0,19,40
21,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100799,2022-02-05T00:00:00,NYK @ LAL,L,41.27166666666667,11,22,2,4,8,10,5,11,7,5,0,2,4,6,32,0.302,0.175,91,12,0.188,27,80,250,6,3,2022-02-05,66.34166666666667,2,9,23,6,15,13,6,2,0,139,7,4,10.0,2.0,0.1335,0.2605,0,19,38
22,2021-22,203944,Julius Randle,1610612752,NYK,New York Knicks,0022100776,2022-02-02T00:00:00,NYK vs. MEM,L,36.875,7,18,1,6,3,5,4,8,9,2,1,0,5,3,18,0.253,0.107,76,12,0.0,27,80,250,6,0,2022-02-02,92.85,3,7,28,4,22,11,12,1,0,194,7,6,12.0,3.0,0.103,0.23433333333333337,0,19,35
