,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203994,Jusuf Nurkic,1610612757,POR,Portland Trail Blazers,0022100879,2022-02-16T00:00:00,POR @ MEM,W,34.42333333333333,12,17,1,2,7,10,5,3,4,1,1,1,5,10,32,0.272,0.184,69,20,0.063,27,83,290,10,1,2022-02-16,96.38333333333333,3,2,35,10,38,13,10,1,0,200,10,18,18.0,0.0,0.18333333333333335,0.2333333333333333,1,28,0
1,2021-22,203994,Jusuf Nurkic,1610612757,POR,Portland Trail Blazers,0022100862,2022-02-14T00:00:00,POR @ MIL,W,29.75,7,16,2,2,7,8,4,12,4,3,1,0,2,6,23,0.289,0.207,64,10,0.0,27,83,290,5,0,2022-02-14,100.81666666666666,3,3,34,11,32,13,9,1,2,205,10,16,17.0,0.0,0.13566666666666666,0.22633333333333336,0,27,55
2,2021-22,203994,Jusuf Nurkic,1610612757,POR,Portland Trail Blazers,0022100845,2022-02-12T00:00:00,POR vs. NYK,W,33.28333333333333,5,10,0,0,2,2,4,16,6,5,0,0,5,7,12,0.208,0.184,69,10,0.0,27,83,290,5,0,2022-02-12,92.7,3,3,30,10,23,10,7,1,4,188,7,13,17.0,0.0,0.10933333333333334,0.21533333333333335,0,27,53
3,2021-22,203994,Jusuf Nurkic,1610612757,POR,Portland Trail Blazers,0022100829,2022-02-09T00:00:00,POR vs. LAL,W,33.35,8,11,0,0,3,5,2,10,3,2,0,0,3,5,19,0.203,0.159,67,16,0.0,27,83,290,8,0,2022-02-09,127.83666666666667,4,6,50,20,30,13,11,4,5,264,13,17,20.0,0.0,0.093,0.23174999999999998,0,27,50
4,2021-22,203994,Jusuf Nurkic,1610612757,POR,Portland Trail Blazers,0022100823,2022-02-08T00:00:00,POR vs. ORL,L,34.18333333333333,4,16,0,3,6,8,5,6,4,2,1,2,2,4,14,0.268,0.064,69,8,0.0,27,83,290,4,0,2022-02-08,93.65333333333334,3,3,37,15,24,9,9,3,3,195,11,13,16.0,0.0,0.10266666666666667,0.21966666666666668,0,27,49
5,2021-22,203994,Jusuf Nurkic,1610612757,POR,Portland Trail Blazers,0022100800,2022-02-05T00:00:00,POR vs. MIL,L,25.166666666666668,5,6,0,0,1,3,3,7,3,3,0,2,2,4,11,0.175,0.105,52,10,0.0,27,83,290,5,0,2022-02-05,125.38666666666666,4,4,47,17,25,8,12,4,2,258,13,16,19.0,1.0,0.09225,0.22749999999999998,0,27,46
6,2021-22,203994,Jusuf Nurkic,1610612757,POR,Portland Trail Blazers,0022100795,2022-02-04T00:00:00,POR vs. OKC,L,32.678333333333335,6,19,0,0,2,3,7,9,2,3,2,0,5,4,14,0.271,0.086,69,12,0.0,27,83,290,6,0,2022-02-04,125.24166666666666,4,4,39,11,28,6,15,3,3,261,12,21,20.0,2.0,0.11399999999999999,0.23299999999999998,0,27,45
7,2021-22,203994,Jusuf Nurkic,1610612757,POR,Portland Trail Blazers,0022100781,2022-02-02T00:00:00,POR @ LAL,L,35.80833333333333,7,15,2,3,0,3,5,8,4,3,1,1,4,5,16,0.213,0.117,74,10,0.0,27,83,290,5,0,2022-02-02,120.05000000000001,4,2,37,8,26,5,14,3,2,249,9,23,22.0,2.0,0.1185,0.24025,0,27,43
8,2021-22,203994,Jusuf Nurkic,1610612757,POR,Portland Trail Blazers,0022100765,2022-01-31T00:00:00,POR @ OKC,L,30.816666666666666,7,12,0,0,0,0,4,5,1,2,1,1,3,3,14,0.219,0.123,60,12,0.143,27,83,290,6,1,2022-01-31,120.73666666666665,4,2,43,12,27,8,13,3,1,254,11,27,24.0,1.0,0.12775,0.2525,0,27,41
9,2021-22,203994,Jusuf Nurkic,1610612757,POR,Portland Trail Blazers,0022100753,2022-01-30T00:00:00,POR @ CHI,L,26.083333333333332,3,5,1,1,4,6,1,3,1,4,0,0,1,4,11,0.207,0.043,55,4,0.0,27,83,290,2,0,2022-01-30,126.10333333333334,4,2,47,15,31,9,13,4,3,266,14,28,26.0,2.0,0.1325,0.2495,0,27,40
