,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101199,2022-04-07T00:00:00,MIN vs. SAS,W,32.68333333333333,7,18,4,7,3,5,4,9,3,2,0,0,5,6,21,0.262,0.1,73,6,0.0,26,83,248,3,0,2022-04-07,101.16833333333334,3,18,40,7,23,9,6,2,4,224,12,15,23.0,3.0,0.14133333333333334,0.2966666666666667,1,15,0
1,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101184,2022-04-05T00:00:00,MIN vs. WAS,L,34.56666666666667,10,24,2,8,4,5,3,7,4,0,0,2,2,6,26,0.313,0.116,77,12,0.154,26,83,248,6,2,2022-04-05,98.99333333333333,3,11,36,8,22,8,13,4,3,217,15,15,24.0,1.0,0.13,0.27566666666666667,0,14,105
2,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101173,2022-04-03T00:00:00,MIN @ HOU,W,35.416666666666664,12,16,1,3,3,5,2,9,5,3,1,0,5,6,28,0.253,0.161,78,22,0.0,26,83,248,11,0,2022-04-03,98.34333333333333,3,11,35,6,17,8,13,4,3,210,14,15,20.0,1.0,0.103,0.2813333333333334,0,14,103
3,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101159,2022-04-01T00:00:00,MIN @ DEN,W,31.185,11,18,4,7,6,6,2,7,0,3,1,2,5,3,32,0.324,0.147,69,12,0.063,26,83,248,6,1,2022-04-01,96.78666666666666,3,8,30,6,17,9,11,4,1,200,13,16,18.0,1.0,0.12366666666666666,0.24100000000000002,0,14,101
4,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101141,2022-03-30T00:00:00,MIN @ TOR,L,32.391666666666666,7,13,0,1,2,3,4,6,3,7,2,1,5,6,16,0.25,0.082,70,14,0.0,26,83,248,7,0,2022-03-30,95.245,3,10,28,6,18,8,5,2,3,194,13,13,15.0,3.0,0.12766666666666668,0.22266666666666668,0,14,99
5,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101116,2022-03-27T00:00:00,MIN @ BOS,L,34.766666666666666,8,15,1,3,2,4,0,4,5,3,1,0,4,6,19,0.27,0.08,71,14,0.0,26,83,248,7,0,2022-03-27,97.97833333333334,3,12,28,8,20,6,4,3,4,200,10,12,14.0,3.0,0.14833333333333332,0.20966666666666667,0,14,96
6,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101104,2022-03-25T00:00:00,MIN vs. DAL,W,29.628333333333334,7,10,2,4,4,4,2,7,1,1,1,0,4,4,20,0.203,0.209,59,8,0.1,26,83,248,4,1,2022-03-25,100.05499999999999,3,14,28,8,22,10,6,4,4,210,9,16,12.0,2.0,0.134,0.22533333333333336,0,14,94
7,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101090,2022-03-23T00:00:00,MIN vs. PHX,L,30.85,6,13,0,3,3,3,4,7,2,1,0,3,5,3,15,0.195,0.094,64,8,0.267,26,83,248,4,2,2022-03-23,95.37166666666667,3,14,30,6,21,9,11,4,2,201,8,23,14.0,1.0,0.18566666666666665,0.2936666666666667,0,14,92
8,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101079,2022-03-21T00:00:00,MIN @ DAL,L,37.5,8,17,2,5,4,4,2,6,3,2,2,1,1,5,22,0.231,0.142,77,12,0.0,26,83,248,6,0,2022-03-21,94.055,3,20,38,6,30,9,15,3,1,206,12,27,19.0,2.0,0.227,0.37799999999999995,0,14,90
9,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101058,2022-03-19T00:00:00,MIN vs. MIL,W,31.705,6,12,4,6,9,11,2,9,5,3,2,0,3,8,25,0.25,0.166,69,4,0.0,26,83,248,2,0,2022-03-19,87.63333333333333,3,17,38,5,30,4,15,1,1,191,13,25,20.0,2.0,0.20933333333333334,0.385,0,14,88
10,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101039,2022-03-16T00:00:00,MIN vs. LAL,W,26.166666666666668,8,15,1,3,13,13,2,6,1,6,0,1,4,10,30,0.4,0.249,55,12,0.067,26,83,248,6,1,2022-03-16,124.56666666666668,4,19,40,7,44,11,17,3,5,268,16,25,23.0,1.0,0.16425,0.30175,0,14,85
11,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101024,2022-03-14T00:00:00,MIN @ SAS,W,36.18333333333333,19,31,7,11,15,16,2,15,3,6,1,0,5,9,60,0.484,0.266,82,22,0.033,26,83,248,11,1,2022-03-14,112.43333333333334,4,9,33,12,35,9,13,3,7,238,13,26,18.0,1.0,0.20900000000000002,0.26775000000000004,0,14,83
12,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022101005,2022-03-12T00:00:00,MIN @ MIA,W,25.283333333333335,4,9,1,3,6,8,1,9,0,3,0,0,4,6,15,0.271,0.113,54,6,0.0,26,83,248,3,0,2022-03-12,121.55000000000001,4,10,40,12,40,14,10,3,10,254,11,26,28.0,1.0,0.24875000000000003,0.269,0,14,81
13,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100995,2022-03-11T00:00:00,MIN @ ORL,L,33.86666666666667,6,14,1,5,8,8,2,11,4,3,2,2,5,5,21,0.267,0.148,70,10,0.0,26,83,248,5,0,2022-03-11,112.95333333333333,4,8,41,12,35,13,10,4,9,241,8,27,29.0,1.0,0.24975,0.27325,0,14,80
14,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100986,2022-03-09T00:00:00,MIN vs. OKC,W,29.233333333333334,4,5,0,0,5,6,2,9,4,5,0,3,2,5,13,0.185,0.13,62,8,0.0,26,83,248,4,0,2022-03-09,83.72,3,8,36,10,26,9,5,4,6,179,6,22,25.0,1.0,0.2896666666666667,0.30266666666666664,0,14,78
15,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100971,2022-03-07T00:00:00,MIN vs. POR,W,24.05,8,14,1,1,10,15,7,6,1,2,1,2,2,10,27,0.348,0.445,52,12,0.074,26,83,248,6,1,2022-03-07,125.98833333333333,4,17,48,4,32,12,6,4,5,269,10,22,36.0,0.0,0.183,0.28175,0,14,76
16,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100958,2022-03-05T00:00:00,MIN vs. POR,W,34.4,13,17,0,4,10,11,1,14,5,0,0,3,2,6,36,0.276,0.272,70,26,0.0,26,83,248,13,0,2022-03-05,91.58833333333334,3,13,35,3,18,7,6,4,2,199,8,16,23.0,0.0,0.15333333333333332,0.2836666666666667,0,14,74
17,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100951,2022-03-04T00:00:00,MIN @ OKC,W,25.27,7,13,1,3,5,7,2,6,3,3,3,1,2,6,20,0.284,0.152,57,12,0.0,26,83,248,6,0,2022-03-04,99.935,3,16,38,2,18,7,4,1,1,213,9,16,23.0,0.0,0.14633333333333334,0.2836666666666667,0,14,73
18,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100930,2022-03-01T00:00:00,MIN vs. GSW,W,32.085,14,22,3,6,8,11,0,9,1,2,0,0,2,8,39,0.372,0.215,70,22,0.0,26,83,248,11,0,2022-03-01,95.72666666666666,3,14,37,4,18,9,2,1,4,202,12,10,19.0,0.0,0.13633333333333333,0.26099999999999995,0,14,70
19,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100920,2022-02-28T00:00:00,MIN @ CLE,W,34.233333333333334,7,13,1,4,2,2,1,3,3,1,1,1,4,2,17,0.195,0.093,72,12,0.0,26,83,248,6,0,2022-02-28,61.49333333333333,2,10,28,3,15,6,1,0,3,130,8,8,13.0,0.0,0.158,0.294,0,14,69
20,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100901,2022-02-25T00:00:00,MIN vs. PHI,L,33.61666666666667,8,19,2,6,7,7,1,6,3,1,0,0,3,6,25,0.284,0.131,71,12,0.0,26,83,248,6,0,2022-02-25,27.876666666666665,1,4,15,2,9,3,0,0,3,59,5,2,7.0,0.0,0.185,0.304,0,14,66
21,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100892,2022-02-24T00:00:00,MIN vs. MEM,W,27.876666666666665,9,19,2,4,2,4,2,9,3,0,0,3,5,2,22,0.304,0.185,59,14,0.0,26,83,248,7,0,2022-02-24,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,14,65
22,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100880,2022-02-16T00:00:00,MIN vs. TOR,L,34.0,9,14,2,3,4,5,0,11,3,2,3,0,3,4,24,0.243,0.248,68,10,0.167,26,83,248,5,2,2022-02-16,135.525,4,19,55,13,30,22,12,3,3,301,15,21,31.0,0.0,0.15275,0.2795,0,14,57
23,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100871,2022-02-15T00:00:00,MIN vs. CHA,W,41.68333333333333,12,26,4,11,11,13,3,12,3,3,1,1,4,8,39,0.296,0.21,96,16,0.0,26,83,248,8,0,2022-02-15,122.275,4,11,51,13,24,22,12,2,2,269,15,18,30.0,1.0,0.15175,0.26325,0,14,56
24,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100857,2022-02-13T00:00:00,MIN @ IND,W,22.3,5,12,1,1,4,4,5,8,3,6,0,0,5,4,15,0.351,0.115,50,8,0.0,26,83,248,4,0,2022-02-13,137.695,4,13,55,11,25,21,9,2,3,293,12,18,34.0,2.0,0.163,0.238,0,14,54
25,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100843,2022-02-11T00:00:00,MIN @ CHI,L,37.083333333333336,12,19,1,3,2,3,3,5,8,0,2,1,3,5,27,0.238,0.16,77,22,0.0,26,83,248,11,0,2022-02-11,100.61166666666666,3,10,39,8,20,13,9,0,2,216,9,13,23.0,2.0,0.164,0.238,0,14,52
26,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100830,2022-02-09T00:00:00,MIN @ SAC,L,34.458333333333336,9,17,1,4,2,2,2,5,8,3,0,1,3,4,21,0.233,0.126,78,16,0.0,26,83,248,8,0,2022-02-09,102.33833333333334,3,10,37,9,26,9,11,0,3,217,6,18,20.0,3.0,0.16733333333333333,0.25499999999999995,0,14,50
27,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100824,2022-02-08T00:00:00,MIN @ SAC,W,28.433333333333334,10,14,2,3,3,3,3,6,3,3,0,0,4,5,25,0.231,0.206,64,14,0.08,26,83,248,7,1,2022-02-08,101.58833333333334,3,10,35,8,28,13,9,2,4,212,6,19,19.0,3.0,0.17166666666666666,0.25633333333333336,0,14,49
28,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100803,2022-02-06T00:00:00,MIN vs. DET,W,37.72,11,18,2,3,0,0,3,9,2,3,0,1,2,4,24,0.25,0.16,74,16,0.083,26,83,248,8,1,2022-02-06,97.56833333333334,3,11,33,9,26,21,7,4,3,211,7,21,18.0,2.0,0.21433333333333335,0.2613333333333333,0,14,47
29,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100782,2022-02-03T00:00:00,MIN @ DET,W,36.185,6,15,0,4,9,10,3,11,4,5,0,2,0,9,21,0.284,0.136,79,10,0.095,26,83,248,5,1,2022-02-03,127.86833333333334,4,20,51,13,29,28,7,5,1,274,16,24,26.0,4.0,0.1935,0.288,0,14,44
30,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100770,2022-02-01T00:00:00,MIN vs. DEN,W,27.683333333333334,8,12,1,3,7,8,2,8,7,1,2,1,4,6,24,0.235,0.219,59,12,0.083,26,83,248,6,1,2022-02-01,137.585,4,21,45,14,35,23,9,3,4,294,14,23,21.0,3.0,0.19424999999999998,0.26525,0,14,42
31,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100757,2022-01-30T00:00:00,MIN vs. UTA,W,33.7,10,17,3,4,8,9,4,7,10,1,2,0,3,6,31,0.265,0.288,73,14,0.0,26,83,248,7,0,2022-01-30,136.23333333333332,4,24,43,10,35,15,11,3,6,290,14,28,19.0,3.0,0.14475,0.27775,0,14,40
32,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100743,2022-01-28T00:00:00,MIN @ PHX,L,30.601666666666667,8,20,2,7,5,8,3,6,5,3,0,0,5,6,23,0.366,0.083,65,8,0.174,26,83,248,4,2,2022-01-28,105.63166666666666,3,17,30,7,29,10,8,3,6,225,9,22,15.0,1.0,0.16533333333333333,0.2483333333333333,0,14,38
33,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100734,2022-01-27T00:00:00,MIN @ GSW,L,35.88333333333333,12,22,2,6,5,6,4,8,6,2,1,0,4,6,31,0.286,0.184,77,18,0.065,26,83,248,9,1,2022-01-27,69.74833333333333,2,11,14,3,21,4,6,2,6,148,5,16,6.0,0.0,0.156,0.22949999999999998,0,14,37
34,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100721,2022-01-25T00:00:00,MIN @ POR,W,37.4,4,7,3,4,6,6,3,14,2,3,0,4,2,5,17,0.144,0.222,79,2,0.0,26,83,248,1,0,2022-01-25,102.84833333333333,3,16,27,2,20,12,9,5,3,217,13,21,14.0,0.0,0.102,0.24500000000000002,0,14,35
35,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100706,2022-01-23T00:00:00,MIN vs. BKN,W,32.348333333333336,7,18,2,7,7,9,0,7,2,3,2,2,3,11,23,0.315,0.09,69,10,0.0,26,83,248,5,0,2022-01-23,100.43333333333334,3,15,30,6,20,11,7,3,3,211,13,16,19.0,0.0,0.12566666666666668,0.23866666666666667,0,14,33
36,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100670,2022-01-19T00:00:00,MIN @ ATL,L,34.333333333333336,6,13,1,5,4,6,1,9,7,4,2,1,6,4,17,0.227,0.102,71,10,0.0,26,83,248,5,0,2022-01-19,106.0,3,16,33,7,18,7,7,2,4,228,11,13,21.0,2.0,0.14133333333333334,0.2343333333333333,0,14,29
37,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100666,2022-01-18T00:00:00,MIN @ NYK,W,36.166666666666664,6,12,2,4,6,7,1,4,3,2,1,0,4,6,20,0.193,0.114,77,8,0.0,26,83,248,4,0,2022-01-18,111.51666666666665,3,16,37,9,19,9,8,4,5,239,10,15,24.0,3.0,0.14266666666666666,0.25066666666666665,0,14,28
38,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100652,2022-01-16T00:00:00,MIN vs. GSW,W,29.933333333333334,11,20,1,6,3,5,4,7,1,1,0,2,3,6,26,0.296,0.161,63,20,0.0,26,83,248,10,0,2022-01-16,114.65333333333334,3,16,42,11,15,15,9,5,3,251,9,15,24.0,4.0,0.15866666666666665,0.2643333333333333,0,14,26
39,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100628,2022-01-13T00:00:00,MIN @ MEM,L,39.9,11,17,2,6,1,1,2,7,3,4,1,2,4,1,25,0.214,0.149,88,14,0.16,26,83,248,7,2,2022-01-13,101.85333333333332,3,12,40,9,16,17,9,5,4,223,9,19,23.0,3.0,0.16333333333333333,0.27899999999999997,0,14,23
40,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100615,2022-01-11T00:00:00,MIN @ NOP,L,41.68333333333333,9,16,1,4,7,11,3,5,5,3,3,1,3,8,26,0.242,0.118,88,14,0.077,26,83,248,7,1,2022-01-11,97.10333333333332,3,12,38,12,21,15,12,3,5,209,12,15,20.0,3.0,0.159,0.2806666666666667,0,14,21
41,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100600,2022-01-09T00:00:00,MIN @ HOU,W,33.07,15,25,4,6,6,8,6,3,7,2,1,0,2,6,40,0.337,0.209,75,20,0.05,26,83,248,10,1,2022-01-09,64.03333333333333,2,6,19,6,18,8,10,2,5,134,10,9,10.0,2.0,0.134,0.2525,0,14,19
42,2021-22,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,0022100587,2022-01-07T00:00:00,MIN @ OKC,W,27.1,7,11,0,2,5,6,0,8,5,4,1,3,4,5,19,0.258,0.163,60,12,0.105,26,83,248,6,1,2022-01-07,36.93333333333333,1,4,10,6,10,3,6,1,2,74,6,4,4.0,1.0,0.105,0.247,0,14,17
