,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203484,Kentavious Caldwell-Pope,1610612764,WAS,Washington Wizards,0022101192,2022-04-06T00:00:00,WAS @ ATL,L,26.0,4,8,1,3,0,0,0,2,2,3,0,0,1,0,9,0.183,0.047,55,2,0.444,29,77,204,1,2,2022-04-06,123.905,4,29,36,2,11,6,6,5,1,258,12,9,10.0,13.0,0.1055,0.2505,1,13,0
1,2021-22,203484,Kentavious Caldwell-Pope,1610612764,WAS,Washington Wizards,0022101184,2022-04-05T00:00:00,WAS @ MIN,W,26.916666666666668,6,12,1,5,0,0,0,3,3,2,1,0,2,2,13,0.226,0.063,58,6,0.308,29,77,204,3,2,2022-04-05,129.33166666666668,4,27,41,2,11,3,8,5,1,266,11,8,12.0,14.0,0.111,0.2665,0,12,108
2,2021-22,203484,Kentavious Caldwell-Pope,1610612764,WAS,Washington Wizards,0022101166,2022-04-03T00:00:00,WAS @ BOS,L,30.321666666666665,7,17,1,4,2,2,2,2,0,1,1,1,3,2,17,0.275,0.052,61,8,0.235,29,77,204,4,2,2022-04-03,129.92666666666665,4,26,33,1,12,6,9,5,2,269,11,10,11.0,14.0,0.14500000000000002,0.237,0,12,106
3,2021-22,203484,Kentavious Caldwell-Pope,1610612764,WAS,Washington Wizards,0022101152,2022-04-01T00:00:00,WAS vs. DAL,W,33.8,13,19,6,11,3,3,0,4,0,2,1,0,4,3,35,0.273,0.172,69,2,0.343,29,77,204,1,6,2022-04-01,129.57666666666668,4,18,32,2,10,8,8,5,2,271,9,11,11.0,9.0,0.10675000000000001,0.20775000000000002,0,12,104
4,2021-22,203484,Kentavious Caldwell-Pope,1610612764,WAS,Washington Wizards,0022101138,2022-03-30T00:00:00,WAS vs. ORL,W,32.86666666666667,10,17,5,9,0,0,0,2,3,1,2,0,3,2,25,0.228,0.135,70,4,0.24,29,77,204,2,3,2022-03-30,129.21,4,19,30,3,12,7,8,5,2,267,8,15,10.0,7.0,0.09075000000000001,0.215,0,12,102
5,2021-22,203484,Kentavious Caldwell-Pope,1610612764,WAS,Washington Wizards,0022101132,2022-03-29T00:00:00,WAS vs. CHI,L,32.343333333333334,9,15,1,3,1,2,0,3,0,4,1,0,1,1,20,0.29,0.085,66,10,0.3,29,77,204,5,3,2022-03-29,96.86666666666667,3,16,18,3,9,7,4,4,2,201,7,14,5.0,4.0,0.09266666666666666,0.19000000000000003,0,12,101
6,2021-22,203484,Kentavious Caldwell-Pope,1610612764,WAS,Washington Wizards,0022101117,2022-03-27T00:00:00,WAS vs. GSW,W,30.916666666666668,8,8,3,3,3,3,1,3,3,2,1,2,3,4,22,0.157,0.188,64,6,0.182,29,77,204,3,2,2022-03-27,98.13333333333333,3,18,20,3,6,5,3,3,0,201,7,12,5.0,5.0,0.04033333333333333,0.19800000000000004,0,12,99
7,2021-22,203484,Kentavious Caldwell-Pope,1610612764,WAS,Washington Wizards,0022101101,2022-03-25T00:00:00,WAS @ DET,W,33.45,2,10,0,3,4,4,1,2,2,1,1,0,2,4,8,0.156,0.019,71,2,0.25,29,77,204,1,1,2022-03-25,134.58333333333334,4,25,23,3,16,8,5,4,2,275,8,15,6.0,6.0,0.07525,0.19775,0,12,97
8,2021-22,203484,Kentavious Caldwell-Pope,1610612764,WAS,Washington Wizards,0022101097,2022-03-24T00:00:00,WAS @ MIL,L,32.5,5,16,3,10,3,4,1,4,2,1,2,0,2,6,16,0.257,0.071,66,2,0.125,29,77,204,1,1,2022-03-24,102.08333333333334,3,15,17,2,12,6,4,2,2,209,6,9,5.0,5.0,0.07666666666666666,0.17800000000000002,0,12,96
9,2021-22,203484,Kentavious Caldwell-Pope,1610612764,WAS,Washington Wizards,0022101077,2022-03-21T00:00:00,WAS @ HOU,L,32.18333333333333,6,12,0,5,1,1,1,0,1,1,0,0,3,2,13,0.181,0.031,64,6,0.462,29,77,204,3,3,2022-03-21,131.78333333333333,4,19,25,3,16,7,5,6,2,280,5,11,6.0,7.0,0.08975,0.18674999999999997,0,12,93
