,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101216,2022-04-10T00:00:00,BKN vs. IND,W,40.68333333333333,5,17,0,6,10,10,0,10,16,6,1,0,0,7,20,0.289,0.126,87,6,0.2,33,82,240,3,2,2022-04-10,120.30000000000001,3,19,36,3,21,23,12,2,6,252,9,21,6.0,13.0,0.18633333333333332,0.2796666666666667,0,50,85
1,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101205,2022-04-08T00:00:00,BKN vs. CLE,W,41.2,11,20,4,6,10,10,1,4,5,5,1,2,2,8,36,0.306,0.178,83,4,0.278,33,82,240,2,5,2022-04-08,121.41666666666666,3,23,40,2,24,21,11,2,4,261,8,24,9.0,14.0,0.21766666666666667,0.299,0,50,83
2,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101191,2022-04-06T00:00:00,BKN @ NYK,W,42.2,11,22,2,10,8,9,2,8,11,4,1,2,5,7,32,0.294,0.244,89,4,0.438,33,82,240,2,7,2022-04-06,124.43333333333334,3,19,43,0,23,21,13,2,3,270,7,22,11.0,10.0,0.18266666666666667,0.2906666666666667,0,50,81
3,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101180,2022-04-05T00:00:00,BKN vs. HOU,W,36.9,4,13,1,3,9,10,0,9,7,3,0,2,2,6,18,0.239,0.137,80,4,0.111,33,82,240,2,1,2022-04-05,126.91666666666666,3,22,50,0,25,19,12,3,4,278,7,22,13.0,15.0,0.216,0.3116666666666667,0,50,80
4,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101163,2022-04-02T00:00:00,BKN @ ATL,L,42.31666666666667,19,28,8,10,9,11,0,7,3,4,1,0,1,11,55,0.364,0.272,92,10,0.218,33,82,240,5,6,2022-04-02,157.11666666666667,4,25,57,0,29,28,15,7,5,338,8,22,14.0,16.0,0.175,0.29525,0,50,77
5,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101148,2022-03-31T00:00:00,BKN vs. MIL,L,45.21666666666667,10,21,3,6,3,3,0,7,11,6,1,1,4,5,26,0.269,0.139,98,8,0.231,33,82,240,4,3,2022-03-31,111.9,3,19,42,0,22,17,9,6,4,240,4,17,10.0,13.0,0.18699999999999997,0.304,0,50,75
6,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101133,2022-03-29T00:00:00,BKN vs. DET,W,39.38333333333333,14,23,4,6,9,9,0,11,5,2,1,3,2,6,41,0.302,0.237,88,8,0.293,33,82,240,4,6,2022-03-29,112.05833333333334,3,20,46,1,21,20,12,7,3,233,3,19,11.0,13.0,0.16566666666666666,0.3380000000000001,0,50,73
7,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101120,2022-03-27T00:00:00,BKN vs. CHA,L,41.9,9,24,3,11,6,6,0,8,7,2,2,0,1,5,27,0.267,0.136,88,6,0.222,33,82,240,3,3,2022-03-27,108.32499999999999,3,16,49,1,22,21,14,6,3,222,3,15,14.0,15.0,0.20299999999999999,0.36000000000000004,0,50,71
8,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101111,2022-03-26T00:00:00,BKN @ MIA,W,30.616666666666667,7,14,0,2,9,10,0,3,5,5,3,1,1,6,23,0.343,0.188,64,6,0.348,33,82,240,3,4,2022-03-26,77.70833333333333,2,14,37,1,19,16,9,3,2,158,2,9,11.0,11.0,0.2105,0.36850000000000005,0,50,70
9,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101089,2022-03-23T00:00:00,BKN @ MEM,L,39.541666666666664,12,28,1,7,10,10,1,10,8,5,2,2,1,8,35,0.404,0.173,81,10,0.343,33,82,240,5,6,2022-03-23,115.24999999999999,3,15,43,2,19,24,16,1,1,228,8,17,13.0,13.0,0.18533333333333335,0.32299999999999995,0,50,67
10,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101075,2022-03-21T00:00:00,BKN vs. UTA,W,38.166666666666664,15,23,4,7,3,3,0,9,8,4,1,0,1,1,37,0.333,0.248,77,12,0.27,33,82,240,6,5,2022-03-21,107.16666666666666,3,8,36,2,15,23,13,1,1,220,9,22,9.0,12.0,0.16,0.27333333333333326,0,50,65
11,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101048,2022-03-18T00:00:00,BKN vs. POR,W,37.53333333333333,11,15,2,3,14,15,0,6,6,8,0,1,4,10,38,0.353,0.182,78,12,0.158,33,82,240,6,3,2022-03-18,112.54999999999998,3,18,48,3,14,26,10,3,0,232,8,20,7.0,20.0,0.17966666666666664,0.3033333333333333,0,50,62
12,2021-22,201142,Kevin Durant,1610612751,BKN,Brooklyn Nets,0022101036,2022-03-16T00:00:00,BKN vs. DAL,L,39.55,8,20,2,5,5,5,2,4,10,4,0,0,3,6,23,0.283,0.126,73,2,0.435,33,82,240,1,5,2022-03-16,105.23333333333333,3,19,44,2,23,23,11,5,1,229,8,18,9.0,19.0,0.21633333333333335,0.30866666666666664,0,50,60
