,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1628989,Kevin Huerter,1610612737,ATL,Atlanta Hawks,0022101221,2022-04-10T00:00:00,ATL @ HOU,W,30.483333333333334,4,8,3,6,0,0,0,5,5,1,0,0,3,0,11,0.125,0.086,61,2,0.0,23,79,198,1,0,2022-04-10,89.48333333333333,3,18,15,1,11,10,2,4,1,185,9,3,6.0,3.0,0.09900000000000002,0.16933333333333334,0,13,37
1,2021-22,1628989,Kevin Huerter,1610612737,ATL,Atlanta Hawks,0022101207,2022-04-08T00:00:00,ATL @ MIA,L,29.916666666666668,6,11,1,4,2,2,1,6,3,1,3,0,5,2,15,0.178,0.14,62,4,0.4,23,79,198,2,3,2022-04-08,89.25,3,21,11,0,9,7,2,1,1,189,7,1,4.0,1.0,0.04533333333333333,0.159,0,13,35
2,2021-22,1628989,Kevin Huerter,1610612737,ATL,Atlanta Hawks,0022101192,2022-04-06T00:00:00,ATL vs. WAS,W,28.55,2,9,1,5,0,0,0,3,3,0,0,0,2,0,5,0.136,0.015,58,2,0.0,23,79,198,1,0,2022-04-06,119.91666666666667,4,27,18,0,10,7,5,6,1,260,8,3,5.0,5.0,0.10699999999999998,0.182,0,13,33
3,2021-22,1628989,Kevin Huerter,1610612737,ATL,Atlanta Hawks,0022101182,2022-04-05T00:00:00,ATL @ TOR,L,31.016666666666666,8,13,5,9,0,0,0,2,4,1,1,1,2,1,21,0.194,0.142,65,6,0.0,23,79,198,3,0,2022-04-05,88.9,3,18,14,0,8,3,4,5,0,195,6,2,2.0,5.0,0.09533333333333334,0.17800000000000002,0,13,32
4,2021-22,1628989,Kevin Huerter,1610612737,ATL,Atlanta Hawks,0022101163,2022-04-02T00:00:00,ATL vs. BKN,W,29.683333333333334,2,10,1,7,0,0,0,4,0,1,0,0,3,0,5,0.147,-0.021,66,0,0.4,23,79,198,0,1,2022-04-02,92.95,3,21,14,1,5,9,4,5,0,200,5,2,3.0,5.0,0.14233333333333334,0.18333333333333335,0,13,29
5,2021-22,1628989,Kevin Huerter,1610612737,ATL,Atlanta Hawks,0022100452,2022-03-31T00:00:00,ATL vs. CLE,W,30.433333333333334,7,12,5,6,4,4,0,2,2,1,2,0,2,2,23,0.208,0.165,63,0,0.174,23,79,198,0,2,2022-03-31,99.8,3,27,13,1,9,9,3,4,0,214,6,2,4.0,4.0,0.11566666666666668,0.18233333333333332,0,13,27
6,2021-22,1628989,Kevin Huerter,1610612737,ATL,Atlanta Hawks,0022101143,2022-03-30T00:00:00,ATL @ OKC,W,28.783333333333335,8,10,4,5,0,0,0,2,1,2,3,0,1,0,20,0.179,0.142,66,4,0.2,23,79,198,2,2,2022-03-30,98.8,3,29,13,1,9,10,2,2,0,208,8,3,3.0,2.0,0.06833333333333334,0.18833333333333332,0,13,26
7,2021-22,1628989,Kevin Huerter,1610612737,ATL,Atlanta Hawks,0022101124,2022-03-28T00:00:00,ATL @ IND,W,33.733333333333334,8,13,6,10,0,0,1,1,6,1,0,0,2,0,22,0.163,0.12,71,2,0.091,23,79,198,1,1,2022-03-28,98.78333333333333,3,22,16,1,15,8,6,3,2,204,10,5,4.0,2.0,0.06733333333333334,0.2006666666666667,0,13,24
8,2021-22,1628989,Kevin Huerter,1610612737,ATL,Atlanta Hawks,0022101102,2022-03-25T00:00:00,ATL vs. GSW,W,37.28333333333333,7,17,5,12,1,2,0,6,2,0,1,0,3,2,20,0.205,0.085,77,2,0.1,23,79,198,1,1,2022-03-25,110.49000000000001,4,20,17,2,16,13,9,3,3,230,13,6,5.0,1.0,0.021,0.184,0,13,21
9,2021-22,1628989,Kevin Huerter,1610612737,ATL,Atlanta Hawks,0022101085,2022-03-23T00:00:00,ATL @ DET,L,27.783333333333335,3,12,2,7,0,0,0,2,2,1,1,0,3,1,8,0.197,0.0,60,2,0.0,23,79,198,1,0,2022-03-23,118.20666666666666,4,22,19,3,20,14,10,4,3,241,13,7,5.0,2.0,0.04075,0.18649999999999997,0,13,19
