,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629645,Kevin Porter Jr.,1610612745,HOU,Houston Rockets,0022101221,2022-04-10T00:00:00,HOU vs. ATL,L,40.68333333333333,10,24,6,12,0,0,2,6,6,2,0,0,1,1,26,0.28,0.108,83,8,0.0,22,76,203,4,0,2022-04-10,115.96666666666667,3,33,30,2,16,16,13,5,1,252,6,13,13.0,4.0,0.15466666666666665,0.291,0,14,44
1,2021-22,1629645,Kevin Porter Jr.,1610612745,HOU,Houston Rockets,0022101206,2022-04-08T00:00:00,HOU @ TOR,L,38.86666666666667,12,23,4,9,7,7,1,9,4,2,2,0,0,4,35,0.301,0.223,84,14,0.057,22,76,203,7,1,2022-04-08,115.36666666666666,3,36,28,2,10,23,13,7,1,251,11,10,12.0,4.0,0.125,0.2826666666666667,0,14,42
2,2021-22,1629645,Kevin Porter Jr.,1610612745,HOU,Houston Rockets,0022101180,2022-04-05T00:00:00,HOU @ BKN,L,41.266666666666666,13,26,6,14,4,6,0,2,4,3,1,1,3,6,36,0.305,0.151,88,8,0.167,22,76,203,4,3,2022-04-05,111.64999999999999,3,32,23,4,18,31,13,6,1,247,12,10,13.0,3.0,0.156,0.259,0,14,39
3,2021-22,1629645,Kevin Porter Jr.,1610612745,HOU,Houston Rockets,0022101173,2022-04-03T00:00:00,HOU vs. MIN,L,35.833333333333336,6,14,4,10,5,5,1,5,8,8,2,0,3,3,21,0.267,0.09,80,4,0.0,22,76,203,2,0,2022-04-03,111.64166666666667,3,32,31,4,21,30,6,5,2,247,11,10,16.0,4.0,0.18033333333333335,0.26266666666666666,0,14,37
4,2021-22,1629645,Kevin Porter Jr.,1610612745,HOU,Houston Rockets,0022101154,2022-04-01T00:00:00,HOU vs. SAC,L,38.266666666666666,11,24,4,12,1,2,1,3,11,2,4,0,5,1,27,0.276,0.134,83,12,0.074,22,76,203,6,1,2022-04-01,129.63333333333333,4,33,26,4,21,37,9,2,3,279,8,12,13.0,3.0,0.16125,0.23175,0,14,35
5,2021-22,1629645,Kevin Porter Jr.,1610612745,HOU,Houston Rockets,0022101142,2022-03-30T00:00:00,HOU vs. SAC,L,37.55,11,17,4,10,4,5,2,10,12,3,0,1,4,6,30,0.234,0.244,84,10,0.133,22,76,203,5,2,2022-03-30,120.86666666666666,4,27,27,2,15,30,7,2,3,251,8,6,11.0,2.0,0.125,0.22575,0,14,33
6,2021-22,1629645,Kevin Porter Jr.,1610612745,HOU,Houston Rockets,0022101128,2022-03-28T00:00:00,HOU vs. SAS,L,35.825,9,22,3,10,5,5,1,8,7,1,1,1,2,3,26,0.278,0.163,80,10,0.077,22,76,203,5,1,2022-03-28,120.975,4,20,25,2,9,27,7,1,3,240,10,6,9.0,3.0,0.09075,0.20425,0,14,31
7,2021-22,1629645,Kevin Porter Jr.,1610612745,HOU,Houston Rockets,0022101114,2022-03-26T00:00:00,HOU @ POR,W,29.816666666666666,4,11,2,6,0,0,0,2,11,3,0,0,1,2,10,0.212,0.105,60,4,0.0,22,76,203,2,0,2022-03-26,118.32833333333333,4,21,31,2,12,19,6,2,3,242,9,7,10.0,3.0,0.07775,0.23075,0,14,29
8,2021-22,1629645,Kevin Porter Jr.,1610612745,HOU,Houston Rockets,0022101105,2022-03-25T00:00:00,HOU @ POR,W,26.441666666666666,4,9,3,7,2,2,1,1,7,2,1,1,1,1,13,0.203,0.133,55,2,0.0,22,76,203,1,0,2022-03-25,125.53833333333333,4,20,37,1,15,16,5,2,2,259,10,7,13.0,3.0,0.07325,0.23199999999999998,0,14,28
9,2021-22,1629645,Kevin Porter Jr.,1610612745,HOU,Houston Rockets,0022101092,2022-03-23T00:00:00,HOU @ DAL,L,28.783333333333335,5,12,1,4,0,0,0,4,5,1,0,1,4,0,11,0.21,0.099,56,6,0.182,22,76,203,3,1,2022-03-23,133.22166666666666,4,26,34,2,14,19,7,4,3,281,8,8,11.0,3.0,0.0785,0.236,0,14,26
