,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,0022101203,2022-04-08T00:00:00,MIL @ DET,W,28.3,6,13,3,7,0,0,0,1,1,0,2,0,1,1,15,0.2,0.089,60,2,0.267,30,79,222,1,2,2022-04-08,103.71333333333334,3,22,27,1,15,23,10,5,1,220,11,6,5.0,9.0,0.09033333333333333,0.249,1,33,0
1,2021-22,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,0022101198,2022-04-07T00:00:00,MIL vs. BOS,W,39.333333333333336,9,18,3,8,1,1,0,8,9,3,2,1,1,0,22,0.21,0.145,86,6,0.273,30,79,222,3,3,2022-04-07,94.41333333333333,3,21,22,1,16,18,11,5,1,205,14,10,4.0,6.0,0.07966666666666666,0.26033333333333336,0,32,7
2,2021-22,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,0022101183,2022-04-05T00:00:00,MIL @ CHI,W,27.513333333333332,8,17,3,10,0,0,0,4,5,4,3,0,5,1,19,0.313,0.102,59,2,0.421,30,79,222,1,4,2022-04-05,106.30000000000001,3,19,24,3,19,20,9,3,2,226,9,13,5.0,5.0,0.09033333333333333,0.23299999999999998,0,32,5
3,2021-22,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,0022101167,2022-04-03T00:00:00,MIL vs. DAL,L,36.86666666666667,3,14,0,4,5,6,1,3,9,3,0,0,5,5,11,0.224,0.024,75,2,0.364,30,79,222,1,2,2022-04-03,69.43333333333334,2,15,14,2,16,11,6,3,2,151,4,8,4.0,3.0,0.1235,0.2375,0,32,3
4,2021-22,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,0022101148,2022-03-31T00:00:00,MIL @ BKN,W,30.033333333333335,4,12,2,7,6,6,0,9,4,4,2,1,4,4,16,0.244,0.113,71,4,0.0,30,79,222,2,0,2022-03-31,68.1,2,12,21,2,12,12,7,1,1,140,2,7,6.0,3.0,0.0965,0.266,1,32,0
5,2021-22,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,0022101131,2022-03-29T00:00:00,MIL @ PHI,W,39.4,8,17,3,8,3,5,2,7,7,2,1,1,0,4,22,0.231,0.134,80,4,0.273,30,79,222,2,3,2022-03-29,28.7,1,4,12,0,5,5,5,0,0,60,2,3,4.0,0.0,0.059,0.301,0,31,10
6,2021-22,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,0022101112,2022-03-26T00:00:00,MIL @ MEM,L,28.7,5,16,1,4,5,5,0,5,5,5,0,0,2,3,16,0.301,0.059,60,8,0.0,30,79,222,4,0,2022-03-26,25.833333333333332,1,7,6,1,6,5,3,1,0,56,2,3,2.0,1.0,0.107,0.254,0,31,7
7,2021-22,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,0022101058,2022-03-19T00:00:00,MIL @ MIN,L,25.833333333333332,6,13,3,7,0,0,1,6,5,3,1,0,2,3,15,0.254,0.107,56,4,0.133,30,79,222,2,1,2022-03-19,104.40499999999999,3,24,31,2,13,18,8,6,2,226,7,11,7.0,3.0,0.1386666666666667,0.26766666666666666,1,31,0
8,2021-22,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,0022101043,2022-03-16T00:00:00,MIL @ SAC,W,33.971666666666664,10,20,7,10,5,5,0,8,8,3,2,1,2,4,32,0.294,0.217,77,4,0.063,30,79,222,2,1,2022-03-16,106.49333333333334,3,20,32,2,8,18,6,4,1,224,6,8,11.0,3.0,0.11399999999999999,0.24033333333333332,0,30,76
9,2021-22,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,0022101027,2022-03-14T00:00:00,MIL @ UTA,W,35.13333333333333,7,16,2,5,7,8,0,3,4,4,1,1,2,4,23,0.259,0.115,75,6,0.174,30,79,222,3,2,2022-03-14,100.99333333333334,3,22,31,2,7,23,3,3,0,213,6,5,10.0,4.0,0.127,0.2363333333333333,0,30,74
